id,basic_card_name_en,hi-IN
CHALLAH_WORD_BREADS_102,Challah,ख़ल्ला
TORTILLA_WORD_BREADS_102,Tortilla,तोर्तिया
BRIOCHE_WORD_BREADS_102,Brioche,ब्रियोश
AREPA_WORD_BREADS_102,Arepa,अरेपा
GYRUS_WORD_BRAIN_106,Gyrus,घुमाव
CORTEX_WORD_BRAIN_106,Cortex,वल्कुट
LOBE_WORD_BRAIN_106,Lobe,पालि
HYDROGEN_WORD_ELEMENTS_107,Hydrogen,हाइड्रोजन
NITROGEN_WORD_ELEMENTS_107,Nitrogen,नाइट्रोजन
SULFUR_WORD_ELEMENTS_107,Sulfur,गंधक
CARBON_WORD_ELEMENTS_107,Carbon,कार्बन
SODIUM_WORD_ELEMENTS_107,Sodium,सोडियम
SILICON_WORD_ELEMENTS_107,Silicon,सिलिकॉन
IODINE_WORD_ELEMENTS_107,Iodine,आयोडीन
OXYGEN_WORD_ELEMENTS_107,Oxygen,ऑक्सीजन
BRIE_WORD_CHEESE_108,Brie,ब्री
FETA_WORD_CHEESE_108,Feta,फ़ेटा
GOUDA_WORD_CHEESE_108,Gouda,गौडा
CHEDDAR_WORD_CHEESE_108,Cheddar,चेडर
PARMESAN_WORD_CHEESE_108,Parmesan,पार्मेज़ान
RICOTTA_WORD_CHEESE_108,Ricotta,रिकोटा
EDAM_WORD_CHEESE_108,Edam,एडम
DORBLU_WORD_CHEESE_108,Swiss,स्विस
WORKOUT_WORD_FITNESS_110,Workout,वर्कआउट
YOGA_WORD_FITNESS_110,Yoga,योग
PILATES_WORD_FITNESS_110,Pilates,पिलाटीज़
JOGGING_WORD_FITNESS_110,Jogging,जॉगिंग
GYM_WORD_FITNESS_110,Gym,जिम
CARDIO_WORD_FITNESS_110,Cardio,कार्डियो
BICEPS_WORD_MUSCLES_112,Biceps,बाइसेप्स
DELTOIDS_WORD_MUSCLES_112,Deltoids,डेल्टॉइड
ABS_WORD_MUSCLES_112,Abs,एब्स
TRICEPS_WORD_MUSCLES_112,Triceps,ट्राइसेप्स
SCARAB_WORD_EGYPT_114,Scarab,स्कैरब
PHARAOH_WORD_EGYPT_114,Pharaoh,फ़िरौन
PAPYRUS_WORD_EGYPT_114,Papyrus,पपाइरस
PYRAMID_WORD_EGYPT_114,Pyramid,पिरामिड
MULBERRY_WORD_BERRY_116,Mulberry,शहतूत
BILBERRY_WORD_BERRY_116,Bilberry,बिलबेरी
BARBERRY_WORD_BERRY_116,Barberry,बारबेरी
ATHENS_WORD_CAPITALS_119,Athens,एथेंस
PRAGUE_WORD_CAPITALS_119,Prague,प्राग
MADRID_WORD_CAPITALS_119,Madrid,मैड्रिड
RIYADH_WORD_CAPITALS_119,Riyadh,रियाद
OTTAWA_WORD_CAPITALS_119,Ottawa,ओटावा
ROME_WORD_CAPITALS_119,Rome,रोम
OSLO_WORD_CAPITALS_119,Oslo,ओस्लो
CAIRO_WORD_CAPITALS_119,Cairo,काहिरा
POWDER_WORD_MAKEUP_120,Powder,पाउडर
SPONGE_WORD_MAKEUP_120,Sponge,स्पंज
PALETTE_WORD_MAKEUP_120,Palette,पैलेट
SERUM_WORD_MAKEUP_120,Serum,सीरम
PEEL_WORD_MAKEUP_120,Peel,पील
BLUSH_WORD_MAKEUP_120,Blush,ब्लश
SAVATE_WORD_COMBAT_121,Savate,सावात
JUDO_WORD_COMBAT_121,Judo,जूडो
KARATE_WORD_COMBAT_121,Karate,कराटे
KUNG_FU_WORD_COMBAT_121,Kung fu,कुंग फ़ू
SUMO_WORD_COMBAT_121,Sumo,सूमो
SILAT_WORD_COMBAT_121,Silat,सिलाट
CHORDS_WORD_GUITAR_122,Chords,कॉर्ड्स
PICKUPS_WORD_GUITAR_122,Pickups,पिकअप
STRINGS_WORD_GUITAR_122,Strings,तार
RIFFS_WORD_GUITAR_122,Riffs,रिफ़्स
POINTE_WORD_BALLET_125,Pointe,प्वांट
TUTU_WORD_BALLET_125,Tutu,टूटू
BARRE_WORD_BALLET_125,Barre,बार
ALLIANCE_WORD_UNITE_126,Alliance,गठबंधन
LEAGUE_WORD_UNITE_126,League,लीग
UNION_WORD_UNITE_126,Union,संघ
JEWELRY_WORD_LUXURY_133,Jewelry,आभूषण
WATCH_WORD_LUXURY_133,Watch,घड़ी
CAVIAR_WORD_LUXURY_133,Caviar,कैवियार
YACHT_WORD_LUXURY_133,Yacht,यॉट
SAVANNA_WORD_BIOMES_135,Savanna,सवाना
TUNDRA_WORD_BIOMES_135,Tundra,टुंड्रा
TAIGA_WORD_BIOMES_135,Taiga,टैगा
SRIRACHA_WORD_SPICY_136,Sriracha,श्रीराचा
WASABI_WORD_SPICY_136,Wasabi,वसाबी
HABANERO_WORD_SPICY_136,Habanero,हबानेरो
COCKPIT_WORD_PLANE_139,Cockpit,कॉकपिट
SEATBELT_WORD_PLANE_139,Seatbelt,सीटबेल्ट
WINGS_WORD_PLANE_139,Wings,पंख
ENGINE_WORD_PLANE_139,Engine,इंजन
RUDDER_WORD_PLANE_139,Rudder,पतवार
FUSELAGE_WORD_PLANE_139,Fuselage,धड़
AILERON_WORD_PLANE_139,Aileron,एलेरॉन
FLY_WORD_PLANE_139,Fly,उड़ान
BEAVER_WORD_RODENTS_141,Beaver,ऊदबिलाव
MARMOT_WORD_RODENTS_141,Marmot,मार्मोट
NUTRIA_WORD_RODENTS_141,Nutria,न्यूट्रिया
SQUIRREL_WORD_RODENTS_141,Squirrel,गिलहरी
CAPYBARA_WORD_RODENTS_141,Capybara,कैपीबारा
RAT_WORD_RODENTS_141,Rat,चूहा
SOLAR_WORD_ENERGY_145,Solar,सौर
NUCLEAR_WORD_ENERGY_145,Nuclear,नाभिकीय
KINETIC_WORD_ENERGY_145,Kinetic,गतिज
THERMAL_WORD_ENERGY_145,Thermal,ऊष्मीय
ESSAY_WORD_ARTICLES_147,Essay,निबंध
REVIEW_WORD_ARTICLES_147,Review,समीक्षा
OPINION_WORD_ARTICLES_147,Opinion,राय
TSUNAMI_WORD_DISASTER_148,Tsunami,सुनामी
TORNADO_WORD_DISASTER_148,Tornado,बवंडर
FLOOD_WORD_DISASTER_148,Flood,बाढ़
GORILLA_WORD_PRIMATES_149,Gorilla,गोरिल्ला
GIBBON_WORD_PRIMATES_149,Gibbon,गिबन
BABOON_WORD_PRIMATES_149,Baboon,बबून
LEMUR_WORD_PRIMATES_149,Lemur,लीमर
MACAQUE_WORD_PRIMATES_149,Macaque,मकाक
SIMIAN_WORD_PRIMATES_149,Simian,वानर
MANDRILL_WORD_PRIMATES_149,Mandrill,मैनड्रिल
TARSIER_WORD_PRIMATES_149,Tarsier,टार्सियर
PYTHON_WORD_CODING_150,Python,पायथन
JAVA_WORD_CODING_150,Java,जावा
RUBY_WORD_CODING_150,Ruby,रूबी
SWIFT_WORD_CODING_150,Swift,स्विफ़्ट
SCRIPT_WORD_CODING_150,Script,स्क्रिप्ट
PHP_WORD_CODING_150,PHP,पीएचपी
SQL_WORD_CODING_150,SQL,एसक्यूएल
BUGS_WORD_CODING_150,Bugs,बग्स
LYRICS_WORD_RAP_151,Lyrics,बोल
VERSE_WORD_RAP_151,Verse,पद
RHYME_WORD_RAP_151,Rhyme,तुकबंदी
PUNCH_WORD_RAP_151,Punch,पंच
NIAGARA_WORD_WATER_152,Niagara,नियाग्रा
VICTORIA_WORD_WATER_152,Victoria,विक्टोरिया
YOSEMITE_WORD_WATER_152,Yosemite,योसेमाइट
HAVASU_WORD_WATER_152,Havasu,हवासू
YO_YO_WORD_TOYS_154,Yo-yo,यो-यो
SPINNER_WORD_TOYS_154,Spinner,स्पिनर
DOLL_WORD_TOYS_154,Doll,गुड़िया
SERGEANT_WORD_ARMY_156,Sergeant,सार्जेंट
MAJOR_WORD_ARMY_156,Major,मेजर
GENERAL_WORD_ARMY_156,General,जनरल
COLONEL_WORD_ARMY_156,Colonel,कर्नल
PRIVATE_WORD_ARMY_156,Private,सिपाही
CORPORAL_WORD_ARMY_156,Corporal,नायक
CAPTAIN_WORD_ARMY_156,Captain,कैप्टन
RANK_WORD_ARMY_156,Rank,पद
ZEN_WORD_MEDITATE_160,Zen,ज़ेन
BREATH_WORD_MEDITATE_160,Breath,साँस
PEACE_WORD_MEDITATE_160,Peace,शांति
MANTRA_WORD_MEDITATE_160,Mantra,मंत्र
FAMOUS_WORD_FAME_161,Famous,प्रसिद्ध
ICONIC_WORD_FAME_161,Iconic,प्रतिष्ठित
POPULAR_WORD_FAME_161,Popular,लोकप्रिय
RENOWN_WORD_FAME_161,Renown,ख्याति
SYNTAX_WORD_LINGUIST_162,Syntax,वाक्य रचना
POLYGLOT_WORD_LINGUIST_162,Polyglot,बहुभाषी
GRAMMAR_WORD_LINGUIST_162,Grammar,व्याकरण
SCHOLAR_WORD_LINGUIST_162,Scholar,विद्वान
EASTER_WORD_HOLIDAY_163,Easter,ईस्टर
NEW_YEAR_WORD_HOLIDAY_163,New Year,नया साल
FLAG_DAY_WORD_HOLIDAY_163,Flag Day,झंडा दिवस
DUMBBELL_WORD_GYM_164,Dumbbell,डम्बल
BARBELL_WORD_GYM_164,Barbell,बारबेल
AIR_BIKE_WORD_GYM_164,Air bike,एयर बाइक
PERICLES_WORD_WILLIAM_165,Pericles,पेरिक्लीज़
MACBETH_WORD_WILLIAM_165,Macbeth,मैकबेथ
HAMLET_WORD_WILLIAM_165,Hamlet,हैमलेट
OTHELLO_WORD_WILLIAM_165,Othello,ओथेलो
JULIET_WORD_WILLIAM_165,Juliet,जूलियट
ROMEO_WORD_WILLIAM_165,Romeo,रोमियो
TEMPEST_WORD_WILLIAM_165,Tempest,तूफ़ान
HENRY_V_WORD_WILLIAM_165,Henry V,हेनरी पंचम
WOLF_WORD_CANINES_168,Wolf,भेड़िया
COYOTE_WORD_CANINES_168,Coyote,कोयोट
DINGO_WORD_CANINES_168,Dingo,डिंगो
JACKAL_WORD_CANINES_168,Jackal,सियार
FOX_WORD_CANINES_168,Fox,लोमड़ी
DHOLE_WORD_CANINES_168,Dhole,ढोल
HARVARD_WORD_STUDIES_169,Harvard,हार्वर्ड
STANFORD_WORD_STUDIES_169,Stanford,स्टैनफ़ोर्ड
OXFORD_WORD_STUDIES_169,Oxford,ऑक्सफ़ोर्ड
YALE_WORD_STUDIES_169,Yale,येल
SORBONNE_WORD_STUDIES_169,Sorbonne,सोरबॉन
MIT_WORD_STUDIES_169,MIT,एमआईटी
LEMON_WORD_CITRUS_173,Lemon,नींबू
LIME_WORD_CITRUS_173,Lime,नीबू
POMELO_WORD_CITRUS_173,Pomelo,चकोतरा
GLIDER_WORD_AIRCRAFT_174,Glider,ग्लाइडर
JETLINER_WORD_AIRCRAFT_174,Jetliner,जेट विमान
AIRPLANE_WORD_AIRCRAFT_174,Airplane,हवाई जहाज़
MERLOT_WORD_GRAPE_177,Merlot,मर्लो
RIESLING_WORD_GRAPE_177,Riesling,रीस्लिंग
SHIRAZ_WORD_GRAPE_177,Shiraz,शिराज़
GRENACHE_WORD_GRAPE_177,Grenache,ग्रेनाश
MUSCAT_WORD_GRAPE_177,Muscat,मस्कट
MALBEC_WORD_GRAPE_177,Malbec,मालबेक
AMANITA_WORD_MUSHROOM_178,Amanita,अमानिता
PORCINI_WORD_MUSHROOM_178,Porcini,पोर्चिनी
RUSSULA_WORD_MUSHROOM_178,Russula,रसूला
TRUFFLE_WORD_MUSHROOM_178,Truffle,ट्रफ़ल
ENOKI_WORD_MUSHROOM_178,Enoki,एनोकी
SHIITAKE_WORD_MUSHROOM_178,Shiitake,शीतके
WALRUS_WORD_ARCTIC_180,Walrus,वालरस
POLAR_BEAR_WORD_ARCTIC_180,Polar bear,ध्रुवीय भालू
SNOWY_OWL_WORD_ARCTIC_180,Snowy owl,हिम उल्लू
REINDEER_WORD_ARCTIC_180,Reindeer,रेनडियर
PIT_STOP_WORD_RACING_182,Pit stop,पिट स्टॉप
FINISH_WORD_RACING_182,Finish,फ़िनिश
SPEEDWAY_WORD_RACING_182,Speedway,स्पीडवे
ASSIST_WORD_HELP_183,Assist,सहायता
SUPPORT_WORD_HELP_183,Support,समर्थन
DONATE_WORD_HELP_183,Donate,दान
OPAL_WORD_GEMSTONE_186,Opal,ओपल
RUBY_WORD_GEMSTONE_186,Ruby,माणिक
TOPAZ_WORD_GEMSTONE_186,Topaz,पुखराज
SAPPHIRE_WORD_GEMSTONE_186,Sapphire,नीलम
GARNET_WORD_GEMSTONE_186,Garnet,गार्नेट
DIAMOND_WORD_GEMSTONE_186,Diamond,हीरा
ONYX_WORD_GEMSTONE_186,Onyx,गोमेद
AGATE_WORD_GEMSTONE_186,Agate,अगेट
ORION_WORD_PATTERN_188,Orion,मृगशीर्ष
PERSEUS_WORD_PATTERN_188,Perseus,पर्सियस
DRACO_WORD_PATTERN_188,Draco,ड्रैको
SCORPIUS_WORD_PATTERN_188,Scorpius,स्कॉर्पियस
CYGNUS_WORD_PATTERN_188,Cygnus,सिग्नस
SERPENS_WORD_PATTERN_188,Serpens,सर्पेंस
GASOLINE_WORD_FUELS_190,Gasoline,गैसोलीन
DIESEL_WORD_FUELS_190,Diesel,डीज़ल
COAL_WORD_FUELS_190,Coal,कोयला
PROPANE_WORD_FUELS_190,Propane,प्रोपेन
KEROSENE_WORD_FUELS_190,Kerosene,मिट्टी का तेल
VOTER_WORD_ELECT_193,Voter,मतदाता
BALLOT_WORD_ELECT_193,Ballot,मतपत्र
CAMPAIGN_WORD_ELECT_193,Campaign,अभियान
TURNOUT_WORD_ELECT_193,Turnout,मतदान
KING_WORD_CROWN_194,King,राजा
EMPEROR_WORD_CROWN_194,Emperor,सम्राट
MAHARAJA_WORD_CROWN_194,Maharaja,महाराजा
KENNEDY_WORD_LEADER_196,Washington,वाशिंगटन
CLINTON_WORD_LEADER_196,Jefferson,जेफ़रसन
LINCOLN_WORD_LEADER_196,Lincoln,लिंकन
REAGAN_WORD_LEADER_196,Roosevelt,रूज़वेल्ट
BUSH_WORD_LEADER_196,Wilson,विल्सन
OBAMA_WORD_LEADER_196,Jackson,जैक्सन
ADAMS_WORD_LEADER_196,Adams,एडम्स
BIDEN_WORD_LEADER_196,Madison,मैडिसन
