id,basic_card_name_en,th-TH
PILOT_WORD_JOBS_42,Pilot,นักบิน
MAILMAN_WORD_JOBS_42,Mailman,บุรุษไปรษณีย์
DOCTOR_WORD_JOBS_42,Doctor,หมอ
WELDER_WORD_JOBS_42,Welder,ช่างเชื่อม
ENGINEER_WORD_JOBS_42,Engineer,วิศวกร
PLUMBER_WORD_JOBS_42,Plumber,ช่างประปา
ACTOR_WORD_JOBS_42,Actor,นักแสดง
NURSE_WORD_JOBS_42,Nurse,พยาบาล
SANDALS_WORD_FOOTWEAR_46,Sandals,รองเท้าแตะ
UGGS_WORD_FOOTWEAR_46,Uggs,อั๊กส์
SLIPPERS_WORD_FOOTWEAR_46,Slippers,รองเท้าแตะ
CLOGS_WORD_FOOTWEAR_46,Clogs,รองเท้าไม้
LOAFERS_WORD_FOOTWEAR_46,Loafers,โลฟเฟอร์
SNEAKERS_WORD_FOOTWEAR_46,Sneakers,สนีกเกอร์
CAR_WORD_DRIVING_49,Car,รถยนต์
ROAD_WORD_DRIVING_49,Road,ถนน
SIGN_WORD_DRIVING_49,Sign,ป้าย
TRAFFIC_WORD_DRIVING_49,Traffic,จราจร
VESPUCCI_WORD_EXPLORER_51,Vespucci,เวสปุชชี
MAGELLAN_WORD_EXPLORER_51,Magellan,มาเจลลัน
COLUMBUS_WORD_EXPLORER_51,Columbus,โคลัมบัส
KICK_WORD_MOVEMENT_52,Kick,เตะ
WALK_WORD_MOVEMENT_52,Walk,เดิน
JUMP_WORD_MOVEMENT_52,Jump,กระโดด
SOLID_WORD_PHASE_57,Solid,ของแข็ง
LIQUID_WORD_PHASE_57,Liquid,ของเหลว
GAS_WORD_PHASE_57,Gas,แก๊ส
COMFY_WORD_COZY_58,Comfy,สบาย
WARM_WORD_COZY_58,Warm,อบอุ่น
SNUG_WORD_COZY_58,Snug,อุ่นสบาย
ARIES_WORD_ZODIAC_59,Aries,ราศีเมษ
TAURUS_WORD_ZODIAC_59,Taurus,ราศีพฤษภ
GEMINI_WORD_ZODIAC_59,Gemini,ราศีเมถุน
LEO_WORD_ZODIAC_59,Leo,ราศีสิงห์
VIRGO_WORD_ZODIAC_59,Virgo,ราศีกันย์
LIBRA_WORD_ZODIAC_59,Libra,ราศีตุลย์
SCORPIO_WORD_ZODIAC_59,Scorpio,ราศีพิจิก
PISCES_WORD_ZODIAC_59,Pisces,ราศีมีน
FRIGATE_WORD_SHIP_62,Frigate,เรือฟริเกต
CARAVEL_WORD_SHIP_62,Caravel,เรือคาราเวล
GALLEON_WORD_SHIP_62,Galleon,เรือกัลเลียน
BRIG_WORD_SHIP_62,Brig,เรือบริก
TANKER_WORD_SHIP_62,Tanker,เรือบรรทุกน้ำมัน
TUGBOAT_WORD_SHIP_62,Tugboat,เรือลากจูง
STAMP_WORD_MAILMAN_63,Stamp,แสตมป์
ENVELOPE_WORD_MAILMAN_63,Envelope,ซองจดหมาย
LETTER_WORD_MAILMAN_63,Letter,จดหมาย
MAIL_WORD_MAILMAN_63,Mail,ไปรษณีย์
SEAL_WORD_MAILMAN_63,Seal,ตราประทับ
INK_WORD_MAILMAN_63,Ink,หมึก
BUST_WORD_SCULPT_64,Bust,รูปครึ่งตัว
FIGURINE_WORD_SCULPT_64,Figurine,รูปปั้นจำลอง
STATUE_WORD_SCULPT_64,Statue,รูปปั้น
MONUMENT_WORD_SCULPT_64,Monument,อนุสาวรีย์
ENGLISH_WORD_LANGUAGE_70,English,อังกฤษ
ITALIAN_WORD_LANGUAGE_70,Italian,อิตาเลียน
HINDI_WORD_LANGUAGE_70,Hindi,ฮินดี
JAPANESE_WORD_LANGUAGE_70,Japanese,ญี่ปุ่น
HEBREW_WORD_LANGUAGE_70,Hebrew,ฮีบรู
DANISH_WORD_LANGUAGE_70,Danish,เดนิช
LATIN_WORD_LANGUAGE_70,Latin,ละติน
POLISH_WORD_LANGUAGE_70,Polish,โปลิช
LENS_WORD_CAMERA_73,Lens,เลนส์
FLASH_WORD_CAMERA_73,Flash,แฟลช
ZOOM_WORD_CAMERA_73,Zoom,ซูม
FILTER_WORD_CAMERA_73,Filter,ฟิลเตอร์
SHUTTER_WORD_CAMERA_73,Shutter,ชัตเตอร์
EXPOSURE_WORD_CAMERA_73,Exposure,การรับแสง
MIST_WORD_FOG_76,Mist,หมอก
HAZE_WORD_FOG_76,Haze,หมอกจาง
SMOG_WORD_FOG_76,Smog,หมอกควัน
VAPOR_WORD_FOG_76,Vapor,ไอน้ำ
SLEET_WORD_SNOW_77,Sleet,ฝนน้ำแข็ง
FLAKE_WORD_SNOW_77,Flake,เกล็ดหิมะ
ICEBERG_WORD_SNOW_77,Frost,น้ำค้างแข็ง
HEDGEHOG_WORD_SPIKY_78,Hedgehog,เม่น
CACTUS_WORD_SPIKY_78,Cactus,กระบองเพชร
DURIAN_WORD_SPIKY_78,Durian,ทุเรียน
DOVE_WORD_BIRDS_80,Dove,นกพิราบ
EAGLE_WORD_BIRDS_80,Eagle,นกอินทรี
SWAN_WORD_BIRDS_80,Swan,หงส์
OWL_WORD_BIRDS_80,Owl,นกฮูก
HERON_WORD_BIRDS_80,Heron,นกกระสา
ROBIN_WORD_BIRDS_80,Robin,โรบิน
FINCH_WORD_BIRDS_80,Finch,ฟินช์
VULTURE_WORD_BIRDS_80,Vulture,อีแร้ง
SARTRE_WORD_MINDS_82,Sartre,ซาร์ตร์
DANTE_WORD_MINDS_82,Dante,ดันเต
PLATO_WORD_MINDS_82,Plato,เพลโต
SOCRATES_WORD_MINDS_82,Socrates,โสกราตีส
GALILEO_WORD_MINDS_82,Galileo,กาลิเลโอ
KANT_WORD_MINDS_82,Kant,คานท์
PUCK_WORD_HOCKEY_86,Puck,พัค
PENALTY_WORD_HOCKEY_86,Penalty,จุดโทษ
GOAL_WORD_HOCKEY_86,Goal,ประตู
RINK_WORD_HOCKEY_86,Rink,ลานน้ำแข็ง
COUPLE_WORD_DATE_87,Couple,คู่รัก
TUXEDO_WORD_DATE_87,Wine,ไวน์
FLOWERS_WORD_DATE_87,Flowers,ดอกไม้
TEETH_WORD_SAW_88,Teeth,ฟัน
BLADE_WORD_SAW_88,Blade,ใบมีด
NOTCH_WORD_SAW_88,Notch,รอยบาก
OLDMAN_WORD_ACTOR_89,Oldman,โอลด์แมน
PITT_WORD_ACTOR_89,Pitt,พิตต์
EASTWOOD_WORD_ACTOR_89,Eastwood,อีสต์วูด
HANKS_WORD_ACTOR_89,Hanks,แฮงค์ส
CROWE_WORD_ACTOR_89,Crowe,โครว์
CRUISE_WORD_ACTOR_89,Cruise,ครูซ
DICAPRIO_WORD_ACTOR_89,DiCaprio,ดิคาปริโอ
WAHLBERG_WORD_ACTOR_89,Wahlberg,วอลเบิร์ก
MERCURY_WORD_PLANET_90,Mercury,ดาวพุธ
JUPITER_WORD_PLANET_90,Jupiter,ดาวพฤหัสบดี
SATURN_WORD_PLANET_90,Saturn,ดาวเสาร์
URANUS_WORD_PLANET_90,Uranus,ดาวยูเรนัส
NEPTUNE_WORD_PLANET_90,Neptune,ดาวเนปจูน
MARS_WORD_PLANET_90,Mars,ดาวอังคาร
EARTH_WORD_PLANET_90,Earth,โลก
VENUS_WORD_PLANET_90,Venus,ดาวศุกร์
BIOLOGY_WORD_LESSONS_94,Biology,ชีววิทยา
PHYSICS_WORD_LESSONS_94,Physics,ฟิสิกส์
GEOMETRY_WORD_LESSONS_94,Geometry,เรขาคณิต
ALGEBRA_WORD_LESSONS_94,Algebra,พีชคณิต
HISTORY_WORD_LESSONS_94,History,ประวัติศาสตร์
CALCULUS_WORD_LESSONS_94,Calculus,แคลคูลัส
TABLETS_WORD_PILLS_99,Tablets,ยาเม็ด
CAPSULES_WORD_PILLS_99,Capsules,แคปซูล
LOZENGES_WORD_PILLS_99,Lozenges,ยาอม
CLOUDS_WORD_RAINY_100,Clouds,เมฆ
SHOWERS_WORD_RAINY_100,Showers,ฝนตก
PUDDLES_WORD_RAINY_100,Puddles,แอ่งน้ำ
CIABATTA_WORD_BREADS_102,Ciabatta,ชาบัตตา
BAGUETTE_WORD_BREADS_102,Baguette,บาแก็ตต์
FOCACCIA_WORD_BREADS_102,Focaccia,โฟคัชชา
PITA_WORD_BREADS_102,Pita,พิตา
CHALLAH_WORD_BREADS_102,Challah,ฮัลลาห์
TORTILLA_WORD_BREADS_102,Tortilla,ตอร์ตียา
BRIOCHE_WORD_BREADS_102,Brioche,บริยอช
AREPA_WORD_BREADS_102,Arepa,อาเรปา
GYRUS_WORD_BRAIN_106,Gyrus,ไจรัส
CORTEX_WORD_BRAIN_106,Cortex,คอร์เท็กซ์
LOBE_WORD_BRAIN_106,Lobe,พูสมอง
HYDROGEN_WORD_ELEMENTS_107,Hydrogen,ไฮโดรเจน
NITROGEN_WORD_ELEMENTS_107,Nitrogen,ไนโตรเจน
SULFUR_WORD_ELEMENTS_107,Sulfur,กำมะถัน
CARBON_WORD_ELEMENTS_107,Carbon,คาร์บอน
SODIUM_WORD_ELEMENTS_107,Sodium,โซเดียม
SILICON_WORD_ELEMENTS_107,Silicon,ซิลิคอน
IODINE_WORD_ELEMENTS_107,Iodine,ไอโอดีน
OXYGEN_WORD_ELEMENTS_107,Oxygen,ออกซิเจน
BRIE_WORD_CHEESE_108,Brie,บรี
FETA_WORD_CHEESE_108,Feta,เฟต้า
GOUDA_WORD_CHEESE_108,Gouda,เกาดา
CHEDDAR_WORD_CHEESE_108,Cheddar,เชดดาร์
PARMESAN_WORD_CHEESE_108,Parmesan,พาร์เมซาน
RICOTTA_WORD_CHEESE_108,Ricotta,ริคอตตา
EDAM_WORD_CHEESE_108,Edam,เอดัม
DORBLU_WORD_CHEESE_108,Swiss,สวิส
WORKOUT_WORD_FITNESS_110,Workout,ออกกำลังกาย
YOGA_WORD_FITNESS_110,Yoga,โยคะ
PILATES_WORD_FITNESS_110,Pilates,พิลาทิส
JOGGING_WORD_FITNESS_110,Jogging,วิ่งจ๊อกกิ้ง
GYM_WORD_FITNESS_110,Gym,ยิม
CARDIO_WORD_FITNESS_110,Cardio,คาร์ดิโอ
BICEPS_WORD_MUSCLES_112,Biceps,ไบเซ็ปส์
DELTOIDS_WORD_MUSCLES_112,Deltoids,เดลทอยด์
ABS_WORD_MUSCLES_112,Abs,หน้าท้อง
TRICEPS_WORD_MUSCLES_112,Triceps,ไตรเซ็ปส์
SCARAB_WORD_EGYPT_114,Scarab,แมลงทับ
PHARAOH_WORD_EGYPT_114,Pharaoh,ฟาโรห์
PAPYRUS_WORD_EGYPT_114,Papyrus,กระดาษปาปิรุส
PYRAMID_WORD_EGYPT_114,Pyramid,พีระมิด
MULBERRY_WORD_BERRY_116,Mulberry,มัลเบอร์รี
BILBERRY_WORD_BERRY_116,Bilberry,บิลเบอร์รี
BARBERRY_WORD_BERRY_116,Barberry,บาร์เบอร์รี
ATHENS_WORD_CAPITALS_119,Athens,เอเธนส์
PRAGUE_WORD_CAPITALS_119,Prague,ปราก
MADRID_WORD_CAPITALS_119,Madrid,มาดริด
RIYADH_WORD_CAPITALS_119,Riyadh,ริยาด
OTTAWA_WORD_CAPITALS_119,Ottawa,ออตตาวา
ROME_WORD_CAPITALS_119,Rome,โรม
OSLO_WORD_CAPITALS_119,Oslo,ออสโล
CAIRO_WORD_CAPITALS_119,Cairo,ไคโร
POWDER_WORD_MAKEUP_120,Powder,แป้ง
SPONGE_WORD_MAKEUP_120,Sponge,ฟองน้ำ
PALETTE_WORD_MAKEUP_120,Palette,พาเลตต์
SERUM_WORD_MAKEUP_120,Serum,เซรั่ม
PEEL_WORD_MAKEUP_120,Peel,พีล
BLUSH_WORD_MAKEUP_120,Blush,บลัชออน
SAVATE_WORD_COMBAT_121,Savate,ซาวาเต
JUDO_WORD_COMBAT_121,Judo,ยูโด
KARATE_WORD_COMBAT_121,Karate,คาราเต้
KUNG_FU_WORD_COMBAT_121,Kung fu,กังฟู
SUMO_WORD_COMBAT_121,Sumo,ซูโม่
SILAT_WORD_COMBAT_121,Silat,ซีลัต
CHORDS_WORD_GUITAR_122,Chords,คอร์ด
PICKUPS_WORD_GUITAR_122,Pickups,ปิ๊กอัพ
STRINGS_WORD_GUITAR_122,Strings,สาย
RIFFS_WORD_GUITAR_122,Riffs,ริฟฟ์
POINTE_WORD_BALLET_125,Pointe,ปวงต์
TUTU_WORD_BALLET_125,Tutu,ทูทู่
BARRE_WORD_BALLET_125,Barre,บาร์
ALLIANCE_WORD_UNITE_126,Alliance,พันธมิตร
LEAGUE_WORD_UNITE_126,League,สันนิบาต
UNION_WORD_UNITE_126,Union,สหภาพ
JEWELRY_WORD_LUXURY_133,Jewelry,เครื่องเพชร
WATCH_WORD_LUXURY_133,Watch,นาฬิกา
CAVIAR_WORD_LUXURY_133,Caviar,คาเวียร์
YACHT_WORD_LUXURY_133,Yacht,เรือยอร์ช
SAVANNA_WORD_BIOMES_135,Savanna,ทุ่งหญ้าสะวันนา
TUNDRA_WORD_BIOMES_135,Tundra,ทุนดรา
TAIGA_WORD_BIOMES_135,Taiga,ไทกา
SRIRACHA_WORD_SPICY_136,Sriracha,ศรีราชา
WASABI_WORD_SPICY_136,Wasabi,วาซาบิ
HABANERO_WORD_SPICY_136,Habanero,ฮาบาเนโร
COCKPIT_WORD_PLANE_139,Cockpit,ห้องนักบิน
SEATBELT_WORD_PLANE_139,Seatbelt,เข็มขัดนิรภัย
WINGS_WORD_PLANE_139,Wings,ปีก
ENGINE_WORD_PLANE_139,Engine,เครื่องยนต์
RUDDER_WORD_PLANE_139,Rudder,หางเสือ
FUSELAGE_WORD_PLANE_139,Fuselage,ลำตัว
AILERON_WORD_PLANE_139,Aileron,ปีกเสริม
FLY_WORD_PLANE_139,Fly,บิน
BEAVER_WORD_RODENTS_141,Beaver,บีเวอร์
MARMOT_WORD_RODENTS_141,Marmot,มาร์มอต
NUTRIA_WORD_RODENTS_141,Nutria,นูเทรีย
SQUIRREL_WORD_RODENTS_141,Squirrel,กระรอก
CAPYBARA_WORD_RODENTS_141,Capybara,คาปิบารา
RAT_WORD_RODENTS_141,Rat,หนู
SOLAR_WORD_ENERGY_145,Solar,พลังแสงอาทิตย์
NUCLEAR_WORD_ENERGY_145,Nuclear,นิวเคลียร์
KINETIC_WORD_ENERGY_145,Kinetic,จลน์
THERMAL_WORD_ENERGY_145,Thermal,ความร้อน
ESSAY_WORD_ARTICLES_147,Essay,เรียงความ
REVIEW_WORD_ARTICLES_147,Review,บทวิจารณ์
OPINION_WORD_ARTICLES_147,Opinion,ความเห็น
TSUNAMI_WORD_DISASTER_148,Tsunami,สึนามิ
TORNADO_WORD_DISASTER_148,Tornado,ทอร์นาโด
FLOOD_WORD_DISASTER_148,Flood,น้ำท่วม
GORILLA_WORD_PRIMATES_149,Gorilla,กอริลลา
GIBBON_WORD_PRIMATES_149,Gibbon,ชะนี
BABOON_WORD_PRIMATES_149,Baboon,บาบูน
LEMUR_WORD_PRIMATES_149,Lemur,ลีเมอร์
MACAQUE_WORD_PRIMATES_149,Macaque,ลิงแสม
SIMIAN_WORD_PRIMATES_149,Simian,วานร
MANDRILL_WORD_PRIMATES_149,Mandrill,แมนดริล
TARSIER_WORD_PRIMATES_149,Tarsier,ทาร์เซียร์
PYTHON_WORD_CODING_150,Python,ไพทอน
JAVA_WORD_CODING_150,Java,จาวา
RUBY_WORD_CODING_150,Ruby,รูบี้
SWIFT_WORD_CODING_150,Swift,สวิฟท์
SCRIPT_WORD_CODING_150,Script,สคริปต์
PHP_WORD_CODING_150,PHP,พีเอชพี
SQL_WORD_CODING_150,SQL,เอสคิวแอล
BUGS_WORD_CODING_150,Bugs,บั๊ก
LYRICS_WORD_RAP_151,Lyrics,เนื้อเพลง
VERSE_WORD_RAP_151,Verse,บทกลอน
RHYME_WORD_RAP_151,Rhyme,สัมผัส
PUNCH_WORD_RAP_151,Punch,พันช์ไลน์
NIAGARA_WORD_WATER_152,Niagara,ไนแอการา
VICTORIA_WORD_WATER_152,Victoria,วิกตอเรีย
YOSEMITE_WORD_WATER_152,Yosemite,โยเซมิตี
HAVASU_WORD_WATER_152,Havasu,ฮาวาซู
YO_YO_WORD_TOYS_154,Yo-yo,โยโย่
SPINNER_WORD_TOYS_154,Spinner,สปินเนอร์
DOLL_WORD_TOYS_154,Doll,ตุ๊กตา
SERGEANT_WORD_ARMY_156,Sergeant,จ่า
MAJOR_WORD_ARMY_156,Major,พันตรี
GENERAL_WORD_ARMY_156,General,นายพล
COLONEL_WORD_ARMY_156,Colonel,พันเอก
PRIVATE_WORD_ARMY_156,Private,พลทหาร
CORPORAL_WORD_ARMY_156,Corporal,สิบตรี
CAPTAIN_WORD_ARMY_156,Captain,ร้อยเอก
RANK_WORD_ARMY_156,Rank,ยศ
ZEN_WORD_MEDITATE_160,Zen,เซน
BREATH_WORD_MEDITATE_160,Breath,ลมหายใจ
PEACE_WORD_MEDITATE_160,Peace,สันติ
MANTRA_WORD_MEDITATE_160,Mantra,มนตรา
FAMOUS_WORD_FAME_161,Famous,มีชื่อเสียง
ICONIC_WORD_FAME_161,Iconic,เป็นสัญลักษณ์
POPULAR_WORD_FAME_161,Popular,เป็นที่นิยม
RENOWN_WORD_FAME_161,Renown,กิตติศัพท์
SYNTAX_WORD_LINGUIST_162,Syntax,วากยสัมพันธ์
POLYGLOT_WORD_LINGUIST_162,Polyglot,ผู้รู้หลายภาษา
GRAMMAR_WORD_LINGUIST_162,Grammar,ไวยากรณ์
SCHOLAR_WORD_LINGUIST_162,Scholar,นักวิชาการ
EASTER_WORD_HOLIDAY_163,Easter,อีสเตอร์
NEW_YEAR_WORD_HOLIDAY_163,New Year,ปีใหม่
FLAG_DAY_WORD_HOLIDAY_163,Flag Day,วันธงชาติ
DUMBBELL_WORD_GYM_164,Dumbbell,ดัมเบล
BARBELL_WORD_GYM_164,Barbell,บาร์เบล
AIR_BIKE_WORD_GYM_164,Air bike,แอร์ไบค์
PERICLES_WORD_WILLIAM_165,Pericles,เพริคลีส
MACBETH_WORD_WILLIAM_165,Macbeth,แม็คเบ็ธ
HAMLET_WORD_WILLIAM_165,Hamlet,แฮมเล็ต
OTHELLO_WORD_WILLIAM_165,Othello,โอเทลโล
JULIET_WORD_WILLIAM_165,Juliet,จูเลียต
ROMEO_WORD_WILLIAM_165,Romeo,โรมิโอ
TEMPEST_WORD_WILLIAM_165,Tempest,พายุ
HENRY_V_WORD_WILLIAM_165,Henry V,เฮนรี่ที่ 5
WOLF_WORD_CANINES_168,Wolf,หมาป่า
COYOTE_WORD_CANINES_168,Coyote,โคโยตี้
DINGO_WORD_CANINES_168,Dingo,ดิงโก
JACKAL_WORD_CANINES_168,Jackal,หมาจิ้งจอก
FOX_WORD_CANINES_168,Fox,สุนัขจิ้งจอก
DHOLE_WORD_CANINES_168,Dhole,หมาใน
HARVARD_WORD_STUDIES_169,Harvard,ฮาร์วาร์ด
STANFORD_WORD_STUDIES_169,Stanford,สแตนฟอร์ด
OXFORD_WORD_STUDIES_169,Oxford,อ็อกซ์ฟอร์ด
YALE_WORD_STUDIES_169,Yale,เยล
SORBONNE_WORD_STUDIES_169,Sorbonne,ซอร์บอนน์
MIT_WORD_STUDIES_169,MIT,เอ็มไอที
LEMON_WORD_CITRUS_173,Lemon,เลมอน
LIME_WORD_CITRUS_173,Lime,มะนาว
POMELO_WORD_CITRUS_173,Pomelo,ส้มโอ
GLIDER_WORD_AIRCRAFT_174,Glider,เครื่องร่อน
JETLINER_WORD_AIRCRAFT_174,Jetliner,เครื่องบินเจ็ต
AIRPLANE_WORD_AIRCRAFT_174,Airplane,เครื่องบิน
MERLOT_WORD_GRAPE_177,Merlot,เมอร์โลต์
RIESLING_WORD_GRAPE_177,Riesling,รีสลิง
SHIRAZ_WORD_GRAPE_177,Shiraz,ชีราซ
GRENACHE_WORD_GRAPE_177,Grenache,เกรนาช
MUSCAT_WORD_GRAPE_177,Muscat,มัสคัท
MALBEC_WORD_GRAPE_177,Malbec,มัลเบ็ค
AMANITA_WORD_MUSHROOM_178,Amanita,อะมานิตา
PORCINI_WORD_MUSHROOM_178,Porcini,พอร์ชินี
RUSSULA_WORD_MUSHROOM_178,Russula,รัสซูลา
TRUFFLE_WORD_MUSHROOM_178,Truffle,ทรัฟเฟิล
ENOKI_WORD_MUSHROOM_178,Enoki,เห็ดเข็มทอง
SHIITAKE_WORD_MUSHROOM_178,Shiitake,เห็ดหอม
WALRUS_WORD_ARCTIC_180,Walrus,วอลรัส
POLAR_BEAR_WORD_ARCTIC_180,Polar bear,หมีขั้วโลก
SNOWY_OWL_WORD_ARCTIC_180,Snowy owl,นกฮูกหิมะ
REINDEER_WORD_ARCTIC_180,Reindeer,กวางเรนเดียร์
PIT_STOP_WORD_RACING_182,Pit stop,พิตสต็อป
FINISH_WORD_RACING_182,Finish,เส้นชัย
SPEEDWAY_WORD_RACING_182,Speedway,สปีดเวย์
ASSIST_WORD_HELP_183,Assist,ช่วยเหลือ
SUPPORT_WORD_HELP_183,Support,สนับสนุน
DONATE_WORD_HELP_183,Donate,บริจาค
OPAL_WORD_GEMSTONE_186,Opal,โอปอล
RUBY_WORD_GEMSTONE_186,Ruby,ทับทิม
TOPAZ_WORD_GEMSTONE_186,Topaz,บุษราคัม
SAPPHIRE_WORD_GEMSTONE_186,Sapphire,ไพลิน
GARNET_WORD_GEMSTONE_186,Garnet,โกเมน
