id,basic_card_name_en,de-DE
PRINTER_WORD_DEVICE_38,Printer,Drucker
FAX_WORD_DEVICE_38,Fax,Fax
HEATER_WORD_DEVICE_38,Heater,Heizung
MANSION_WORD_HOUSE_40,Mansion,Herrenhaus
PALACE_WORD_HOUSE_40,Palace,Palast
VILLA_WORD_HOUSE_40,Villa,Villa
PILOT_WORD_JOBS_42,Pilot,Pilot
MAILMAN_WORD_JOBS_42,Mailman,Briefträger
DOCTOR_WORD_JOBS_42,Doctor,Arzt
WELDER_WORD_JOBS_42,Welder,Schweißer
ENGINEER_WORD_JOBS_42,Engineer,Ingenieur
PLUMBER_WORD_JOBS_42,Plumber,Klempner
ACTOR_WORD_JOBS_42,Actor,Schauspieler
NURSE_WORD_JOBS_42,Nurse,Krankenpfleger
SANDALS_WORD_FOOTWEAR_46,Sandals,Sandalen
UGGS_WORD_FOOTWEAR_46,Uggs,Uggs
SLIPPERS_WORD_FOOTWEAR_46,Slippers,Hausschuhe
CLOGS_WORD_FOOTWEAR_46,Clogs,Clogs
LOAFERS_WORD_FOOTWEAR_46,Loafers,Slipper
SNEAKERS_WORD_FOOTWEAR_46,Sneakers,Sneaker
CAR_WORD_DRIVING_49,Car,Auto
ROAD_WORD_DRIVING_49,Road,Straße
SIGN_WORD_DRIVING_49,Sign,Schild
TRAFFIC_WORD_DRIVING_49,Traffic,Verkehr
VESPUCCI_WORD_EXPLORER_51,Vespucci,Vespucci
MAGELLAN_WORD_EXPLORER_51,Magellan,Magellan
COLUMBUS_WORD_EXPLORER_51,Columbus,Kolumbus
KICK_WORD_MOVEMENT_52,Kick,Tritt
WALK_WORD_MOVEMENT_52,Walk,Gehen
JUMP_WORD_MOVEMENT_52,Jump,Sprung
SOLID_WORD_PHASE_57,Solid,Fest
LIQUID_WORD_PHASE_57,Liquid,Flüssig
GAS_WORD_PHASE_57,Gas,Gas
COMFY_WORD_COZY_58,Comfy,Gemütlich
WARM_WORD_COZY_58,Warm,Warm
SNUG_WORD_COZY_58,Snug,Kuschelig
ARIES_WORD_ZODIAC_59,Aries,Widder
TAURUS_WORD_ZODIAC_59,Taurus,Stier
GEMINI_WORD_ZODIAC_59,Gemini,Zwillinge
LEO_WORD_ZODIAC_59,Leo,Löwe
VIRGO_WORD_ZODIAC_59,Virgo,Jungfrau
LIBRA_WORD_ZODIAC_59,Libra,Waage
SCORPIO_WORD_ZODIAC_59,Scorpio,Skorpion
PISCES_WORD_ZODIAC_59,Pisces,Fische
FRIGATE_WORD_SHIP_62,Frigate,Fregatte
CARAVEL_WORD_SHIP_62,Caravel,Karavelle
GALLEON_WORD_SHIP_62,Galleon,Galeone
BRIG_WORD_SHIP_62,Brig,Brigg
TANKER_WORD_SHIP_62,Tanker,Tanker
TUGBOAT_WORD_SHIP_62,Tugboat,Schlepper
STAMP_WORD_MAILMAN_63,Stamp,Briefmarke
ENVELOPE_WORD_MAILMAN_63,Envelope,Umschlag
LETTER_WORD_MAILMAN_63,Letter,Brief
MAIL_WORD_MAILMAN_63,Mail,Post
SEAL_WORD_MAILMAN_63,Seal,Siegel
INK_WORD_MAILMAN_63,Ink,Tinte
BUST_WORD_SCULPT_64,Bust,Büste
FIGURINE_WORD_SCULPT_64,Figurine,Figurine
STATUE_WORD_SCULPT_64,Statue,Statue
MONUMENT_WORD_SCULPT_64,Monument,Monument
ENGLISH_WORD_LANGUAGE_70,English,Englisch
ITALIAN_WORD_LANGUAGE_70,Italian,Italienisch
HINDI_WORD_LANGUAGE_70,Hindi,Hindi
JAPANESE_WORD_LANGUAGE_70,Japanese,Japanisch
HEBREW_WORD_LANGUAGE_70,Hebrew,Hebräisch
DANISH_WORD_LANGUAGE_70,Danish,Dänisch
LATIN_WORD_LANGUAGE_70,Latin,Latein
POLISH_WORD_LANGUAGE_70,Polish,Polnisch
LENS_WORD_CAMERA_73,Lens,Linse
FLASH_WORD_CAMERA_73,Flash,Blitz
ZOOM_WORD_CAMERA_73,Zoom,Zoom
FILTER_WORD_CAMERA_73,Filter,Filter
SHUTTER_WORD_CAMERA_73,Shutter,Verschluss
EXPOSURE_WORD_CAMERA_73,Exposure,Belichtung
MIST_WORD_FOG_76,Mist,Nebel
HAZE_WORD_FOG_76,Haze,Dunst
SMOG_WORD_FOG_76,Smog,Smog
VAPOR_WORD_FOG_76,Vapor,Dampf
SLEET_WORD_SNOW_77,Sleet,Schneeregen
FLAKE_WORD_SNOW_77,Flake,Flocke
ICEBERG_WORD_SNOW_77,Frost,Frost
HEDGEHOG_WORD_SPIKY_78,Hedgehog,Igel
CACTUS_WORD_SPIKY_78,Cactus,Kaktus
DURIAN_WORD_SPIKY_78,Durian,Durian
DOVE_WORD_BIRDS_80,Dove,Taube
EAGLE_WORD_BIRDS_80,Eagle,Adler
SWAN_WORD_BIRDS_80,Swan,Schwan
OWL_WORD_BIRDS_80,Owl,Eule
HERON_WORD_BIRDS_80,Heron,Reiher
ROBIN_WORD_BIRDS_80,Robin,Rotkehlchen
FINCH_WORD_BIRDS_80,Finch,Fink
VULTURE_WORD_BIRDS_80,Vulture,Geier
SARTRE_WORD_MINDS_82,Sartre,Sartre
DANTE_WORD_MINDS_82,Dante,Dante
PLATO_WORD_MINDS_82,Plato,Platon
SOCRATES_WORD_MINDS_82,Socrates,Sokrates
GALILEO_WORD_MINDS_82,Galileo,Galileo
KANT_WORD_MINDS_82,Kant,Kant
PUCK_WORD_HOCKEY_86,Puck,Puck
PENALTY_WORD_HOCKEY_86,Penalty,Strafe
GOAL_WORD_HOCKEY_86,Goal,Tor
RINK_WORD_HOCKEY_86,Rink,Eisbahn
COUPLE_WORD_DATE_87,Couple,Paar
TUXEDO_WORD_DATE_87,Wine,Wein
FLOWERS_WORD_DATE_87,Flowers,Blumen
TEETH_WORD_SAW_88,Teeth,Zähne
BLADE_WORD_SAW_88,Blade,Klinge
NOTCH_WORD_SAW_88,Notch,Kerbe
OLDMAN_WORD_ACTOR_89,Oldman,Oldman
PITT_WORD_ACTOR_89,Pitt,Pitt
EASTWOOD_WORD_ACTOR_89,Eastwood,Eastwood
HANKS_WORD_ACTOR_89,Hanks,Hanks
CROWE_WORD_ACTOR_89,Crowe,Crowe
CRUISE_WORD_ACTOR_89,Cruise,Cruise
DICAPRIO_WORD_ACTOR_89,DiCaprio,DiCaprio
WAHLBERG_WORD_ACTOR_89,Wahlberg,Wahlberg
MERCURY_WORD_PLANET_90,Mercury,Merkur
JUPITER_WORD_PLANET_90,Jupiter,Jupiter
SATURN_WORD_PLANET_90,Saturn,Saturn
URANUS_WORD_PLANET_90,Uranus,Uranus
NEPTUNE_WORD_PLANET_90,Neptune,Neptun
MARS_WORD_PLANET_90,Mars,Mars
EARTH_WORD_PLANET_90,Earth,Erde
VENUS_WORD_PLANET_90,Venus,Venus
BIOLOGY_WORD_LESSONS_94,Biology,Biologie
PHYSICS_WORD_LESSONS_94,Physics,Physik
GEOMETRY_WORD_LESSONS_94,Geometry,Geometrie
ALGEBRA_WORD_LESSONS_94,Algebra,Algebra
HISTORY_WORD_LESSONS_94,History,Geschichte
CALCULUS_WORD_LESSONS_94,Calculus,Analysis
TABLETS_WORD_PILLS_99,Tablets,Tabletten
CAPSULES_WORD_PILLS_99,Capsules,Kapseln
LOZENGES_WORD_PILLS_99,Lozenges,Lutschtabletten
CLOUDS_WORD_RAINY_100,Clouds,Wolken
SHOWERS_WORD_RAINY_100,Showers,Schauer
PUDDLES_WORD_RAINY_100,Puddles,Pfützen
CIABATTA_WORD_BREADS_102,Ciabatta,Ciabatta
BAGUETTE_WORD_BREADS_102,Baguette,Baguette
FOCACCIA_WORD_BREADS_102,Focaccia,Focaccia
PITA_WORD_BREADS_102,Pita,Pita
CHALLAH_WORD_BREADS_102,Challah,Challah
TORTILLA_WORD_BREADS_102,Tortilla,Tortilla
BRIOCHE_WORD_BREADS_102,Brioche,Brioche
AREPA_WORD_BREADS_102,Arepa,Arepa
GYRUS_WORD_BRAIN_106,Gyrus,Gyrus
CORTEX_WORD_BRAIN_106,Cortex,Kortex
LOBE_WORD_BRAIN_106,Lobe,Lappen
HYDROGEN_WORD_ELEMENTS_107,Hydrogen,Wasserstoff
NITROGEN_WORD_ELEMENTS_107,Nitrogen,Stickstoff
SULFUR_WORD_ELEMENTS_107,Sulfur,Schwefel
CARBON_WORD_ELEMENTS_107,Carbon,Kohlenstoff
SODIUM_WORD_ELEMENTS_107,Sodium,Natrium
SILICON_WORD_ELEMENTS_107,Silicon,Silizium
IODINE_WORD_ELEMENTS_107,Iodine,Jod
OXYGEN_WORD_ELEMENTS_107,Oxygen,Sauerstoff
BRIE_WORD_CHEESE_108,Brie,Brie
FETA_WORD_CHEESE_108,Feta,Feta
GOUDA_WORD_CHEESE_108,Gouda,Gouda
CHEDDAR_WORD_CHEESE_108,Cheddar,Cheddar
PARMESAN_WORD_CHEESE_108,Parmesan,Parmesan
RICOTTA_WORD_CHEESE_108,Ricotta,Ricotta
EDAM_WORD_CHEESE_108,Edam,Edamer
DORBLU_WORD_CHEESE_108,Swiss,Schweizer
WORKOUT_WORD_FITNESS_110,Workout,Training
YOGA_WORD_FITNESS_110,Yoga,Yoga
PILATES_WORD_FITNESS_110,Pilates,Pilates
JOGGING_WORD_FITNESS_110,Jogging,Joggen
GYM_WORD_FITNESS_110,Gym,Fitnessstudio
CARDIO_WORD_FITNESS_110,Cardio,Cardio
BICEPS_WORD_MUSCLES_112,Biceps,Bizeps
DELTOIDS_WORD_MUSCLES_112,Deltoids,Deltamuskeln
ABS_WORD_MUSCLES_112,Abs,Bauchmuskeln
TRICEPS_WORD_MUSCLES_112,Triceps,Trizeps
SCARAB_WORD_EGYPT_114,Scarab,Skarabäus
PHARAOH_WORD_EGYPT_114,Pharaoh,Pharao
PAPYRUS_WORD_EGYPT_114,Papyrus,Papyrus
PYRAMID_WORD_EGYPT_114,Pyramid,Pyramide
MULBERRY_WORD_BERRY_116,Mulberry,Maulbeere
BILBERRY_WORD_BERRY_116,Bilberry,Heidelbeere
BARBERRY_WORD_BERRY_116,Barberry,Berberitze
ATHENS_WORD_CAPITALS_119,Athens,Athen
PRAGUE_WORD_CAPITALS_119,Prague,Prag
MADRID_WORD_CAPITALS_119,Madrid,Madrid
RIYADH_WORD_CAPITALS_119,Riyadh,Riad
OTTAWA_WORD_CAPITALS_119,Ottawa,Ottawa
ROME_WORD_CAPITALS_119,Rome,Rom
OSLO_WORD_CAPITALS_119,Oslo,Oslo
CAIRO_WORD_CAPITALS_119,Cairo,Kairo
POWDER_WORD_MAKEUP_120,Powder,Puder
SPONGE_WORD_MAKEUP_120,Sponge,Schwamm
PALETTE_WORD_MAKEUP_120,Palette,Palette
SERUM_WORD_MAKEUP_120,Serum,Serum
PEEL_WORD_MAKEUP_120,Peel,Peeling
BLUSH_WORD_MAKEUP_120,Blush,Rouge
SAVATE_WORD_COMBAT_121,Savate,Savate
JUDO_WORD_COMBAT_121,Judo,Judo
KARATE_WORD_COMBAT_121,Karate,Karate
KUNG_FU_WORD_COMBAT_121,Kung fu,Kung-Fu
SUMO_WORD_COMBAT_121,Sumo,Sumo
SILAT_WORD_COMBAT_121,Silat,Silat
CHORDS_WORD_GUITAR_122,Chords,Akkorde
PICKUPS_WORD_GUITAR_122,Pickups,Tonabnehmer
STRINGS_WORD_GUITAR_122,Strings,Saiten
RIFFS_WORD_GUITAR_122,Riffs,Riffs
POINTE_WORD_BALLET_125,Pointe,Spitze
TUTU_WORD_BALLET_125,Tutu,Tutu
BARRE_WORD_BALLET_125,Barre,Stange
ALLIANCE_WORD_UNITE_126,Alliance,Allianz
LEAGUE_WORD_UNITE_126,League,Liga
UNION_WORD_UNITE_126,Union,Union
JEWELRY_WORD_LUXURY_133,Jewelry,Schmuck
WATCH_WORD_LUXURY_133,Watch,Uhr
CAVIAR_WORD_LUXURY_133,Caviar,Kaviar
YACHT_WORD_LUXURY_133,Yacht,Jacht
SAVANNA_WORD_BIOMES_135,Savanna,Savanne
TUNDRA_WORD_BIOMES_135,Tundra,Tundra
TAIGA_WORD_BIOMES_135,Taiga,Taiga
SRIRACHA_WORD_SPICY_136,Sriracha,Sriracha
WASABI_WORD_SPICY_136,Wasabi,Wasabi
HABANERO_WORD_SPICY_136,Habanero,Habanero
COCKPIT_WORD_PLANE_139,Cockpit,Cockpit
SEATBELT_WORD_PLANE_139,Seatbelt,Sicherheitsgurt
WINGS_WORD_PLANE_139,Wings,Tragflächen
ENGINE_WORD_PLANE_139,Engine,Triebwerk
RUDDER_WORD_PLANE_139,Rudder,Seitenruder
FUSELAGE_WORD_PLANE_139,Fuselage,Rumpf
AILERON_WORD_PLANE_139,Aileron,Querruder
FLY_WORD_PLANE_139,Fly,Fliegen
BEAVER_WORD_RODENTS_141,Beaver,Biber
MARMOT_WORD_RODENTS_141,Marmot,Murmeltier
NUTRIA_WORD_RODENTS_141,Nutria,Nutria
SQUIRREL_WORD_RODENTS_141,Squirrel,Eichhörnchen
CAPYBARA_WORD_RODENTS_141,Capybara,Capybara
RAT_WORD_RODENTS_141,Rat,Ratte
SOLAR_WORD_ENERGY_145,Solar,Solar
NUCLEAR_WORD_ENERGY_145,Nuclear,Nuklear
KINETIC_WORD_ENERGY_145,Kinetic,Kinetisch
THERMAL_WORD_ENERGY_145,Thermal,Thermisch
ESSAY_WORD_ARTICLES_147,Essay,Aufsatz
REVIEW_WORD_ARTICLES_147,Review,Rezension
OPINION_WORD_ARTICLES_147,Opinion,Meinung
TSUNAMI_WORD_DISASTER_148,Tsunami,Tsunami
TORNADO_WORD_DISASTER_148,Tornado,Tornado
FLOOD_WORD_DISASTER_148,Flood,Flut
GORILLA_WORD_PRIMATES_149,Gorilla,Gorilla
GIBBON_WORD_PRIMATES_149,Gibbon,Gibbon
BABOON_WORD_PRIMATES_149,Baboon,Pavian
LEMUR_WORD_PRIMATES_149,Lemur,Lemur
MACAQUE_WORD_PRIMATES_149,Macaque,Makak
SIMIAN_WORD_PRIMATES_149,Simian,Affe
MANDRILL_WORD_PRIMATES_149,Mandrill,Mandrill
TARSIER_WORD_PRIMATES_149,Tarsier,Koboldmaki
PYTHON_WORD_CODING_150,Python,Python
JAVA_WORD_CODING_150,Java,Java
RUBY_WORD_CODING_150,Ruby,Ruby
SWIFT_WORD_CODING_150,Swift,Swift
SCRIPT_WORD_CODING_150,Script,Script
PHP_WORD_CODING_150,PHP,PHP
SQL_WORD_CODING_150,SQL,SQL
BUGS_WORD_CODING_150,Bugs,Bugs
LYRICS_WORD_RAP_151,Lyrics,Texte
VERSE_WORD_RAP_151,Verse,Strophe
RHYME_WORD_RAP_151,Rhyme,Reim
PUNCH_WORD_RAP_151,Punch,Punch
NIAGARA_WORD_WATER_152,Niagara,Niagara
VICTORIA_WORD_WATER_152,Victoria,Victoria
YOSEMITE_WORD_WATER_152,Yosemite,Yosemite
HAVASU_WORD_WATER_152,Havasu,Havasu
YO_YO_WORD_TOYS_154,Yo-yo,Jo-Jo
SPINNER_WORD_TOYS_154,Spinner,Kreisel
DOLL_WORD_TOYS_154,Doll,Puppe
SERGEANT_WORD_ARMY_156,Sergeant,Feldwebel
MAJOR_WORD_ARMY_156,Major,Major
GENERAL_WORD_ARMY_156,General,General
COLONEL_WORD_ARMY_156,Colonel,Oberst
PRIVATE_WORD_ARMY_156,Private,Gefreiter
CORPORAL_WORD_ARMY_156,Corporal,Unteroffizier
CAPTAIN_WORD_ARMY_156,Captain,Hauptmann
RANK_WORD_ARMY_156,Rank,Rang
ZEN_WORD_MEDITATE_160,Zen,Zen
BREATH_WORD_MEDITATE_160,Breath,Atem
PEACE_WORD_MEDITATE_160,Peace,Frieden
MANTRA_WORD_MEDITATE_160,Mantra,Mantra
FAMOUS_WORD_FAME_161,Famous,Berühmt
ICONIC_WORD_FAME_161,Iconic,Ikonisch
POPULAR_WORD_FAME_161,Popular,Beliebt
RENOWN_WORD_FAME_161,Renown,Ruhm
SYNTAX_WORD_LINGUIST_162,Syntax,Syntax
POLYGLOT_WORD_LINGUIST_162,Polyglot,Polyglott
GRAMMAR_WORD_LINGUIST_162,Grammar,Grammatik
SCHOLAR_WORD_LINGUIST_162,Scholar,Gelehrter
EASTER_WORD_HOLIDAY_163,Easter,Ostern
NEW_YEAR_WORD_HOLIDAY_163,New Year,Neujahr
FLAG_DAY_WORD_HOLIDAY_163,Flag Day,Tag der Flagge
DUMBBELL_WORD_GYM_164,Dumbbell,Kurzhantel
BARBELL_WORD_GYM_164,Barbell,Langhantel
AIR_BIKE_WORD_GYM_164,Air bike,Air-Bike
PERICLES_WORD_WILLIAM_165,Pericles,Perikles
MACBETH_WORD_WILLIAM_165,Macbeth,Macbeth
HAMLET_WORD_WILLIAM_165,Hamlet,Hamlet
OTHELLO_WORD_WILLIAM_165,Othello,Othello
JULIET_WORD_WILLIAM_165,Juliet,Julia
ROMEO_WORD_WILLIAM_165,Romeo,Romeo
TEMPEST_WORD_WILLIAM_165,Tempest,Sturm
HENRY_V_WORD_WILLIAM_165,Henry V,Heinrich V.
WOLF_WORD_CANINES_168,Wolf,Wolf
COYOTE_WORD_CANINES_168,Coyote,Kojote
DINGO_WORD_CANINES_168,Dingo,Dingo
JACKAL_WORD_CANINES_168,Jackal,Schakal
FOX_WORD_CANINES_168,Fox,Fuchs
DHOLE_WORD_CANINES_168,Dhole,Rothund
HARVARD_WORD_STUDIES_169,Harvard,Harvard
STANFORD_WORD_STUDIES_169,Stanford,Stanford
OXFORD_WORD_STUDIES_169,Oxford,Oxford
YALE_WORD_STUDIES_169,Yale,Yale
SORBONNE_WORD_STUDIES_169,Sorbonne,Sorbonne
MIT_WORD_STUDIES_169,MIT,MIT
LEMON_WORD_CITRUS_173,Lemon,Zitrone
LIME_WORD_CITRUS_173,Lime,Limette
POMELO_WORD_CITRUS_173,Pomelo,Pomelo
GLIDER_WORD_AIRCRAFT_174,Glider,Segelflugzeug
JETLINER_WORD_AIRCRAFT_174,Jetliner,Düsenflugzeug
AIRPLANE_WORD_AIRCRAFT_174,Airplane,Flugzeug
MERLOT_WORD_GRAPE_177,Merlot,Merlot
RIESLING_WORD_GRAPE_177,Riesling,Riesling
SHIRAZ_WORD_GRAPE_177,Shiraz,Shiraz
GRENACHE_WORD_GRAPE_177,Grenache,Grenache
MUSCAT_WORD_GRAPE_177,Muscat,Muskat
MALBEC_WORD_GRAPE_177,Malbec,Malbec
AMANITA_WORD_MUSHROOM_178,Amanita,Knollenblätterpilz
PORCINI_WORD_MUSHROOM_178,Porcini,Steinpilz
RUSSULA_WORD_MUSHROOM_178,Russula,Täubling
TRUFFLE_WORD_MUSHROOM_178,Truffle,Trüffel
ENOKI_WORD_MUSHROOM_178,Enoki,Enoki
SHIITAKE_WORD_MUSHROOM_178,Shiitake,Shiitake
WALRUS_WORD_ARCTIC_180,Walrus,Walross
POLAR_BEAR_WORD_ARCTIC_180,Polar bear,Eisbär
SNOWY_OWL_WORD_ARCTIC_180,Snowy owl,Schneeeule
REINDEER_WORD_ARCTIC_180,Reindeer,Rentier
PIT_STOP_WORD_RACING_182,Pit stop,Boxenstopp
FINISH_WORD_RACING_182,Finish,Ziel
SPEEDWAY_WORD_RACING_182,Speedway,Speedway
ASSIST_WORD_HELP_183,Assist,Hilfe
SUPPORT_WORD_HELP_183,Support,Unterstützung
DONATE_WORD_HELP_183,Donate,Spenden
OPAL_WORD_GEMSTONE_186,Opal,Opal
RUBY_WORD_GEMSTONE_186,Ruby,Rubin
TOPAZ_WORD_GEMSTONE_186,Topaz,Topas
SAPPHIRE_WORD_GEMSTONE_186,Sapphire,Saphir
GARNET_WORD_GEMSTONE_186,Garnet,Granat
DIAMOND_WORD_GEMSTONE_186,Diamond,Diamant
ONYX_WORD_GEMSTONE_186,Onyx,Onyx
AGATE_WORD_GEMSTONE_186,Agate,Achat
ORION_WORD_PATTERN_188,Orion,Orion
PERSEUS_WORD_PATTERN_188,Perseus,Perseus
DRACO_WORD_PATTERN_188,Draco,Draco
SCORPIUS_WORD_PATTERN_188,Scorpius,Skorpion
CYGNUS_WORD_PATTERN_188,Cygnus,Schwan
SERPENS_WORD_PATTERN_188,Serpens,Schlange
GASOLINE_WORD_FUELS_190,Gasoline,Benzin
DIESEL_WORD_FUELS_190,Diesel,Diesel
COAL_WORD_FUELS_190,Coal,Kohle
PROPANE_WORD_FUELS_190,Propane,Propan
KEROSENE_WORD_FUELS_190,Kerosene,Kerosin
VOTER_WORD_ELECT_193,Voter,Wähler
BALLOT_WORD_ELECT_193,Ballot,Stimmzettel
CAMPAIGN_WORD_ELECT_193,Campaign,Wahlkampf
TURNOUT_WORD_ELECT_193,Turnout,Wahlbeteiligung
KING_WORD_CROWN_194,King,König
EMPEROR_WORD_CROWN_194,Emperor,Kaiser
MAHARAJA_WORD_CROWN_194,Maharaja,Maharadscha
KENNEDY_WORD_LEADER_196,Washington,Washington
CLINTON_WORD_LEADER_196,Jefferson,Jefferson
LINCOLN_WORD_LEADER_196,Lincoln,Lincoln
REAGAN_WORD_LEADER_196,Roosevelt,Roosevelt
BUSH_WORD_LEADER_196,Wilson,Wilson
OBAMA_WORD_LEADER_196,Jackson,Jackson
ADAMS_WORD_LEADER_196,Adams,Adams
BIDEN_WORD_LEADER_196,Madison,Madison
SOFT_BUN_WORD_HOT_DOG_201,Soft bun,Weiches Brötchen
SAUSAGE_WORD_HOT_DOG_201,Sausage,Würstchen
KETCHUP_WORD_HOT_DOG_201,Ketchup,Ketchup
DECODE_WORD_CIPHER_208,Decode,Entschlüsseln
ENCODE_WORD_CIPHER_208,Encode,Verschlüsseln
KEYWORD_WORD_CIPHER_208,Keyword,Schlüsselwort
PASSWORD_WORD_CIPHER_208,Password,Passwort
HARMONY_WORD_SYMPHONY_210,Harmony,Harmonie
OVERTURE_WORD_SYMPHONY_210,Overture,Ouvertüre
MELODY_WORD_SYMPHONY_210,Melody,Melodie
PHOTO_WORD_ARTWORKS_211,Photo,Foto
DRAWING_WORD_ARTWORKS_211,Drawing,Zeichnung
PAINTING_WORD_ARTWORKS_211,Painting,Gemälde
HAMMER_WORD_AUCTION_215,Hammer,Hammer
LOT_WORD_AUCTION_215,Lot,Los
BID_WORD_AUCTION_215,Bid,Gebot
PRICE_WORD_AUCTION_215,Price,Preis
CATALOG_WORD_AUCTION_215,Catalog,Katalog
BIDDER_WORD_AUCTION_215,Bidder,Bieter
EXCELSA_WORD_BEANS_219,Excelsa,Excelsa
