id,basic_card_name_en,pt-BR
BARBADOS_WORD_ISLANDS_21,Barbados,Barbados
RUMBA_WORD_DANCES_24,Rumba,Rumba
TANGO_WORD_DANCES_24,Tango,Tango
SALSA_WORD_DANCES_24,Salsa,Salsa
WALTZ_WORD_DANCES_24,Waltz,Valsa
SAMBA_WORD_DANCES_24,Samba,Samba
FLAMENCO_WORD_DANCES_24,Flamenco,Flamenco
MOSQUITO_WORD_INSECTS_25,Mosquito,Mosquito
LADYBUG_WORD_INSECTS_25,Ladybug,Joaninha
MOTH_WORD_INSECTS_25,Moth,Mariposa
WASP_WORD_INSECTS_25,Wasp,Vespa
DRAGONFLY_WORD_INSECTS_25,Dragonfly,Libélula
ANT_WORD_INSECTS_25,Ant,Formiga
METAL_WORD_MATERIAL_27,Metal,Metal
GLASS_WORD_MATERIAL_27,Glass,Vidro
PLASTIC_WORD_MATERIAL_27,Plastic,Plástico
STONE_WORD_MATERIAL_27,Stone,Pedra
TERMINAL_WORD_AIRPORT_29,Terminal,Terminal
RUNWAY_WORD_AIRPORT_29,Runway,Pista
GATE_WORD_AIRPORT_29,Gate,Portão
CREAM_WORD_DAIRY_30,Cream,Creme
BUTTER_WORD_DAIRY_30,Butter,Manteiga
YOGURT_WORD_DAIRY_30,Yogurt,Iogurte
GOLDFISH_WORD_FISH_31,Goldfish,Peixe-dourado
TUNA_WORD_FISH_31,Tuna,Atum
MARLIN_WORD_FISH_31,Marlin,Marlim
SARDINE_WORD_FISH_31,Sardine,Sardinha
EEL_WORD_FISH_31,Eel,Enguia
MACKEREL_WORD_FISH_31,Mackerel,Cavala
GROUPER_WORD_FISH_31,Grouper,Garoupa
PERCH_WORD_FISH_31,Perch,Perca
ITALY_WORD_MAP_32,Italy,Itália
INDIA_WORD_MAP_32,India,Índia
AUSTRALIA_WORD_MAP_32,Australia,Austrália
FRANCE_WORD_MAP_32,France,França
USA_WORD_MAP_32,USA,EUA
UK_WORD_MAP_32,UK,R.U.
CYPRUS_WORD_MAP_32,Cyprus,Chipre
JAPAN_WORD_MAP_32,Japan,Japão
ARMOR_WORD_KNIGHT_34,Armor,Armadura
HELMET_WORD_KNIGHT_34,Helmet,Elmo
SHIELD_WORD_KNIGHT_34,Shield,Escudo
WEAPON_WORD_KNIGHT_34,Weapon,Arma
DESTRIER_WORD_KNIGHT_34,Destrier,Destreiro
CHIVALRY_WORD_KNIGHT_34,Chivalry,Cavalaria
SHOOTER_WORD_GAMER_36,Shooter,Tiro
ARCADE_WORD_GAMER_36,Arcade,Arcade
STRATEGY_WORD_GAMER_36,Strategy,Estratégia
SCORE_WORD_GAMER_36,Score,Pontuação
DRYER_WORD_DEVICE_38,Dryer,Secadora
PRINTER_WORD_DEVICE_38,Printer,Impressora
FAX_WORD_DEVICE_38,Fax,Fax
HEATER_WORD_DEVICE_38,Heater,Aquecedor
MANSION_WORD_HOUSE_40,Mansion,Mansão
PALACE_WORD_HOUSE_40,Palace,Palácio
VILLA_WORD_HOUSE_40,Villa,Vila
PILOT_WORD_JOBS_42,Pilot,Piloto
MAILMAN_WORD_JOBS_42,Mailman,Carteiro
DOCTOR_WORD_JOBS_42,Doctor,Médico
WELDER_WORD_JOBS_42,Welder,Soldador
ENGINEER_WORD_JOBS_42,Engineer,Engenheiro
PLUMBER_WORD_JOBS_42,Plumber,Encanador
ACTOR_WORD_JOBS_42,Actor,Ator
NURSE_WORD_JOBS_42,Nurse,Enfermeira
SANDALS_WORD_FOOTWEAR_46,Sandals,Sandálias
UGGS_WORD_FOOTWEAR_46,Uggs,Uggs
SLIPPERS_WORD_FOOTWEAR_46,Slippers,Chinelos
CLOGS_WORD_FOOTWEAR_46,Clogs,Tamancos
LOAFERS_WORD_FOOTWEAR_46,Loafers,Mocassins
SNEAKERS_WORD_FOOTWEAR_46,Sneakers,Tênis
CAR_WORD_DRIVING_49,Car,Carro
ROAD_WORD_DRIVING_49,Road,Estrada
SIGN_WORD_DRIVING_49,Sign,Placa
TRAFFIC_WORD_DRIVING_49,Traffic,Trânsito
VESPUCCI_WORD_EXPLORER_51,Vespucci,Vespúcio
MAGELLAN_WORD_EXPLORER_51,Magellan,Magalhães
COLUMBUS_WORD_EXPLORER_51,Columbus,Colombo
KICK_WORD_MOVEMENT_52,Kick,Chute
WALK_WORD_MOVEMENT_52,Walk,Andar
JUMP_WORD_MOVEMENT_52,Jump,Pular
SOLID_WORD_PHASE_57,Solid,Sólido
LIQUID_WORD_PHASE_57,Liquid,Líquido
GAS_WORD_PHASE_57,Gas,Gás
COMFY_WORD_COZY_58,Comfy,Confortável
WARM_WORD_COZY_58,Warm,Quente
SNUG_WORD_COZY_58,Snug,Aconchegante
ARIES_WORD_ZODIAC_59,Aries,Áries
TAURUS_WORD_ZODIAC_59,Taurus,Touro
GEMINI_WORD_ZODIAC_59,Gemini,Gêmeos
LEO_WORD_ZODIAC_59,Leo,Leão
VIRGO_WORD_ZODIAC_59,Virgo,Virgem
LIBRA_WORD_ZODIAC_59,Libra,Libra
SCORPIO_WORD_ZODIAC_59,Scorpio,Escorpião
PISCES_WORD_ZODIAC_59,Pisces,Peixes
FRIGATE_WORD_SHIP_62,Frigate,Fragata
CARAVEL_WORD_SHIP_62,Caravel,Caravela
GALLEON_WORD_SHIP_62,Galleon,Galeão
BRIG_WORD_SHIP_62,Brig,Brigue
TANKER_WORD_SHIP_62,Tanker,Petroleiro
TUGBOAT_WORD_SHIP_62,Tugboat,Rebocador
STAMP_WORD_MAILMAN_63,Stamp,Selo
ENVELOPE_WORD_MAILMAN_63,Envelope,Envelope
LETTER_WORD_MAILMAN_63,Letter,Carta
MAIL_WORD_MAILMAN_63,Mail,Correio
SEAL_WORD_MAILMAN_63,Seal,Lacre
INK_WORD_MAILMAN_63,Ink,Tinta
BUST_WORD_SCULPT_64,Bust,Busto
FIGURINE_WORD_SCULPT_64,Figurine,Estatueta
STATUE_WORD_SCULPT_64,Statue,Estátua
MONUMENT_WORD_SCULPT_64,Monument,Monumento
ENGLISH_WORD_LANGUAGE_70,English,Inglês
ITALIAN_WORD_LANGUAGE_70,Italian,Italiano
HINDI_WORD_LANGUAGE_70,Hindi,Hindi
JAPANESE_WORD_LANGUAGE_70,Japanese,Japonês
HEBREW_WORD_LANGUAGE_70,Hebrew,Hebraico
DANISH_WORD_LANGUAGE_70,Danish,Dinamarquês
LATIN_WORD_LANGUAGE_70,Latin,Latim
POLISH_WORD_LANGUAGE_70,Polish,Polonês
LENS_WORD_CAMERA_73,Lens,Lente
FLASH_WORD_CAMERA_73,Flash,Flash
ZOOM_WORD_CAMERA_73,Zoom,Zoom
FILTER_WORD_CAMERA_73,Filter,Filtro
SHUTTER_WORD_CAMERA_73,Shutter,Obturador
EXPOSURE_WORD_CAMERA_73,Exposure,Exposição
MIST_WORD_FOG_76,Mist,Neblina
HAZE_WORD_FOG_76,Haze,Bruma
SMOG_WORD_FOG_76,Smog,Poluição
VAPOR_WORD_FOG_76,Vapor,Vapor
SLEET_WORD_SNOW_77,Sleet,Granizo
FLAKE_WORD_SNOW_77,Flake,Floco
ICEBERG_WORD_SNOW_77,Frost,Geada
HEDGEHOG_WORD_SPIKY_78,Hedgehog,Ouriço
CACTUS_WORD_SPIKY_78,Cactus,Cacto
DURIAN_WORD_SPIKY_78,Durian,Durião
DOVE_WORD_BIRDS_80,Dove,Pomba
EAGLE_WORD_BIRDS_80,Eagle,Águia
SWAN_WORD_BIRDS_80,Swan,Cisne
OWL_WORD_BIRDS_80,Owl,Coruja
HERON_WORD_BIRDS_80,Heron,Garça
ROBIN_WORD_BIRDS_80,Robin,Pintarroxo
FINCH_WORD_BIRDS_80,Finch,Tentilhão
VULTURE_WORD_BIRDS_80,Vulture,Abutre
SARTRE_WORD_MINDS_82,Sartre,Sartre
DANTE_WORD_MINDS_82,Dante,Dante
PLATO_WORD_MINDS_82,Plato,Platão
SOCRATES_WORD_MINDS_82,Socrates,Sócrates
GALILEO_WORD_MINDS_82,Galileo,Galileu
KANT_WORD_MINDS_82,Kant,Kant
PUCK_WORD_HOCKEY_86,Puck,Disco
PENALTY_WORD_HOCKEY_86,Penalty,Penalidade
GOAL_WORD_HOCKEY_86,Goal,Gol
RINK_WORD_HOCKEY_86,Rink,Pista
COUPLE_WORD_DATE_87,Couple,Casal
TUXEDO_WORD_DATE_87,Wine,Vinho
FLOWERS_WORD_DATE_87,Flowers,Flores
TEETH_WORD_SAW_88,Teeth,Dentes
BLADE_WORD_SAW_88,Blade,Lâmina
NOTCH_WORD_SAW_88,Notch,Entalhe
OLDMAN_WORD_ACTOR_89,Oldman,Oldman
PITT_WORD_ACTOR_89,Pitt,Pitt
EASTWOOD_WORD_ACTOR_89,Eastwood,Eastwood
HANKS_WORD_ACTOR_89,Hanks,Hanks
CROWE_WORD_ACTOR_89,Crowe,Crowe
CRUISE_WORD_ACTOR_89,Cruise,Cruise
DICAPRIO_WORD_ACTOR_89,DiCaprio,DiCaprio
WAHLBERG_WORD_ACTOR_89,Wahlberg,Wahlberg
MERCURY_WORD_PLANET_90,Mercury,Mercúrio
JUPITER_WORD_PLANET_90,Jupiter,Júpiter
SATURN_WORD_PLANET_90,Saturn,Saturno
URANUS_WORD_PLANET_90,Uranus,Urano
NEPTUNE_WORD_PLANET_90,Neptune,Netuno
MARS_WORD_PLANET_90,Mars,Marte
EARTH_WORD_PLANET_90,Earth,Terra
VENUS_WORD_PLANET_90,Venus,Vênus
BIOLOGY_WORD_LESSONS_94,Biology,Biologia
PHYSICS_WORD_LESSONS_94,Physics,Física
GEOMETRY_WORD_LESSONS_94,Geometry,Geometria
ALGEBRA_WORD_LESSONS_94,Algebra,Álgebra
HISTORY_WORD_LESSONS_94,History,História
CALCULUS_WORD_LESSONS_94,Calculus,Cálculo
TABLETS_WORD_PILLS_99,Tablets,Comprimidos
CAPSULES_WORD_PILLS_99,Capsules,Cápsulas
LOZENGES_WORD_PILLS_99,Lozenges,Pastilhas
CLOUDS_WORD_RAINY_100,Clouds,Nuvens
SHOWERS_WORD_RAINY_100,Showers,Chuvas
PUDDLES_WORD_RAINY_100,Puddles,Poças
CIABATTA_WORD_BREADS_102,Ciabatta,Ciabatta
BAGUETTE_WORD_BREADS_102,Baguette,Baguete
FOCACCIA_WORD_BREADS_102,Focaccia,Focaccia
PITA_WORD_BREADS_102,Pita,Pita
CHALLAH_WORD_BREADS_102,Challah,Chalá
TORTILLA_WORD_BREADS_102,Tortilla,Tortilha
BRIOCHE_WORD_BREADS_102,Brioche,Brioche
AREPA_WORD_BREADS_102,Arepa,Arepa
GYRUS_WORD_BRAIN_106,Gyrus,Giro
CORTEX_WORD_BRAIN_106,Cortex,Córtex
LOBE_WORD_BRAIN_106,Lobe,Lobo
HYDROGEN_WORD_ELEMENTS_107,Hydrogen,Hidrogênio
NITROGEN_WORD_ELEMENTS_107,Nitrogen,Nitrogênio
SULFUR_WORD_ELEMENTS_107,Sulfur,Enxofre
CARBON_WORD_ELEMENTS_107,Carbon,Carbono
SODIUM_WORD_ELEMENTS_107,Sodium,Sódio
SILICON_WORD_ELEMENTS_107,Silicon,Silício
IODINE_WORD_ELEMENTS_107,Iodine,Iodo
OXYGEN_WORD_ELEMENTS_107,Oxygen,Oxigênio
BRIE_WORD_CHEESE_108,Brie,Brie
FETA_WORD_CHEESE_108,Feta,Feta
GOUDA_WORD_CHEESE_108,Gouda,Gouda
CHEDDAR_WORD_CHEESE_108,Cheddar,Cheddar
PARMESAN_WORD_CHEESE_108,Parmesan,Parmesão
RICOTTA_WORD_CHEESE_108,Ricotta,Ricota
EDAM_WORD_CHEESE_108,Edam,Edam
DORBLU_WORD_CHEESE_108,Swiss,Suíço
WORKOUT_WORD_FITNESS_110,Workout,Treino
YOGA_WORD_FITNESS_110,Yoga,Ioga
PILATES_WORD_FITNESS_110,Pilates,Pilates
JOGGING_WORD_FITNESS_110,Jogging,Corrida
GYM_WORD_FITNESS_110,Gym,Academia
CARDIO_WORD_FITNESS_110,Cardio,Cardio
BICEPS_WORD_MUSCLES_112,Biceps,Bíceps
DELTOIDS_WORD_MUSCLES_112,Deltoids,Deltoides
ABS_WORD_MUSCLES_112,Abs,Abdominais
TRICEPS_WORD_MUSCLES_112,Triceps,Tríceps
SCARAB_WORD_EGYPT_114,Scarab,Escaravelho
PHARAOH_WORD_EGYPT_114,Pharaoh,Faraó
PAPYRUS_WORD_EGYPT_114,Papyrus,Papiro
PYRAMID_WORD_EGYPT_114,Pyramid,Pirâmide
MULBERRY_WORD_BERRY_116,Mulberry,Amora
BILBERRY_WORD_BERRY_116,Bilberry,Mirtilo
BARBERRY_WORD_BERRY_116,Barberry,Bérberis
ATHENS_WORD_CAPITALS_119,Athens,Atenas
PRAGUE_WORD_CAPITALS_119,Prague,Praga
MADRID_WORD_CAPITALS_119,Madrid,Madri
RIYADH_WORD_CAPITALS_119,Riyadh,Riade
OTTAWA_WORD_CAPITALS_119,Ottawa,Ottawa
ROME_WORD_CAPITALS_119,Rome,Roma
OSLO_WORD_CAPITALS_119,Oslo,Oslo
CAIRO_WORD_CAPITALS_119,Cairo,Cairo
POWDER_WORD_MAKEUP_120,Powder,Pó
SPONGE_WORD_MAKEUP_120,Sponge,Esponja
PALETTE_WORD_MAKEUP_120,Palette,Paleta
SERUM_WORD_MAKEUP_120,Serum,Sérum
PEEL_WORD_MAKEUP_120,Peel,Esfoliante
BLUSH_WORD_MAKEUP_120,Blush,Blush
SAVATE_WORD_COMBAT_121,Savate,Savate
JUDO_WORD_COMBAT_121,Judo,Judô
KARATE_WORD_COMBAT_121,Karate,Caratê
KUNG_FU_WORD_COMBAT_121,Kung fu,Kung fu
SUMO_WORD_COMBAT_121,Sumo,Sumô
SILAT_WORD_COMBAT_121,Silat,Silat
CHORDS_WORD_GUITAR_122,Chords,Acordes
PICKUPS_WORD_GUITAR_122,Pickups,Captadores
STRINGS_WORD_GUITAR_122,Strings,Cordas
RIFFS_WORD_GUITAR_122,Riffs,Riffs
POINTE_WORD_BALLET_125,Pointe,Pontas
TUTU_WORD_BALLET_125,Tutu,Tutu
BARRE_WORD_BALLET_125,Barre,Barra
ALLIANCE_WORD_UNITE_126,Alliance,Aliança
LEAGUE_WORD_UNITE_126,League,Liga
UNION_WORD_UNITE_126,Union,União
JEWELRY_WORD_LUXURY_133,Jewelry,Joias
WATCH_WORD_LUXURY_133,Watch,Relógio
CAVIAR_WORD_LUXURY_133,Caviar,Caviar
YACHT_WORD_LUXURY_133,Yacht,Iate
SAVANNA_WORD_BIOMES_135,Savanna,Savana
TUNDRA_WORD_BIOMES_135,Tundra,Tundra
TAIGA_WORD_BIOMES_135,Taiga,Taiga
SRIRACHA_WORD_SPICY_136,Sriracha,Sriracha
WASABI_WORD_SPICY_136,Wasabi,Wasabi
HABANERO_WORD_SPICY_136,Habanero,Habanero
COCKPIT_WORD_PLANE_139,Cockpit,Cabine
SEATBELT_WORD_PLANE_139,Seatbelt,Cinto
WINGS_WORD_PLANE_139,Wings,Asas
ENGINE_WORD_PLANE_139,Engine,Motor
RUDDER_WORD_PLANE_139,Rudder,Leme
FUSELAGE_WORD_PLANE_139,Fuselage,Fuselagem
AILERON_WORD_PLANE_139,Aileron,Aileron
FLY_WORD_PLANE_139,Fly,Voar
BEAVER_WORD_RODENTS_141,Beaver,Castor
MARMOT_WORD_RODENTS_141,Marmot,Marmota
NUTRIA_WORD_RODENTS_141,Nutria,Nutria
SQUIRREL_WORD_RODENTS_141,Squirrel,Esquilo
CAPYBARA_WORD_RODENTS_141,Capybara,Capivara
RAT_WORD_RODENTS_141,Rat,Rato
SOLAR_WORD_ENERGY_145,Solar,Solar
NUCLEAR_WORD_ENERGY_145,Nuclear,Nuclear
KINETIC_WORD_ENERGY_145,Kinetic,Cinética
THERMAL_WORD_ENERGY_145,Thermal,Térmica
ESSAY_WORD_ARTICLES_147,Essay,Ensaio
REVIEW_WORD_ARTICLES_147,Review,Resenha
OPINION_WORD_ARTICLES_147,Opinion,Opinião
TSUNAMI_WORD_DISASTER_148,Tsunami,Tsunami
TORNADO_WORD_DISASTER_148,Tornado,Tornado
FLOOD_WORD_DISASTER_148,Flood,Enchente
GORILLA_WORD_PRIMATES_149,Gorilla,Gorila
GIBBON_WORD_PRIMATES_149,Gibbon,Gibão
BABOON_WORD_PRIMATES_149,Baboon,Babuíno
LEMUR_WORD_PRIMATES_149,Lemur,Lêmure
MACAQUE_WORD_PRIMATES_149,Macaque,Macaco
SIMIAN_WORD_PRIMATES_149,Simian,Símio
MANDRILL_WORD_PRIMATES_149,Mandrill,Mandril
TARSIER_WORD_PRIMATES_149,Tarsier,Társio
PYTHON_WORD_CODING_150,Python,Python
JAVA_WORD_CODING_150,Java,Java
RUBY_WORD_CODING_150,Ruby,Ruby
SWIFT_WORD_CODING_150,Swift,Swift
SCRIPT_WORD_CODING_150,Script,Script
PHP_WORD_CODING_150,PHP,PHP
SQL_WORD_CODING_150,SQL,SQL
BUGS_WORD_CODING_150,Bugs,Bugs
LYRICS_WORD_RAP_151,Lyrics,Letras
VERSE_WORD_RAP_151,Verse,Verso
RHYME_WORD_RAP_151,Rhyme,Rima
PUNCH_WORD_RAP_151,Punch,Soco
NIAGARA_WORD_WATER_152,Niagara,Niágara
VICTORIA_WORD_WATER_152,Victoria,Vitória
YOSEMITE_WORD_WATER_152,Yosemite,Yosemite
HAVASU_WORD_WATER_152,Havasu,Havasu
YO_YO_WORD_TOYS_154,Yo-yo,Ioiô
SPINNER_WORD_TOYS_154,Spinner,Pião
DOLL_WORD_TOYS_154,Doll,Boneca
SERGEANT_WORD_ARMY_156,Sergeant,Sargento
MAJOR_WORD_ARMY_156,Major,Major
GENERAL_WORD_ARMY_156,General,General
COLONEL_WORD_ARMY_156,Colonel,Coronel
PRIVATE_WORD_ARMY_156,Private,Soldado
CORPORAL_WORD_ARMY_156,Corporal,Cabo
CAPTAIN_WORD_ARMY_156,Captain,Capitão
RANK_WORD_ARMY_156,Rank,Patente
ZEN_WORD_MEDITATE_160,Zen,Zen
BREATH_WORD_MEDITATE_160,Breath,Respiro
PEACE_WORD_MEDITATE_160,Peace,Paz
MANTRA_WORD_MEDITATE_160,Mantra,Mantra
FAMOUS_WORD_FAME_161,Famous,Famoso
ICONIC_WORD_FAME_161,Iconic,Icônico
POPULAR_WORD_FAME_161,Popular,Popular
RENOWN_WORD_FAME_161,Renown,Renome
SYNTAX_WORD_LINGUIST_162,Syntax,Sintaxe
POLYGLOT_WORD_LINGUIST_162,Polyglot,Poliglota
GRAMMAR_WORD_LINGUIST_162,Grammar,Gramática
SCHOLAR_WORD_LINGUIST_162,Scholar,Erudito
EASTER_WORD_HOLIDAY_163,Easter,Páscoa
NEW_YEAR_WORD_HOLIDAY_163,New Year,Ano Novo
FLAG_DAY_WORD_HOLIDAY_163,Flag Day,Dia da Bandeira
DUMBBELL_WORD_GYM_164,Dumbbell,Haltere
BARBELL_WORD_GYM_164,Barbell,Barra
AIR_BIKE_WORD_GYM_164,Air bike,Bicicleta de ar
PERICLES_WORD_WILLIAM_165,Pericles,Péricles
MACBETH_WORD_WILLIAM_165,Macbeth,Macbeth
HAMLET_WORD_WILLIAM_165,Hamlet,Hamlet
OTHELLO_WORD_WILLIAM_165,Othello,Otelo
JULIET_WORD_WILLIAM_165,Juliet,Julieta
ROMEO_WORD_WILLIAM_165,Romeo,Romeu
TEMPEST_WORD_WILLIAM_165,Tempest,Tempestade
HENRY_V_WORD_WILLIAM_165,Henry V,Henrique V
WOLF_WORD_CANINES_168,Wolf,Lobo
COYOTE_WORD_CANINES_168,Coyote,Coiote
DINGO_WORD_CANINES_168,Dingo,Dingo
JACKAL_WORD_CANINES_168,Jackal,Chacal
FOX_WORD_CANINES_168,Fox,Raposa
DHOLE_WORD_CANINES_168,Dhole,Cão-selvagem
HARVARD_WORD_STUDIES_169,Harvard,Harvard
STANFORD_WORD_STUDIES_169,Stanford,Stanford
OXFORD_WORD_STUDIES_169,Oxford,Oxford
YALE_WORD_STUDIES_169,Yale,Yale
SORBONNE_WORD_STUDIES_169,Sorbonne,Sorbonne
MIT_WORD_STUDIES_169,MIT,MIT
LEMON_WORD_CITRUS_173,Lemon,Limão
LIME_WORD_CITRUS_173,Lime,Lima
POMELO_WORD_CITRUS_173,Pomelo,Pomelo
GLIDER_WORD_AIRCRAFT_174,Glider,Planador
JETLINER_WORD_AIRCRAFT_174,Jetliner,Jato
AIRPLANE_WORD_AIRCRAFT_174,Airplane,Avião
MERLOT_WORD_GRAPE_177,Merlot,Merlot
RIESLING_WORD_GRAPE_177,Riesling,Riesling
SHIRAZ_WORD_GRAPE_177,Shiraz,Shiraz
GRENACHE_WORD_GRAPE_177,Grenache,Grenache
MUSCAT_WORD_GRAPE_177,Muscat,Moscatel
MALBEC_WORD_GRAPE_177,Malbec,Malbec
AMANITA_WORD_MUSHROOM_178,Amanita,Amanita
PORCINI_WORD_MUSHROOM_178,Porcini,Porcini
RUSSULA_WORD_MUSHROOM_178,Russula,Rússula
TRUFFLE_WORD_MUSHROOM_178,Truffle,Trufa
ENOKI_WORD_MUSHROOM_178,Enoki,Enoki
SHIITAKE_WORD_MUSHROOM_178,Shiitake,Shiitake
WALRUS_WORD_ARCTIC_180,Walrus,Morsa
POLAR_BEAR_WORD_ARCTIC_180,Polar bear,Urso polar
SNOWY_OWL_WORD_ARCTIC_180,Snowy owl,Coruja-das-neves
REINDEER_WORD_ARCTIC_180,Reindeer,Rena
PIT_STOP_WORD_RACING_182,Pit stop,Pit stop
FINISH_WORD_RACING_182,Finish,Chegada
SPEEDWAY_WORD_RACING_182,Speedway,Autódromo
ASSIST_WORD_HELP_183,Assist,Assistir
SUPPORT_WORD_HELP_183,Support,Apoiar
DONATE_WORD_HELP_183,Donate,Doar
OPAL_WORD_GEMSTONE_186,Opal,Opala
RUBY_WORD_GEMSTONE_186,Ruby,Rubi
TOPAZ_WORD_GEMSTONE_186,Topaz,Topázio
SAPPHIRE_WORD_GEMSTONE_186,Sapphire,Safira
GARNET_WORD_GEMSTONE_186,Garnet,Granada
DIAMOND_WORD_GEMSTONE_186,Diamond,Diamante
ONYX_WORD_GEMSTONE_186,Onyx,Ônix
AGATE_WORD_GEMSTONE_186,Agate,Ágata
ORION_WORD_PATTERN_188,Orion,Órion
PERSEUS_WORD_PATTERN_188,Perseus,Perseu
DRACO_WORD_PATTERN_188,Draco,Dragão
SCORPIUS_WORD_PATTERN_188,Scorpius,Escorpião
CYGNUS_WORD_PATTERN_188,Cygnus,Cisne
SERPENS_WORD_PATTERN_188,Serpens,Serpente
GASOLINE_WORD_FUELS_190,Gasoline,Gasolina
DIESEL_WORD_FUELS_190,Diesel,Diesel
COAL_WORD_FUELS_190,Coal,Carvão
PROPANE_WORD_FUELS_190,Propane,Propano
KEROSENE_WORD_FUELS_190,Kerosene,Querosene
VOTER_WORD_ELECT_193,Voter,Eleitor
BALLOT_WORD_ELECT_193,Ballot,Cédula
CAMPAIGN_WORD_ELECT_193,Campaign,Campanha
TURNOUT_WORD_ELECT_193,Turnout,Participação
KING_WORD_CROWN_194,King,Rei
EMPEROR_WORD_CROWN_194,Emperor,Imperador
MAHARAJA_WORD_CROWN_194,Maharaja,Marajá
KENNEDY_WORD_LEADER_196,Washington,Washington
CLINTON_WORD_LEADER_196,Jefferson,Jefferson
LINCOLN_WORD_LEADER_196,Lincoln,Lincoln
REAGAN_WORD_LEADER_196,Roosevelt,Roosevelt
BUSH_WORD_LEADER_196,Wilson,Wilson
OBAMA_WORD_LEADER_196,Jackson,Jackson
ADAMS_WORD_LEADER_196,Adams,Adams
BIDEN_WORD_LEADER_196,Madison,Madison
SOFT_BUN_WORD_HOT_DOG_201,Soft bun,Pão macio
SAUSAGE_WORD_HOT_DOG_201,Sausage,Salsicha
KETCHUP_WORD_HOT_DOG_201,Ketchup,Ketchup
DECODE_WORD_CIPHER_208,Decode,Decodificar
ENCODE_WORD_CIPHER_208,Encode,Codificar
KEYWORD_WORD_CIPHER_208,Keyword,Chave
PASSWORD_WORD_CIPHER_208,Password,Senha
HARMONY_WORD_SYMPHONY_210,Harmony,Harmonia
OVERTURE_WORD_SYMPHONY_210,Overture,Abertura
MELODY_WORD_SYMPHONY_210,Melody,Melodia
PHOTO_WORD_ARTWORKS_211,Photo,Foto
DRAWING_WORD_ARTWORKS_211,Drawing,Desenho
PAINTING_WORD_ARTWORKS_211,Painting,Pintura
HAMMER_WORD_AUCTION_215,Hammer,Martelo
LOT_WORD_AUCTION_215,Lot,Lote
BID_WORD_AUCTION_215,Bid,Lance
PRICE_WORD_AUCTION_215,Price,Preço
CATALOG_WORD_AUCTION_215,Catalog,Catálogo
BIDDER_WORD_AUCTION_215,Bidder,Licitante
EXCELSA_WORD_BEANS_219,Excelsa,Excelsa
ROBUSTA_WORD_BEANS_219,Robusta,Robusta
LIBERICA_WORD_BEANS_219,Liberica,Libérica
ARABICA_WORD_BEANS_219,Arabica,Arábica
TENT_WORD_CAMPING_221,Tent,Barraca
CAMPFIRE_WORD_CAMPING_221,Campfire,Fogueira
