id,basic_card_name_en,ru-RU
GAS_WORD_PHASE_57,Gas,Газ
COMFY_WORD_COZY_58,Comfy,Удобный
WARM_WORD_COZY_58,Warm,Тёплый
SNUG_WORD_COZY_58,Snug,Уютный
ARIES_WORD_ZODIAC_59,Aries,Овен
TAURUS_WORD_ZODIAC_59,Taurus,Телец
GEMINI_WORD_ZODIAC_59,Gemini,Близнецы
LEO_WORD_ZODIAC_59,Leo,Лев
VIRGO_WORD_ZODIAC_59,Virgo,Дева
LIBRA_WORD_ZODIAC_59,Libra,Весы
SCORPIO_WORD_ZODIAC_59,Scorpio,Скорпион
PISCES_WORD_ZODIAC_59,Pisces,Рыбы
FRIGATE_WORD_SHIP_62,Frigate,Фрегат
CARAVEL_WORD_SHIP_62,Caravel,Каравелла
GALLEON_WORD_SHIP_62,Galleon,Галеон
BRIG_WORD_SHIP_62,Brig,Бриг
TANKER_WORD_SHIP_62,Tanker,Танкер
TUGBOAT_WORD_SHIP_62,Tugboat,Буксир
STAMP_WORD_MAILMAN_63,Stamp,Марка
ENVELOPE_WORD_MAILMAN_63,Envelope,Конверт
LETTER_WORD_MAILMAN_63,Letter,Письмо
MAIL_WORD_MAILMAN_63,Mail,Почта
SEAL_WORD_MAILMAN_63,Seal,Печать
INK_WORD_MAILMAN_63,Ink,Чернила
BUST_WORD_SCULPT_64,Bust,Бюст
FIGURINE_WORD_SCULPT_64,Figurine,Фигурка
STATUE_WORD_SCULPT_64,Statue,Статуя
MONUMENT_WORD_SCULPT_64,Monument,Монумент
ENGLISH_WORD_LANGUAGE_70,English,Английский
ITALIAN_WORD_LANGUAGE_70,Italian,Итальянский
HINDI_WORD_LANGUAGE_70,Hindi,Хинди
JAPANESE_WORD_LANGUAGE_70,Japanese,Японский
HEBREW_WORD_LANGUAGE_70,Hebrew,Иврит
DANISH_WORD_LANGUAGE_70,Danish,Датский
LATIN_WORD_LANGUAGE_70,Latin,Латынь
POLISH_WORD_LANGUAGE_70,Polish,Польский
LENS_WORD_CAMERA_73,Lens,Объектив
FLASH_WORD_CAMERA_73,Flash,Вспышка
ZOOM_WORD_CAMERA_73,Zoom,Зум
FILTER_WORD_CAMERA_73,Filter,Фильтр
SHUTTER_WORD_CAMERA_73,Shutter,Затвор
EXPOSURE_WORD_CAMERA_73,Exposure,Экспозиция
MIST_WORD_FOG_76,Mist,Туман
HAZE_WORD_FOG_76,Haze,Дымка
SMOG_WORD_FOG_76,Smog,Смог
VAPOR_WORD_FOG_76,Vapor,Пар
SLEET_WORD_SNOW_77,Sleet,Мокрый снег
FLAKE_WORD_SNOW_77,Flake,Снежинка
ICEBERG_WORD_SNOW_77,Frost,Мороз
HEDGEHOG_WORD_SPIKY_78,Hedgehog,Ёж
CACTUS_WORD_SPIKY_78,Cactus,Кактус
DURIAN_WORD_SPIKY_78,Durian,Дуриан
DOVE_WORD_BIRDS_80,Dove,Голубь
EAGLE_WORD_BIRDS_80,Eagle,Орёл
SWAN_WORD_BIRDS_80,Swan,Лебедь
OWL_WORD_BIRDS_80,Owl,Сова
HERON_WORD_BIRDS_80,Heron,Цапля
ROBIN_WORD_BIRDS_80,Robin,Малиновка
FINCH_WORD_BIRDS_80,Finch,Зяблик
VULTURE_WORD_BIRDS_80,Vulture,Стервятник
SARTRE_WORD_MINDS_82,Sartre,Сартр
DANTE_WORD_MINDS_82,Dante,Данте
PLATO_WORD_MINDS_82,Plato,Платон
SOCRATES_WORD_MINDS_82,Socrates,Сократ
GALILEO_WORD_MINDS_82,Galileo,Галилей
KANT_WORD_MINDS_82,Kant,Кант
PUCK_WORD_HOCKEY_86,Puck,Шайба
PENALTY_WORD_HOCKEY_86,Penalty,Штраф
GOAL_WORD_HOCKEY_86,Goal,Гол
RINK_WORD_HOCKEY_86,Rink,Каток
COUPLE_WORD_DATE_87,Couple,Пара
TUXEDO_WORD_DATE_87,Wine,Вино
FLOWERS_WORD_DATE_87,Flowers,Цветы
TEETH_WORD_SAW_88,Teeth,Зубья
BLADE_WORD_SAW_88,Blade,Лезвие
NOTCH_WORD_SAW_88,Notch,Зарубка
OLDMAN_WORD_ACTOR_89,Oldman,Олдман
PITT_WORD_ACTOR_89,Pitt,Питт
EASTWOOD_WORD_ACTOR_89,Eastwood,Иствуд
HANKS_WORD_ACTOR_89,Hanks,Хэнкс
CROWE_WORD_ACTOR_89,Crowe,Кроу
CRUISE_WORD_ACTOR_89,Cruise,Круз
DICAPRIO_WORD_ACTOR_89,DiCaprio,Ди Каприо
WAHLBERG_WORD_ACTOR_89,Wahlberg,Уолберг
MERCURY_WORD_PLANET_90,Mercury,Меркурий
JUPITER_WORD_PLANET_90,Jupiter,Юпитер
SATURN_WORD_PLANET_90,Saturn,Сатурн
URANUS_WORD_PLANET_90,Uranus,Уран
NEPTUNE_WORD_PLANET_90,Neptune,Нептун
MARS_WORD_PLANET_90,Mars,Марс
EARTH_WORD_PLANET_90,Earth,Земля
VENUS_WORD_PLANET_90,Venus,Венера
BIOLOGY_WORD_LESSONS_94,Biology,Биология
PHYSICS_WORD_LESSONS_94,Physics,Физика
GEOMETRY_WORD_LESSONS_94,Geometry,Геометрия
ALGEBRA_WORD_LESSONS_94,Algebra,Алгебра
HISTORY_WORD_LESSONS_94,History,История
CALCULUS_WORD_LESSONS_94,Calculus,Матанализ
TABLETS_WORD_PILLS_99,Tablets,Таблетки
CAPSULES_WORD_PILLS_99,Capsules,Капсулы
LOZENGES_WORD_PILLS_99,Lozenges,Леденцы
CLOUDS_WORD_RAINY_100,Clouds,Облака
SHOWERS_WORD_RAINY_100,Showers,Ливни
PUDDLES_WORD_RAINY_100,Puddles,Лужи
CIABATTA_WORD_BREADS_102,Ciabatta,Чиабатта
BAGUETTE_WORD_BREADS_102,Baguette,Багет
FOCACCIA_WORD_BREADS_102,Focaccia,Фокачча
PITA_WORD_BREADS_102,Pita,Пита
CHALLAH_WORD_BREADS_102,Challah,Хала
TORTILLA_WORD_BREADS_102,Tortilla,Тортилья
BRIOCHE_WORD_BREADS_102,Brioche,Бриошь
AREPA_WORD_BREADS_102,Arepa,Арепа
GYRUS_WORD_BRAIN_106,Gyrus,Извилина
CORTEX_WORD_BRAIN_106,Cortex,Кора
LOBE_WORD_BRAIN_106,Lobe,Доля
HYDROGEN_WORD_ELEMENTS_107,Hydrogen,Водород
NITROGEN_WORD_ELEMENTS_107,Nitrogen,Азот
SULFUR_WORD_ELEMENTS_107,Sulfur,Сера
CARBON_WORD_ELEMENTS_107,Carbon,Углерод
SODIUM_WORD_ELEMENTS_107,Sodium,Натрий
SILICON_WORD_ELEMENTS_107,Silicon,Кремний
IODINE_WORD_ELEMENTS_107,Iodine,Йод
OXYGEN_WORD_ELEMENTS_107,Oxygen,Кислород
BRIE_WORD_CHEESE_108,Brie,Бри
FETA_WORD_CHEESE_108,Feta,Фета
GOUDA_WORD_CHEESE_108,Gouda,Гауда
CHEDDAR_WORD_CHEESE_108,Cheddar,Чеддер
PARMESAN_WORD_CHEESE_108,Parmesan,Пармезан
RICOTTA_WORD_CHEESE_108,Ricotta,Рикотта
EDAM_WORD_CHEESE_108,Edam,Эдам
DORBLU_WORD_CHEESE_108,Swiss,Швейцарский
WORKOUT_WORD_FITNESS_110,Workout,Тренировка
YOGA_WORD_FITNESS_110,Yoga,Йога
PILATES_WORD_FITNESS_110,Pilates,Пилатес
JOGGING_WORD_FITNESS_110,Jogging,Бег
GYM_WORD_FITNESS_110,Gym,Спортзал
CARDIO_WORD_FITNESS_110,Cardio,Кардио
BICEPS_WORD_MUSCLES_112,Biceps,Бицепс
DELTOIDS_WORD_MUSCLES_112,Deltoids,Дельты
ABS_WORD_MUSCLES_112,Abs,Пресс
TRICEPS_WORD_MUSCLES_112,Triceps,Трицепс
SCARAB_WORD_EGYPT_114,Scarab,Скарабей
PHARAOH_WORD_EGYPT_114,Pharaoh,Фараон
PAPYRUS_WORD_EGYPT_114,Papyrus,Папирус
PYRAMID_WORD_EGYPT_114,Pyramid,Пирамида
MULBERRY_WORD_BERRY_116,Mulberry,Шелковица
BILBERRY_WORD_BERRY_116,Bilberry,Черника
BARBERRY_WORD_BERRY_116,Barberry,Барбарис
ATHENS_WORD_CAPITALS_119,Athens,Афины
PRAGUE_WORD_CAPITALS_119,Prague,Прага
MADRID_WORD_CAPITALS_119,Madrid,Мадрид
RIYADH_WORD_CAPITALS_119,Riyadh,Эр-Рияд
OTTAWA_WORD_CAPITALS_119,Ottawa,Оттава
ROME_WORD_CAPITALS_119,Rome,Рим
OSLO_WORD_CAPITALS_119,Oslo,Осло
CAIRO_WORD_CAPITALS_119,Cairo,Каир
POWDER_WORD_MAKEUP_120,Powder,Пудра
SPONGE_WORD_MAKEUP_120,Sponge,Спонж
PALETTE_WORD_MAKEUP_120,Palette,Палитра
SERUM_WORD_MAKEUP_120,Serum,Сыворотка
PEEL_WORD_MAKEUP_120,Peel,Пилинг
BLUSH_WORD_MAKEUP_120,Blush,Румяна
SAVATE_WORD_COMBAT_121,Savate,Сават
JUDO_WORD_COMBAT_121,Judo,Дзюдо
KARATE_WORD_COMBAT_121,Karate,Карате
KUNG_FU_WORD_COMBAT_121,Kung fu,Кунг-фу
SUMO_WORD_COMBAT_121,Sumo,Сумо
SILAT_WORD_COMBAT_121,Silat,Силат
CHORDS_WORD_GUITAR_122,Chords,Аккорды
PICKUPS_WORD_GUITAR_122,Pickups,Звукосниматели
STRINGS_WORD_GUITAR_122,Strings,Струны
RIFFS_WORD_GUITAR_122,Riffs,Риффы
POINTE_WORD_BALLET_125,Pointe,Пуанты
TUTU_WORD_BALLET_125,Tutu,Пачка
BARRE_WORD_BALLET_125,Barre,Станок
ALLIANCE_WORD_UNITE_126,Alliance,Альянс
LEAGUE_WORD_UNITE_126,League,Лига
UNION_WORD_UNITE_126,Union,Союз
JEWELRY_WORD_LUXURY_133,Jewelry,Ювелирка
WATCH_WORD_LUXURY_133,Watch,Часы
CAVIAR_WORD_LUXURY_133,Caviar,Икра
YACHT_WORD_LUXURY_133,Yacht,Яхта
SAVANNA_WORD_BIOMES_135,Savanna,Саванна
TUNDRA_WORD_BIOMES_135,Tundra,Тундра
TAIGA_WORD_BIOMES_135,Taiga,Тайга
SRIRACHA_WORD_SPICY_136,Sriracha,Шрирача
WASABI_WORD_SPICY_136,Wasabi,Васаби
HABANERO_WORD_SPICY_136,Habanero,Хабанеро
COCKPIT_WORD_PLANE_139,Cockpit,Кабина
SEATBELT_WORD_PLANE_139,Seatbelt,Ремень
WINGS_WORD_PLANE_139,Wings,Крылья
ENGINE_WORD_PLANE_139,Engine,Двигатель
RUDDER_WORD_PLANE_139,Rudder,Руль
FUSELAGE_WORD_PLANE_139,Fuselage,Фюзеляж
AILERON_WORD_PLANE_139,Aileron,Элерон
FLY_WORD_PLANE_139,Fly,Полёт
BEAVER_WORD_RODENTS_141,Beaver,Бобр
MARMOT_WORD_RODENTS_141,Marmot,Сурок
NUTRIA_WORD_RODENTS_141,Nutria,Нутрия
SQUIRREL_WORD_RODENTS_141,Squirrel,Белка
CAPYBARA_WORD_RODENTS_141,Capybara,Капибара
RAT_WORD_RODENTS_141,Rat,Крыса
SOLAR_WORD_ENERGY_145,Solar,Солнечная
NUCLEAR_WORD_ENERGY_145,Nuclear,Ядерная
KINETIC_WORD_ENERGY_145,Kinetic,Кинетическая
THERMAL_WORD_ENERGY_145,Thermal,Тепловая
ESSAY_WORD_ARTICLES_147,Essay,Эссе
REVIEW_WORD_ARTICLES_147,Review,Обзор
OPINION_WORD_ARTICLES_147,Opinion,Мнение
TSUNAMI_WORD_DISASTER_148,Tsunami,Цунами
TORNADO_WORD_DISASTER_148,Tornado,Торнадо
FLOOD_WORD_DISASTER_148,Flood,Наводнение
GORILLA_WORD_PRIMATES_149,Gorilla,Горилла
GIBBON_WORD_PRIMATES_149,Gibbon,Гиббон
BABOON_WORD_PRIMATES_149,Baboon,Бабуин
LEMUR_WORD_PRIMATES_149,Lemur,Лемур
MACAQUE_WORD_PRIMATES_149,Macaque,Макак
SIMIAN_WORD_PRIMATES_149,Simian,Обезьяна
MANDRILL_WORD_PRIMATES_149,Mandrill,Мандрил
TARSIER_WORD_PRIMATES_149,Tarsier,Долгопят
PYTHON_WORD_CODING_150,Python,Python
JAVA_WORD_CODING_150,Java,Java
RUBY_WORD_CODING_150,Ruby,Ruby
SWIFT_WORD_CODING_150,Swift,Swift
SCRIPT_WORD_CODING_150,Script,Script
PHP_WORD_CODING_150,PHP,PHP
SQL_WORD_CODING_150,SQL,SQL
BUGS_WORD_CODING_150,Bugs,Баги
LYRICS_WORD_RAP_151,Lyrics,Текст
VERSE_WORD_RAP_151,Verse,Куплет
RHYME_WORD_RAP_151,Rhyme,Рифма
PUNCH_WORD_RAP_151,Punch,Панч
NIAGARA_WORD_WATER_152,Niagara,Ниагара
VICTORIA_WORD_WATER_152,Victoria,Виктория
YOSEMITE_WORD_WATER_152,Yosemite,Йосемити
HAVASU_WORD_WATER_152,Havasu,Хавасу
YO_YO_WORD_TOYS_154,Yo-yo,Йо-йо
SPINNER_WORD_TOYS_154,Spinner,Волчок
DOLL_WORD_TOYS_154,Doll,Кукла
SERGEANT_WORD_ARMY_156,Sergeant,Сержант
MAJOR_WORD_ARMY_156,Major,Майор
GENERAL_WORD_ARMY_156,General,Генерал
COLONEL_WORD_ARMY_156,Colonel,Полковник
PRIVATE_WORD_ARMY_156,Private,Рядовой
CORPORAL_WORD_ARMY_156,Corporal,Капрал
CAPTAIN_WORD_ARMY_156,Captain,Капитан
RANK_WORD_ARMY_156,Rank,Звание
ZEN_WORD_MEDITATE_160,Zen,Дзен
BREATH_WORD_MEDITATE_160,Breath,Дыхание
PEACE_WORD_MEDITATE_160,Peace,Покой
MANTRA_WORD_MEDITATE_160,Mantra,Мантра
FAMOUS_WORD_FAME_161,Famous,Знаменитый
ICONIC_WORD_FAME_161,Iconic,Культовый
POPULAR_WORD_FAME_161,Popular,Популярный
RENOWN_WORD_FAME_161,Renown,Слава
SYNTAX_WORD_LINGUIST_162,Syntax,Синтаксис
POLYGLOT_WORD_LINGUIST_162,Polyglot,Полиглот
GRAMMAR_WORD_LINGUIST_162,Grammar,Грамматика
SCHOLAR_WORD_LINGUIST_162,Scholar,Учёный
EASTER_WORD_HOLIDAY_163,Easter,Пасха
NEW_YEAR_WORD_HOLIDAY_163,New Year,Новый год
FLAG_DAY_WORD_HOLIDAY_163,Flag Day,День флага
DUMBBELL_WORD_GYM_164,Dumbbell,Гантель
BARBELL_WORD_GYM_164,Barbell,Штанга
AIR_BIKE_WORD_GYM_164,Air bike,Эйр-байк
PERICLES_WORD_WILLIAM_165,Pericles,Перикл
MACBETH_WORD_WILLIAM_165,Macbeth,Макбет
HAMLET_WORD_WILLIAM_165,Hamlet,Гамлет
OTHELLO_WORD_WILLIAM_165,Othello,Отелло
JULIET_WORD_WILLIAM_165,Juliet,Джульетта
ROMEO_WORD_WILLIAM_165,Romeo,Ромео
TEMPEST_WORD_WILLIAM_165,Tempest,Буря
HENRY_V_WORD_WILLIAM_165,Henry V,Генрих V
WOLF_WORD_CANINES_168,Wolf,Волк
COYOTE_WORD_CANINES_168,Coyote,Койот
DINGO_WORD_CANINES_168,Dingo,Динго
JACKAL_WORD_CANINES_168,Jackal,Шакал
FOX_WORD_CANINES_168,Fox,Лиса
DHOLE_WORD_CANINES_168,Dhole,Красный волк
HARVARD_WORD_STUDIES_169,Harvard,Гарвард
STANFORD_WORD_STUDIES_169,Stanford,Стэнфорд
OXFORD_WORD_STUDIES_169,Oxford,Оксфорд
YALE_WORD_STUDIES_169,Yale,Йель
SORBONNE_WORD_STUDIES_169,Sorbonne,Сорбонна
MIT_WORD_STUDIES_169,MIT,MIT
LEMON_WORD_CITRUS_173,Lemon,Лимон
LIME_WORD_CITRUS_173,Lime,Лайм
POMELO_WORD_CITRUS_173,Pomelo,Помело
GLIDER_WORD_AIRCRAFT_174,Glider,Планер
JETLINER_WORD_AIRCRAFT_174,Jetliner,Авиалайнер
AIRPLANE_WORD_AIRCRAFT_174,Airplane,Самолёт
MERLOT_WORD_GRAPE_177,Merlot,Мерло
RIESLING_WORD_GRAPE_177,Riesling,Рислинг
SHIRAZ_WORD_GRAPE_177,Shiraz,Шираз
GRENACHE_WORD_GRAPE_177,Grenache,Гренаш
MUSCAT_WORD_GRAPE_177,Muscat,Мускат
MALBEC_WORD_GRAPE_177,Malbec,Мальбек
AMANITA_WORD_MUSHROOM_178,Amanita,Мухомор
PORCINI_WORD_MUSHROOM_178,Porcini,Белый гриб
RUSSULA_WORD_MUSHROOM_178,Russula,Сыроежка
TRUFFLE_WORD_MUSHROOM_178,Truffle,Трюфель
ENOKI_WORD_MUSHROOM_178,Enoki,Эноки
SHIITAKE_WORD_MUSHROOM_178,Shiitake,Шиитаке
WALRUS_WORD_ARCTIC_180,Walrus,Морж
POLAR_BEAR_WORD_ARCTIC_180,Polar bear,Белый медведь
SNOWY_OWL_WORD_ARCTIC_180,Snowy owl,Полярная сова
REINDEER_WORD_ARCTIC_180,Reindeer,Северный олень
PIT_STOP_WORD_RACING_182,Pit stop,Пит-стоп
FINISH_WORD_RACING_182,Finish,Финиш
SPEEDWAY_WORD_RACING_182,Speedway,Спидвей
ASSIST_WORD_HELP_183,Assist,Помощь
SUPPORT_WORD_HELP_183,Support,Поддержка
DONATE_WORD_HELP_183,Donate,Пожертвовать
OPAL_WORD_GEMSTONE_186,Opal,Опал
RUBY_WORD_GEMSTONE_186,Ruby,Рубин
TOPAZ_WORD_GEMSTONE_186,Topaz,Топаз
SAPPHIRE_WORD_GEMSTONE_186,Sapphire,Сапфир
GARNET_WORD_GEMSTONE_186,Garnet,Гранат
DIAMOND_WORD_GEMSTONE_186,Diamond,Алмаз
ONYX_WORD_GEMSTONE_186,Onyx,Оникс
AGATE_WORD_GEMSTONE_186,Agate,Агат
ORION_WORD_PATTERN_188,Orion,Орион
PERSEUS_WORD_PATTERN_188,Perseus,Персей
DRACO_WORD_PATTERN_188,Draco,Дракон
SCORPIUS_WORD_PATTERN_188,Scorpius,Скорпион
CYGNUS_WORD_PATTERN_188,Cygnus,Лебедь
SERPENS_WORD_PATTERN_188,Serpens,Змея
GASOLINE_WORD_FUELS_190,Gasoline,Бензин
DIESEL_WORD_FUELS_190,Diesel,Дизель
COAL_WORD_FUELS_190,Coal,Уголь
PROPANE_WORD_FUELS_190,Propane,Пропан
KEROSENE_WORD_FUELS_190,Kerosene,Керосин
VOTER_WORD_ELECT_193,Voter,Избиратель
BALLOT_WORD_ELECT_193,Ballot,Бюллетень
CAMPAIGN_WORD_ELECT_193,Campaign,Кампания
TURNOUT_WORD_ELECT_193,Turnout,Явка
KING_WORD_CROWN_194,King,Король
EMPEROR_WORD_CROWN_194,Emperor,Император
MAHARAJA_WORD_CROWN_194,Maharaja,Махараджа
KENNEDY_WORD_LEADER_196,Washington,Вашингтон
CLINTON_WORD_LEADER_196,Jefferson,Джефферсон
LINCOLN_WORD_LEADER_196,Lincoln,Линкольн
REAGAN_WORD_LEADER_196,Roosevelt,Рузвельт
BUSH_WORD_LEADER_196,Wilson,Вильсон
OBAMA_WORD_LEADER_196,Jackson,Джексон
ADAMS_WORD_LEADER_196,Adams,Адамс
BIDEN_WORD_LEADER_196,Madison,Мэдисон
SOFT_BUN_WORD_HOT_DOG_201,Soft bun,Мягкая булочка
SAUSAGE_WORD_HOT_DOG_201,Sausage,Сосиска
KETCHUP_WORD_HOT_DOG_201,Ketchup,Кетчуп
DECODE_WORD_CIPHER_208,Decode,Расшифровать
ENCODE_WORD_CIPHER_208,Encode,Зашифровать
KEYWORD_WORD_CIPHER_208,Keyword,Ключевое слово
PASSWORD_WORD_CIPHER_208,Password,Пароль
HARMONY_WORD_SYMPHONY_210,Harmony,Гармония
OVERTURE_WORD_SYMPHONY_210,Overture,Увертюра
MELODY_WORD_SYMPHONY_210,Melody,Мелодия
PHOTO_WORD_ARTWORKS_211,Photo,Фото
DRAWING_WORD_ARTWORKS_211,Drawing,Рисунок
PAINTING_WORD_ARTWORKS_211,Painting,Картина
HAMMER_WORD_AUCTION_215,Hammer,Молоток
LOT_WORD_AUCTION_215,Lot,Лот
BID_WORD_AUCTION_215,Bid,Ставка
PRICE_WORD_AUCTION_215,Price,Цена
CATALOG_WORD_AUCTION_215,Catalog,Каталог
BIDDER_WORD_AUCTION_215,Bidder,Покупатель
EXCELSA_WORD_BEANS_219,Excelsa,Эксцельса
ROBUSTA_WORD_BEANS_219,Robusta,Робуста
LIBERICA_WORD_BEANS_219,Liberica,Либерика
