id,basic_card_name_en,tr-TR
KANT_WORD_MINDS_82,Kant,Kant
PUCK_WORD_HOCKEY_86,Puck,Pak
PENALTY_WORD_HOCKEY_86,Penalty,Penaltı
GOAL_WORD_HOCKEY_86,Goal,Gol
RINK_WORD_HOCKEY_86,Rink,Buz pisti
COUPLE_WORD_DATE_87,Couple,Çift
TUXEDO_WORD_DATE_87,Wine,Şarap
FLOWERS_WORD_DATE_87,Flowers,Çiçekler
TEETH_WORD_SAW_88,Teeth,Dişler
BLADE_WORD_SAW_88,Blade,Bıçak
NOTCH_WORD_SAW_88,Notch,Çentik
OLDMAN_WORD_ACTOR_89,Oldman,Oldman
PITT_WORD_ACTOR_89,Pitt,Pitt
EASTWOOD_WORD_ACTOR_89,Eastwood,Eastwood
HANKS_WORD_ACTOR_89,Hanks,Hanks
CROWE_WORD_ACTOR_89,Crowe,Crowe
CRUISE_WORD_ACTOR_89,Cruise,Cruise
DICAPRIO_WORD_ACTOR_89,DiCaprio,DiCaprio
WAHLBERG_WORD_ACTOR_89,Wahlberg,Wahlberg
MERCURY_WORD_PLANET_90,Mercury,Merkür
JUPITER_WORD_PLANET_90,Jupiter,Jüpiter
SATURN_WORD_PLANET_90,Saturn,Satürn
URANUS_WORD_PLANET_90,Uranus,Uranüs
NEPTUNE_WORD_PLANET_90,Neptune,Neptün
MARS_WORD_PLANET_90,Mars,Mars
EARTH_WORD_PLANET_90,Earth,Dünya
VENUS_WORD_PLANET_90,Venus,Venüs
BIOLOGY_WORD_LESSONS_94,Biology,Biyoloji
PHYSICS_WORD_LESSONS_94,Physics,Fizik
GEOMETRY_WORD_LESSONS_94,Geometry,Geometri
ALGEBRA_WORD_LESSONS_94,Algebra,Cebir
HISTORY_WORD_LESSONS_94,History,Tarih
CALCULUS_WORD_LESSONS_94,Calculus,Kalkülüs
TABLETS_WORD_PILLS_99,Tablets,Tabletler
CAPSULES_WORD_PILLS_99,Capsules,Kapsüller
LOZENGES_WORD_PILLS_99,Lozenges,Pastiller
CLOUDS_WORD_RAINY_100,Clouds,Bulutlar
SHOWERS_WORD_RAINY_100,Showers,Sağanak
PUDDLES_WORD_RAINY_100,Puddles,Su birikintileri
CIABATTA_WORD_BREADS_102,Ciabatta,Ciabatta
BAGUETTE_WORD_BREADS_102,Baguette,Baget
FOCACCIA_WORD_BREADS_102,Focaccia,Focaccia
PITA_WORD_BREADS_102,Pita,Pide
CHALLAH_WORD_BREADS_102,Challah,Challah
TORTILLA_WORD_BREADS_102,Tortilla,Tortilla
BRIOCHE_WORD_BREADS_102,Brioche,Brioche
AREPA_WORD_BREADS_102,Arepa,Arepa
GYRUS_WORD_BRAIN_106,Gyrus,Kıvrım
CORTEX_WORD_BRAIN_106,Cortex,Korteks
LOBE_WORD_BRAIN_106,Lobe,Lob
HYDROGEN_WORD_ELEMENTS_107,Hydrogen,Hidrojen
NITROGEN_WORD_ELEMENTS_107,Nitrogen,Azot
SULFUR_WORD_ELEMENTS_107,Sulfur,Kükürt
CARBON_WORD_ELEMENTS_107,Carbon,Karbon
SODIUM_WORD_ELEMENTS_107,Sodium,Sodyum
SILICON_WORD_ELEMENTS_107,Silicon,Silikon
IODINE_WORD_ELEMENTS_107,Iodine,İyot
OXYGEN_WORD_ELEMENTS_107,Oxygen,Oksijen
BRIE_WORD_CHEESE_108,Brie,Brie
FETA_WORD_CHEESE_108,Feta,Beyaz peynir
GOUDA_WORD_CHEESE_108,Gouda,Gouda
CHEDDAR_WORD_CHEESE_108,Cheddar,Çedar
PARMESAN_WORD_CHEESE_108,Parmesan,Parmezan
RICOTTA_WORD_CHEESE_108,Ricotta,Ricotta
EDAM_WORD_CHEESE_108,Edam,Edam
DORBLU_WORD_CHEESE_108,Swiss,İsviçre peyniri
WORKOUT_WORD_FITNESS_110,Workout,Antrenman
YOGA_WORD_FITNESS_110,Yoga,Yoga
PILATES_WORD_FITNESS_110,Pilates,Pilates
JOGGING_WORD_FITNESS_110,Jogging,Koşu
GYM_WORD_FITNESS_110,Gym,Spor salonu
CARDIO_WORD_FITNESS_110,Cardio,Kardiyo
BICEPS_WORD_MUSCLES_112,Biceps,Biseps
DELTOIDS_WORD_MUSCLES_112,Deltoids,Deltoid
ABS_WORD_MUSCLES_112,Abs,Karın kası
TRICEPS_WORD_MUSCLES_112,Triceps,Triseps
SCARAB_WORD_EGYPT_114,Scarab,Bok böceği
PHARAOH_WORD_EGYPT_114,Pharaoh,Firavun
PAPYRUS_WORD_EGYPT_114,Papyrus,Papirüs
PYRAMID_WORD_EGYPT_114,Pyramid,Piramit
MULBERRY_WORD_BERRY_116,Mulberry,Dut
BILBERRY_WORD_BERRY_116,Bilberry,Yaban mersini
BARBERRY_WORD_BERRY_116,Barberry,Kadın tuzluğu
ATHENS_WORD_CAPITALS_119,Athens,Atina
PRAGUE_WORD_CAPITALS_119,Prague,Prag
MADRID_WORD_CAPITALS_119,Madrid,Madrid
RIYADH_WORD_CAPITALS_119,Riyadh,Riyad
OTTAWA_WORD_CAPITALS_119,Ottawa,Ottawa
ROME_WORD_CAPITALS_119,Rome,Roma
OSLO_WORD_CAPITALS_119,Oslo,Oslo
CAIRO_WORD_CAPITALS_119,Cairo,Kahire
POWDER_WORD_MAKEUP_120,Powder,Pudra
SPONGE_WORD_MAKEUP_120,Sponge,Sünger
PALETTE_WORD_MAKEUP_120,Palette,Palet
SERUM_WORD_MAKEUP_120,Serum,Serum
PEEL_WORD_MAKEUP_120,Peel,Peeling
BLUSH_WORD_MAKEUP_120,Blush,Allık
SAVATE_WORD_COMBAT_121,Savate,Savate
JUDO_WORD_COMBAT_121,Judo,Judo
KARATE_WORD_COMBAT_121,Karate,Karate
KUNG_FU_WORD_COMBAT_121,Kung fu,Kung fu
SUMO_WORD_COMBAT_121,Sumo,Sumo
SILAT_WORD_COMBAT_121,Silat,Silat
CHORDS_WORD_GUITAR_122,Chords,Akorlar
PICKUPS_WORD_GUITAR_122,Pickups,Manyetikler
STRINGS_WORD_GUITAR_122,Strings,Teller
RIFFS_WORD_GUITAR_122,Riffs,Rifler
POINTE_WORD_BALLET_125,Pointe,Puan
TUTU_WORD_BALLET_125,Tutu,Tütü
BARRE_WORD_BALLET_125,Barre,Barre
ALLIANCE_WORD_UNITE_126,Alliance,İttifak
LEAGUE_WORD_UNITE_126,League,Lig
UNION_WORD_UNITE_126,Union,Birlik
JEWELRY_WORD_LUXURY_133,Jewelry,Mücevher
WATCH_WORD_LUXURY_133,Watch,Saat
CAVIAR_WORD_LUXURY_133,Caviar,Havyar
YACHT_WORD_LUXURY_133,Yacht,Yat
SAVANNA_WORD_BIOMES_135,Savanna,Savan
TUNDRA_WORD_BIOMES_135,Tundra,Tundra
TAIGA_WORD_BIOMES_135,Taiga,Tayga
SRIRACHA_WORD_SPICY_136,Sriracha,Sriracha
WASABI_WORD_SPICY_136,Wasabi,Wasabi
HABANERO_WORD_SPICY_136,Habanero,Habanero
COCKPIT_WORD_PLANE_139,Cockpit,Kokpit
SEATBELT_WORD_PLANE_139,Seatbelt,Emniyet kemeri
WINGS_WORD_PLANE_139,Wings,Kanatlar
ENGINE_WORD_PLANE_139,Engine,Motor
RUDDER_WORD_PLANE_139,Rudder,Dümen
FUSELAGE_WORD_PLANE_139,Fuselage,Gövde
AILERON_WORD_PLANE_139,Aileron,Kanatçık
FLY_WORD_PLANE_139,Fly,Uçmak
BEAVER_WORD_RODENTS_141,Beaver,Kunduz
MARMOT_WORD_RODENTS_141,Marmot,Dağ sıçanı
NUTRIA_WORD_RODENTS_141,Nutria,Nutria
SQUIRREL_WORD_RODENTS_141,Squirrel,Sincap
CAPYBARA_WORD_RODENTS_141,Capybara,Kapibara
RAT_WORD_RODENTS_141,Rat,Sıçan
SOLAR_WORD_ENERGY_145,Solar,Güneş
NUCLEAR_WORD_ENERGY_145,Nuclear,Nükleer
KINETIC_WORD_ENERGY_145,Kinetic,Kinetik
THERMAL_WORD_ENERGY_145,Thermal,Termal
ESSAY_WORD_ARTICLES_147,Essay,Deneme
REVIEW_WORD_ARTICLES_147,Review,İnceleme
OPINION_WORD_ARTICLES_147,Opinion,Görüş
TSUNAMI_WORD_DISASTER_148,Tsunami,Tsunami
TORNADO_WORD_DISASTER_148,Tornado,Kasırga
FLOOD_WORD_DISASTER_148,Flood,Sel
GORILLA_WORD_PRIMATES_149,Gorilla,Goril
GIBBON_WORD_PRIMATES_149,Gibbon,Gibon
BABOON_WORD_PRIMATES_149,Baboon,Babun
LEMUR_WORD_PRIMATES_149,Lemur,Lemur
MACAQUE_WORD_PRIMATES_149,Macaque,Makak
SIMIAN_WORD_PRIMATES_149,Simian,Maymun
MANDRILL_WORD_PRIMATES_149,Mandrill,Mandril
TARSIER_WORD_PRIMATES_149,Tarsier,Tarsier
PYTHON_WORD_CODING_150,Python,Python
JAVA_WORD_CODING_150,Java,Java
RUBY_WORD_CODING_150,Ruby,Ruby
SWIFT_WORD_CODING_150,Swift,Swift
SCRIPT_WORD_CODING_150,Script,Script
PHP_WORD_CODING_150,PHP,PHP
SQL_WORD_CODING_150,SQL,SQL
BUGS_WORD_CODING_150,Bugs,Hatalar
LYRICS_WORD_RAP_151,Lyrics,Sözler
VERSE_WORD_RAP_151,Verse,Dize
RHYME_WORD_RAP_151,Rhyme,Kafiye
PUNCH_WORD_RAP_151,Punch,Vuruş
NIAGARA_WORD_WATER_152,Niagara,Niagara
VICTORIA_WORD_WATER_152,Victoria,Victoria
YOSEMITE_WORD_WATER_152,Yosemite,Yosemite
HAVASU_WORD_WATER_152,Havasu,Havasu
YO_YO_WORD_TOYS_154,Yo-yo,Yoyo
SPINNER_WORD_TOYS_154,Spinner,Topaç
DOLL_WORD_TOYS_154,Doll,Bebek
SERGEANT_WORD_ARMY_156,Sergeant,Çavuş
MAJOR_WORD_ARMY_156,Major,Binbaşı
GENERAL_WORD_ARMY_156,General,General
COLONEL_WORD_ARMY_156,Colonel,Albay
PRIVATE_WORD_ARMY_156,Private,Er
CORPORAL_WORD_ARMY_156,Corporal,Onbaşı
CAPTAIN_WORD_ARMY_156,Captain,Yüzbaşı
RANK_WORD_ARMY_156,Rank,Rütbe
ZEN_WORD_MEDITATE_160,Zen,Zen
BREATH_WORD_MEDITATE_160,Breath,Nefes
PEACE_WORD_MEDITATE_160,Peace,Huzur
MANTRA_WORD_MEDITATE_160,Mantra,Mantra
FAMOUS_WORD_FAME_161,Famous,Ünlü
ICONIC_WORD_FAME_161,Iconic,İkonik
POPULAR_WORD_FAME_161,Popular,Popüler
RENOWN_WORD_FAME_161,Renown,Şöhret
SYNTAX_WORD_LINGUIST_162,Syntax,Söz dizimi
POLYGLOT_WORD_LINGUIST_162,Polyglot,Poliglot
GRAMMAR_WORD_LINGUIST_162,Grammar,Dilbilgisi
SCHOLAR_WORD_LINGUIST_162,Scholar,Bilgin
EASTER_WORD_HOLIDAY_163,Easter,Paskalya
NEW_YEAR_WORD_HOLIDAY_163,New Year,Yılbaşı
FLAG_DAY_WORD_HOLIDAY_163,Flag Day,Bayrak Günü
DUMBBELL_WORD_GYM_164,Dumbbell,Dambıl
BARBELL_WORD_GYM_164,Barbell,Halter
AIR_BIKE_WORD_GYM_164,Air bike,Air bike
PERICLES_WORD_WILLIAM_165,Pericles,Perikles
MACBETH_WORD_WILLIAM_165,Macbeth,Macbeth
HAMLET_WORD_WILLIAM_165,Hamlet,Hamlet
OTHELLO_WORD_WILLIAM_165,Othello,Othello
JULIET_WORD_WILLIAM_165,Juliet,Juliet
ROMEO_WORD_WILLIAM_165,Romeo,Romeo
TEMPEST_WORD_WILLIAM_165,Tempest,Fırtına
HENRY_V_WORD_WILLIAM_165,Henry V,V. Henry
WOLF_WORD_CANINES_168,Wolf,Kurt
COYOTE_WORD_CANINES_168,Coyote,Çakal
DINGO_WORD_CANINES_168,Dingo,Dingo
JACKAL_WORD_CANINES_168,Jackal,Çakal
FOX_WORD_CANINES_168,Fox,Tilki
DHOLE_WORD_CANINES_168,Dhole,Kızıl kurt
HARVARD_WORD_STUDIES_169,Harvard,Harvard
STANFORD_WORD_STUDIES_169,Stanford,Stanford
OXFORD_WORD_STUDIES_169,Oxford,Oxford
YALE_WORD_STUDIES_169,Yale,Yale
SORBONNE_WORD_STUDIES_169,Sorbonne,Sorbonne
MIT_WORD_STUDIES_169,MIT,MIT
LEMON_WORD_CITRUS_173,Lemon,Limon
LIME_WORD_CITRUS_173,Lime,Misket limonu
POMELO_WORD_CITRUS_173,Pomelo,Pomelo
GLIDER_WORD_AIRCRAFT_174,Glider,Planör
JETLINER_WORD_AIRCRAFT_174,Jetliner,Jet uçak
AIRPLANE_WORD_AIRCRAFT_174,Airplane,Uçak
MERLOT_WORD_GRAPE_177,Merlot,Merlot
RIESLING_WORD_GRAPE_177,Riesling,Riesling
SHIRAZ_WORD_GRAPE_177,Shiraz,Şiraz
GRENACHE_WORD_GRAPE_177,Grenache,Grenache
MUSCAT_WORD_GRAPE_177,Muscat,Misket
MALBEC_WORD_GRAPE_177,Malbec,Malbec
AMANITA_WORD_MUSHROOM_178,Amanita,Ağu mantarı
PORCINI_WORD_MUSHROOM_178,Porcini,Porcini
RUSSULA_WORD_MUSHROOM_178,Russula,Güveymantar
TRUFFLE_WORD_MUSHROOM_178,Truffle,Trüf
ENOKI_WORD_MUSHROOM_178,Enoki,Enoki
SHIITAKE_WORD_MUSHROOM_178,Shiitake,Shiitake
WALRUS_WORD_ARCTIC_180,Walrus,Mors
POLAR_BEAR_WORD_ARCTIC_180,Polar bear,Kutup ayısı
SNOWY_OWL_WORD_ARCTIC_180,Snowy owl,Kar baykuşu
REINDEER_WORD_ARCTIC_180,Reindeer,Ren geyiği
PIT_STOP_WORD_RACING_182,Pit stop,Pit stop
FINISH_WORD_RACING_182,Finish,Bitiş
SPEEDWAY_WORD_RACING_182,Speedway,Yarış pisti
ASSIST_WORD_HELP_183,Assist,Yardım
SUPPORT_WORD_HELP_183,Support,Destek
DONATE_WORD_HELP_183,Donate,Bağış
OPAL_WORD_GEMSTONE_186,Opal,Opal
RUBY_WORD_GEMSTONE_186,Ruby,Yakut
TOPAZ_WORD_GEMSTONE_186,Topaz,Topaz
SAPPHIRE_WORD_GEMSTONE_186,Sapphire,Safir
GARNET_WORD_GEMSTONE_186,Garnet,Lal taşı
DIAMOND_WORD_GEMSTONE_186,Diamond,Elmas
ONYX_WORD_GEMSTONE_186,Onyx,Oniks
AGATE_WORD_GEMSTONE_186,Agate,Akik
ORION_WORD_PATTERN_188,Orion,Orion
PERSEUS_WORD_PATTERN_188,Perseus,Perseus
DRACO_WORD_PATTERN_188,Draco,Draco
SCORPIUS_WORD_PATTERN_188,Scorpius,Akrep
CYGNUS_WORD_PATTERN_188,Cygnus,Kuğu
SERPENS_WORD_PATTERN_188,Serpens,Yılan
GASOLINE_WORD_FUELS_190,Gasoline,Benzin
DIESEL_WORD_FUELS_190,Diesel,Dizel
COAL_WORD_FUELS_190,Coal,Kömür
PROPANE_WORD_FUELS_190,Propane,Propan
KEROSENE_WORD_FUELS_190,Kerosene,Gazyağı
VOTER_WORD_ELECT_193,Voter,Seçmen
BALLOT_WORD_ELECT_193,Ballot,Oy pusulası
CAMPAIGN_WORD_ELECT_193,Campaign,Kampanya
TURNOUT_WORD_ELECT_193,Turnout,Katılım
KING_WORD_CROWN_194,King,Kral
EMPEROR_WORD_CROWN_194,Emperor,İmparator
MAHARAJA_WORD_CROWN_194,Maharaja,Mahraca
KENNEDY_WORD_LEADER_196,Washington,Washington
CLINTON_WORD_LEADER_196,Jefferson,Jefferson
LINCOLN_WORD_LEADER_196,Lincoln,Lincoln
REAGAN_WORD_LEADER_196,Roosevelt,Roosevelt
BUSH_WORD_LEADER_196,Wilson,Wilson
OBAMA_WORD_LEADER_196,Jackson,Jackson
ADAMS_WORD_LEADER_196,Adams,Adams
BIDEN_WORD_LEADER_196,Madison,Madison
SOFT_BUN_WORD_HOT_DOG_201,Soft bun,Yumuşak ekmek
SAUSAGE_WORD_HOT_DOG_201,Sausage,Sosis
KETCHUP_WORD_HOT_DOG_201,Ketchup,Ketçap
DECODE_WORD_CIPHER_208,Decode,Çözmek
ENCODE_WORD_CIPHER_208,Encode,Şifrelemek
KEYWORD_WORD_CIPHER_208,Keyword,Anahtar kelime
PASSWORD_WORD_CIPHER_208,Password,Şifre
HARMONY_WORD_SYMPHONY_210,Harmony,Armoni
OVERTURE_WORD_SYMPHONY_210,Overture,Uvertür
MELODY_WORD_SYMPHONY_210,Melody,Melodi
PHOTO_WORD_ARTWORKS_211,Photo,Fotoğraf
DRAWING_WORD_ARTWORKS_211,Drawing,Çizim
PAINTING_WORD_ARTWORKS_211,Painting,Tablo
HAMMER_WORD_AUCTION_215,Hammer,Çekiç
LOT_WORD_AUCTION_215,Lot,Lot
BID_WORD_AUCTION_215,Bid,Teklif
PRICE_WORD_AUCTION_215,Price,Fiyat
CATALOG_WORD_AUCTION_215,Catalog,Katalog
