id,basic_card_name_en,id-ID
VIRGO_WORD_ZODIAC_59,Virgo,Virgo
LIBRA_WORD_ZODIAC_59,Libra,Libra
SCORPIO_WORD_ZODIAC_59,Scorpio,Scorpio
PISCES_WORD_ZODIAC_59,Pisces,Pisces
FRIGATE_WORD_SHIP_62,Frigate,Fregat
CARAVEL_WORD_SHIP_62,Caravel,Karavel
GALLEON_WORD_SHIP_62,Galleon,Galeon
BRIG_WORD_SHIP_62,Brig,Brig
TANKER_WORD_SHIP_62,Tanker,Tanker
TUGBOAT_WORD_SHIP_62,Tugboat,Kapal tunda
STAMP_WORD_MAILMAN_63,Stamp,Perangko
ENVELOPE_WORD_MAILMAN_63,Envelope,Amplop
LETTER_WORD_MAILMAN_63,Letter,Surat
MAIL_WORD_MAILMAN_63,Mail,Pos
SEAL_WORD_MAILMAN_63,Seal,Segel
INK_WORD_MAILMAN_63,Ink,Tinta
BUST_WORD_SCULPT_64,Bust,Patung dada
FIGURINE_WORD_SCULPT_64,Figurine,Figurin
STATUE_WORD_SCULPT_64,Statue,Patung
MONUMENT_WORD_SCULPT_64,Monument,Monumen
ENGLISH_WORD_LANGUAGE_70,English,Inggris
ITALIAN_WORD_LANGUAGE_70,Italian,Italia
HINDI_WORD_LANGUAGE_70,Hindi,Hindi
JAPANESE_WORD_LANGUAGE_70,Japanese,Jepang
HEBREW_WORD_LANGUAGE_70,Hebrew,Ibrani
DANISH_WORD_LANGUAGE_70,Danish,Denmark
LATIN_WORD_LANGUAGE_70,Latin,Latin
POLISH_WORD_LANGUAGE_70,Polish,Polandia
LENS_WORD_CAMERA_73,Lens,Lensa
FLASH_WORD_CAMERA_73,Flash,Kilat
ZOOM_WORD_CAMERA_73,Zoom,Zum
FILTER_WORD_CAMERA_73,Filter,Filter
SHUTTER_WORD_CAMERA_73,Shutter,Rana
EXPOSURE_WORD_CAMERA_73,Exposure,Eksposur
MIST_WORD_FOG_76,Mist,Embun
HAZE_WORD_FOG_76,Haze,Kabut
SMOG_WORD_FOG_76,Smog,Asap
VAPOR_WORD_FOG_76,Vapor,Uap
SLEET_WORD_SNOW_77,Sleet,Hujan es
FLAKE_WORD_SNOW_77,Flake,Serpih
ICEBERG_WORD_SNOW_77,Frost,Embun beku
HEDGEHOG_WORD_SPIKY_78,Hedgehog,Landak
CACTUS_WORD_SPIKY_78,Cactus,Kaktus
DURIAN_WORD_SPIKY_78,Durian,Durian
DOVE_WORD_BIRDS_80,Dove,Merpati
EAGLE_WORD_BIRDS_80,Eagle,Elang
SWAN_WORD_BIRDS_80,Swan,Angsa
OWL_WORD_BIRDS_80,Owl,Burung hantu
HERON_WORD_BIRDS_80,Heron,Bangau
ROBIN_WORD_BIRDS_80,Robin,Robin
FINCH_WORD_BIRDS_80,Finch,Pipit
VULTURE_WORD_BIRDS_80,Vulture,Burung nasar
SARTRE_WORD_MINDS_82,Sartre,Sartre
DANTE_WORD_MINDS_82,Dante,Dante
PLATO_WORD_MINDS_82,Plato,Plato
SOCRATES_WORD_MINDS_82,Socrates,Sokrates
GALILEO_WORD_MINDS_82,Galileo,Galileo
KANT_WORD_MINDS_82,Kant,Kant
PUCK_WORD_HOCKEY_86,Puck,Puk
PENALTY_WORD_HOCKEY_86,Penalty,Penalti
GOAL_WORD_HOCKEY_86,Goal,Gol
RINK_WORD_HOCKEY_86,Rink,Arena
COUPLE_WORD_DATE_87,Couple,Pasangan
TUXEDO_WORD_DATE_87,Wine,Anggur
FLOWERS_WORD_DATE_87,Flowers,Bunga
TEETH_WORD_SAW_88,Teeth,Gigi
BLADE_WORD_SAW_88,Blade,Bilah
NOTCH_WORD_SAW_88,Notch,Takik
OLDMAN_WORD_ACTOR_89,Oldman,Oldman
PITT_WORD_ACTOR_89,Pitt,Pitt
EASTWOOD_WORD_ACTOR_89,Eastwood,Eastwood
HANKS_WORD_ACTOR_89,Hanks,Hanks
CROWE_WORD_ACTOR_89,Crowe,Crowe
CRUISE_WORD_ACTOR_89,Cruise,Cruise
DICAPRIO_WORD_ACTOR_89,DiCaprio,DiCaprio
WAHLBERG_WORD_ACTOR_89,Wahlberg,Wahlberg
MERCURY_WORD_PLANET_90,Mercury,Merkurius
JUPITER_WORD_PLANET_90,Jupiter,Jupiter
SATURN_WORD_PLANET_90,Saturn,Saturnus
URANUS_WORD_PLANET_90,Uranus,Uranus
NEPTUNE_WORD_PLANET_90,Neptune,Neptunus
MARS_WORD_PLANET_90,Mars,Mars
EARTH_WORD_PLANET_90,Earth,Bumi
VENUS_WORD_PLANET_90,Venus,Venus
BIOLOGY_WORD_LESSONS_94,Biology,Biologi
PHYSICS_WORD_LESSONS_94,Physics,Fisika
GEOMETRY_WORD_LESSONS_94,Geometry,Geometri
ALGEBRA_WORD_LESSONS_94,Algebra,Aljabar
HISTORY_WORD_LESSONS_94,History,Sejarah
CALCULUS_WORD_LESSONS_94,Calculus,Kalkulus
TABLETS_WORD_PILLS_99,Tablets,Tablet
CAPSULES_WORD_PILLS_99,Capsules,Kapsul
LOZENGES_WORD_PILLS_99,Lozenges,Pelega
CLOUDS_WORD_RAINY_100,Clouds,Awan
SHOWERS_WORD_RAINY_100,Showers,Hujan
PUDDLES_WORD_RAINY_100,Puddles,Genangan
CIABATTA_WORD_BREADS_102,Ciabatta,Ciabatta
BAGUETTE_WORD_BREADS_102,Baguette,Baguette
FOCACCIA_WORD_BREADS_102,Focaccia,Focaccia
PITA_WORD_BREADS_102,Pita,Pita
CHALLAH_WORD_BREADS_102,Challah,Challah
TORTILLA_WORD_BREADS_102,Tortilla,Tortilla
BRIOCHE_WORD_BREADS_102,Brioche,Brioche
AREPA_WORD_BREADS_102,Arepa,Arepa
GYRUS_WORD_BRAIN_106,Gyrus,Girus
CORTEX_WORD_BRAIN_106,Cortex,Korteks
LOBE_WORD_BRAIN_106,Lobe,Lobus
HYDROGEN_WORD_ELEMENTS_107,Hydrogen,Hidrogen
NITROGEN_WORD_ELEMENTS_107,Nitrogen,Nitrogen
SULFUR_WORD_ELEMENTS_107,Sulfur,Belerang
CARBON_WORD_ELEMENTS_107,Carbon,Karbon
SODIUM_WORD_ELEMENTS_107,Sodium,Natrium
SILICON_WORD_ELEMENTS_107,Silicon,Silikon
IODINE_WORD_ELEMENTS_107,Iodine,Yodium
OXYGEN_WORD_ELEMENTS_107,Oxygen,Oksigen
BRIE_WORD_CHEESE_108,Brie,Brie
FETA_WORD_CHEESE_108,Feta,Feta
GOUDA_WORD_CHEESE_108,Gouda,Gouda
CHEDDAR_WORD_CHEESE_108,Cheddar,Cheddar
PARMESAN_WORD_CHEESE_108,Parmesan,Parmesan
RICOTTA_WORD_CHEESE_108,Ricotta,Ricotta
EDAM_WORD_CHEESE_108,Edam,Edam
DORBLU_WORD_CHEESE_108,Swiss,Swiss
WORKOUT_WORD_FITNESS_110,Workout,Latihan
YOGA_WORD_FITNESS_110,Yoga,Yoga
PILATES_WORD_FITNESS_110,Pilates,Pilates
JOGGING_WORD_FITNESS_110,Jogging,Joging
GYM_WORD_FITNESS_110,Gym,Gym
CARDIO_WORD_FITNESS_110,Cardio,Kardio
BICEPS_WORD_MUSCLES_112,Biceps,Bisep
DELTOIDS_WORD_MUSCLES_112,Deltoids,Deltoid
ABS_WORD_MUSCLES_112,Abs,Perut
TRICEPS_WORD_MUSCLES_112,Triceps,Trisep
SCARAB_WORD_EGYPT_114,Scarab,Skarab
PHARAOH_WORD_EGYPT_114,Pharaoh,Firaun
PAPYRUS_WORD_EGYPT_114,Papyrus,Papirus
PYRAMID_WORD_EGYPT_114,Pyramid,Piramida
MULBERRY_WORD_BERRY_116,Mulberry,Murbei
BILBERRY_WORD_BERRY_116,Bilberry,Bilberi
BARBERRY_WORD_BERRY_116,Barberry,Barberi
ATHENS_WORD_CAPITALS_119,Athens,Athena
PRAGUE_WORD_CAPITALS_119,Prague,Praha
MADRID_WORD_CAPITALS_119,Madrid,Madrid
RIYADH_WORD_CAPITALS_119,Riyadh,Riyadh
OTTAWA_WORD_CAPITALS_119,Ottawa,Ottawa
ROME_WORD_CAPITALS_119,Rome,Roma
OSLO_WORD_CAPITALS_119,Oslo,Oslo
CAIRO_WORD_CAPITALS_119,Cairo,Kairo
POWDER_WORD_MAKEUP_120,Powder,Bedak
SPONGE_WORD_MAKEUP_120,Sponge,Spons
PALETTE_WORD_MAKEUP_120,Palette,Palet
SERUM_WORD_MAKEUP_120,Serum,Serum
PEEL_WORD_MAKEUP_120,Peel,Peeling
BLUSH_WORD_MAKEUP_120,Blush,Perona pipi
SAVATE_WORD_COMBAT_121,Savate,Savate
JUDO_WORD_COMBAT_121,Judo,Judo
KARATE_WORD_COMBAT_121,Karate,Karate
KUNG_FU_WORD_COMBAT_121,Kung fu,Kung fu
SUMO_WORD_COMBAT_121,Sumo,Sumo
SILAT_WORD_COMBAT_121,Silat,Silat
CHORDS_WORD_GUITAR_122,Chords,Akor
PICKUPS_WORD_GUITAR_122,Pickups,Pickup
STRINGS_WORD_GUITAR_122,Strings,Senar
RIFFS_WORD_GUITAR_122,Riffs,Rif
POINTE_WORD_BALLET_125,Pointe,Pointe
TUTU_WORD_BALLET_125,Tutu,Tutu
BARRE_WORD_BALLET_125,Barre,Barre
ALLIANCE_WORD_UNITE_126,Alliance,Aliansi
LEAGUE_WORD_UNITE_126,League,Liga
UNION_WORD_UNITE_126,Union,Uni
JEWELRY_WORD_LUXURY_133,Jewelry,Perhiasan
WATCH_WORD_LUXURY_133,Watch,Jam tangan
CAVIAR_WORD_LUXURY_133,Caviar,Kaviar
YACHT_WORD_LUXURY_133,Yacht,Kapal pesiar
SAVANNA_WORD_BIOMES_135,Savanna,Sabana
TUNDRA_WORD_BIOMES_135,Tundra,Tundra
TAIGA_WORD_BIOMES_135,Taiga,Taiga
SRIRACHA_WORD_SPICY_136,Sriracha,Sriracha
WASABI_WORD_SPICY_136,Wasabi,Wasabi
HABANERO_WORD_SPICY_136,Habanero,Habanero
COCKPIT_WORD_PLANE_139,Cockpit,Kokpit
SEATBELT_WORD_PLANE_139,Seatbelt,Sabuk pengaman
WINGS_WORD_PLANE_139,Wings,Sayap
ENGINE_WORD_PLANE_139,Engine,Mesin
RUDDER_WORD_PLANE_139,Rudder,Kemudi
FUSELAGE_WORD_PLANE_139,Fuselage,Badan pesawat
AILERON_WORD_PLANE_139,Aileron,Aileron
FLY_WORD_PLANE_139,Fly,Terbang
BEAVER_WORD_RODENTS_141,Beaver,Berang-berang
MARMOT_WORD_RODENTS_141,Marmot,Marmot
NUTRIA_WORD_RODENTS_141,Nutria,Nutria
SQUIRREL_WORD_RODENTS_141,Squirrel,Tupai
CAPYBARA_WORD_RODENTS_141,Capybara,Kapibara
RAT_WORD_RODENTS_141,Rat,Tikus
SOLAR_WORD_ENERGY_145,Solar,Surya
NUCLEAR_WORD_ENERGY_145,Nuclear,Nuklir
KINETIC_WORD_ENERGY_145,Kinetic,Kinetik
THERMAL_WORD_ENERGY_145,Thermal,Termal
ESSAY_WORD_ARTICLES_147,Essay,Esai
REVIEW_WORD_ARTICLES_147,Review,Ulasan
OPINION_WORD_ARTICLES_147,Opinion,Opini
TSUNAMI_WORD_DISASTER_148,Tsunami,Tsunami
TORNADO_WORD_DISASTER_148,Tornado,Tornado
FLOOD_WORD_DISASTER_148,Flood,Banjir
GORILLA_WORD_PRIMATES_149,Gorilla,Gorila
GIBBON_WORD_PRIMATES_149,Gibbon,Owa
BABOON_WORD_PRIMATES_149,Baboon,Babun
LEMUR_WORD_PRIMATES_149,Lemur,Lemur
MACAQUE_WORD_PRIMATES_149,Macaque,Kera
SIMIAN_WORD_PRIMATES_149,Simian,Primata
MANDRILL_WORD_PRIMATES_149,Mandrill,Mandril
TARSIER_WORD_PRIMATES_149,Tarsier,Tarsius
PYTHON_WORD_CODING_150,Python,Python
JAVA_WORD_CODING_150,Java,Java
RUBY_WORD_CODING_150,Ruby,Ruby
SWIFT_WORD_CODING_150,Swift,Swift
SCRIPT_WORD_CODING_150,Script,Script
PHP_WORD_CODING_150,PHP,PHP
SQL_WORD_CODING_150,SQL,SQL
BUGS_WORD_CODING_150,Bugs,Bug
LYRICS_WORD_RAP_151,Lyrics,Lirik
VERSE_WORD_RAP_151,Verse,Bait
RHYME_WORD_RAP_151,Rhyme,Rima
PUNCH_WORD_RAP_151,Punch,Pukulan
NIAGARA_WORD_WATER_152,Niagara,Niagara
VICTORIA_WORD_WATER_152,Victoria,Victoria
YOSEMITE_WORD_WATER_152,Yosemite,Yosemite
HAVASU_WORD_WATER_152,Havasu,Havasu
YO_YO_WORD_TOYS_154,Yo-yo,Yo-yo
SPINNER_WORD_TOYS_154,Spinner,Gasing
DOLL_WORD_TOYS_154,Doll,Boneka
SERGEANT_WORD_ARMY_156,Sergeant,Sersan
MAJOR_WORD_ARMY_156,Major,Mayor
GENERAL_WORD_ARMY_156,General,Jenderal
COLONEL_WORD_ARMY_156,Colonel,Kolonel
PRIVATE_WORD_ARMY_156,Private,Prajurit
CORPORAL_WORD_ARMY_156,Corporal,Kopral
CAPTAIN_WORD_ARMY_156,Captain,Kapten
RANK_WORD_ARMY_156,Rank,Pangkat
ZEN_WORD_MEDITATE_160,Zen,Zen
BREATH_WORD_MEDITATE_160,Breath,Napas
PEACE_WORD_MEDITATE_160,Peace,Damai
MANTRA_WORD_MEDITATE_160,Mantra,Mantra
FAMOUS_WORD_FAME_161,Famous,Terkenal
ICONIC_WORD_FAME_161,Iconic,Ikonik
POPULAR_WORD_FAME_161,Popular,Populer
RENOWN_WORD_FAME_161,Renown,Kemasyhuran
SYNTAX_WORD_LINGUIST_162,Syntax,Sintaksis
POLYGLOT_WORD_LINGUIST_162,Polyglot,Poliglot
GRAMMAR_WORD_LINGUIST_162,Grammar,Tata bahasa
SCHOLAR_WORD_LINGUIST_162,Scholar,Sarjana
EASTER_WORD_HOLIDAY_163,Easter,Paskah
NEW_YEAR_WORD_HOLIDAY_163,New Year,Tahun Baru
FLAG_DAY_WORD_HOLIDAY_163,Flag Day,Hari Bendera
DUMBBELL_WORD_GYM_164,Dumbbell,Dumbel
BARBELL_WORD_GYM_164,Barbell,Barbel
AIR_BIKE_WORD_GYM_164,Air bike,Sepeda udara
PERICLES_WORD_WILLIAM_165,Pericles,Pericles
MACBETH_WORD_WILLIAM_165,Macbeth,Macbeth
HAMLET_WORD_WILLIAM_165,Hamlet,Hamlet
OTHELLO_WORD_WILLIAM_165,Othello,Othello
JULIET_WORD_WILLIAM_165,Juliet,Juliet
ROMEO_WORD_WILLIAM_165,Romeo,Romeo
TEMPEST_WORD_WILLIAM_165,Tempest,Tempest
HENRY_V_WORD_WILLIAM_165,Henry V,Henry V
WOLF_WORD_CANINES_168,Wolf,Serigala
COYOTE_WORD_CANINES_168,Coyote,Koyote
DINGO_WORD_CANINES_168,Dingo,Dingo
JACKAL_WORD_CANINES_168,Jackal,Jakal
FOX_WORD_CANINES_168,Fox,Rubah
DHOLE_WORD_CANINES_168,Dhole,Ajag
HARVARD_WORD_STUDIES_169,Harvard,Harvard
STANFORD_WORD_STUDIES_169,Stanford,Stanford
OXFORD_WORD_STUDIES_169,Oxford,Oxford
YALE_WORD_STUDIES_169,Yale,Yale
SORBONNE_WORD_STUDIES_169,Sorbonne,Sorbonne
MIT_WORD_STUDIES_169,MIT,MIT
LEMON_WORD_CITRUS_173,Lemon,Lemon
LIME_WORD_CITRUS_173,Lime,Jeruk nipis
POMELO_WORD_CITRUS_173,Pomelo,Jeruk bali
GLIDER_WORD_AIRCRAFT_174,Glider,Glider
JETLINER_WORD_AIRCRAFT_174,Jetliner,Jet
AIRPLANE_WORD_AIRCRAFT_174,Airplane,Pesawat
MERLOT_WORD_GRAPE_177,Merlot,Merlot
RIESLING_WORD_GRAPE_177,Riesling,Riesling
SHIRAZ_WORD_GRAPE_177,Shiraz,Shiraz
GRENACHE_WORD_GRAPE_177,Grenache,Grenache
MUSCAT_WORD_GRAPE_177,Muscat,Muscat
MALBEC_WORD_GRAPE_177,Malbec,Malbec
AMANITA_WORD_MUSHROOM_178,Amanita,Amanita
PORCINI_WORD_MUSHROOM_178,Porcini,Porcini
RUSSULA_WORD_MUSHROOM_178,Russula,Russula
TRUFFLE_WORD_MUSHROOM_178,Truffle,Truffle
ENOKI_WORD_MUSHROOM_178,Enoki,Enoki
SHIITAKE_WORD_MUSHROOM_178,Shiitake,Shiitake
WALRUS_WORD_ARCTIC_180,Walrus,Walrus
POLAR_BEAR_WORD_ARCTIC_180,Polar bear,Beruang kutub
SNOWY_OWL_WORD_ARCTIC_180,Snowy owl,Burung hantu salju
REINDEER_WORD_ARCTIC_180,Reindeer,Rusa kutub
PIT_STOP_WORD_RACING_182,Pit stop,Pit stop
FINISH_WORD_RACING_182,Finish,Finis
SPEEDWAY_WORD_RACING_182,Speedway,Sirkuit
ASSIST_WORD_HELP_183,Assist,Bantu
SUPPORT_WORD_HELP_183,Support,Dukung
DONATE_WORD_HELP_183,Donate,Donasi
OPAL_WORD_GEMSTONE_186,Opal,Opal
RUBY_WORD_GEMSTONE_186,Ruby,Rubi
TOPAZ_WORD_GEMSTONE_186,Topaz,Topaz
SAPPHIRE_WORD_GEMSTONE_186,Sapphire,Safir
GARNET_WORD_GEMSTONE_186,Garnet,Garnet
DIAMOND_WORD_GEMSTONE_186,Diamond,Berlian
ONYX_WORD_GEMSTONE_186,Onyx,Oniks
AGATE_WORD_GEMSTONE_186,Agate,Akik
ORION_WORD_PATTERN_188,Orion,Orion
PERSEUS_WORD_PATTERN_188,Perseus,Perseus
DRACO_WORD_PATTERN_188,Draco,Draco
SCORPIUS_WORD_PATTERN_188,Scorpius,Scorpius
CYGNUS_WORD_PATTERN_188,Cygnus,Cygnus
SERPENS_WORD_PATTERN_188,Serpens,Serpens
GASOLINE_WORD_FUELS_190,Gasoline,Bensin
DIESEL_WORD_FUELS_190,Diesel,Diesel
COAL_WORD_FUELS_190,Coal,Batu bara
PROPANE_WORD_FUELS_190,Propane,Propana
KEROSENE_WORD_FUELS_190,Kerosene,Minyak tanah
VOTER_WORD_ELECT_193,Voter,Pemilih
BALLOT_WORD_ELECT_193,Ballot,Surat suara
CAMPAIGN_WORD_ELECT_193,Campaign,Kampanye
TURNOUT_WORD_ELECT_193,Turnout,Partisipasi
KING_WORD_CROWN_194,King,Raja
EMPEROR_WORD_CROWN_194,Emperor,Kaisar
MAHARAJA_WORD_CROWN_194,Maharaja,Maharaja
KENNEDY_WORD_LEADER_196,Washington,Washington
CLINTON_WORD_LEADER_196,Jefferson,Jefferson
LINCOLN_WORD_LEADER_196,Lincoln,Lincoln
REAGAN_WORD_LEADER_196,Roosevelt,Roosevelt
BUSH_WORD_LEADER_196,Wilson,Wilson
OBAMA_WORD_LEADER_196,Jackson,Jackson
ADAMS_WORD_LEADER_196,Adams,Adams
BIDEN_WORD_LEADER_196,Madison,Madison
SOFT_BUN_WORD_HOT_DOG_201,Soft bun,Roti lembut
SAUSAGE_WORD_HOT_DOG_201,Sausage,Sosis
KETCHUP_WORD_HOT_DOG_201,Ketchup,Saus tomat
DECODE_WORD_CIPHER_208,Decode,Dekode
ENCODE_WORD_CIPHER_208,Encode,Enkode
KEYWORD_WORD_CIPHER_208,Keyword,Kata kunci
PASSWORD_WORD_CIPHER_208,Password,Kata sandi
HARMONY_WORD_SYMPHONY_210,Harmony,Harmoni
OVERTURE_WORD_SYMPHONY_210,Overture,Overtur
MELODY_WORD_SYMPHONY_210,Melody,Melodi
PHOTO_WORD_ARTWORKS_211,Photo,Foto
DRAWING_WORD_ARTWORKS_211,Drawing,Gambar
PAINTING_WORD_ARTWORKS_211,Painting,Lukisan
HAMMER_WORD_AUCTION_215,Hammer,Palu
LOT_WORD_AUCTION_215,Lot,Lot
BID_WORD_AUCTION_215,Bid,Tawaran
PRICE_WORD_AUCTION_215,Price,Harga
CATALOG_WORD_AUCTION_215,Catalog,Katalog
BIDDER_WORD_AUCTION_215,Bidder,Penawar
EXCELSA_WORD_BEANS_219,Excelsa,Excelsa
ROBUSTA_WORD_BEANS_219,Robusta,Robusta
LIBERICA_WORD_BEANS_219,Liberica,Liberica
ARABICA_WORD_BEANS_219,Arabica,Arabika
TENT_WORD_CAMPING_221,Tent,Tenda
