id,basic_card_name_en,pl-PL
FRANCE_WORD_MAP_32,France,Francja
USA_WORD_MAP_32,USA,USA
UK_WORD_MAP_32,UK,Wlk. Brytania
CYPRUS_WORD_MAP_32,Cyprus,Cypr
JAPAN_WORD_MAP_32,Japan,Japonia
ARMOR_WORD_KNIGHT_34,Armor,Zbroja
HELMET_WORD_KNIGHT_34,Helmet,Hełm
SHIELD_WORD_KNIGHT_34,Shield,Tarcza
WEAPON_WORD_KNIGHT_34,Weapon,Broń
DESTRIER_WORD_KNIGHT_34,Destrier,Destrier
CHIVALRY_WORD_KNIGHT_34,Chivalry,Rycerskość
SHOOTER_WORD_GAMER_36,Shooter,Strzelanka
ARCADE_WORD_GAMER_36,Arcade,Arcade
STRATEGY_WORD_GAMER_36,Strategy,Strategia
SCORE_WORD_GAMER_36,Score,Wynik
DRYER_WORD_DEVICE_38,Dryer,Suszarka
PRINTER_WORD_DEVICE_38,Printer,Drukarka
FAX_WORD_DEVICE_38,Fax,Faks
HEATER_WORD_DEVICE_38,Heater,Grzejnik
MANSION_WORD_HOUSE_40,Mansion,Rezydencja
PALACE_WORD_HOUSE_40,Palace,Pałac
VILLA_WORD_HOUSE_40,Villa,Willa
PILOT_WORD_JOBS_42,Pilot,Pilot
MAILMAN_WORD_JOBS_42,Mailman,Listonosz
DOCTOR_WORD_JOBS_42,Doctor,Lekarz
WELDER_WORD_JOBS_42,Welder,Spawacz
ENGINEER_WORD_JOBS_42,Engineer,Inżynier
PLUMBER_WORD_JOBS_42,Plumber,Hydraulik
ACTOR_WORD_JOBS_42,Actor,Aktor
NURSE_WORD_JOBS_42,Nurse,Pielęgniarka
SANDALS_WORD_FOOTWEAR_46,Sandals,Sandały
UGGS_WORD_FOOTWEAR_46,Uggs,Uggi
SLIPPERS_WORD_FOOTWEAR_46,Slippers,Kapcie
CLOGS_WORD_FOOTWEAR_46,Clogs,Chodaki
LOAFERS_WORD_FOOTWEAR_46,Loafers,Mokasyny
SNEAKERS_WORD_FOOTWEAR_46,Sneakers,Sneakersy
CAR_WORD_DRIVING_49,Car,Samochód
ROAD_WORD_DRIVING_49,Road,Droga
SIGN_WORD_DRIVING_49,Sign,Znak
TRAFFIC_WORD_DRIVING_49,Traffic,Ruch
VESPUCCI_WORD_EXPLORER_51,Vespucci,Vespucci
MAGELLAN_WORD_EXPLORER_51,Magellan,Magellan
COLUMBUS_WORD_EXPLORER_51,Columbus,Kolumb
KICK_WORD_MOVEMENT_52,Kick,Kopnięcie
WALK_WORD_MOVEMENT_52,Walk,Chód
JUMP_WORD_MOVEMENT_52,Jump,Skok
SOLID_WORD_PHASE_57,Solid,Ciało stałe
LIQUID_WORD_PHASE_57,Liquid,Ciecz
GAS_WORD_PHASE_57,Gas,Gaz
COMFY_WORD_COZY_58,Comfy,Wygodny
WARM_WORD_COZY_58,Warm,Ciepły
SNUG_WORD_COZY_58,Snug,Przytulny
ARIES_WORD_ZODIAC_59,Aries,Baran
TAURUS_WORD_ZODIAC_59,Taurus,Byk
GEMINI_WORD_ZODIAC_59,Gemini,Bliźnięta
LEO_WORD_ZODIAC_59,Leo,Lew
VIRGO_WORD_ZODIAC_59,Virgo,Panna
LIBRA_WORD_ZODIAC_59,Libra,Waga
SCORPIO_WORD_ZODIAC_59,Scorpio,Skorpion
PISCES_WORD_ZODIAC_59,Pisces,Ryby
FRIGATE_WORD_SHIP_62,Frigate,Fregata
CARAVEL_WORD_SHIP_62,Caravel,Karawela
GALLEON_WORD_SHIP_62,Galleon,Galeon
BRIG_WORD_SHIP_62,Brig,Bryg
TANKER_WORD_SHIP_62,Tanker,Tankowiec
TUGBOAT_WORD_SHIP_62,Tugboat,Holownik
STAMP_WORD_MAILMAN_63,Stamp,Znaczek
ENVELOPE_WORD_MAILMAN_63,Envelope,Koperta
LETTER_WORD_MAILMAN_63,Letter,List
MAIL_WORD_MAILMAN_63,Mail,Poczta
SEAL_WORD_MAILMAN_63,Seal,Pieczęć
INK_WORD_MAILMAN_63,Ink,Atrament
BUST_WORD_SCULPT_64,Bust,Popiersie
FIGURINE_WORD_SCULPT_64,Figurine,Figurka
STATUE_WORD_SCULPT_64,Statue,Posąg
MONUMENT_WORD_SCULPT_64,Monument,Pomnik
ENGLISH_WORD_LANGUAGE_70,English,Angielski
ITALIAN_WORD_LANGUAGE_70,Italian,Włoski
HINDI_WORD_LANGUAGE_70,Hindi,Hindi
JAPANESE_WORD_LANGUAGE_70,Japanese,Japoński
HEBREW_WORD_LANGUAGE_70,Hebrew,Hebrajski
DANISH_WORD_LANGUAGE_70,Danish,Duński
LATIN_WORD_LANGUAGE_70,Latin,Łacina
POLISH_WORD_LANGUAGE_70,Polish,Polski
LENS_WORD_CAMERA_73,Lens,Obiektyw
FLASH_WORD_CAMERA_73,Flash,Flesz
ZOOM_WORD_CAMERA_73,Zoom,Zoom
FILTER_WORD_CAMERA_73,Filter,Filtr
SHUTTER_WORD_CAMERA_73,Shutter,Migawka
EXPOSURE_WORD_CAMERA_73,Exposure,Ekspozycja
MIST_WORD_FOG_76,Mist,Mgła
HAZE_WORD_FOG_76,Haze,Zamglenie
SMOG_WORD_FOG_76,Smog,Smog
VAPOR_WORD_FOG_76,Vapor,Para
SLEET_WORD_SNOW_77,Sleet,Deszcz ze śniegiem
FLAKE_WORD_SNOW_77,Flake,Płatek
ICEBERG_WORD_SNOW_77,Frost,Mróz
HEDGEHOG_WORD_SPIKY_78,Hedgehog,Jeż
CACTUS_WORD_SPIKY_78,Cactus,Kaktus
DURIAN_WORD_SPIKY_78,Durian,Durian
DOVE_WORD_BIRDS_80,Dove,Gołąb
EAGLE_WORD_BIRDS_80,Eagle,Orzeł
SWAN_WORD_BIRDS_80,Swan,Łabędź
OWL_WORD_BIRDS_80,Owl,Sowa
HERON_WORD_BIRDS_80,Heron,Czapla
ROBIN_WORD_BIRDS_80,Robin,Rudzik
FINCH_WORD_BIRDS_80,Finch,Zięba
VULTURE_WORD_BIRDS_80,Vulture,Sęp
SARTRE_WORD_MINDS_82,Sartre,Sartre
DANTE_WORD_MINDS_82,Dante,Dante
PLATO_WORD_MINDS_82,Plato,Platon
SOCRATES_WORD_MINDS_82,Socrates,Sokrates
GALILEO_WORD_MINDS_82,Galileo,Galileusz
KANT_WORD_MINDS_82,Kant,Kant
PUCK_WORD_HOCKEY_86,Puck,Krążek
PENALTY_WORD_HOCKEY_86,Penalty,Kara
GOAL_WORD_HOCKEY_86,Goal,Gol
RINK_WORD_HOCKEY_86,Rink,Lodowisko
COUPLE_WORD_DATE_87,Couple,Para
TUXEDO_WORD_DATE_87,Wine,Wino
FLOWERS_WORD_DATE_87,Flowers,Kwiaty
TEETH_WORD_SAW_88,Teeth,Zęby
BLADE_WORD_SAW_88,Blade,Ostrze
NOTCH_WORD_SAW_88,Notch,Nacięcie
OLDMAN_WORD_ACTOR_89,Oldman,Oldman
PITT_WORD_ACTOR_89,Pitt,Pitt
EASTWOOD_WORD_ACTOR_89,Eastwood,Eastwood
HANKS_WORD_ACTOR_89,Hanks,Hanks
CROWE_WORD_ACTOR_89,Crowe,Crowe
CRUISE_WORD_ACTOR_89,Cruise,Cruise
DICAPRIO_WORD_ACTOR_89,DiCaprio,DiCaprio
WAHLBERG_WORD_ACTOR_89,Wahlberg,Wahlberg
MERCURY_WORD_PLANET_90,Mercury,Merkury
JUPITER_WORD_PLANET_90,Jupiter,Jowisz
SATURN_WORD_PLANET_90,Saturn,Saturn
URANUS_WORD_PLANET_90,Uranus,Uran
NEPTUNE_WORD_PLANET_90,Neptune,Neptun
MARS_WORD_PLANET_90,Mars,Mars
EARTH_WORD_PLANET_90,Earth,Ziemia
VENUS_WORD_PLANET_90,Venus,Wenus
BIOLOGY_WORD_LESSONS_94,Biology,Biologia
PHYSICS_WORD_LESSONS_94,Physics,Fizyka
GEOMETRY_WORD_LESSONS_94,Geometry,Geometria
ALGEBRA_WORD_LESSONS_94,Algebra,Algebra
HISTORY_WORD_LESSONS_94,History,Historia
CALCULUS_WORD_LESSONS_94,Calculus,Rachunek
TABLETS_WORD_PILLS_99,Tablets,Tabletki
CAPSULES_WORD_PILLS_99,Capsules,Kapsułki
LOZENGES_WORD_PILLS_99,Lozenges,Pastylki
CLOUDS_WORD_RAINY_100,Clouds,Chmury
SHOWERS_WORD_RAINY_100,Showers,Przelotne deszcze
PUDDLES_WORD_RAINY_100,Puddles,Kałuże
CIABATTA_WORD_BREADS_102,Ciabatta,Ciabatta
BAGUETTE_WORD_BREADS_102,Baguette,Bagietka
FOCACCIA_WORD_BREADS_102,Focaccia,Focaccia
PITA_WORD_BREADS_102,Pita,Pita
CHALLAH_WORD_BREADS_102,Challah,Chałka
TORTILLA_WORD_BREADS_102,Tortilla,Tortilla
BRIOCHE_WORD_BREADS_102,Brioche,Brioche
AREPA_WORD_BREADS_102,Arepa,Arepa
GYRUS_WORD_BRAIN_106,Gyrus,Zakręt
CORTEX_WORD_BRAIN_106,Cortex,Kora
LOBE_WORD_BRAIN_106,Lobe,Płat
HYDROGEN_WORD_ELEMENTS_107,Hydrogen,Wodór
NITROGEN_WORD_ELEMENTS_107,Nitrogen,Azot
SULFUR_WORD_ELEMENTS_107,Sulfur,Siarka
CARBON_WORD_ELEMENTS_107,Carbon,Węgiel
SODIUM_WORD_ELEMENTS_107,Sodium,Sód
SILICON_WORD_ELEMENTS_107,Silicon,Krzem
IODINE_WORD_ELEMENTS_107,Iodine,Jod
OXYGEN_WORD_ELEMENTS_107,Oxygen,Tlen
BRIE_WORD_CHEESE_108,Brie,Brie
FETA_WORD_CHEESE_108,Feta,Feta
GOUDA_WORD_CHEESE_108,Gouda,Gouda
CHEDDAR_WORD_CHEESE_108,Cheddar,Cheddar
PARMESAN_WORD_CHEESE_108,Parmesan,Parmezan
RICOTTA_WORD_CHEESE_108,Ricotta,Ricotta
EDAM_WORD_CHEESE_108,Edam,Edamski
DORBLU_WORD_CHEESE_108,Swiss,Szwajcarski
WORKOUT_WORD_FITNESS_110,Workout,Trening
YOGA_WORD_FITNESS_110,Yoga,Joga
PILATES_WORD_FITNESS_110,Pilates,Pilates
JOGGING_WORD_FITNESS_110,Jogging,Bieganie
GYM_WORD_FITNESS_110,Gym,Siłownia
CARDIO_WORD_FITNESS_110,Cardio,Kardio
BICEPS_WORD_MUSCLES_112,Biceps,Biceps
DELTOIDS_WORD_MUSCLES_112,Deltoids,Deltoidalne
ABS_WORD_MUSCLES_112,Abs,Brzuch
TRICEPS_WORD_MUSCLES_112,Triceps,Triceps
SCARAB_WORD_EGYPT_114,Scarab,Skarabeusz
PHARAOH_WORD_EGYPT_114,Pharaoh,Faraon
PAPYRUS_WORD_EGYPT_114,Papyrus,Papirus
PYRAMID_WORD_EGYPT_114,Pyramid,Piramida
MULBERRY_WORD_BERRY_116,Mulberry,Morwa
BILBERRY_WORD_BERRY_116,Bilberry,Borówka
BARBERRY_WORD_BERRY_116,Barberry,Berberys
ATHENS_WORD_CAPITALS_119,Athens,Ateny
PRAGUE_WORD_CAPITALS_119,Prague,Praga
MADRID_WORD_CAPITALS_119,Madrid,Madryt
RIYADH_WORD_CAPITALS_119,Riyadh,Rijad
OTTAWA_WORD_CAPITALS_119,Ottawa,Ottawa
ROME_WORD_CAPITALS_119,Rome,Rzym
OSLO_WORD_CAPITALS_119,Oslo,Oslo
CAIRO_WORD_CAPITALS_119,Cairo,Kair
POWDER_WORD_MAKEUP_120,Powder,Puder
SPONGE_WORD_MAKEUP_120,Sponge,Gąbka
PALETTE_WORD_MAKEUP_120,Palette,Paleta
SERUM_WORD_MAKEUP_120,Serum,Serum
PEEL_WORD_MAKEUP_120,Peel,Peeling
BLUSH_WORD_MAKEUP_120,Blush,Róż
SAVATE_WORD_COMBAT_121,Savate,Savate
JUDO_WORD_COMBAT_121,Judo,Judo
KARATE_WORD_COMBAT_121,Karate,Karate
KUNG_FU_WORD_COMBAT_121,Kung fu,Kung-fu
SUMO_WORD_COMBAT_121,Sumo,Sumo
SILAT_WORD_COMBAT_121,Silat,Silat
CHORDS_WORD_GUITAR_122,Chords,Akordy
PICKUPS_WORD_GUITAR_122,Pickups,Przystawki
STRINGS_WORD_GUITAR_122,Strings,Struny
RIFFS_WORD_GUITAR_122,Riffs,Riffy
POINTE_WORD_BALLET_125,Pointe,Szpic
TUTU_WORD_BALLET_125,Tutu,Tutu
BARRE_WORD_BALLET_125,Barre,Drążek
ALLIANCE_WORD_UNITE_126,Alliance,Sojusz
LEAGUE_WORD_UNITE_126,League,Liga
UNION_WORD_UNITE_126,Union,Unia
JEWELRY_WORD_LUXURY_133,Jewelry,Biżuteria
WATCH_WORD_LUXURY_133,Watch,Zegarek
CAVIAR_WORD_LUXURY_133,Caviar,Kawior
YACHT_WORD_LUXURY_133,Yacht,Jacht
SAVANNA_WORD_BIOMES_135,Savanna,Sawanna
TUNDRA_WORD_BIOMES_135,Tundra,Tundra
TAIGA_WORD_BIOMES_135,Taiga,Tajga
SRIRACHA_WORD_SPICY_136,Sriracha,Sriracha
WASABI_WORD_SPICY_136,Wasabi,Wasabi
HABANERO_WORD_SPICY_136,Habanero,Habanero
COCKPIT_WORD_PLANE_139,Cockpit,Kokpit
SEATBELT_WORD_PLANE_139,Seatbelt,Pas
WINGS_WORD_PLANE_139,Wings,Skrzydła
ENGINE_WORD_PLANE_139,Engine,Silnik
RUDDER_WORD_PLANE_139,Rudder,Ster
FUSELAGE_WORD_PLANE_139,Fuselage,Kadłub
AILERON_WORD_PLANE_139,Aileron,Lotka
FLY_WORD_PLANE_139,Fly,Latać
BEAVER_WORD_RODENTS_141,Beaver,Bóbr
MARMOT_WORD_RODENTS_141,Marmot,Świstak
NUTRIA_WORD_RODENTS_141,Nutria,Nutria
SQUIRREL_WORD_RODENTS_141,Squirrel,Wiewiórka
CAPYBARA_WORD_RODENTS_141,Capybara,Kapibara
RAT_WORD_RODENTS_141,Rat,Szczur
SOLAR_WORD_ENERGY_145,Solar,Słoneczna
NUCLEAR_WORD_ENERGY_145,Nuclear,Jądrowa
KINETIC_WORD_ENERGY_145,Kinetic,Kinetyczna
THERMAL_WORD_ENERGY_145,Thermal,Cieplna
ESSAY_WORD_ARTICLES_147,Essay,Esej
REVIEW_WORD_ARTICLES_147,Review,Recenzja
OPINION_WORD_ARTICLES_147,Opinion,Opinia
TSUNAMI_WORD_DISASTER_148,Tsunami,Tsunami
TORNADO_WORD_DISASTER_148,Tornado,Tornado
FLOOD_WORD_DISASTER_148,Flood,Powódź
GORILLA_WORD_PRIMATES_149,Gorilla,Goryl
GIBBON_WORD_PRIMATES_149,Gibbon,Gibon
BABOON_WORD_PRIMATES_149,Baboon,Pawian
LEMUR_WORD_PRIMATES_149,Lemur,Lemur
MACAQUE_WORD_PRIMATES_149,Macaque,Makak
SIMIAN_WORD_PRIMATES_149,Simian,Małpa
MANDRILL_WORD_PRIMATES_149,Mandrill,Mandryl
TARSIER_WORD_PRIMATES_149,Tarsier,Wyrak
PYTHON_WORD_CODING_150,Python,Python
JAVA_WORD_CODING_150,Java,Java
RUBY_WORD_CODING_150,Ruby,Ruby
SWIFT_WORD_CODING_150,Swift,Swift
SCRIPT_WORD_CODING_150,Script,Skrypt
PHP_WORD_CODING_150,PHP,PHP
SQL_WORD_CODING_150,SQL,SQL
BUGS_WORD_CODING_150,Bugs,Błędy
LYRICS_WORD_RAP_151,Lyrics,Teksty
VERSE_WORD_RAP_151,Verse,Zwrotka
RHYME_WORD_RAP_151,Rhyme,Rym
PUNCH_WORD_RAP_151,Punch,Punch
NIAGARA_WORD_WATER_152,Niagara,Niagara
VICTORIA_WORD_WATER_152,Victoria,Wiktorii
YOSEMITE_WORD_WATER_152,Yosemite,Yosemite
HAVASU_WORD_WATER_152,Havasu,Havasu
YO_YO_WORD_TOYS_154,Yo-yo,Jo-jo
SPINNER_WORD_TOYS_154,Spinner,Bączek
DOLL_WORD_TOYS_154,Doll,Lalka
SERGEANT_WORD_ARMY_156,Sergeant,Sierżant
MAJOR_WORD_ARMY_156,Major,Major
GENERAL_WORD_ARMY_156,General,Generał
COLONEL_WORD_ARMY_156,Colonel,Pułkownik
PRIVATE_WORD_ARMY_156,Private,Szeregowy
CORPORAL_WORD_ARMY_156,Corporal,Kapral
CAPTAIN_WORD_ARMY_156,Captain,Kapitan
RANK_WORD_ARMY_156,Rank,Ranga
ZEN_WORD_MEDITATE_160,Zen,Zen
BREATH_WORD_MEDITATE_160,Breath,Oddech
PEACE_WORD_MEDITATE_160,Peace,Spokój
MANTRA_WORD_MEDITATE_160,Mantra,Mantra
FAMOUS_WORD_FAME_161,Famous,Sławny
ICONIC_WORD_FAME_161,Iconic,Ikoniczny
POPULAR_WORD_FAME_161,Popular,Popularny
RENOWN_WORD_FAME_161,Renown,Rozgłos
SYNTAX_WORD_LINGUIST_162,Syntax,Składnia
POLYGLOT_WORD_LINGUIST_162,Polyglot,Poliglota
GRAMMAR_WORD_LINGUIST_162,Grammar,Gramatyka
SCHOLAR_WORD_LINGUIST_162,Scholar,Uczony
EASTER_WORD_HOLIDAY_163,Easter,Wielkanoc
NEW_YEAR_WORD_HOLIDAY_163,New Year,Nowy Rok
FLAG_DAY_WORD_HOLIDAY_163,Flag Day,Dzień Flagi
DUMBBELL_WORD_GYM_164,Dumbbell,Hantle
BARBELL_WORD_GYM_164,Barbell,Sztanga
AIR_BIKE_WORD_GYM_164,Air bike,Air bike
PERICLES_WORD_WILLIAM_165,Pericles,Perykles
MACBETH_WORD_WILLIAM_165,Macbeth,Makbet
HAMLET_WORD_WILLIAM_165,Hamlet,Hamlet
OTHELLO_WORD_WILLIAM_165,Othello,Otello
JULIET_WORD_WILLIAM_165,Juliet,Julia
ROMEO_WORD_WILLIAM_165,Romeo,Romeo
TEMPEST_WORD_WILLIAM_165,Tempest,Burza
HENRY_V_WORD_WILLIAM_165,Henry V,Henryk V
WOLF_WORD_CANINES_168,Wolf,Wilk
COYOTE_WORD_CANINES_168,Coyote,Kojot
DINGO_WORD_CANINES_168,Dingo,Dingo
JACKAL_WORD_CANINES_168,Jackal,Szakal
FOX_WORD_CANINES_168,Fox,Lis
DHOLE_WORD_CANINES_168,Dhole,Cyjon
HARVARD_WORD_STUDIES_169,Harvard,Harvard
STANFORD_WORD_STUDIES_169,Stanford,Stanford
OXFORD_WORD_STUDIES_169,Oxford,Oksford
YALE_WORD_STUDIES_169,Yale,Yale
SORBONNE_WORD_STUDIES_169,Sorbonne,Sorbona
MIT_WORD_STUDIES_169,MIT,MIT
LEMON_WORD_CITRUS_173,Lemon,Cytryna
LIME_WORD_CITRUS_173,Lime,Limonka
POMELO_WORD_CITRUS_173,Pomelo,Pomelo
GLIDER_WORD_AIRCRAFT_174,Glider,Szybowiec
JETLINER_WORD_AIRCRAFT_174,Jetliner,Odrzutowiec
AIRPLANE_WORD_AIRCRAFT_174,Airplane,Samolot
MERLOT_WORD_GRAPE_177,Merlot,Merlot
RIESLING_WORD_GRAPE_177,Riesling,Riesling
SHIRAZ_WORD_GRAPE_177,Shiraz,Shiraz
GRENACHE_WORD_GRAPE_177,Grenache,Grenache
MUSCAT_WORD_GRAPE_177,Muscat,Muskat
MALBEC_WORD_GRAPE_177,Malbec,Malbec
AMANITA_WORD_MUSHROOM_178,Amanita,Muchomor
PORCINI_WORD_MUSHROOM_178,Porcini,Borowik
RUSSULA_WORD_MUSHROOM_178,Russula,Gołąbek
TRUFFLE_WORD_MUSHROOM_178,Truffle,Trufla
ENOKI_WORD_MUSHROOM_178,Enoki,Enoki
SHIITAKE_WORD_MUSHROOM_178,Shiitake,Shiitake
WALRUS_WORD_ARCTIC_180,Walrus,Mors
POLAR_BEAR_WORD_ARCTIC_180,Polar bear,Niedźwiedź polarny
SNOWY_OWL_WORD_ARCTIC_180,Snowy owl,Sowa śnieżna
REINDEER_WORD_ARCTIC_180,Reindeer,Renifer
PIT_STOP_WORD_RACING_182,Pit stop,Pit stop
FINISH_WORD_RACING_182,Finish,Meta
SPEEDWAY_WORD_RACING_182,Speedway,Żużel
ASSIST_WORD_HELP_183,Assist,Pomoc
SUPPORT_WORD_HELP_183,Support,Wsparcie
DONATE_WORD_HELP_183,Donate,Darowizna
OPAL_WORD_GEMSTONE_186,Opal,Opal
RUBY_WORD_GEMSTONE_186,Ruby,Rubin
TOPAZ_WORD_GEMSTONE_186,Topaz,Topaz
SAPPHIRE_WORD_GEMSTONE_186,Sapphire,Szafir
GARNET_WORD_GEMSTONE_186,Garnet,Granat
DIAMOND_WORD_GEMSTONE_186,Diamond,Diament
ONYX_WORD_GEMSTONE_186,Onyx,Onyks
AGATE_WORD_GEMSTONE_186,Agate,Agat
ORION_WORD_PATTERN_188,Orion,Orion
PERSEUS_WORD_PATTERN_188,Perseus,Perseusz
DRACO_WORD_PATTERN_188,Draco,Smok
SCORPIUS_WORD_PATTERN_188,Scorpius,Skorpion
CYGNUS_WORD_PATTERN_188,Cygnus,Łabędź
SERPENS_WORD_PATTERN_188,Serpens,Wąż
GASOLINE_WORD_FUELS_190,Gasoline,Benzyna
DIESEL_WORD_FUELS_190,Diesel,Diesel
COAL_WORD_FUELS_190,Coal,Węgiel
PROPANE_WORD_FUELS_190,Propane,Propan
KEROSENE_WORD_FUELS_190,Kerosene,Nafta
VOTER_WORD_ELECT_193,Voter,Wyborca
BALLOT_WORD_ELECT_193,Ballot,Karta do głosowania
CAMPAIGN_WORD_ELECT_193,Campaign,Kampania
TURNOUT_WORD_ELECT_193,Turnout,Frekwencja
KING_WORD_CROWN_194,King,Król
EMPEROR_WORD_CROWN_194,Emperor,Cesarz
MAHARAJA_WORD_CROWN_194,Maharaja,Maharadża
KENNEDY_WORD_LEADER_196,Washington,Waszyngton
CLINTON_WORD_LEADER_196,Jefferson,Jefferson
LINCOLN_WORD_LEADER_196,Lincoln,Lincoln
REAGAN_WORD_LEADER_196,Roosevelt,Roosevelt
BUSH_WORD_LEADER_196,Wilson,Wilson
OBAMA_WORD_LEADER_196,Jackson,Jackson
ADAMS_WORD_LEADER_196,Adams,Adams
BIDEN_WORD_LEADER_196,Madison,Madison
SOFT_BUN_WORD_HOT_DOG_201,Soft bun,Miękka bułka
SAUSAGE_WORD_HOT_DOG_201,Sausage,Parówka
KETCHUP_WORD_HOT_DOG_201,Ketchup,Keczup
DECODE_WORD_CIPHER_208,Decode,Odszyfrować
ENCODE_WORD_CIPHER_208,Encode,Zaszyfrować
KEYWORD_WORD_CIPHER_208,Keyword,Hasło
PASSWORD_WORD_CIPHER_208,Password,Hasło
HARMONY_WORD_SYMPHONY_210,Harmony,Harmonia
OVERTURE_WORD_SYMPHONY_210,Overture,Uwertura
MELODY_WORD_SYMPHONY_210,Melody,Melodia
PHOTO_WORD_ARTWORKS_211,Photo,Zdjęcie
DRAWING_WORD_ARTWORKS_211,Drawing,Rysunek
PAINTING_WORD_ARTWORKS_211,Painting,Obraz
HAMMER_WORD_AUCTION_215,Hammer,Młotek
LOT_WORD_AUCTION_215,Lot,Lot
BID_WORD_AUCTION_215,Bid,Oferta
PRICE_WORD_AUCTION_215,Price,Cena
CATALOG_WORD_AUCTION_215,Catalog,Katalog
BIDDER_WORD_AUCTION_215,Bidder,Licytant
EXCELSA_WORD_BEANS_219,Excelsa,Excelsa
