id,basic_card_name_en,es-ES
STRATEGY_WORD_GAMER_36,Strategy,Estrategia
SCORE_WORD_GAMER_36,Score,Puntuación
DRYER_WORD_DEVICE_38,Dryer,Secadora
PRINTER_WORD_DEVICE_38,Printer,Impresora
FAX_WORD_DEVICE_38,Fax,Fax
HEATER_WORD_DEVICE_38,Heater,Calentador
MANSION_WORD_HOUSE_40,Mansion,Mansión
PALACE_WORD_HOUSE_40,Palace,Palacio
VILLA_WORD_HOUSE_40,Villa,Villa
PILOT_WORD_JOBS_42,Pilot,Piloto
MAILMAN_WORD_JOBS_42,Mailman,Cartero
DOCTOR_WORD_JOBS_42,Doctor,Doctor
WELDER_WORD_JOBS_42,Welder,Soldador
ENGINEER_WORD_JOBS_42,Engineer,Ingeniero
PLUMBER_WORD_JOBS_42,Plumber,Fontanero
ACTOR_WORD_JOBS_42,Actor,Actor
NURSE_WORD_JOBS_42,Nurse,Enfermera
SANDALS_WORD_FOOTWEAR_46,Sandals,Sandalias
UGGS_WORD_FOOTWEAR_46,Uggs,Uggs
SLIPPERS_WORD_FOOTWEAR_46,Slippers,Pantuflas
CLOGS_WORD_FOOTWEAR_46,Clogs,Zuecos
LOAFERS_WORD_FOOTWEAR_46,Loafers,Mocasines
SNEAKERS_WORD_FOOTWEAR_46,Sneakers,Zapatillas
CAR_WORD_DRIVING_49,Car,Coche
ROAD_WORD_DRIVING_49,Road,Carretera
SIGN_WORD_DRIVING_49,Sign,Señal
TRAFFIC_WORD_DRIVING_49,Traffic,Tráfico
VESPUCCI_WORD_EXPLORER_51,Vespucci,Vespucio
MAGELLAN_WORD_EXPLORER_51,Magellan,Magallanes
COLUMBUS_WORD_EXPLORER_51,Columbus,Colón
KICK_WORD_MOVEMENT_52,Kick,Patada
WALK_WORD_MOVEMENT_52,Walk,Caminar
JUMP_WORD_MOVEMENT_52,Jump,Saltar
SOLID_WORD_PHASE_57,Solid,Sólido
LIQUID_WORD_PHASE_57,Liquid,Líquido
GAS_WORD_PHASE_57,Gas,Gas
COMFY_WORD_COZY_58,Comfy,Cómodo
WARM_WORD_COZY_58,Warm,Cálido
SNUG_WORD_COZY_58,Snug,Acogedor
ARIES_WORD_ZODIAC_59,Aries,Aries
TAURUS_WORD_ZODIAC_59,Taurus,Tauro
GEMINI_WORD_ZODIAC_59,Gemini,Géminis
LEO_WORD_ZODIAC_59,Leo,Leo
VIRGO_WORD_ZODIAC_59,Virgo,Virgo
LIBRA_WORD_ZODIAC_59,Libra,Libra
SCORPIO_WORD_ZODIAC_59,Scorpio,Escorpio
PISCES_WORD_ZODIAC_59,Pisces,Piscis
FRIGATE_WORD_SHIP_62,Frigate,Fragata
CARAVEL_WORD_SHIP_62,Caravel,Carabela
GALLEON_WORD_SHIP_62,Galleon,Galeón
BRIG_WORD_SHIP_62,Brig,Bergantín
TANKER_WORD_SHIP_62,Tanker,Petrolero
TUGBOAT_WORD_SHIP_62,Tugboat,Remolcador
STAMP_WORD_MAILMAN_63,Stamp,Sello
ENVELOPE_WORD_MAILMAN_63,Envelope,Sobre
LETTER_WORD_MAILMAN_63,Letter,Carta
MAIL_WORD_MAILMAN_63,Mail,Correo
SEAL_WORD_MAILMAN_63,Seal,Lacre
INK_WORD_MAILMAN_63,Ink,Tinta
BUST_WORD_SCULPT_64,Bust,Busto
FIGURINE_WORD_SCULPT_64,Figurine,Figurilla
STATUE_WORD_SCULPT_64,Statue,Estatua
MONUMENT_WORD_SCULPT_64,Monument,Monumento
ENGLISH_WORD_LANGUAGE_70,English,Inglés
ITALIAN_WORD_LANGUAGE_70,Italian,Italiano
HINDI_WORD_LANGUAGE_70,Hindi,Hindi
JAPANESE_WORD_LANGUAGE_70,Japanese,Japonés
HEBREW_WORD_LANGUAGE_70,Hebrew,Hebreo
DANISH_WORD_LANGUAGE_70,Danish,Danés
LATIN_WORD_LANGUAGE_70,Latin,Latín
POLISH_WORD_LANGUAGE_70,Polish,Polaco
LENS_WORD_CAMERA_73,Lens,Lente
FLASH_WORD_CAMERA_73,Flash,Flash
ZOOM_WORD_CAMERA_73,Zoom,Zoom
FILTER_WORD_CAMERA_73,Filter,Filtro
SHUTTER_WORD_CAMERA_73,Shutter,Obturador
EXPOSURE_WORD_CAMERA_73,Exposure,Exposición
MIST_WORD_FOG_76,Mist,Neblina
HAZE_WORD_FOG_76,Haze,Bruma
SMOG_WORD_FOG_76,Smog,Esmog
VAPOR_WORD_FOG_76,Vapor,Vapor
SLEET_WORD_SNOW_77,Sleet,Aguanieve
FLAKE_WORD_SNOW_77,Flake,Copo
ICEBERG_WORD_SNOW_77,Frost,Escarcha
HEDGEHOG_WORD_SPIKY_78,Hedgehog,Erizo
CACTUS_WORD_SPIKY_78,Cactus,Cactus
DURIAN_WORD_SPIKY_78,Durian,Durián
DOVE_WORD_BIRDS_80,Dove,Paloma
EAGLE_WORD_BIRDS_80,Eagle,Águila
SWAN_WORD_BIRDS_80,Swan,Cisne
OWL_WORD_BIRDS_80,Owl,Búho
HERON_WORD_BIRDS_80,Heron,Garza
ROBIN_WORD_BIRDS_80,Robin,Petirrojo
FINCH_WORD_BIRDS_80,Finch,Pinzón
VULTURE_WORD_BIRDS_80,Vulture,Buitre
SARTRE_WORD_MINDS_82,Sartre,Sartre
DANTE_WORD_MINDS_82,Dante,Dante
PLATO_WORD_MINDS_82,Plato,Platón
SOCRATES_WORD_MINDS_82,Socrates,Sócrates
GALILEO_WORD_MINDS_82,Galileo,Galileo
KANT_WORD_MINDS_82,Kant,Kant
PUCK_WORD_HOCKEY_86,Puck,Disco
PENALTY_WORD_HOCKEY_86,Penalty,Penalti
GOAL_WORD_HOCKEY_86,Goal,Gol
RINK_WORD_HOCKEY_86,Rink,Pista
COUPLE_WORD_DATE_87,Couple,Pareja
TUXEDO_WORD_DATE_87,Wine,Vino
FLOWERS_WORD_DATE_87,Flowers,Flores
TEETH_WORD_SAW_88,Teeth,Dientes
BLADE_WORD_SAW_88,Blade,Hoja
NOTCH_WORD_SAW_88,Notch,Muesca
OLDMAN_WORD_ACTOR_89,Oldman,Oldman
PITT_WORD_ACTOR_89,Pitt,Pitt
EASTWOOD_WORD_ACTOR_89,Eastwood,Eastwood
HANKS_WORD_ACTOR_89,Hanks,Hanks
CROWE_WORD_ACTOR_89,Crowe,Crowe
CRUISE_WORD_ACTOR_89,Cruise,Cruise
DICAPRIO_WORD_ACTOR_89,DiCaprio,DiCaprio
WAHLBERG_WORD_ACTOR_89,Wahlberg,Wahlberg
MERCURY_WORD_PLANET_90,Mercury,Mercurio
JUPITER_WORD_PLANET_90,Jupiter,Júpiter
SATURN_WORD_PLANET_90,Saturn,Saturno
URANUS_WORD_PLANET_90,Uranus,Urano
NEPTUNE_WORD_PLANET_90,Neptune,Neptuno
MARS_WORD_PLANET_90,Mars,Marte
EARTH_WORD_PLANET_90,Earth,Tierra
VENUS_WORD_PLANET_90,Venus,Venus
BIOLOGY_WORD_LESSONS_94,Biology,Biología
PHYSICS_WORD_LESSONS_94,Physics,Física
GEOMETRY_WORD_LESSONS_94,Geometry,Geometría
ALGEBRA_WORD_LESSONS_94,Algebra,Álgebra
HISTORY_WORD_LESSONS_94,History,Historia
CALCULUS_WORD_LESSONS_94,Calculus,Cálculo
TABLETS_WORD_PILLS_99,Tablets,Tabletas
CAPSULES_WORD_PILLS_99,Capsules,Cápsulas
LOZENGES_WORD_PILLS_99,Lozenges,Pastillas
CLOUDS_WORD_RAINY_100,Clouds,Nubes
SHOWERS_WORD_RAINY_100,Showers,Lluvias
PUDDLES_WORD_RAINY_100,Puddles,Charcos
CIABATTA_WORD_BREADS_102,Ciabatta,Chapata
BAGUETTE_WORD_BREADS_102,Baguette,Baguete
FOCACCIA_WORD_BREADS_102,Focaccia,Focaccia
PITA_WORD_BREADS_102,Pita,Pita
CHALLAH_WORD_BREADS_102,Challah,Jalá
TORTILLA_WORD_BREADS_102,Tortilla,Tortilla
BRIOCHE_WORD_BREADS_102,Brioche,Brioche
AREPA_WORD_BREADS_102,Arepa,Arepa
GYRUS_WORD_BRAIN_106,Gyrus,Giro
CORTEX_WORD_BRAIN_106,Cortex,Córtex
LOBE_WORD_BRAIN_106,Lobe,Lóbulo
HYDROGEN_WORD_ELEMENTS_107,Hydrogen,Hidrógeno
NITROGEN_WORD_ELEMENTS_107,Nitrogen,Nitrógeno
SULFUR_WORD_ELEMENTS_107,Sulfur,Azufre
CARBON_WORD_ELEMENTS_107,Carbon,Carbono
SODIUM_WORD_ELEMENTS_107,Sodium,Sodio
SILICON_WORD_ELEMENTS_107,Silicon,Silicio
IODINE_WORD_ELEMENTS_107,Iodine,Yodo
OXYGEN_WORD_ELEMENTS_107,Oxygen,Oxígeno
BRIE_WORD_CHEESE_108,Brie,Brie
FETA_WORD_CHEESE_108,Feta,Feta
GOUDA_WORD_CHEESE_108,Gouda,Gouda
CHEDDAR_WORD_CHEESE_108,Cheddar,Cheddar
PARMESAN_WORD_CHEESE_108,Parmesan,Parmesano
RICOTTA_WORD_CHEESE_108,Ricotta,Ricota
EDAM_WORD_CHEESE_108,Edam,Edam
DORBLU_WORD_CHEESE_108,Swiss,Suizo
WORKOUT_WORD_FITNESS_110,Workout,Ejercicio
YOGA_WORD_FITNESS_110,Yoga,Yoga
PILATES_WORD_FITNESS_110,Pilates,Pilates
JOGGING_WORD_FITNESS_110,Jogging,Trotar
GYM_WORD_FITNESS_110,Gym,Gimnasio
CARDIO_WORD_FITNESS_110,Cardio,Cardio
BICEPS_WORD_MUSCLES_112,Biceps,Bíceps
DELTOIDS_WORD_MUSCLES_112,Deltoids,Deltoides
ABS_WORD_MUSCLES_112,Abs,Abdominales
TRICEPS_WORD_MUSCLES_112,Triceps,Tríceps
SCARAB_WORD_EGYPT_114,Scarab,Escarabajo
PHARAOH_WORD_EGYPT_114,Pharaoh,Faraón
PAPYRUS_WORD_EGYPT_114,Papyrus,Papiro
PYRAMID_WORD_EGYPT_114,Pyramid,Pirámide
MULBERRY_WORD_BERRY_116,Mulberry,Mora
BILBERRY_WORD_BERRY_116,Bilberry,Arándano
BARBERRY_WORD_BERRY_116,Barberry,Agracejo
ATHENS_WORD_CAPITALS_119,Athens,Atenas
PRAGUE_WORD_CAPITALS_119,Prague,Praga
MADRID_WORD_CAPITALS_119,Madrid,Madrid
RIYADH_WORD_CAPITALS_119,Riyadh,Riad
OTTAWA_WORD_CAPITALS_119,Ottawa,Ottawa
ROME_WORD_CAPITALS_119,Rome,Roma
OSLO_WORD_CAPITALS_119,Oslo,Oslo
CAIRO_WORD_CAPITALS_119,Cairo,El Cairo
POWDER_WORD_MAKEUP_120,Powder,Polvo
SPONGE_WORD_MAKEUP_120,Sponge,Esponja
PALETTE_WORD_MAKEUP_120,Palette,Paleta
SERUM_WORD_MAKEUP_120,Serum,Sérum
PEEL_WORD_MAKEUP_120,Peel,Exfoliante
BLUSH_WORD_MAKEUP_120,Blush,Rubor
SAVATE_WORD_COMBAT_121,Savate,Savate
JUDO_WORD_COMBAT_121,Judo,Judo
KARATE_WORD_COMBAT_121,Karate,Karate
KUNG_FU_WORD_COMBAT_121,Kung fu,Kung fu
SUMO_WORD_COMBAT_121,Sumo,Sumo
SILAT_WORD_COMBAT_121,Silat,Silat
CHORDS_WORD_GUITAR_122,Chords,Acordes
PICKUPS_WORD_GUITAR_122,Pickups,Pastillas
STRINGS_WORD_GUITAR_122,Strings,Cuerdas
RIFFS_WORD_GUITAR_122,Riffs,Riffs
POINTE_WORD_BALLET_125,Pointe,Puntas
TUTU_WORD_BALLET_125,Tutu,Tutú
BARRE_WORD_BALLET_125,Barre,Barra
ALLIANCE_WORD_UNITE_126,Alliance,Alianza
LEAGUE_WORD_UNITE_126,League,Liga
UNION_WORD_UNITE_126,Union,Unión
JEWELRY_WORD_LUXURY_133,Jewelry,Joyería
WATCH_WORD_LUXURY_133,Watch,Reloj
CAVIAR_WORD_LUXURY_133,Caviar,Caviar
YACHT_WORD_LUXURY_133,Yacht,Yate
SAVANNA_WORD_BIOMES_135,Savanna,Sabana
TUNDRA_WORD_BIOMES_135,Tundra,Tundra
TAIGA_WORD_BIOMES_135,Taiga,Taiga
SRIRACHA_WORD_SPICY_136,Sriracha,Sriracha
WASABI_WORD_SPICY_136,Wasabi,Wasabi
HABANERO_WORD_SPICY_136,Habanero,Habanero
COCKPIT_WORD_PLANE_139,Cockpit,Cabina
SEATBELT_WORD_PLANE_139,Seatbelt,Cinturón
WINGS_WORD_PLANE_139,Wings,Alas
ENGINE_WORD_PLANE_139,Engine,Motor
RUDDER_WORD_PLANE_139,Rudder,Timón
FUSELAGE_WORD_PLANE_139,Fuselage,Fuselaje
AILERON_WORD_PLANE_139,Aileron,Alerón
FLY_WORD_PLANE_139,Fly,Volar
BEAVER_WORD_RODENTS_141,Beaver,Castor
MARMOT_WORD_RODENTS_141,Marmot,Marmota
NUTRIA_WORD_RODENTS_141,Nutria,Nutria
SQUIRREL_WORD_RODENTS_141,Squirrel,Ardilla
CAPYBARA_WORD_RODENTS_141,Capybara,Capibara
RAT_WORD_RODENTS_141,Rat,Rata
SOLAR_WORD_ENERGY_145,Solar,Solar
NUCLEAR_WORD_ENERGY_145,Nuclear,Nuclear
KINETIC_WORD_ENERGY_145,Kinetic,Cinética
THERMAL_WORD_ENERGY_145,Thermal,Térmica
ESSAY_WORD_ARTICLES_147,Essay,Ensayo
REVIEW_WORD_ARTICLES_147,Review,Reseña
OPINION_WORD_ARTICLES_147,Opinion,Opinión
TSUNAMI_WORD_DISASTER_148,Tsunami,Tsunami
TORNADO_WORD_DISASTER_148,Tornado,Tornado
FLOOD_WORD_DISASTER_148,Flood,Inundación
GORILLA_WORD_PRIMATES_149,Gorilla,Gorila
GIBBON_WORD_PRIMATES_149,Gibbon,Gibón
BABOON_WORD_PRIMATES_149,Baboon,Babuino
LEMUR_WORD_PRIMATES_149,Lemur,Lémur
MACAQUE_WORD_PRIMATES_149,Macaque,Macaco
SIMIAN_WORD_PRIMATES_149,Simian,Simio
MANDRILL_WORD_PRIMATES_149,Mandrill,Mandril
TARSIER_WORD_PRIMATES_149,Tarsier,Tarsero
PYTHON_WORD_CODING_150,Python,Python
JAVA_WORD_CODING_150,Java,Java
RUBY_WORD_CODING_150,Ruby,Ruby
SWIFT_WORD_CODING_150,Swift,Swift
SCRIPT_WORD_CODING_150,Script,Script
PHP_WORD_CODING_150,PHP,PHP
SQL_WORD_CODING_150,SQL,SQL
BUGS_WORD_CODING_150,Bugs,Bugs
LYRICS_WORD_RAP_151,Lyrics,Letras
VERSE_WORD_RAP_151,Verse,Verso
RHYME_WORD_RAP_151,Rhyme,Rima
PUNCH_WORD_RAP_151,Punch,Golpe
NIAGARA_WORD_WATER_152,Niagara,Niágara
VICTORIA_WORD_WATER_152,Victoria,Victoria
YOSEMITE_WORD_WATER_152,Yosemite,Yosemite
HAVASU_WORD_WATER_152,Havasu,Havasu
YO_YO_WORD_TOYS_154,Yo-yo,Yoyó
SPINNER_WORD_TOYS_154,Spinner,Peonza
DOLL_WORD_TOYS_154,Doll,Muñeca
SERGEANT_WORD_ARMY_156,Sergeant,Sargento
MAJOR_WORD_ARMY_156,Major,Mayor
GENERAL_WORD_ARMY_156,General,General
COLONEL_WORD_ARMY_156,Colonel,Coronel
PRIVATE_WORD_ARMY_156,Private,Soldado
CORPORAL_WORD_ARMY_156,Corporal,Cabo
CAPTAIN_WORD_ARMY_156,Captain,Capitán
RANK_WORD_ARMY_156,Rank,Rango
ZEN_WORD_MEDITATE_160,Zen,Zen
BREATH_WORD_MEDITATE_160,Breath,Aliento
PEACE_WORD_MEDITATE_160,Peace,Paz
MANTRA_WORD_MEDITATE_160,Mantra,Mantra
FAMOUS_WORD_FAME_161,Famous,Famoso
ICONIC_WORD_FAME_161,Iconic,Icónico
POPULAR_WORD_FAME_161,Popular,Popular
RENOWN_WORD_FAME_161,Renown,Renombre
SYNTAX_WORD_LINGUIST_162,Syntax,Sintaxis
POLYGLOT_WORD_LINGUIST_162,Polyglot,Políglota
GRAMMAR_WORD_LINGUIST_162,Grammar,Gramática
SCHOLAR_WORD_LINGUIST_162,Scholar,Erudito
EASTER_WORD_HOLIDAY_163,Easter,Pascua
NEW_YEAR_WORD_HOLIDAY_163,New Year,Año Nuevo
FLAG_DAY_WORD_HOLIDAY_163,Flag Day,Día de la Bandera
DUMBBELL_WORD_GYM_164,Dumbbell,Mancuerna
BARBELL_WORD_GYM_164,Barbell,Barra
AIR_BIKE_WORD_GYM_164,Air bike,Bici de aire
PERICLES_WORD_WILLIAM_165,Pericles,Pericles
MACBETH_WORD_WILLIAM_165,Macbeth,Macbeth
HAMLET_WORD_WILLIAM_165,Hamlet,Hamlet
OTHELLO_WORD_WILLIAM_165,Othello,Otelo
JULIET_WORD_WILLIAM_165,Juliet,Julieta
ROMEO_WORD_WILLIAM_165,Romeo,Romeo
TEMPEST_WORD_WILLIAM_165,Tempest,Tempestad
HENRY_V_WORD_WILLIAM_165,Henry V,Enrique V
WOLF_WORD_CANINES_168,Wolf,Lobo
COYOTE_WORD_CANINES_168,Coyote,Coyote
DINGO_WORD_CANINES_168,Dingo,Dingo
JACKAL_WORD_CANINES_168,Jackal,Chacal
FOX_WORD_CANINES_168,Fox,Zorro
DHOLE_WORD_CANINES_168,Dhole,Cuón
HARVARD_WORD_STUDIES_169,Harvard,Harvard
STANFORD_WORD_STUDIES_169,Stanford,Stanford
OXFORD_WORD_STUDIES_169,Oxford,Oxford
YALE_WORD_STUDIES_169,Yale,Yale
SORBONNE_WORD_STUDIES_169,Sorbonne,Sorbona
MIT_WORD_STUDIES_169,MIT,MIT
LEMON_WORD_CITRUS_173,Lemon,Limón
LIME_WORD_CITRUS_173,Lime,Lima
POMELO_WORD_CITRUS_173,Pomelo,Pomelo
GLIDER_WORD_AIRCRAFT_174,Glider,Planeador
JETLINER_WORD_AIRCRAFT_174,Jetliner,Avión a reacción
AIRPLANE_WORD_AIRCRAFT_174,Airplane,Avión
MERLOT_WORD_GRAPE_177,Merlot,Merlot
RIESLING_WORD_GRAPE_177,Riesling,Riesling
SHIRAZ_WORD_GRAPE_177,Shiraz,Shiraz
GRENACHE_WORD_GRAPE_177,Grenache,Garnacha
MUSCAT_WORD_GRAPE_177,Muscat,Moscatel
MALBEC_WORD_GRAPE_177,Malbec,Malbec
AMANITA_WORD_MUSHROOM_178,Amanita,Amanita
PORCINI_WORD_MUSHROOM_178,Porcini,Boletus
RUSSULA_WORD_MUSHROOM_178,Russula,Rúsula
TRUFFLE_WORD_MUSHROOM_178,Truffle,Trufa
ENOKI_WORD_MUSHROOM_178,Enoki,Enoki
SHIITAKE_WORD_MUSHROOM_178,Shiitake,Shiitake
WALRUS_WORD_ARCTIC_180,Walrus,Morsa
POLAR_BEAR_WORD_ARCTIC_180,Polar bear,Oso polar
SNOWY_OWL_WORD_ARCTIC_180,Snowy owl,Búho nival
REINDEER_WORD_ARCTIC_180,Reindeer,Reno
PIT_STOP_WORD_RACING_182,Pit stop,Parada en boxes
FINISH_WORD_RACING_182,Finish,Meta
SPEEDWAY_WORD_RACING_182,Speedway,Autódromo
ASSIST_WORD_HELP_183,Assist,Asistir
SUPPORT_WORD_HELP_183,Support,Apoyar
DONATE_WORD_HELP_183,Donate,Donar
OPAL_WORD_GEMSTONE_186,Opal,Ópalo
RUBY_WORD_GEMSTONE_186,Ruby,Rubí
TOPAZ_WORD_GEMSTONE_186,Topaz,Topacio
SAPPHIRE_WORD_GEMSTONE_186,Sapphire,Zafiro
GARNET_WORD_GEMSTONE_186,Garnet,Granate
DIAMOND_WORD_GEMSTONE_186,Diamond,Diamante
ONYX_WORD_GEMSTONE_186,Onyx,Ónice
AGATE_WORD_GEMSTONE_186,Agate,Ágata
ORION_WORD_PATTERN_188,Orion,Orión
PERSEUS_WORD_PATTERN_188,Perseus,Perseo
DRACO_WORD_PATTERN_188,Draco,Draco
SCORPIUS_WORD_PATTERN_188,Scorpius,Escorpio
CYGNUS_WORD_PATTERN_188,Cygnus,Cisne
SERPENS_WORD_PATTERN_188,Serpens,Serpiente
GASOLINE_WORD_FUELS_190,Gasoline,Gasolina
DIESEL_WORD_FUELS_190,Diesel,Diésel
COAL_WORD_FUELS_190,Coal,Carbón
PROPANE_WORD_FUELS_190,Propane,Propano
KEROSENE_WORD_FUELS_190,Kerosene,Queroseno
VOTER_WORD_ELECT_193,Voter,Votante
BALLOT_WORD_ELECT_193,Ballot,Papeleta
CAMPAIGN_WORD_ELECT_193,Campaign,Campaña
TURNOUT_WORD_ELECT_193,Turnout,Participación
KING_WORD_CROWN_194,King,Rey
EMPEROR_WORD_CROWN_194,Emperor,Emperador
MAHARAJA_WORD_CROWN_194,Maharaja,Maharajá
KENNEDY_WORD_LEADER_196,Washington,Washington
CLINTON_WORD_LEADER_196,Jefferson,Jefferson
LINCOLN_WORD_LEADER_196,Lincoln,Lincoln
REAGAN_WORD_LEADER_196,Roosevelt,Roosevelt
BUSH_WORD_LEADER_196,Wilson,Wilson
OBAMA_WORD_LEADER_196,Jackson,Jackson
ADAMS_WORD_LEADER_196,Adams,Adams
BIDEN_WORD_LEADER_196,Madison,Madison
SOFT_BUN_WORD_HOT_DOG_201,Soft bun,Pan suave
SAUSAGE_WORD_HOT_DOG_201,Sausage,Salchicha
KETCHUP_WORD_HOT_DOG_201,Ketchup,Kétchup
DECODE_WORD_CIPHER_208,Decode,Descifrar
ENCODE_WORD_CIPHER_208,Encode,Codificar
KEYWORD_WORD_CIPHER_208,Keyword,Clave
PASSWORD_WORD_CIPHER_208,Password,Contraseña
HARMONY_WORD_SYMPHONY_210,Harmony,Armonía
OVERTURE_WORD_SYMPHONY_210,Overture,Obertura
MELODY_WORD_SYMPHONY_210,Melody,Melodía
PHOTO_WORD_ARTWORKS_211,Photo,Foto
DRAWING_WORD_ARTWORKS_211,Drawing,Dibujo
PAINTING_WORD_ARTWORKS_211,Painting,Pintura
HAMMER_WORD_AUCTION_215,Hammer,Martillo
LOT_WORD_AUCTION_215,Lot,Lote
BID_WORD_AUCTION_215,Bid,Puja
PRICE_WORD_AUCTION_215,Price,Precio
CATALOG_WORD_AUCTION_215,Catalog,Catálogo
BIDDER_WORD_AUCTION_215,Bidder,Postor
EXCELSA_WORD_BEANS_219,Excelsa,Excelsa
ROBUSTA_WORD_BEANS_219,Robusta,Robusta
LIBERICA_WORD_BEANS_219,Liberica,Libérica
ARABICA_WORD_BEANS_219,Arabica,Arábica
TENT_WORD_CAMPING_221,Tent,Tienda
CAMPFIRE_WORD_CAMPING_221,Campfire,Fogata
