\ufeffid,basic_card_name_en,ko-KR
PLASTIC_WORD_MATERIAL_27,Plastic,플라스틱
STONE_WORD_MATERIAL_27,Stone,돌
TERMINAL_WORD_AIRPORT_29,Terminal,터미널
RUNWAY_WORD_AIRPORT_29,Runway,활주로
GATE_WORD_AIRPORT_29,Gate,탑승구
CREAM_WORD_DAIRY_30,Cream,크림
BUTTER_WORD_DAIRY_30,Butter,버터
YOGURT_WORD_DAIRY_30,Yogurt,요거트
GOLDFISH_WORD_FISH_31,Goldfish,금붕어
TUNA_WORD_FISH_31,Tuna,참치
MARLIN_WORD_FISH_31,Marlin,새치
SARDINE_WORD_FISH_31,Sardine,정어리
EEL_WORD_FISH_31,Eel,장어
MACKEREL_WORD_FISH_31,Mackerel,고등어
GROUPER_WORD_FISH_31,Grouper,다금바리
PERCH_WORD_FISH_31,Perch,퍼치
ITALY_WORD_MAP_32,Italy,이탈리아
INDIA_WORD_MAP_32,India,인도
AUSTRALIA_WORD_MAP_32,Australia,호주
FRANCE_WORD_MAP_32,France,프랑스
USA_WORD_MAP_32,USA,미국
UK_WORD_MAP_32,UK,영국
CYPRUS_WORD_MAP_32,Cyprus,키프로스
JAPAN_WORD_MAP_32,Japan,일본
ARMOR_WORD_KNIGHT_34,Armor,갑옷
HELMET_WORD_KNIGHT_34,Helmet,투구
SHIELD_WORD_KNIGHT_34,Shield,방패
WEAPON_WORD_KNIGHT_34,Weapon,무기
DESTRIER_WORD_KNIGHT_34,Destrier,군마
CHIVALRY_WORD_KNIGHT_34,Chivalry,기사도
SHOOTER_WORD_GAMER_36,Shooter,슈팅
ARCADE_WORD_GAMER_36,Arcade,아케이드
STRATEGY_WORD_GAMER_36,Strategy,전략
SCORE_WORD_GAMER_36,Score,점수
DRYER_WORD_DEVICE_38,Dryer,건조기
PRINTER_WORD_DEVICE_38,Printer,프린터
FAX_WORD_DEVICE_38,Fax,팩스
HEATER_WORD_DEVICE_38,Heater,히터
MANSION_WORD_HOUSE_40,Mansion,대저택
PALACE_WORD_HOUSE_40,Palace,궁전
VILLA_WORD_HOUSE_40,Villa,별장
PILOT_WORD_JOBS_42,Pilot,조종사
MAILMAN_WORD_JOBS_42,Mailman,우편배달부
DOCTOR_WORD_JOBS_42,Doctor,의사
WELDER_WORD_JOBS_42,Welder,용접공
ENGINEER_WORD_JOBS_42,Engineer,엔지니어
PLUMBER_WORD_JOBS_42,Plumber,배관공
ACTOR_WORD_JOBS_42,Actor,배우
NURSE_WORD_JOBS_42,Nurse,간호사
SANDALS_WORD_FOOTWEAR_46,Sandals,샌들
UGGS_WORD_FOOTWEAR_46,Uggs,어그부츠
SLIPPERS_WORD_FOOTWEAR_46,Slippers,슬리퍼
CLOGS_WORD_FOOTWEAR_46,Clogs,나막신
LOAFERS_WORD_FOOTWEAR_46,Loafers,로퍼
SNEAKERS_WORD_FOOTWEAR_46,Sneakers,스니커즈
CAR_WORD_DRIVING_49,Car,자동차
ROAD_WORD_DRIVING_49,Road,도로
SIGN_WORD_DRIVING_49,Sign,표지판
TRAFFIC_WORD_DRIVING_49,Traffic,교통
VESPUCCI_WORD_EXPLORER_51,Vespucci,베스푸치
MAGELLAN_WORD_EXPLORER_51,Magellan,마젤란
COLUMBUS_WORD_EXPLORER_51,Columbus,콜럼버스
KICK_WORD_MOVEMENT_52,Kick,차기
WALK_WORD_MOVEMENT_52,Walk,걷기
JUMP_WORD_MOVEMENT_52,Jump,점프
SOLID_WORD_PHASE_57,Solid,고체
LIQUID_WORD_PHASE_57,Liquid,액체
GAS_WORD_PHASE_57,Gas,기체
COMFY_WORD_COZY_58,Comfy,편안함
WARM_WORD_COZY_58,Warm,따뜻함
SNUG_WORD_COZY_58,Snug,아늑함
ARIES_WORD_ZODIAC_59,Aries,양자리
TAURUS_WORD_ZODIAC_59,Taurus,황소자리
GEMINI_WORD_ZODIAC_59,Gemini,쌍둥이자리
LEO_WORD_ZODIAC_59,Leo,사자자리
VIRGO_WORD_ZODIAC_59,Virgo,처녀자리
LIBRA_WORD_ZODIAC_59,Libra,천칭자리
SCORPIO_WORD_ZODIAC_59,Scorpio,전갈자리
PISCES_WORD_ZODIAC_59,Pisces,물고기자리
FRIGATE_WORD_SHIP_62,Frigate,프리깃
CARAVEL_WORD_SHIP_62,Caravel,카라벨
GALLEON_WORD_SHIP_62,Galleon,갈레온
BRIG_WORD_SHIP_62,Brig,브리그
TANKER_WORD_SHIP_62,Tanker,유조선
TUGBOAT_WORD_SHIP_62,Tugboat,예인선
STAMP_WORD_MAILMAN_63,Stamp,우표
ENVELOPE_WORD_MAILMAN_63,Envelope,봉투
LETTER_WORD_MAILMAN_63,Letter,편지
MAIL_WORD_MAILMAN_63,Mail,우편
SEAL_WORD_MAILMAN_63,Seal,봉인
INK_WORD_MAILMAN_63,Ink,잉크
BUST_WORD_SCULPT_64,Bust,흉상
FIGURINE_WORD_SCULPT_64,Figurine,조각상
STATUE_WORD_SCULPT_64,Statue,동상
MONUMENT_WORD_SCULPT_64,Monument,기념비
ENGLISH_WORD_LANGUAGE_70,English,영어
ITALIAN_WORD_LANGUAGE_70,Italian,이탈리아어
HINDI_WORD_LANGUAGE_70,Hindi,힌디어
JAPANESE_WORD_LANGUAGE_70,Japanese,일본어
HEBREW_WORD_LANGUAGE_70,Hebrew,히브리어
DANISH_WORD_LANGUAGE_70,Danish,덴마크어
LATIN_WORD_LANGUAGE_70,Latin,라틴어
POLISH_WORD_LANGUAGE_70,Polish,폴란드어
LENS_WORD_CAMERA_73,Lens,렌즈
FLASH_WORD_CAMERA_73,Flash,플래시
ZOOM_WORD_CAMERA_73,Zoom,줌
FILTER_WORD_CAMERA_73,Filter,필터
SHUTTER_WORD_CAMERA_73,Shutter,셔터
EXPOSURE_WORD_CAMERA_73,Exposure,노출
MIST_WORD_FOG_76,Mist,안개
HAZE_WORD_FOG_76,Haze,연무
SMOG_WORD_FOG_76,Smog,스모그
VAPOR_WORD_FOG_76,Vapor,증기
SLEET_WORD_SNOW_77,Sleet,진눈깨비
FLAKE_WORD_SNOW_77,Flake,눈송이
ICEBERG_WORD_SNOW_77,Frost,서리
HEDGEHOG_WORD_SPIKY_78,Hedgehog,고슴도치
CACTUS_WORD_SPIKY_78,Cactus,선인장
DURIAN_WORD_SPIKY_78,Durian,두리안
DOVE_WORD_BIRDS_80,Dove,비둘기
EAGLE_WORD_BIRDS_80,Eagle,독수리
SWAN_WORD_BIRDS_80,Swan,백조
OWL_WORD_BIRDS_80,Owl,올빼미
HERON_WORD_BIRDS_80,Heron,왜가리
ROBIN_WORD_BIRDS_80,Robin,울새
FINCH_WORD_BIRDS_80,Finch,핀치
VULTURE_WORD_BIRDS_80,Vulture,독수리
SARTRE_WORD_MINDS_82,Sartre,사르트르
DANTE_WORD_MINDS_82,Dante,단테
PLATO_WORD_MINDS_82,Plato,플라톤
SOCRATES_WORD_MINDS_82,Socrates,소크라테스
GALILEO_WORD_MINDS_82,Galileo,갈릴레오
KANT_WORD_MINDS_82,Kant,칸트
PUCK_WORD_HOCKEY_86,Puck,퍽
PENALTY_WORD_HOCKEY_86,Penalty,페널티
GOAL_WORD_HOCKEY_86,Goal,골
RINK_WORD_HOCKEY_86,Rink,링크
COUPLE_WORD_DATE_87,Couple,커플
TUXEDO_WORD_DATE_87,Wine,와인
FLOWERS_WORD_DATE_87,Flowers,꽃
TEETH_WORD_SAW_88,Teeth,톱니
BLADE_WORD_SAW_88,Blade,날
NOTCH_WORD_SAW_88,Notch,홈
OLDMAN_WORD_ACTOR_89,Oldman,올드만
PITT_WORD_ACTOR_89,Pitt,피트
EASTWOOD_WORD_ACTOR_89,Eastwood,이스트우드
HANKS_WORD_ACTOR_89,Hanks,행크스
CROWE_WORD_ACTOR_89,Crowe,크로우
CRUISE_WORD_ACTOR_89,Cruise,크루즈
DICAPRIO_WORD_ACTOR_89,DiCaprio,디카프리오
WAHLBERG_WORD_ACTOR_89,Wahlberg,월버그
MERCURY_WORD_PLANET_90,Mercury,수성
JUPITER_WORD_PLANET_90,Jupiter,목성
SATURN_WORD_PLANET_90,Saturn,토성
URANUS_WORD_PLANET_90,Uranus,천왕성
NEPTUNE_WORD_PLANET_90,Neptune,해왕성
MARS_WORD_PLANET_90,Mars,화성
EARTH_WORD_PLANET_90,Earth,지구
VENUS_WORD_PLANET_90,Venus,금성
BIOLOGY_WORD_LESSONS_94,Biology,생물
PHYSICS_WORD_LESSONS_94,Physics,물리
GEOMETRY_WORD_LESSONS_94,Geometry,기하
ALGEBRA_WORD_LESSONS_94,Algebra,대수
HISTORY_WORD_LESSONS_94,History,역사
CALCULUS_WORD_LESSONS_94,Calculus,미적분
TABLETS_WORD_PILLS_99,Tablets,정제
CAPSULES_WORD_PILLS_99,Capsules,캡슐
LOZENGES_WORD_PILLS_99,Lozenges,트로키
CLOUDS_WORD_RAINY_100,Clouds,구름
SHOWERS_WORD_RAINY_100,Showers,소나기
PUDDLES_WORD_RAINY_100,Puddles,웅덩이
CIABATTA_WORD_BREADS_102,Ciabatta,치아바타
BAGUETTE_WORD_BREADS_102,Baguette,바게트
FOCACCIA_WORD_BREADS_102,Focaccia,포카치아
PITA_WORD_BREADS_102,Pita,피타
CHALLAH_WORD_BREADS_102,Challah,할라
TORTILLA_WORD_BREADS_102,Tortilla,토르티야
BRIOCHE_WORD_BREADS_102,Brioche,브리오슈
AREPA_WORD_BREADS_102,Arepa,아레파
GYRUS_WORD_BRAIN_106,Gyrus,뇌이랑
CORTEX_WORD_BRAIN_106,Cortex,피질
LOBE_WORD_BRAIN_106,Lobe,뇌엽
HYDROGEN_WORD_ELEMENTS_107,Hydrogen,수소
NITROGEN_WORD_ELEMENTS_107,Nitrogen,질소
SULFUR_WORD_ELEMENTS_107,Sulfur,황
CARBON_WORD_ELEMENTS_107,Carbon,탄소
SODIUM_WORD_ELEMENTS_107,Sodium,나트륨
SILICON_WORD_ELEMENTS_107,Silicon,규소
IODINE_WORD_ELEMENTS_107,Iodine,요오드
OXYGEN_WORD_ELEMENTS_107,Oxygen,산소
BRIE_WORD_CHEESE_108,Brie,브리
FETA_WORD_CHEESE_108,Feta,페타
GOUDA_WORD_CHEESE_108,Gouda,고다
CHEDDAR_WORD_CHEESE_108,Cheddar,체다
PARMESAN_WORD_CHEESE_108,Parmesan,파르메산
RICOTTA_WORD_CHEESE_108,Ricotta,리코타
EDAM_WORD_CHEESE_108,Edam,에담
DORBLU_WORD_CHEESE_108,Swiss,스위스 치즈
WORKOUT_WORD_FITNESS_110,Workout,운동
YOGA_WORD_FITNESS_110,Yoga,요가
PILATES_WORD_FITNESS_110,Pilates,필라테스
JOGGING_WORD_FITNESS_110,Jogging,조깅
GYM_WORD_FITNESS_110,Gym,헬스장
CARDIO_WORD_FITNESS_110,Cardio,유산소
BICEPS_WORD_MUSCLES_112,Biceps,이두근
DELTOIDS_WORD_MUSCLES_112,Deltoids,삼각근
ABS_WORD_MUSCLES_112,Abs,복근
TRICEPS_WORD_MUSCLES_112,Triceps,삼두근
SCARAB_WORD_EGYPT_114,Scarab,스카라브
PHARAOH_WORD_EGYPT_114,Pharaoh,파라오
PAPYRUS_WORD_EGYPT_114,Papyrus,파피루스
PYRAMID_WORD_EGYPT_114,Pyramid,피라미드
MULBERRY_WORD_BERRY_116,Mulberry,뽕나무 열매
BILBERRY_WORD_BERRY_116,Bilberry,빌베리
BARBERRY_WORD_BERRY_116,Barberry,매자나무
ATHENS_WORD_CAPITALS_119,Athens,아테네
PRAGUE_WORD_CAPITALS_119,Prague,프라하
MADRID_WORD_CAPITALS_119,Madrid,마드리드
RIYADH_WORD_CAPITALS_119,Riyadh,리야드
OTTAWA_WORD_CAPITALS_119,Ottawa,오타와
ROME_WORD_CAPITALS_119,Rome,로마
OSLO_WORD_CAPITALS_119,Oslo,오슬로
CAIRO_WORD_CAPITALS_119,Cairo,카이로
POWDER_WORD_MAKEUP_120,Powder,파우더
SPONGE_WORD_MAKEUP_120,Sponge,스펀지
PALETTE_WORD_MAKEUP_120,Palette,팔레트
SERUM_WORD_MAKEUP_120,Serum,세럼
PEEL_WORD_MAKEUP_120,Peel,필링
BLUSH_WORD_MAKEUP_120,Blush,블러시
SAVATE_WORD_COMBAT_121,Savate,사바트
JUDO_WORD_COMBAT_121,Judo,유도
KARATE_WORD_COMBAT_121,Karate,가라테
KUNG_FU_WORD_COMBAT_121,Kung fu,쿵푸
SUMO_WORD_COMBAT_121,Sumo,스모
SILAT_WORD_COMBAT_121,Silat,실랏
CHORDS_WORD_GUITAR_122,Chords,코드
PICKUPS_WORD_GUITAR_122,Pickups,픽업
STRINGS_WORD_GUITAR_122,Strings,줄
RIFFS_WORD_GUITAR_122,Riffs,리프
POINTE_WORD_BALLET_125,Pointe,포인트
TUTU_WORD_BALLET_125,Tutu,튀튀
BARRE_WORD_BALLET_125,Barre,바
ALLIANCE_WORD_UNITE_126,Alliance,동맹
LEAGUE_WORD_UNITE_126,League,리그
UNION_WORD_UNITE_126,Union,연합
JEWELRY_WORD_LUXURY_133,Jewelry,보석
WATCH_WORD_LUXURY_133,Watch,시계
CAVIAR_WORD_LUXURY_133,Caviar,캐비어
YACHT_WORD_LUXURY_133,Yacht,요트
SAVANNA_WORD_BIOMES_135,Savanna,사바나
TUNDRA_WORD_BIOMES_135,Tundra,툰드라
TAIGA_WORD_BIOMES_135,Taiga,타이가
SRIRACHA_WORD_SPICY_136,Sriracha,스리라차
WASABI_WORD_SPICY_136,Wasabi,와사비
HABANERO_WORD_SPICY_136,Habanero,하바네로
COCKPIT_WORD_PLANE_139,Cockpit,조종석
SEATBELT_WORD_PLANE_139,Seatbelt,안전벨트
WINGS_WORD_PLANE_139,Wings,날개
ENGINE_WORD_PLANE_139,Engine,엔진
RUDDER_WORD_PLANE_139,Rudder,방향타
FUSELAGE_WORD_PLANE_139,Fuselage,동체
AILERON_WORD_PLANE_139,Aileron,보조날개
FLY_WORD_PLANE_139,Fly,비행
BEAVER_WORD_RODENTS_141,Beaver,비버
MARMOT_WORD_RODENTS_141,Marmot,마멋
NUTRIA_WORD_RODENTS_141,Nutria,뉴트리아
SQUIRREL_WORD_RODENTS_141,Squirrel,다람쥐
CAPYBARA_WORD_RODENTS_141,Capybara,카피바라
RAT_WORD_RODENTS_141,Rat,쥐
SOLAR_WORD_ENERGY_145,Solar,태양 에너지
NUCLEAR_WORD_ENERGY_145,Nuclear,원자력
KINETIC_WORD_ENERGY_145,Kinetic,운동 에너지
THERMAL_WORD_ENERGY_145,Thermal,열에너지
ESSAY_WORD_ARTICLES_147,Essay,수필
REVIEW_WORD_ARTICLES_147,Review,리뷰
OPINION_WORD_ARTICLES_147,Opinion,의견
TSUNAMI_WORD_DISASTER_148,Tsunami,쓰나미
TORNADO_WORD_DISASTER_148,Tornado,토네이도
FLOOD_WORD_DISASTER_148,Flood,홍수
GORILLA_WORD_PRIMATES_149,Gorilla,고릴라
GIBBON_WORD_PRIMATES_149,Gibbon,긴팔원숭이
BABOON_WORD_PRIMATES_149,Baboon,비비
LEMUR_WORD_PRIMATES_149,Lemur,여우원숭이
MACAQUE_WORD_PRIMATES_149,Macaque,마카크
SIMIAN_WORD_PRIMATES_149,Simian,유인원
MANDRILL_WORD_PRIMATES_149,Mandrill,맨드릴
TARSIER_WORD_PRIMATES_149,Tarsier,안경원숭이
PYTHON_WORD_CODING_150,Python,Python
JAVA_WORD_CODING_150,Java,Java
RUBY_WORD_CODING_150,Ruby,Ruby
SWIFT_WORD_CODING_150,Swift,Swift
SCRIPT_WORD_CODING_150,Script,Script
PHP_WORD_CODING_150,PHP,PHP
SQL_WORD_CODING_150,SQL,SQL
BUGS_WORD_CODING_150,Bugs,Bug
LYRICS_WORD_RAP_151,Lyrics,가사
VERSE_WORD_RAP_151,Verse,벌스
RHYME_WORD_RAP_151,Rhyme,라임
PUNCH_WORD_RAP_151,Punch,펀치라인
NIAGARA_WORD_WATER_152,Niagara,나이아가라
VICTORIA_WORD_WATER_152,Victoria,빅토리아
YOSEMITE_WORD_WATER_152,Yosemite,요세미티
HAVASU_WORD_WATER_152,Havasu,하바수
YO_YO_WORD_TOYS_154,Yo-yo,요요
SPINNER_WORD_TOYS_154,Spinner,팽이
DOLL_WORD_TOYS_154,Doll,인형
SERGEANT_WORD_ARMY_156,Sergeant,하사
MAJOR_WORD_ARMY_156,Major,소령
GENERAL_WORD_ARMY_156,General,장군
COLONEL_WORD_ARMY_156,Colonel,대령
PRIVATE_WORD_ARMY_156,Private,이등병
CORPORAL_WORD_ARMY_156,Corporal,상병
CAPTAIN_WORD_ARMY_156,Captain,대위
RANK_WORD_ARMY_156,Rank,계급
ZEN_WORD_MEDITATE_160,Zen,선
BREATH_WORD_MEDITATE_160,Breath,호흡
PEACE_WORD_MEDITATE_160,Peace,평화
MANTRA_WORD_MEDITATE_160,Mantra,만트라
FAMOUS_WORD_FAME_161,Famous,유명
ICONIC_WORD_FAME_161,Iconic,상징적
POPULAR_WORD_FAME_161,Popular,인기
RENOWN_WORD_FAME_161,Renown,명성
SYNTAX_WORD_LINGUIST_162,Syntax,구문
POLYGLOT_WORD_LINGUIST_162,Polyglot,다국어 화자
GRAMMAR_WORD_LINGUIST_162,Grammar,문법
SCHOLAR_WORD_LINGUIST_162,Scholar,학자
EASTER_WORD_HOLIDAY_163,Easter,부활절
NEW_YEAR_WORD_HOLIDAY_163,New Year,새해
FLAG_DAY_WORD_HOLIDAY_163,Flag Day,국기의 날
DUMBBELL_WORD_GYM_164,Dumbbell,덤벨
BARBELL_WORD_GYM_164,Barbell,바벨
AIR_BIKE_WORD_GYM_164,Air bike,에어바이크
PERICLES_WORD_WILLIAM_165,Pericles,페리클리즈
MACBETH_WORD_WILLIAM_165,Macbeth,맥베스
HAMLET_WORD_WILLIAM_165,Hamlet,햄릿
OTHELLO_WORD_WILLIAM_165,Othello,오셀로
JULIET_WORD_WILLIAM_165,Juliet,줄리엣
ROMEO_WORD_WILLIAM_165,Romeo,로미오
TEMPEST_WORD_WILLIAM_165,Tempest,템페스트
HENRY_V_WORD_WILLIAM_165,Henry V,헨리 5세
WOLF_WORD_CANINES_168,Wolf,늑대
COYOTE_WORD_CANINES_168,Coyote,코요테
DINGO_WORD_CANINES_168,Dingo,딩고
JACKAL_WORD_CANINES_168,Jackal,자칼
FOX_WORD_CANINES_168,Fox,여우
DHOLE_WORD_CANINES_168,Dhole,승냥이
HARVARD_WORD_STUDIES_169,Harvard,하버드
STANFORD_WORD_STUDIES_169,Stanford,스탠퍼드
OXFORD_WORD_STUDIES_169,Oxford,옥스퍼드
YALE_WORD_STUDIES_169,Yale,예일
SORBONNE_WORD_STUDIES_169,Sorbonne,소르본
MIT_WORD_STUDIES_169,MIT,MIT
LEMON_WORD_CITRUS_173,Lemon,레몬
LIME_WORD_CITRUS_173,Lime,라임
POMELO_WORD_CITRUS_173,Pomelo,자몽
GLIDER_WORD_AIRCRAFT_174,Glider,글라이더
JETLINER_WORD_AIRCRAFT_174,Jetliner,제트여객기
AIRPLANE_WORD_AIRCRAFT_174,Airplane,비행기
MERLOT_WORD_GRAPE_177,Merlot,메를로
RIESLING_WORD_GRAPE_177,Riesling,리슬링
SHIRAZ_WORD_GRAPE_177,Shiraz,시라즈
GRENACHE_WORD_GRAPE_177,Grenache,그르나슈
MUSCAT_WORD_GRAPE_177,Muscat,머스캣
MALBEC_WORD_GRAPE_177,Malbec,말벡
AMANITA_WORD_MUSHROOM_178,Amanita,광대버섯
PORCINI_WORD_MUSHROOM_178,Porcini,포르치니
RUSSULA_WORD_MUSHROOM_178,Russula,무당버섯
TRUFFLE_WORD_MUSHROOM_178,Truffle,트러플
ENOKI_WORD_MUSHROOM_178,Enoki,팽이버섯
SHIITAKE_WORD_MUSHROOM_178,Shiitake,표고버섯
WALRUS_WORD_ARCTIC_180,Walrus,바다코끼리
POLAR_BEAR_WORD_ARCTIC_180,Polar bear,북극곰
SNOWY_OWL_WORD_ARCTIC_180,Snowy owl,흰올빼미
REINDEER_WORD_ARCTIC_180,Reindeer,순록
PIT_STOP_WORD_RACING_182,Pit stop,피트스톱
FINISH_WORD_RACING_182,Finish,피니시
SPEEDWAY_WORD_RACING_182,Speedway,스피드웨이
ASSIST_WORD_HELP_183,Assist,도움
SUPPORT_WORD_HELP_183,Support,지원
DONATE_WORD_HELP_183,Donate,기부
OPAL_WORD_GEMSTONE_186,Opal,오팔
RUBY_WORD_GEMSTONE_186,Ruby,루비
TOPAZ_WORD_GEMSTONE_186,Topaz,토파즈
SAPPHIRE_WORD_GEMSTONE_186,Sapphire,사파이어
GARNET_WORD_GEMSTONE_186,Garnet,가넷
DIAMOND_WORD_GEMSTONE_186,Diamond,다이아몬드
ONYX_WORD_GEMSTONE_186,Onyx,오닉스
AGATE_WORD_GEMSTONE_186,Agate,마노
ORION_WORD_PATTERN_188,Orion,오리온자리
PERSEUS_WORD_PATTERN_188,Perseus,페르세우스자리
DRACO_WORD_PATTERN_188,Draco,용자리
SCORPIUS_WORD_PATTERN_188,Scorpius,전갈자리
CYGNUS_WORD_PATTERN_188,Cygnus,백조자리
SERPENS_WORD_PATTERN_188,Serpens,뱀자리
GASOLINE_WORD_FUELS_190,Gasoline,휘발유
DIESEL_WORD_FUELS_190,Diesel,디젤
COAL_WORD_FUELS_190,Coal,석탄
PROPANE_WORD_FUELS_190,Propane,프로판
KEROSENE_WORD_FUELS_190,Kerosene,등유
VOTER_WORD_ELECT_193,Voter,유권자
BALLOT_WORD_ELECT_193,Ballot,투표용지
CAMPAIGN_WORD_ELECT_193,Campaign,선거운동
TURNOUT_WORD_ELECT_193,Turnout,투표율
KING_WORD_CROWN_194,King,왕
EMPEROR_WORD_CROWN_194,Emperor,황제
MAHARAJA_WORD_CROWN_194,Maharaja,마하라자
KENNEDY_WORD_LEADER_196,Washington,워싱턴
CLINTON_WORD_LEADER_196,Jefferson,제퍼슨
LINCOLN_WORD_LEADER_196,Lincoln,링컨
REAGAN_WORD_LEADER_196,Roosevelt,루스벨트
BUSH_WORD_LEADER_196,Wilson,윌슨
OBAMA_WORD_LEADER_196,Jackson,잭슨
ADAMS_WORD_LEADER_196,Adams,애덤스
BIDEN_WORD_LEADER_196,Madison,매디슨
SOFT_BUN_WORD_HOT_DOG_201,Soft bun,소프트번
SAUSAGE_WORD_HOT_DOG_201,Sausage,소시지
KETCHUP_WORD_HOT_DOG_201,Ketchup,케첩
DECODE_WORD_CIPHER_208,Decode,복호화
ENCODE_WORD_CIPHER_208,Encode,암호화
KEYWORD_WORD_CIPHER_208,Keyword,키워드
PASSWORD_WORD_CIPHER_208,Password,비밀번호
HARMONY_WORD_SYMPHONY_210,Harmony,화성
OVERTURE_WORD_SYMPHONY_210,Overture,서곡
MELODY_WORD_SYMPHONY_210,Melody,선율
PHOTO_WORD_ARTWORKS_211,Photo,사진
DRAWING_WORD_ARTWORKS_211,Drawing,소묘
PAINTING_WORD_ARTWORKS_211,Painting,회화
HAMMER_WORD_AUCTION_215,Hammer,망치
LOT_WORD_AUCTION_215,Lot,출품
BID_WORD_AUCTION_215,Bid,입찰
PRICE_WORD_AUCTION_215,Price,가격
CATALOG_WORD_AUCTION_215,Catalog,카탈로그
BIDDER_WORD_AUCTION_215,Bidder,입찰자
EXCELSA_WORD_BEANS_219,Excelsa,엑셀사
ROBUSTA_WORD_BEANS_219,Robusta,로부스타
LIBERICA_WORD_BEANS_219,Liberica,리베리카
ARABICA_WORD_BEANS_219,Arabica,아라비카
TENT_WORD_CAMPING_221,Tent,텐트
CAMPFIRE_WORD_CAMPING_221,Campfire,모닥불
HAMMOCK_WORD_CAMPING_221,Hammock,해먹
ORGAN_WORD_PLAY_223,Organ,오르간
VIOLIN_WORD_PLAY_223,Violin,바이올린
UKULELE_WORD_PLAY_223,Ukulele,우쿨렐레
DRUM_WORD_PLAY_223,Drum,드럼
PIANO_WORD_PLAY_223,Piano,피아노
FLUTE_WORD_PLAY_223,Flute,플루트
GUITAR_WORD_PLAY_223,Guitar,기타
CELLO_WORD_PLAY_223,Cello,첼로
BANK_WORD_FINANCE_227,Bank,은행
INCOME_WORD_FINANCE_227,Income,수입
EXPENSE_WORD_FINANCE_227,Expense,지출
MONEY_WORD_FINANCE_227,Money,돈
KINGDOM_WORD_MEDIEVAL_228,Kingdom,왕국
LORD_WORD_MEDIEVAL_228,Lord,영주
