id,basic_card_name_en,fr-FR
TRAFFIC_WORD_DRIVING_49,Traffic,Circulation
VESPUCCI_WORD_EXPLORER_51,Vespucci,Vespucci
MAGELLAN_WORD_EXPLORER_51,Magellan,Magellan
COLUMBUS_WORD_EXPLORER_51,Columbus,Colomb
KICK_WORD_MOVEMENT_52,Kick,Coup de pied
WALK_WORD_MOVEMENT_52,Walk,Marcher
JUMP_WORD_MOVEMENT_52,Jump,Sauter
SOLID_WORD_PHASE_57,Solid,Solide
LIQUID_WORD_PHASE_57,Liquid,Liquide
GAS_WORD_PHASE_57,Gas,Gaz
COMFY_WORD_COZY_58,Comfy,Confortable
WARM_WORD_COZY_58,Warm,Chaud
SNUG_WORD_COZY_58,Snug,Douillet
ARIES_WORD_ZODIAC_59,Aries,Bélier
TAURUS_WORD_ZODIAC_59,Taurus,Taureau
GEMINI_WORD_ZODIAC_59,Gemini,Gémeaux
LEO_WORD_ZODIAC_59,Leo,Lion
VIRGO_WORD_ZODIAC_59,Virgo,Vierge
LIBRA_WORD_ZODIAC_59,Libra,Balance
SCORPIO_WORD_ZODIAC_59,Scorpio,Scorpion
PISCES_WORD_ZODIAC_59,Pisces,Poissons
FRIGATE_WORD_SHIP_62,Frigate,Frégate
CARAVEL_WORD_SHIP_62,Caravel,Caravelle
GALLEON_WORD_SHIP_62,Galleon,Galion
BRIG_WORD_SHIP_62,Brig,Brick
TANKER_WORD_SHIP_62,Tanker,Pétrolier
TUGBOAT_WORD_SHIP_62,Tugboat,Remorqueur
STAMP_WORD_MAILMAN_63,Stamp,Timbre
ENVELOPE_WORD_MAILMAN_63,Envelope,Enveloppe
LETTER_WORD_MAILMAN_63,Letter,Lettre
MAIL_WORD_MAILMAN_63,Mail,Courrier
SEAL_WORD_MAILMAN_63,Seal,Cachet
INK_WORD_MAILMAN_63,Ink,Encre
BUST_WORD_SCULPT_64,Bust,Buste
FIGURINE_WORD_SCULPT_64,Figurine,Figurine
STATUE_WORD_SCULPT_64,Statue,Statue
MONUMENT_WORD_SCULPT_64,Monument,Monument
ENGLISH_WORD_LANGUAGE_70,English,Anglais
ITALIAN_WORD_LANGUAGE_70,Italian,Italien
HINDI_WORD_LANGUAGE_70,Hindi,Hindi
JAPANESE_WORD_LANGUAGE_70,Japanese,Japonais
HEBREW_WORD_LANGUAGE_70,Hebrew,Hébreu
DANISH_WORD_LANGUAGE_70,Danish,Danois
LATIN_WORD_LANGUAGE_70,Latin,Latin
POLISH_WORD_LANGUAGE_70,Polish,Polonais
LENS_WORD_CAMERA_73,Lens,Objectif
FLASH_WORD_CAMERA_73,Flash,Flash
ZOOM_WORD_CAMERA_73,Zoom,Zoom
FILTER_WORD_CAMERA_73,Filter,Filtre
SHUTTER_WORD_CAMERA_73,Shutter,Obturateur
EXPOSURE_WORD_CAMERA_73,Exposure,Exposition
MIST_WORD_FOG_76,Mist,Brume
HAZE_WORD_FOG_76,Haze,Brouillard
SMOG_WORD_FOG_76,Smog,Smog
VAPOR_WORD_FOG_76,Vapor,Vapeur
SLEET_WORD_SNOW_77,Sleet,Grésil
FLAKE_WORD_SNOW_77,Flake,Flocon
ICEBERG_WORD_SNOW_77,Frost,Givre
HEDGEHOG_WORD_SPIKY_78,Hedgehog,Hérisson
CACTUS_WORD_SPIKY_78,Cactus,Cactus
DURIAN_WORD_SPIKY_78,Durian,Durian
DOVE_WORD_BIRDS_80,Dove,Colombe
EAGLE_WORD_BIRDS_80,Eagle,Aigle
SWAN_WORD_BIRDS_80,Swan,Cygne
OWL_WORD_BIRDS_80,Owl,Hibou
HERON_WORD_BIRDS_80,Heron,Héron
ROBIN_WORD_BIRDS_80,Robin,Rouge-gorge
FINCH_WORD_BIRDS_80,Finch,Pinson
VULTURE_WORD_BIRDS_80,Vulture,Vautour
SARTRE_WORD_MINDS_82,Sartre,Sartre
DANTE_WORD_MINDS_82,Dante,Dante
PLATO_WORD_MINDS_82,Plato,Platon
SOCRATES_WORD_MINDS_82,Socrates,Socrate
GALILEO_WORD_MINDS_82,Galileo,Galilée
KANT_WORD_MINDS_82,Kant,Kant
PUCK_WORD_HOCKEY_86,Puck,Palet
PENALTY_WORD_HOCKEY_86,Penalty,Pénalité
GOAL_WORD_HOCKEY_86,Goal,But
RINK_WORD_HOCKEY_86,Rink,Patinoire
COUPLE_WORD_DATE_87,Couple,Couple
TUXEDO_WORD_DATE_87,Wine,Vin
FLOWERS_WORD_DATE_87,Flowers,Fleurs
TEETH_WORD_SAW_88,Teeth,Dents
BLADE_WORD_SAW_88,Blade,Lame
NOTCH_WORD_SAW_88,Notch,Encoche
OLDMAN_WORD_ACTOR_89,Oldman,Oldman
PITT_WORD_ACTOR_89,Pitt,Pitt
EASTWOOD_WORD_ACTOR_89,Eastwood,Eastwood
HANKS_WORD_ACTOR_89,Hanks,Hanks
CROWE_WORD_ACTOR_89,Crowe,Crowe
CRUISE_WORD_ACTOR_89,Cruise,Cruise
DICAPRIO_WORD_ACTOR_89,DiCaprio,DiCaprio
WAHLBERG_WORD_ACTOR_89,Wahlberg,Wahlberg
MERCURY_WORD_PLANET_90,Mercury,Mercure
JUPITER_WORD_PLANET_90,Jupiter,Jupiter
SATURN_WORD_PLANET_90,Saturn,Saturne
URANUS_WORD_PLANET_90,Uranus,Uranus
NEPTUNE_WORD_PLANET_90,Neptune,Neptune
MARS_WORD_PLANET_90,Mars,Mars
EARTH_WORD_PLANET_90,Earth,Terre
VENUS_WORD_PLANET_90,Venus,Vénus
BIOLOGY_WORD_LESSONS_94,Biology,Biologie
PHYSICS_WORD_LESSONS_94,Physics,Physique
GEOMETRY_WORD_LESSONS_94,Geometry,Géométrie
ALGEBRA_WORD_LESSONS_94,Algebra,Algèbre
HISTORY_WORD_LESSONS_94,History,Histoire
CALCULUS_WORD_LESSONS_94,Calculus,Calcul
TABLETS_WORD_PILLS_99,Tablets,Comprimés
CAPSULES_WORD_PILLS_99,Capsules,Gélules
LOZENGES_WORD_PILLS_99,Lozenges,Pastilles
CLOUDS_WORD_RAINY_100,Clouds,Nuages
SHOWERS_WORD_RAINY_100,Showers,Averses
PUDDLES_WORD_RAINY_100,Puddles,Flaques
CIABATTA_WORD_BREADS_102,Ciabatta,Ciabatta
BAGUETTE_WORD_BREADS_102,Baguette,Baguette
FOCACCIA_WORD_BREADS_102,Focaccia,Focaccia
PITA_WORD_BREADS_102,Pita,Pita
CHALLAH_WORD_BREADS_102,Challah,Hallah
TORTILLA_WORD_BREADS_102,Tortilla,Tortilla
BRIOCHE_WORD_BREADS_102,Brioche,Brioche
AREPA_WORD_BREADS_102,Arepa,Arepa
GYRUS_WORD_BRAIN_106,Gyrus,Gyrus
CORTEX_WORD_BRAIN_106,Cortex,Cortex
LOBE_WORD_BRAIN_106,Lobe,Lobe
HYDROGEN_WORD_ELEMENTS_107,Hydrogen,Hydrogène
NITROGEN_WORD_ELEMENTS_107,Nitrogen,Azote
SULFUR_WORD_ELEMENTS_107,Sulfur,Soufre
CARBON_WORD_ELEMENTS_107,Carbon,Carbone
SODIUM_WORD_ELEMENTS_107,Sodium,Sodium
SILICON_WORD_ELEMENTS_107,Silicon,Silicium
IODINE_WORD_ELEMENTS_107,Iodine,Iode
OXYGEN_WORD_ELEMENTS_107,Oxygen,Oxygène
BRIE_WORD_CHEESE_108,Brie,Brie
FETA_WORD_CHEESE_108,Feta,Feta
GOUDA_WORD_CHEESE_108,Gouda,Gouda
CHEDDAR_WORD_CHEESE_108,Cheddar,Cheddar
PARMESAN_WORD_CHEESE_108,Parmesan,Parmesan
RICOTTA_WORD_CHEESE_108,Ricotta,Ricotta
EDAM_WORD_CHEESE_108,Edam,Edam
DORBLU_WORD_CHEESE_108,Swiss,Suisse
WORKOUT_WORD_FITNESS_110,Workout,Entraînement
YOGA_WORD_FITNESS_110,Yoga,Yoga
PILATES_WORD_FITNESS_110,Pilates,Pilates
JOGGING_WORD_FITNESS_110,Jogging,Jogging
GYM_WORD_FITNESS_110,Gym,Salle de sport
CARDIO_WORD_FITNESS_110,Cardio,Cardio
BICEPS_WORD_MUSCLES_112,Biceps,Biceps
DELTOIDS_WORD_MUSCLES_112,Deltoids,Deltoïdes
ABS_WORD_MUSCLES_112,Abs,Abdominaux
TRICEPS_WORD_MUSCLES_112,Triceps,Triceps
SCARAB_WORD_EGYPT_114,Scarab,Scarabée
PHARAOH_WORD_EGYPT_114,Pharaoh,Pharaon
PAPYRUS_WORD_EGYPT_114,Papyrus,Papyrus
PYRAMID_WORD_EGYPT_114,Pyramid,Pyramide
MULBERRY_WORD_BERRY_116,Mulberry,Mûre
BILBERRY_WORD_BERRY_116,Bilberry,Myrtille
BARBERRY_WORD_BERRY_116,Barberry,Épine-vinette
ATHENS_WORD_CAPITALS_119,Athens,Athènes
PRAGUE_WORD_CAPITALS_119,Prague,Prague
MADRID_WORD_CAPITALS_119,Madrid,Madrid
RIYADH_WORD_CAPITALS_119,Riyadh,Riyad
OTTAWA_WORD_CAPITALS_119,Ottawa,Ottawa
ROME_WORD_CAPITALS_119,Rome,Rome
OSLO_WORD_CAPITALS_119,Oslo,Oslo
CAIRO_WORD_CAPITALS_119,Cairo,Le Caire
POWDER_WORD_MAKEUP_120,Powder,Poudre
SPONGE_WORD_MAKEUP_120,Sponge,Éponge
PALETTE_WORD_MAKEUP_120,Palette,Palette
SERUM_WORD_MAKEUP_120,Serum,Sérum
PEEL_WORD_MAKEUP_120,Peel,Exfoliant
BLUSH_WORD_MAKEUP_120,Blush,Blush
SAVATE_WORD_COMBAT_121,Savate,Savate
JUDO_WORD_COMBAT_121,Judo,Judo
KARATE_WORD_COMBAT_121,Karate,Karaté
KUNG_FU_WORD_COMBAT_121,Kung fu,Kung-fu
SUMO_WORD_COMBAT_121,Sumo,Sumo
SILAT_WORD_COMBAT_121,Silat,Silat
CHORDS_WORD_GUITAR_122,Chords,Accords
PICKUPS_WORD_GUITAR_122,Pickups,Micros
STRINGS_WORD_GUITAR_122,Strings,Cordes
RIFFS_WORD_GUITAR_122,Riffs,Riffs
POINTE_WORD_BALLET_125,Pointe,Pointes
TUTU_WORD_BALLET_125,Tutu,Tutu
BARRE_WORD_BALLET_125,Barre,Barre
ALLIANCE_WORD_UNITE_126,Alliance,Alliance
LEAGUE_WORD_UNITE_126,League,Ligue
UNION_WORD_UNITE_126,Union,Union
JEWELRY_WORD_LUXURY_133,Jewelry,Bijoux
WATCH_WORD_LUXURY_133,Watch,Montre
CAVIAR_WORD_LUXURY_133,Caviar,Caviar
YACHT_WORD_LUXURY_133,Yacht,Yacht
SAVANNA_WORD_BIOMES_135,Savanna,Savane
TUNDRA_WORD_BIOMES_135,Tundra,Toundra
TAIGA_WORD_BIOMES_135,Taiga,Taïga
SRIRACHA_WORD_SPICY_136,Sriracha,Sriracha
WASABI_WORD_SPICY_136,Wasabi,Wasabi
HABANERO_WORD_SPICY_136,Habanero,Habanero
COCKPIT_WORD_PLANE_139,Cockpit,Cockpit
SEATBELT_WORD_PLANE_139,Seatbelt,Ceinture
WINGS_WORD_PLANE_139,Wings,Ailes
ENGINE_WORD_PLANE_139,Engine,Moteur
RUDDER_WORD_PLANE_139,Rudder,Gouvernail
FUSELAGE_WORD_PLANE_139,Fuselage,Fuselage
AILERON_WORD_PLANE_139,Aileron,Aileron
FLY_WORD_PLANE_139,Fly,Voler
BEAVER_WORD_RODENTS_141,Beaver,Castor
MARMOT_WORD_RODENTS_141,Marmot,Marmotte
NUTRIA_WORD_RODENTS_141,Nutria,Ragondin
SQUIRREL_WORD_RODENTS_141,Squirrel,Écureuil
CAPYBARA_WORD_RODENTS_141,Capybara,Capybara
RAT_WORD_RODENTS_141,Rat,Rat
SOLAR_WORD_ENERGY_145,Solar,Solaire
NUCLEAR_WORD_ENERGY_145,Nuclear,Nucléaire
KINETIC_WORD_ENERGY_145,Kinetic,Cinétique
THERMAL_WORD_ENERGY_145,Thermal,Thermique
ESSAY_WORD_ARTICLES_147,Essay,Essai
REVIEW_WORD_ARTICLES_147,Review,Critique
OPINION_WORD_ARTICLES_147,Opinion,Opinion
TSUNAMI_WORD_DISASTER_148,Tsunami,Tsunami
TORNADO_WORD_DISASTER_148,Tornado,Tornade
FLOOD_WORD_DISASTER_148,Flood,Inondation
GORILLA_WORD_PRIMATES_149,Gorilla,Gorille
GIBBON_WORD_PRIMATES_149,Gibbon,Gibbon
BABOON_WORD_PRIMATES_149,Baboon,Babouin
LEMUR_WORD_PRIMATES_149,Lemur,Lémurien
MACAQUE_WORD_PRIMATES_149,Macaque,Macaque
SIMIAN_WORD_PRIMATES_149,Simian,Simien
MANDRILL_WORD_PRIMATES_149,Mandrill,Mandrill
TARSIER_WORD_PRIMATES_149,Tarsier,Tarsier
PYTHON_WORD_CODING_150,Python,Python
JAVA_WORD_CODING_150,Java,Java
RUBY_WORD_CODING_150,Ruby,Ruby
SWIFT_WORD_CODING_150,Swift,Swift
SCRIPT_WORD_CODING_150,Script,Script
PHP_WORD_CODING_150,PHP,PHP
SQL_WORD_CODING_150,SQL,SQL
BUGS_WORD_CODING_150,Bugs,Bugs
LYRICS_WORD_RAP_151,Lyrics,Paroles
VERSE_WORD_RAP_151,Verse,Couplet
RHYME_WORD_RAP_151,Rhyme,Rime
PUNCH_WORD_RAP_151,Punch,Punchline
NIAGARA_WORD_WATER_152,Niagara,Niagara
VICTORIA_WORD_WATER_152,Victoria,Victoria
YOSEMITE_WORD_WATER_152,Yosemite,Yosemite
HAVASU_WORD_WATER_152,Havasu,Havasu
YO_YO_WORD_TOYS_154,Yo-yo,Yo-yo
SPINNER_WORD_TOYS_154,Spinner,Toupie
DOLL_WORD_TOYS_154,Doll,Poupée
SERGEANT_WORD_ARMY_156,Sergeant,Sergent
MAJOR_WORD_ARMY_156,Major,Commandant
GENERAL_WORD_ARMY_156,General,Général
COLONEL_WORD_ARMY_156,Colonel,Colonel
PRIVATE_WORD_ARMY_156,Private,Soldat
CORPORAL_WORD_ARMY_156,Corporal,Caporal
CAPTAIN_WORD_ARMY_156,Captain,Capitaine
RANK_WORD_ARMY_156,Rank,Grade
ZEN_WORD_MEDITATE_160,Zen,Zen
BREATH_WORD_MEDITATE_160,Breath,Souffle
PEACE_WORD_MEDITATE_160,Peace,Paix
MANTRA_WORD_MEDITATE_160,Mantra,Mantra
FAMOUS_WORD_FAME_161,Famous,Célèbre
ICONIC_WORD_FAME_161,Iconic,Iconique
POPULAR_WORD_FAME_161,Popular,Populaire
RENOWN_WORD_FAME_161,Renown,Renom
SYNTAX_WORD_LINGUIST_162,Syntax,Syntaxe
POLYGLOT_WORD_LINGUIST_162,Polyglot,Polyglotte
GRAMMAR_WORD_LINGUIST_162,Grammar,Grammaire
SCHOLAR_WORD_LINGUIST_162,Scholar,Érudit
EASTER_WORD_HOLIDAY_163,Easter,Pâques
NEW_YEAR_WORD_HOLIDAY_163,New Year,Nouvel An
FLAG_DAY_WORD_HOLIDAY_163,Flag Day,Fête du drapeau
DUMBBELL_WORD_GYM_164,Dumbbell,Haltère
BARBELL_WORD_GYM_164,Barbell,Barre
AIR_BIKE_WORD_GYM_164,Air bike,Vélo d'air
PERICLES_WORD_WILLIAM_165,Pericles,Périclès
MACBETH_WORD_WILLIAM_165,Macbeth,Macbeth
HAMLET_WORD_WILLIAM_165,Hamlet,Hamlet
OTHELLO_WORD_WILLIAM_165,Othello,Othello
JULIET_WORD_WILLIAM_165,Juliet,Juliette
ROMEO_WORD_WILLIAM_165,Romeo,Roméo
TEMPEST_WORD_WILLIAM_165,Tempest,Tempête
HENRY_V_WORD_WILLIAM_165,Henry V,Henri V
WOLF_WORD_CANINES_168,Wolf,Loup
COYOTE_WORD_CANINES_168,Coyote,Coyote
DINGO_WORD_CANINES_168,Dingo,Dingo
JACKAL_WORD_CANINES_168,Jackal,Chacal
FOX_WORD_CANINES_168,Fox,Renard
DHOLE_WORD_CANINES_168,Dhole,Dhole
HARVARD_WORD_STUDIES_169,Harvard,Harvard
STANFORD_WORD_STUDIES_169,Stanford,Stanford
OXFORD_WORD_STUDIES_169,Oxford,Oxford
YALE_WORD_STUDIES_169,Yale,Yale
SORBONNE_WORD_STUDIES_169,Sorbonne,Sorbonne
MIT_WORD_STUDIES_169,MIT,MIT
LEMON_WORD_CITRUS_173,Lemon,Citron
LIME_WORD_CITRUS_173,Lime,Citron vert
POMELO_WORD_CITRUS_173,Pomelo,Pomelo
GLIDER_WORD_AIRCRAFT_174,Glider,Planeur
JETLINER_WORD_AIRCRAFT_174,Jetliner,Avion à réaction
AIRPLANE_WORD_AIRCRAFT_174,Airplane,Avion
MERLOT_WORD_GRAPE_177,Merlot,Merlot
RIESLING_WORD_GRAPE_177,Riesling,Riesling
SHIRAZ_WORD_GRAPE_177,Shiraz,Shiraz
GRENACHE_WORD_GRAPE_177,Grenache,Grenache
MUSCAT_WORD_GRAPE_177,Muscat,Muscat
MALBEC_WORD_GRAPE_177,Malbec,Malbec
AMANITA_WORD_MUSHROOM_178,Amanita,Amanite
PORCINI_WORD_MUSHROOM_178,Porcini,Cèpe
RUSSULA_WORD_MUSHROOM_178,Russula,Russule
TRUFFLE_WORD_MUSHROOM_178,Truffle,Truffe
ENOKI_WORD_MUSHROOM_178,Enoki,Enoki
SHIITAKE_WORD_MUSHROOM_178,Shiitake,Shiitaké
WALRUS_WORD_ARCTIC_180,Walrus,Morse
POLAR_BEAR_WORD_ARCTIC_180,Polar bear,Ours polaire
SNOWY_OWL_WORD_ARCTIC_180,Snowy owl,Harfang
REINDEER_WORD_ARCTIC_180,Reindeer,Renne
PIT_STOP_WORD_RACING_182,Pit stop,Arrêt au stand
FINISH_WORD_RACING_182,Finish,Arrivée
SPEEDWAY_WORD_RACING_182,Speedway,Circuit
ASSIST_WORD_HELP_183,Assist,Aider
SUPPORT_WORD_HELP_183,Support,Soutenir
DONATE_WORD_HELP_183,Donate,Donner
OPAL_WORD_GEMSTONE_186,Opal,Opale
RUBY_WORD_GEMSTONE_186,Ruby,Rubis
TOPAZ_WORD_GEMSTONE_186,Topaz,Topaze
SAPPHIRE_WORD_GEMSTONE_186,Sapphire,Saphir
GARNET_WORD_GEMSTONE_186,Garnet,Grenat
DIAMOND_WORD_GEMSTONE_186,Diamond,Diamant
ONYX_WORD_GEMSTONE_186,Onyx,Onyx
AGATE_WORD_GEMSTONE_186,Agate,Agate
ORION_WORD_PATTERN_188,Orion,Orion
PERSEUS_WORD_PATTERN_188,Perseus,Persée
DRACO_WORD_PATTERN_188,Draco,Dragon
SCORPIUS_WORD_PATTERN_188,Scorpius,Scorpion
CYGNUS_WORD_PATTERN_188,Cygnus,Cygne
SERPENS_WORD_PATTERN_188,Serpens,Serpent
GASOLINE_WORD_FUELS_190,Gasoline,Essence
DIESEL_WORD_FUELS_190,Diesel,Diesel
COAL_WORD_FUELS_190,Coal,Charbon
PROPANE_WORD_FUELS_190,Propane,Propane
KEROSENE_WORD_FUELS_190,Kerosene,Kérosène
VOTER_WORD_ELECT_193,Voter,Électeur
BALLOT_WORD_ELECT_193,Ballot,Bulletin
CAMPAIGN_WORD_ELECT_193,Campaign,Campagne
TURNOUT_WORD_ELECT_193,Turnout,Participation
KING_WORD_CROWN_194,King,Roi
EMPEROR_WORD_CROWN_194,Emperor,Empereur
MAHARAJA_WORD_CROWN_194,Maharaja,Maharaja
KENNEDY_WORD_LEADER_196,Washington,Washington
CLINTON_WORD_LEADER_196,Jefferson,Jefferson
LINCOLN_WORD_LEADER_196,Lincoln,Lincoln
REAGAN_WORD_LEADER_196,Roosevelt,Roosevelt
BUSH_WORD_LEADER_196,Wilson,Wilson
OBAMA_WORD_LEADER_196,Jackson,Jackson
ADAMS_WORD_LEADER_196,Adams,Adams
BIDEN_WORD_LEADER_196,Madison,Madison
SOFT_BUN_WORD_HOT_DOG_201,Soft bun,Pain moelleux
SAUSAGE_WORD_HOT_DOG_201,Sausage,Saucisse
KETCHUP_WORD_HOT_DOG_201,Ketchup,Ketchup
DECODE_WORD_CIPHER_208,Decode,Décoder
ENCODE_WORD_CIPHER_208,Encode,Encoder
KEYWORD_WORD_CIPHER_208,Keyword,Mot-clé
PASSWORD_WORD_CIPHER_208,Password,Mot de passe
HARMONY_WORD_SYMPHONY_210,Harmony,Harmonie
OVERTURE_WORD_SYMPHONY_210,Overture,Ouverture
MELODY_WORD_SYMPHONY_210,Melody,Mélodie
PHOTO_WORD_ARTWORKS_211,Photo,Photo
DRAWING_WORD_ARTWORKS_211,Drawing,Dessin
PAINTING_WORD_ARTWORKS_211,Painting,Peinture
HAMMER_WORD_AUCTION_215,Hammer,Marteau
LOT_WORD_AUCTION_215,Lot,Lot
BID_WORD_AUCTION_215,Bid,Enchère
PRICE_WORD_AUCTION_215,Price,Prix
CATALOG_WORD_AUCTION_215,Catalog,Catalogue
BIDDER_WORD_AUCTION_215,Bidder,Enchérisseur
EXCELSA_WORD_BEANS_219,Excelsa,Excelsa
ROBUSTA_WORD_BEANS_219,Robusta,Robusta
LIBERICA_WORD_BEANS_219,Liberica,Libérica
ARABICA_WORD_BEANS_219,Arabica,Arabica
TENT_WORD_CAMPING_221,Tent,Tente
CAMPFIRE_WORD_CAMPING_221,Campfire,Feu de camp
