id,basic_card_name_en,vi-VN
MAILMAN_WORD_JOBS_42,Mailman,Bưu tá
DOCTOR_WORD_JOBS_42,Doctor,Bác sĩ
WELDER_WORD_JOBS_42,Welder,Thợ hàn
ENGINEER_WORD_JOBS_42,Engineer,Kỹ sư
PLUMBER_WORD_JOBS_42,Plumber,Thợ ống nước
ACTOR_WORD_JOBS_42,Actor,Diễn viên
NURSE_WORD_JOBS_42,Nurse,Y tá
SANDALS_WORD_FOOTWEAR_46,Sandals,Sandal
UGGS_WORD_FOOTWEAR_46,Uggs,Ugg
SLIPPERS_WORD_FOOTWEAR_46,Slippers,Dép đi trong nhà
CLOGS_WORD_FOOTWEAR_46,Clogs,Guốc gỗ
LOAFERS_WORD_FOOTWEAR_46,Loafers,Giày lười
SNEAKERS_WORD_FOOTWEAR_46,Sneakers,Giày thể thao
CAR_WORD_DRIVING_49,Car,Xe hơi
ROAD_WORD_DRIVING_49,Road,Đường
SIGN_WORD_DRIVING_49,Sign,Biển báo
TRAFFIC_WORD_DRIVING_49,Traffic,Giao thông
VESPUCCI_WORD_EXPLORER_51,Vespucci,Vespucci
MAGELLAN_WORD_EXPLORER_51,Magellan,Magellan
COLUMBUS_WORD_EXPLORER_51,Columbus,Columbus
KICK_WORD_MOVEMENT_52,Kick,Đá
WALK_WORD_MOVEMENT_52,Walk,Đi bộ
JUMP_WORD_MOVEMENT_52,Jump,Nhảy
SOLID_WORD_PHASE_57,Solid,Rắn
LIQUID_WORD_PHASE_57,Liquid,Lỏng
GAS_WORD_PHASE_57,Gas,Khí
COMFY_WORD_COZY_58,Comfy,Thoải mái
WARM_WORD_COZY_58,Warm,Ấm áp
SNUG_WORD_COZY_58,Snug,Ấm cúng
ARIES_WORD_ZODIAC_59,Aries,Bạch Dương
TAURUS_WORD_ZODIAC_59,Taurus,Kim Ngưu
GEMINI_WORD_ZODIAC_59,Gemini,Song Tử
LEO_WORD_ZODIAC_59,Leo,Sư Tử
VIRGO_WORD_ZODIAC_59,Virgo,Xử Nữ
LIBRA_WORD_ZODIAC_59,Libra,Thiên Bình
SCORPIO_WORD_ZODIAC_59,Scorpio,Bọ Cạp
PISCES_WORD_ZODIAC_59,Pisces,Song Ngư
FRIGATE_WORD_SHIP_62,Frigate,Tàu khu trục
CARAVEL_WORD_SHIP_62,Caravel,Thuyền caravel
GALLEON_WORD_SHIP_62,Galleon,Thuyền galleon
BRIG_WORD_SHIP_62,Brig,Thuyền brig
TANKER_WORD_SHIP_62,Tanker,Tàu chở dầu
TUGBOAT_WORD_SHIP_62,Tugboat,Tàu kéo
STAMP_WORD_MAILMAN_63,Stamp,Tem
ENVELOPE_WORD_MAILMAN_63,Envelope,Phong bì
LETTER_WORD_MAILMAN_63,Letter,Thư
MAIL_WORD_MAILMAN_63,Mail,Bưu phẩm
SEAL_WORD_MAILMAN_63,Seal,Con dấu
INK_WORD_MAILMAN_63,Ink,Mực
BUST_WORD_SCULPT_64,Bust,Tượng bán thân
FIGURINE_WORD_SCULPT_64,Figurine,Tượng nhỏ
STATUE_WORD_SCULPT_64,Statue,Tượng
MONUMENT_WORD_SCULPT_64,Monument,Tượng đài
ENGLISH_WORD_LANGUAGE_70,English,Tiếng Anh
ITALIAN_WORD_LANGUAGE_70,Italian,Tiếng Ý
HINDI_WORD_LANGUAGE_70,Hindi,Tiếng Hindi
JAPANESE_WORD_LANGUAGE_70,Japanese,Tiếng Nhật
HEBREW_WORD_LANGUAGE_70,Hebrew,Tiếng Do Thái
DANISH_WORD_LANGUAGE_70,Danish,Tiếng Đan Mạch
LATIN_WORD_LANGUAGE_70,Latin,Tiếng Latin
POLISH_WORD_LANGUAGE_70,Polish,Tiếng Ba Lan
LENS_WORD_CAMERA_73,Lens,Ống kính
FLASH_WORD_CAMERA_73,Flash,Đèn flash
ZOOM_WORD_CAMERA_73,Zoom,Thu phóng
FILTER_WORD_CAMERA_73,Filter,Bộ lọc
SHUTTER_WORD_CAMERA_73,Shutter,Màn trập
EXPOSURE_WORD_CAMERA_73,Exposure,Phơi sáng
MIST_WORD_FOG_76,Mist,Sương mù
HAZE_WORD_FOG_76,Haze,Mù mây
SMOG_WORD_FOG_76,Smog,Khói mù
VAPOR_WORD_FOG_76,Vapor,Hơi nước
SLEET_WORD_SNOW_77,Sleet,Mưa tuyết
FLAKE_WORD_SNOW_77,Flake,Bông tuyết
ICEBERG_WORD_SNOW_77,Frost,Sương giá
HEDGEHOG_WORD_SPIKY_78,Hedgehog,Nhím
CACTUS_WORD_SPIKY_78,Cactus,Xương rồng
DURIAN_WORD_SPIKY_78,Durian,Sầu riêng
DOVE_WORD_BIRDS_80,Dove,Bồ câu
EAGLE_WORD_BIRDS_80,Eagle,Đại bàng
SWAN_WORD_BIRDS_80,Swan,Thiên nga
OWL_WORD_BIRDS_80,Owl,Cú
HERON_WORD_BIRDS_80,Heron,Diệc
ROBIN_WORD_BIRDS_80,Robin,Chim cổ đỏ
FINCH_WORD_BIRDS_80,Finch,Chim sẻ
VULTURE_WORD_BIRDS_80,Vulture,Kền kền
SARTRE_WORD_MINDS_82,Sartre,Sartre
DANTE_WORD_MINDS_82,Dante,Dante
PLATO_WORD_MINDS_82,Plato,Plato
SOCRATES_WORD_MINDS_82,Socrates,Socrates
GALILEO_WORD_MINDS_82,Galileo,Galileo
KANT_WORD_MINDS_82,Kant,Kant
PUCK_WORD_HOCKEY_86,Puck,Bóng hockey
PENALTY_WORD_HOCKEY_86,Penalty,Phạt đền
GOAL_WORD_HOCKEY_86,Goal,Bàn thắng
RINK_WORD_HOCKEY_86,Rink,Sân băng
COUPLE_WORD_DATE_87,Couple,Cặp đôi
TUXEDO_WORD_DATE_87,Wine,Rượu vang
FLOWERS_WORD_DATE_87,Flowers,Hoa
TEETH_WORD_SAW_88,Teeth,Răng cưa
BLADE_WORD_SAW_88,Blade,Lưỡi
NOTCH_WORD_SAW_88,Notch,Rãnh
OLDMAN_WORD_ACTOR_89,Oldman,Oldman
PITT_WORD_ACTOR_89,Pitt,Pitt
EASTWOOD_WORD_ACTOR_89,Eastwood,Eastwood
HANKS_WORD_ACTOR_89,Hanks,Hanks
CROWE_WORD_ACTOR_89,Crowe,Crowe
CRUISE_WORD_ACTOR_89,Cruise,Cruise
DICAPRIO_WORD_ACTOR_89,DiCaprio,DiCaprio
WAHLBERG_WORD_ACTOR_89,Wahlberg,Wahlberg
MERCURY_WORD_PLANET_90,Mercury,Sao Thủy
JUPITER_WORD_PLANET_90,Jupiter,Sao Mộc
SATURN_WORD_PLANET_90,Saturn,Sao Thổ
URANUS_WORD_PLANET_90,Uranus,Sao Thiên Vương
NEPTUNE_WORD_PLANET_90,Neptune,Sao Hải Vương
MARS_WORD_PLANET_90,Mars,Sao Hỏa
EARTH_WORD_PLANET_90,Earth,Trái Đất
VENUS_WORD_PLANET_90,Venus,Sao Kim
BIOLOGY_WORD_LESSONS_94,Biology,Sinh học
PHYSICS_WORD_LESSONS_94,Physics,Vật lý
GEOMETRY_WORD_LESSONS_94,Geometry,Hình học
ALGEBRA_WORD_LESSONS_94,Algebra,Đại số
HISTORY_WORD_LESSONS_94,History,Lịch sử
CALCULUS_WORD_LESSONS_94,Calculus,Giải tích
TABLETS_WORD_PILLS_99,Tablets,Viên nén
CAPSULES_WORD_PILLS_99,Capsules,Viên nang
LOZENGES_WORD_PILLS_99,Lozenges,Viên ngậm
CLOUDS_WORD_RAINY_100,Clouds,Mây
SHOWERS_WORD_RAINY_100,Showers,Mưa rào
PUDDLES_WORD_RAINY_100,Puddles,Vũng nước
CIABATTA_WORD_BREADS_102,Ciabatta,Ciabatta
BAGUETTE_WORD_BREADS_102,Baguette,Bánh mì Pháp
FOCACCIA_WORD_BREADS_102,Focaccia,Focaccia
PITA_WORD_BREADS_102,Pita,Bánh pita
CHALLAH_WORD_BREADS_102,Challah,Challah
TORTILLA_WORD_BREADS_102,Tortilla,Tortilla
BRIOCHE_WORD_BREADS_102,Brioche,Brioche
AREPA_WORD_BREADS_102,Arepa,Arepa
GYRUS_WORD_BRAIN_106,Gyrus,Hồi não
CORTEX_WORD_BRAIN_106,Cortex,Vỏ não
LOBE_WORD_BRAIN_106,Lobe,Thùy não
HYDROGEN_WORD_ELEMENTS_107,Hydrogen,Hydro
NITROGEN_WORD_ELEMENTS_107,Nitrogen,Nitơ
SULFUR_WORD_ELEMENTS_107,Sulfur,Lưu huỳnh
CARBON_WORD_ELEMENTS_107,Carbon,Carbon
SODIUM_WORD_ELEMENTS_107,Sodium,Natri
SILICON_WORD_ELEMENTS_107,Silicon,Silic
IODINE_WORD_ELEMENTS_107,Iodine,Iốt
OXYGEN_WORD_ELEMENTS_107,Oxygen,Oxy
BRIE_WORD_CHEESE_108,Brie,Brie
FETA_WORD_CHEESE_108,Feta,Feta
GOUDA_WORD_CHEESE_108,Gouda,Gouda
CHEDDAR_WORD_CHEESE_108,Cheddar,Cheddar
PARMESAN_WORD_CHEESE_108,Parmesan,Parmesan
RICOTTA_WORD_CHEESE_108,Ricotta,Ricotta
EDAM_WORD_CHEESE_108,Edam,Edam
DORBLU_WORD_CHEESE_108,Swiss,Swiss
WORKOUT_WORD_FITNESS_110,Workout,Tập luyện
YOGA_WORD_FITNESS_110,Yoga,Yoga
PILATES_WORD_FITNESS_110,Pilates,Pilates
JOGGING_WORD_FITNESS_110,Jogging,Chạy bộ
GYM_WORD_FITNESS_110,Gym,Phòng gym
CARDIO_WORD_FITNESS_110,Cardio,Cardio
BICEPS_WORD_MUSCLES_112,Biceps,Cơ bắp tay
DELTOIDS_WORD_MUSCLES_112,Deltoids,Cơ delta
ABS_WORD_MUSCLES_112,Abs,Cơ bụng
TRICEPS_WORD_MUSCLES_112,Triceps,Cơ tam đầu
SCARAB_WORD_EGYPT_114,Scarab,Bọ hung
PHARAOH_WORD_EGYPT_114,Pharaoh,Pharaoh
PAPYRUS_WORD_EGYPT_114,Papyrus,Giấy cói
PYRAMID_WORD_EGYPT_114,Pyramid,Kim tự tháp
MULBERRY_WORD_BERRY_116,Mulberry,Dâu tằm
BILBERRY_WORD_BERRY_116,Bilberry,Việt quất
BARBERRY_WORD_BERRY_116,Barberry,Hoàng bá
ATHENS_WORD_CAPITALS_119,Athens,Athens
PRAGUE_WORD_CAPITALS_119,Prague,Praha
MADRID_WORD_CAPITALS_119,Madrid,Madrid
RIYADH_WORD_CAPITALS_119,Riyadh,Riyadh
OTTAWA_WORD_CAPITALS_119,Ottawa,Ottawa
ROME_WORD_CAPITALS_119,Rome,Rome
OSLO_WORD_CAPITALS_119,Oslo,Oslo
CAIRO_WORD_CAPITALS_119,Cairo,Cairo
POWDER_WORD_MAKEUP_120,Powder,Phấn
SPONGE_WORD_MAKEUP_120,Sponge,Bọt biển
PALETTE_WORD_MAKEUP_120,Palette,Bảng màu
SERUM_WORD_MAKEUP_120,Serum,Serum
PEEL_WORD_MAKEUP_120,Peel,Tẩy da
BLUSH_WORD_MAKEUP_120,Blush,Phấn hồng
SAVATE_WORD_COMBAT_121,Savate,Savate
JUDO_WORD_COMBAT_121,Judo,Judo
KARATE_WORD_COMBAT_121,Karate,Karate
KUNG_FU_WORD_COMBAT_121,Kung fu,Kung fu
SUMO_WORD_COMBAT_121,Sumo,Sumo
SILAT_WORD_COMBAT_121,Silat,Silat
CHORDS_WORD_GUITAR_122,Chords,Hợp âm
PICKUPS_WORD_GUITAR_122,Pickups,Pickup
STRINGS_WORD_GUITAR_122,Strings,Dây đàn
RIFFS_WORD_GUITAR_122,Riffs,Riff
POINTE_WORD_BALLET_125,Pointe,Mũi chân
TUTU_WORD_BALLET_125,Tutu,Váy tutu
BARRE_WORD_BALLET_125,Barre,Thanh tập
ALLIANCE_WORD_UNITE_126,Alliance,Liên minh
LEAGUE_WORD_UNITE_126,League,Liên đoàn
UNION_WORD_UNITE_126,Union,Liên hiệp
JEWELRY_WORD_LUXURY_133,Jewelry,Trang sức
WATCH_WORD_LUXURY_133,Watch,Đồng hồ
CAVIAR_WORD_LUXURY_133,Caviar,Trứng cá muối
YACHT_WORD_LUXURY_133,Yacht,Du thuyền
SAVANNA_WORD_BIOMES_135,Savanna,Savanna
TUNDRA_WORD_BIOMES_135,Tundra,Đài nguyên
TAIGA_WORD_BIOMES_135,Taiga,Rừng taiga
SRIRACHA_WORD_SPICY_136,Sriracha,Tương ớt
WASABI_WORD_SPICY_136,Wasabi,Wasabi
HABANERO_WORD_SPICY_136,Habanero,Habanero
COCKPIT_WORD_PLANE_139,Cockpit,Buồng lái
SEATBELT_WORD_PLANE_139,Seatbelt,Dây an toàn
WINGS_WORD_PLANE_139,Wings,Cánh
ENGINE_WORD_PLANE_139,Engine,Động cơ
RUDDER_WORD_PLANE_139,Rudder,Bánh lái
FUSELAGE_WORD_PLANE_139,Fuselage,Thân máy bay
AILERON_WORD_PLANE_139,Aileron,Cánh phụ
FLY_WORD_PLANE_139,Fly,Bay
BEAVER_WORD_RODENTS_141,Beaver,Hải ly
MARMOT_WORD_RODENTS_141,Marmot,Sóc đất
NUTRIA_WORD_RODENTS_141,Nutria,Chuột hải ly
SQUIRREL_WORD_RODENTS_141,Squirrel,Sóc
CAPYBARA_WORD_RODENTS_141,Capybara,Chuột lang nước
RAT_WORD_RODENTS_141,Rat,Chuột
SOLAR_WORD_ENERGY_145,Solar,Năng lượng mặt trời
NUCLEAR_WORD_ENERGY_145,Nuclear,Hạt nhân
KINETIC_WORD_ENERGY_145,Kinetic,Động năng
THERMAL_WORD_ENERGY_145,Thermal,Nhiệt năng
ESSAY_WORD_ARTICLES_147,Essay,Tiểu luận
REVIEW_WORD_ARTICLES_147,Review,Đánh giá
OPINION_WORD_ARTICLES_147,Opinion,Ý kiến
TSUNAMI_WORD_DISASTER_148,Tsunami,Sóng thần
TORNADO_WORD_DISASTER_148,Tornado,Lốc xoáy
FLOOD_WORD_DISASTER_148,Flood,Lũ lụt
GORILLA_WORD_PRIMATES_149,Gorilla,Khỉ đột
GIBBON_WORD_PRIMATES_149,Gibbon,Vượn
BABOON_WORD_PRIMATES_149,Baboon,Khỉ đầu chó
LEMUR_WORD_PRIMATES_149,Lemur,Vượn cáo
MACAQUE_WORD_PRIMATES_149,Macaque,Khỉ vàng
SIMIAN_WORD_PRIMATES_149,Simian,Linh trưởng
MANDRILL_WORD_PRIMATES_149,Mandrill,Khỉ mặt chó
TARSIER_WORD_PRIMATES_149,Tarsier,Khỉ lùn
PYTHON_WORD_CODING_150,Python,Python
JAVA_WORD_CODING_150,Java,Java
RUBY_WORD_CODING_150,Ruby,Ruby
SWIFT_WORD_CODING_150,Swift,Swift
SCRIPT_WORD_CODING_150,Script,Script
PHP_WORD_CODING_150,PHP,PHP
SQL_WORD_CODING_150,SQL,SQL
BUGS_WORD_CODING_150,Bugs,Lỗi
LYRICS_WORD_RAP_151,Lyrics,Lời bài hát
VERSE_WORD_RAP_151,Verse,Câu thơ
RHYME_WORD_RAP_151,Rhyme,Vần
PUNCH_WORD_RAP_151,Punch,Punchline
NIAGARA_WORD_WATER_152,Niagara,Niagara
VICTORIA_WORD_WATER_152,Victoria,Victoria
YOSEMITE_WORD_WATER_152,Yosemite,Yosemite
HAVASU_WORD_WATER_152,Havasu,Havasu
YO_YO_WORD_TOYS_154,Yo-yo,Yoyo
SPINNER_WORD_TOYS_154,Spinner,Con quay
DOLL_WORD_TOYS_154,Doll,Búp bê
SERGEANT_WORD_ARMY_156,Sergeant,Trung sĩ
MAJOR_WORD_ARMY_156,Major,Thiếu tá
GENERAL_WORD_ARMY_156,General,Tướng
COLONEL_WORD_ARMY_156,Colonel,Đại tá
PRIVATE_WORD_ARMY_156,Private,Binh nhì
CORPORAL_WORD_ARMY_156,Corporal,Hạ sĩ
CAPTAIN_WORD_ARMY_156,Captain,Đại úy
RANK_WORD_ARMY_156,Rank,Quân hàm
ZEN_WORD_MEDITATE_160,Zen,Thiền
BREATH_WORD_MEDITATE_160,Breath,Hơi thở
PEACE_WORD_MEDITATE_160,Peace,Bình an
MANTRA_WORD_MEDITATE_160,Mantra,Thần chú
FAMOUS_WORD_FAME_161,Famous,Nổi tiếng
ICONIC_WORD_FAME_161,Iconic,Biểu tượng
POPULAR_WORD_FAME_161,Popular,Phổ biến
RENOWN_WORD_FAME_161,Renown,Danh tiếng
SYNTAX_WORD_LINGUIST_162,Syntax,Cú pháp
POLYGLOT_WORD_LINGUIST_162,Polyglot,Đa ngữ
GRAMMAR_WORD_LINGUIST_162,Grammar,Ngữ pháp
SCHOLAR_WORD_LINGUIST_162,Scholar,Học giả
EASTER_WORD_HOLIDAY_163,Easter,Phục Sinh
NEW_YEAR_WORD_HOLIDAY_163,New Year,Năm Mới
FLAG_DAY_WORD_HOLIDAY_163,Flag Day,Ngày Quốc kỳ
DUMBBELL_WORD_GYM_164,Dumbbell,Tạ đơn
BARBELL_WORD_GYM_164,Barbell,Tạ đòn
AIR_BIKE_WORD_GYM_164,Air bike,Xe đạp gió
PERICLES_WORD_WILLIAM_165,Pericles,Pericles
MACBETH_WORD_WILLIAM_165,Macbeth,Macbeth
HAMLET_WORD_WILLIAM_165,Hamlet,Hamlet
OTHELLO_WORD_WILLIAM_165,Othello,Othello
JULIET_WORD_WILLIAM_165,Juliet,Juliet
ROMEO_WORD_WILLIAM_165,Romeo,Romeo
TEMPEST_WORD_WILLIAM_165,Tempest,Bão Tố
HENRY_V_WORD_WILLIAM_165,Henry V,Henry V
WOLF_WORD_CANINES_168,Wolf,Sói
COYOTE_WORD_CANINES_168,Coyote,Sói đồng
DINGO_WORD_CANINES_168,Dingo,Chó hoang
JACKAL_WORD_CANINES_168,Jackal,Chó rừng
FOX_WORD_CANINES_168,Fox,Cáo
DHOLE_WORD_CANINES_168,Dhole,Sói đỏ
HARVARD_WORD_STUDIES_169,Harvard,Harvard
STANFORD_WORD_STUDIES_169,Stanford,Stanford
OXFORD_WORD_STUDIES_169,Oxford,Oxford
YALE_WORD_STUDIES_169,Yale,Yale
SORBONNE_WORD_STUDIES_169,Sorbonne,Sorbonne
MIT_WORD_STUDIES_169,MIT,MIT
LEMON_WORD_CITRUS_173,Lemon,Chanh vàng
LIME_WORD_CITRUS_173,Lime,Chanh xanh
POMELO_WORD_CITRUS_173,Pomelo,Bưởi
GLIDER_WORD_AIRCRAFT_174,Glider,Tàu lượn
JETLINER_WORD_AIRCRAFT_174,Jetliner,Máy bay phản lực
AIRPLANE_WORD_AIRCRAFT_174,Airplane,Máy bay
MERLOT_WORD_GRAPE_177,Merlot,Merlot
RIESLING_WORD_GRAPE_177,Riesling,Riesling
SHIRAZ_WORD_GRAPE_177,Shiraz,Shiraz
GRENACHE_WORD_GRAPE_177,Grenache,Grenache
MUSCAT_WORD_GRAPE_177,Muscat,Muscat
MALBEC_WORD_GRAPE_177,Malbec,Malbec
AMANITA_WORD_MUSHROOM_178,Amanita,Nấm độc
PORCINI_WORD_MUSHROOM_178,Porcini,Nấm porcini
RUSSULA_WORD_MUSHROOM_178,Russula,Nấm russula
TRUFFLE_WORD_MUSHROOM_178,Truffle,Nấm truffle
ENOKI_WORD_MUSHROOM_178,Enoki,Nấm kim châm
SHIITAKE_WORD_MUSHROOM_178,Shiitake,Nấm đông cô
WALRUS_WORD_ARCTIC_180,Walrus,Hải mã
POLAR_BEAR_WORD_ARCTIC_180,Polar bear,Gấu Bắc Cực
SNOWY_OWL_WORD_ARCTIC_180,Snowy owl,Cú tuyết
REINDEER_WORD_ARCTIC_180,Reindeer,Tuần lộc
PIT_STOP_WORD_RACING_182,Pit stop,Pit stop
FINISH_WORD_RACING_182,Finish,Đích
SPEEDWAY_WORD_RACING_182,Speedway,Đường đua
ASSIST_WORD_HELP_183,Assist,Hỗ trợ
SUPPORT_WORD_HELP_183,Support,Ủng hộ
DONATE_WORD_HELP_183,Donate,Quyên góp
OPAL_WORD_GEMSTONE_186,Opal,Opal
RUBY_WORD_GEMSTONE_186,Ruby,Hồng ngọc
TOPAZ_WORD_GEMSTONE_186,Topaz,Hoàng ngọc
SAPPHIRE_WORD_GEMSTONE_186,Sapphire,Lam ngọc
GARNET_WORD_GEMSTONE_186,Garnet,Ngọc hồng lựu
DIAMOND_WORD_GEMSTONE_186,Diamond,Kim cương
ONYX_WORD_GEMSTONE_186,Onyx,Mã não đen
AGATE_WORD_GEMSTONE_186,Agate,Mã não
ORION_WORD_PATTERN_188,Orion,Thợ Săn
PERSEUS_WORD_PATTERN_188,Perseus,Perseus
DRACO_WORD_PATTERN_188,Draco,Thiên Long
SCORPIUS_WORD_PATTERN_188,Scorpius,Bọ Cạp
CYGNUS_WORD_PATTERN_188,Cygnus,Thiên Nga
SERPENS_WORD_PATTERN_188,Serpens,Cự Xà
GASOLINE_WORD_FUELS_190,Gasoline,Xăng
DIESEL_WORD_FUELS_190,Diesel,Dầu diesel
COAL_WORD_FUELS_190,Coal,Than đá
PROPANE_WORD_FUELS_190,Propane,Propane
KEROSENE_WORD_FUELS_190,Kerosene,Dầu hỏa
VOTER_WORD_ELECT_193,Voter,Cử tri
BALLOT_WORD_ELECT_193,Ballot,Phiếu bầu
CAMPAIGN_WORD_ELECT_193,Campaign,Vận động
TURNOUT_WORD_ELECT_193,Turnout,Tỉ lệ đi bầu
KING_WORD_CROWN_194,King,Vua
EMPEROR_WORD_CROWN_194,Emperor,Hoàng đế
MAHARAJA_WORD_CROWN_194,Maharaja,Đại vương
KENNEDY_WORD_LEADER_196,Washington,Washington
CLINTON_WORD_LEADER_196,Jefferson,Jefferson
LINCOLN_WORD_LEADER_196,Lincoln,Lincoln
REAGAN_WORD_LEADER_196,Roosevelt,Roosevelt
BUSH_WORD_LEADER_196,Wilson,Wilson
OBAMA_WORD_LEADER_196,Jackson,Jackson
ADAMS_WORD_LEADER_196,Adams,Adams
