\ufeffid,basic_card_name_en,ja-JP
PLASTIC_WORD_MATERIAL_27,Plastic,プラスチック
STONE_WORD_MATERIAL_27,Stone,石
TERMINAL_WORD_AIRPORT_29,Terminal,ターミナル
RUNWAY_WORD_AIRPORT_29,Runway,滑走路
GATE_WORD_AIRPORT_29,Gate,搭乗口
CREAM_WORD_DAIRY_30,Cream,クリーム
BUTTER_WORD_DAIRY_30,Butter,バター
YOGURT_WORD_DAIRY_30,Yogurt,ヨーグルト
GOLDFISH_WORD_FISH_31,Goldfish,金魚
TUNA_WORD_FISH_31,Tuna,マグロ
MARLIN_WORD_FISH_31,Marlin,カジキ
SARDINE_WORD_FISH_31,Sardine,イワシ
EEL_WORD_FISH_31,Eel,ウナギ
MACKEREL_WORD_FISH_31,Mackerel,サバ
GROUPER_WORD_FISH_31,Grouper,ハタ
PERCH_WORD_FISH_31,Perch,パーチ
ITALY_WORD_MAP_32,Italy,イタリア
INDIA_WORD_MAP_32,India,インド
AUSTRALIA_WORD_MAP_32,Australia,オーストラリア
FRANCE_WORD_MAP_32,France,フランス
USA_WORD_MAP_32,USA,アメリカ
UK_WORD_MAP_32,UK,イギリス
CYPRUS_WORD_MAP_32,Cyprus,キプロス
JAPAN_WORD_MAP_32,Japan,日本
ARMOR_WORD_KNIGHT_34,Armor,鎧
HELMET_WORD_KNIGHT_34,Helmet,兜
SHIELD_WORD_KNIGHT_34,Shield,盾
WEAPON_WORD_KNIGHT_34,Weapon,武器
DESTRIER_WORD_KNIGHT_34,Destrier,軍馬
CHIVALRY_WORD_KNIGHT_34,Chivalry,騎士道
SHOOTER_WORD_GAMER_36,Shooter,シューティング
ARCADE_WORD_GAMER_36,Arcade,アーケード
STRATEGY_WORD_GAMER_36,Strategy,ストラテジー
SCORE_WORD_GAMER_36,Score,スコア
DRYER_WORD_DEVICE_38,Dryer,乾燥機
PRINTER_WORD_DEVICE_38,Printer,プリンター
FAX_WORD_DEVICE_38,Fax,ファックス
HEATER_WORD_DEVICE_38,Heater,ヒーター
MANSION_WORD_HOUSE_40,Mansion,大邸宅
PALACE_WORD_HOUSE_40,Palace,宮殿
VILLA_WORD_HOUSE_40,Villa,別荘
PILOT_WORD_JOBS_42,Pilot,パイロット
MAILMAN_WORD_JOBS_42,Mailman,郵便配達員
DOCTOR_WORD_JOBS_42,Doctor,医者
WELDER_WORD_JOBS_42,Welder,溶接工
ENGINEER_WORD_JOBS_42,Engineer,エンジニア
PLUMBER_WORD_JOBS_42,Plumber,配管工
ACTOR_WORD_JOBS_42,Actor,俳優
NURSE_WORD_JOBS_42,Nurse,看護師
SANDALS_WORD_FOOTWEAR_46,Sandals,サンダル
UGGS_WORD_FOOTWEAR_46,Uggs,アグブーツ
SLIPPERS_WORD_FOOTWEAR_46,Slippers,スリッパ
CLOGS_WORD_FOOTWEAR_46,Clogs,クロッグ
LOAFERS_WORD_FOOTWEAR_46,Loafers,ローファー
SNEAKERS_WORD_FOOTWEAR_46,Sneakers,スニーカー
CAR_WORD_DRIVING_49,Car,車
ROAD_WORD_DRIVING_49,Road,道路
SIGN_WORD_DRIVING_49,Sign,標識
TRAFFIC_WORD_DRIVING_49,Traffic,交通
VESPUCCI_WORD_EXPLORER_51,Vespucci,ヴェスプッチ
MAGELLAN_WORD_EXPLORER_51,Magellan,マゼラン
COLUMBUS_WORD_EXPLORER_51,Columbus,コロンブス
KICK_WORD_MOVEMENT_52,Kick,キック
WALK_WORD_MOVEMENT_52,Walk,歩く
JUMP_WORD_MOVEMENT_52,Jump,ジャンプ
SOLID_WORD_PHASE_57,Solid,固体
LIQUID_WORD_PHASE_57,Liquid,液体
GAS_WORD_PHASE_57,Gas,気体
COMFY_WORD_COZY_58,Comfy,快適
WARM_WORD_COZY_58,Warm,温かい
SNUG_WORD_COZY_58,Snug,心地よい
ARIES_WORD_ZODIAC_59,Aries,おひつじ座
TAURUS_WORD_ZODIAC_59,Taurus,おうし座
GEMINI_WORD_ZODIAC_59,Gemini,ふたご座
LEO_WORD_ZODIAC_59,Leo,しし座
VIRGO_WORD_ZODIAC_59,Virgo,おとめ座
LIBRA_WORD_ZODIAC_59,Libra,てんびん座
SCORPIO_WORD_ZODIAC_59,Scorpio,さそり座
PISCES_WORD_ZODIAC_59,Pisces,うお座
FRIGATE_WORD_SHIP_62,Frigate,フリゲート
CARAVEL_WORD_SHIP_62,Caravel,キャラベル
GALLEON_WORD_SHIP_62,Galleon,ガレオン
BRIG_WORD_SHIP_62,Brig,ブリッグ
TANKER_WORD_SHIP_62,Tanker,タンカー
TUGBOAT_WORD_SHIP_62,Tugboat,タグボート
STAMP_WORD_MAILMAN_63,Stamp,切手
ENVELOPE_WORD_MAILMAN_63,Envelope,封筒
LETTER_WORD_MAILMAN_63,Letter,手紙
MAIL_WORD_MAILMAN_63,Mail,郵便
SEAL_WORD_MAILMAN_63,Seal,封蝋
INK_WORD_MAILMAN_63,Ink,インク
BUST_WORD_SCULPT_64,Bust,胸像
FIGURINE_WORD_SCULPT_64,Figurine,フィギュリン
STATUE_WORD_SCULPT_64,Statue,彫像
MONUMENT_WORD_SCULPT_64,Monument,記念碑
ENGLISH_WORD_LANGUAGE_70,English,英語
ITALIAN_WORD_LANGUAGE_70,Italian,イタリア語
HINDI_WORD_LANGUAGE_70,Hindi,ヒンディー語
JAPANESE_WORD_LANGUAGE_70,Japanese,日本語
HEBREW_WORD_LANGUAGE_70,Hebrew,ヘブライ語
DANISH_WORD_LANGUAGE_70,Danish,デンマーク語
LATIN_WORD_LANGUAGE_70,Latin,ラテン語
POLISH_WORD_LANGUAGE_70,Polish,ポーランド語
LENS_WORD_CAMERA_73,Lens,レンズ
FLASH_WORD_CAMERA_73,Flash,フラッシュ
ZOOM_WORD_CAMERA_73,Zoom,ズーム
FILTER_WORD_CAMERA_73,Filter,フィルター
SHUTTER_WORD_CAMERA_73,Shutter,シャッター
EXPOSURE_WORD_CAMERA_73,Exposure,露出
MIST_WORD_FOG_76,Mist,霧
HAZE_WORD_FOG_76,Haze,霞
SMOG_WORD_FOG_76,Smog,スモッグ
VAPOR_WORD_FOG_76,Vapor,蒸気
SLEET_WORD_SNOW_77,Sleet,みぞれ
FLAKE_WORD_SNOW_77,Flake,雪片
ICEBERG_WORD_SNOW_77,Frost,霜
HEDGEHOG_WORD_SPIKY_78,Hedgehog,ハリネズミ
CACTUS_WORD_SPIKY_78,Cactus,サボテン
DURIAN_WORD_SPIKY_78,Durian,ドリアン
DOVE_WORD_BIRDS_80,Dove,ハト
EAGLE_WORD_BIRDS_80,Eagle,ワシ
SWAN_WORD_BIRDS_80,Swan,白鳥
OWL_WORD_BIRDS_80,Owl,フクロウ
HERON_WORD_BIRDS_80,Heron,サギ
ROBIN_WORD_BIRDS_80,Robin,コマドリ
FINCH_WORD_BIRDS_80,Finch,フィンチ
VULTURE_WORD_BIRDS_80,Vulture,ハゲタカ
SARTRE_WORD_MINDS_82,Sartre,サルトル
DANTE_WORD_MINDS_82,Dante,ダンテ
PLATO_WORD_MINDS_82,Plato,プラトン
SOCRATES_WORD_MINDS_82,Socrates,ソクラテス
GALILEO_WORD_MINDS_82,Galileo,ガリレオ
KANT_WORD_MINDS_82,Kant,カント
PUCK_WORD_HOCKEY_86,Puck,パック
PENALTY_WORD_HOCKEY_86,Penalty,ペナルティ
GOAL_WORD_HOCKEY_86,Goal,ゴール
RINK_WORD_HOCKEY_86,Rink,リンク
COUPLE_WORD_DATE_87,Couple,カップル
TUXEDO_WORD_DATE_87,Wine,ワイン
FLOWERS_WORD_DATE_87,Flowers,花
TEETH_WORD_SAW_88,Teeth,歯
BLADE_WORD_SAW_88,Blade,刃
NOTCH_WORD_SAW_88,Notch,切込み
OLDMAN_WORD_ACTOR_89,Oldman,オールドマン
PITT_WORD_ACTOR_89,Pitt,ピット
EASTWOOD_WORD_ACTOR_89,Eastwood,イーストウッド
HANKS_WORD_ACTOR_89,Hanks,ハンクス
CROWE_WORD_ACTOR_89,Crowe,クロウ
CRUISE_WORD_ACTOR_89,Cruise,クルーズ
DICAPRIO_WORD_ACTOR_89,DiCaprio,ディカプリオ
WAHLBERG_WORD_ACTOR_89,Wahlberg,ウォールバーグ
MERCURY_WORD_PLANET_90,Mercury,水星
JUPITER_WORD_PLANET_90,Jupiter,木星
SATURN_WORD_PLANET_90,Saturn,土星
URANUS_WORD_PLANET_90,Uranus,天王星
NEPTUNE_WORD_PLANET_90,Neptune,海王星
MARS_WORD_PLANET_90,Mars,火星
EARTH_WORD_PLANET_90,Earth,地球
VENUS_WORD_PLANET_90,Venus,金星
BIOLOGY_WORD_LESSONS_94,Biology,生物
PHYSICS_WORD_LESSONS_94,Physics,物理
GEOMETRY_WORD_LESSONS_94,Geometry,幾何
ALGEBRA_WORD_LESSONS_94,Algebra,代数
HISTORY_WORD_LESSONS_94,History,歴史
CALCULUS_WORD_LESSONS_94,Calculus,微積分
TABLETS_WORD_PILLS_99,Tablets,錠剤
CAPSULES_WORD_PILLS_99,Capsules,カプセル
LOZENGES_WORD_PILLS_99,Lozenges,トローチ
CLOUDS_WORD_RAINY_100,Clouds,雲
SHOWERS_WORD_RAINY_100,Showers,にわか雨
PUDDLES_WORD_RAINY_100,Puddles,水たまり
CIABATTA_WORD_BREADS_102,Ciabatta,チャバタ
BAGUETTE_WORD_BREADS_102,Baguette,バゲット
FOCACCIA_WORD_BREADS_102,Focaccia,フォカッチャ
PITA_WORD_BREADS_102,Pita,ピタ
CHALLAH_WORD_BREADS_102,Challah,ハッラー
TORTILLA_WORD_BREADS_102,Tortilla,トルティーヤ
BRIOCHE_WORD_BREADS_102,Brioche,ブリオッシュ
AREPA_WORD_BREADS_102,Arepa,アレパ
GYRUS_WORD_BRAIN_106,Gyrus,脳回
CORTEX_WORD_BRAIN_106,Cortex,皮質
LOBE_WORD_BRAIN_106,Lobe,脳葉
HYDROGEN_WORD_ELEMENTS_107,Hydrogen,水素
NITROGEN_WORD_ELEMENTS_107,Nitrogen,窒素
SULFUR_WORD_ELEMENTS_107,Sulfur,硫黄
CARBON_WORD_ELEMENTS_107,Carbon,炭素
SODIUM_WORD_ELEMENTS_107,Sodium,ナトリウム
SILICON_WORD_ELEMENTS_107,Silicon,ケイ素
IODINE_WORD_ELEMENTS_107,Iodine,ヨウ素
OXYGEN_WORD_ELEMENTS_107,Oxygen,酸素
BRIE_WORD_CHEESE_108,Brie,ブリー
FETA_WORD_CHEESE_108,Feta,フェタ
GOUDA_WORD_CHEESE_108,Gouda,ゴーダ
CHEDDAR_WORD_CHEESE_108,Cheddar,チェダー
PARMESAN_WORD_CHEESE_108,Parmesan,パルメザン
RICOTTA_WORD_CHEESE_108,Ricotta,リコッタ
EDAM_WORD_CHEESE_108,Edam,エダム
DORBLU_WORD_CHEESE_108,Swiss,スイスチーズ
WORKOUT_WORD_FITNESS_110,Workout,ワークアウト
YOGA_WORD_FITNESS_110,Yoga,ヨガ
PILATES_WORD_FITNESS_110,Pilates,ピラティス
JOGGING_WORD_FITNESS_110,Jogging,ジョギング
GYM_WORD_FITNESS_110,Gym,ジム
CARDIO_WORD_FITNESS_110,Cardio,有酸素運動
BICEPS_WORD_MUSCLES_112,Biceps,上腕二頭筋
DELTOIDS_WORD_MUSCLES_112,Deltoids,三角筋
ABS_WORD_MUSCLES_112,Abs,腹筋
TRICEPS_WORD_MUSCLES_112,Triceps,上腕三頭筋
SCARAB_WORD_EGYPT_114,Scarab,スカラベ
PHARAOH_WORD_EGYPT_114,Pharaoh,ファラオ
PAPYRUS_WORD_EGYPT_114,Papyrus,パピルス
PYRAMID_WORD_EGYPT_114,Pyramid,ピラミッド
MULBERRY_WORD_BERRY_116,Mulberry,桑の実
BILBERRY_WORD_BERRY_116,Bilberry,ビルベリー
BARBERRY_WORD_BERRY_116,Barberry,メギ
ATHENS_WORD_CAPITALS_119,Athens,アテネ
PRAGUE_WORD_CAPITALS_119,Prague,プラハ
MADRID_WORD_CAPITALS_119,Madrid,マドリード
RIYADH_WORD_CAPITALS_119,Riyadh,リヤド
OTTAWA_WORD_CAPITALS_119,Ottawa,オタワ
ROME_WORD_CAPITALS_119,Rome,ローマ
OSLO_WORD_CAPITALS_119,Oslo,オスロ
CAIRO_WORD_CAPITALS_119,Cairo,カイロ
POWDER_WORD_MAKEUP_120,Powder,パウダー
SPONGE_WORD_MAKEUP_120,Sponge,スポンジ
PALETTE_WORD_MAKEUP_120,Palette,パレット
SERUM_WORD_MAKEUP_120,Serum,美容液
PEEL_WORD_MAKEUP_120,Peel,ピーリング
BLUSH_WORD_MAKEUP_120,Blush,チーク
SAVATE_WORD_COMBAT_121,Savate,サバット
JUDO_WORD_COMBAT_121,Judo,柔道
KARATE_WORD_COMBAT_121,Karate,空手
KUNG_FU_WORD_COMBAT_121,Kung fu,カンフー
SUMO_WORD_COMBAT_121,Sumo,相撲
SILAT_WORD_COMBAT_121,Silat,シラット
CHORDS_WORD_GUITAR_122,Chords,コード
PICKUPS_WORD_GUITAR_122,Pickups,ピックアップ
STRINGS_WORD_GUITAR_122,Strings,弦
RIFFS_WORD_GUITAR_122,Riffs,リフ
POINTE_WORD_BALLET_125,Pointe,ポアント
TUTU_WORD_BALLET_125,Tutu,チュチュ
BARRE_WORD_BALLET_125,Barre,バー
ALLIANCE_WORD_UNITE_126,Alliance,同盟
LEAGUE_WORD_UNITE_126,League,リーグ
UNION_WORD_UNITE_126,Union,連合
JEWELRY_WORD_LUXURY_133,Jewelry,宝石
WATCH_WORD_LUXURY_133,Watch,腕時計
CAVIAR_WORD_LUXURY_133,Caviar,キャビア
YACHT_WORD_LUXURY_133,Yacht,ヨット
SAVANNA_WORD_BIOMES_135,Savanna,サバンナ
TUNDRA_WORD_BIOMES_135,Tundra,ツンドラ
TAIGA_WORD_BIOMES_135,Taiga,タイガ
SRIRACHA_WORD_SPICY_136,Sriracha,シラチャ
WASABI_WORD_SPICY_136,Wasabi,わさび
HABANERO_WORD_SPICY_136,Habanero,ハバネロ
COCKPIT_WORD_PLANE_139,Cockpit,コックピット
SEATBELT_WORD_PLANE_139,Seatbelt,シートベルト
WINGS_WORD_PLANE_139,Wings,翼
ENGINE_WORD_PLANE_139,Engine,エンジン
RUDDER_WORD_PLANE_139,Rudder,方向舵
FUSELAGE_WORD_PLANE_139,Fuselage,胴体
AILERON_WORD_PLANE_139,Aileron,補助翼
FLY_WORD_PLANE_139,Fly,飛行
BEAVER_WORD_RODENTS_141,Beaver,ビーバー
MARMOT_WORD_RODENTS_141,Marmot,マーモット
NUTRIA_WORD_RODENTS_141,Nutria,ヌートリア
SQUIRREL_WORD_RODENTS_141,Squirrel,リス
CAPYBARA_WORD_RODENTS_141,Capybara,カピバラ
RAT_WORD_RODENTS_141,Rat,ネズミ
SOLAR_WORD_ENERGY_145,Solar,太陽エネルギー
NUCLEAR_WORD_ENERGY_145,Nuclear,原子力
KINETIC_WORD_ENERGY_145,Kinetic,運動エネルギー
THERMAL_WORD_ENERGY_145,Thermal,熱エネルギー
ESSAY_WORD_ARTICLES_147,Essay,エッセイ
REVIEW_WORD_ARTICLES_147,Review,レビュー
OPINION_WORD_ARTICLES_147,Opinion,意見
TSUNAMI_WORD_DISASTER_148,Tsunami,津波
TORNADO_WORD_DISASTER_148,Tornado,竜巻
FLOOD_WORD_DISASTER_148,Flood,洪水
GORILLA_WORD_PRIMATES_149,Gorilla,ゴリラ
GIBBON_WORD_PRIMATES_149,Gibbon,テナガザル
BABOON_WORD_PRIMATES_149,Baboon,ヒヒ
LEMUR_WORD_PRIMATES_149,Lemur,キツネザル
MACAQUE_WORD_PRIMATES_149,Macaque,マカク
SIMIAN_WORD_PRIMATES_149,Simian,類人猿
MANDRILL_WORD_PRIMATES_149,Mandrill,マンドリル
TARSIER_WORD_PRIMATES_149,Tarsier,メガネザル
PYTHON_WORD_CODING_150,Python,Python
JAVA_WORD_CODING_150,Java,Java
RUBY_WORD_CODING_150,Ruby,Ruby
SWIFT_WORD_CODING_150,Swift,Swift
SCRIPT_WORD_CODING_150,Script,Script
PHP_WORD_CODING_150,PHP,PHP
SQL_WORD_CODING_150,SQL,SQL
BUGS_WORD_CODING_150,Bugs,Bug
LYRICS_WORD_RAP_151,Lyrics,歌詞
VERSE_WORD_RAP_151,Verse,バース
RHYME_WORD_RAP_151,Rhyme,ライム
PUNCH_WORD_RAP_151,Punch,パンチライン
NIAGARA_WORD_WATER_152,Niagara,ナイアガラ
VICTORIA_WORD_WATER_152,Victoria,ヴィクトリア
YOSEMITE_WORD_WATER_152,Yosemite,ヨセミテ
HAVASU_WORD_WATER_152,Havasu,ハバス
YO_YO_WORD_TOYS_154,Yo-yo,ヨーヨー
SPINNER_WORD_TOYS_154,Spinner,コマ
DOLL_WORD_TOYS_154,Doll,人形
SERGEANT_WORD_ARMY_156,Sergeant,軍曹
MAJOR_WORD_ARMY_156,Major,少佐
GENERAL_WORD_ARMY_156,General,将軍
COLONEL_WORD_ARMY_156,Colonel,大佐
PRIVATE_WORD_ARMY_156,Private,二等兵
CORPORAL_WORD_ARMY_156,Corporal,伍長
CAPTAIN_WORD_ARMY_156,Captain,大尉
RANK_WORD_ARMY_156,Rank,階級
ZEN_WORD_MEDITATE_160,Zen,禅
BREATH_WORD_MEDITATE_160,Breath,呼吸
PEACE_WORD_MEDITATE_160,Peace,平穏
MANTRA_WORD_MEDITATE_160,Mantra,マントラ
FAMOUS_WORD_FAME_161,Famous,有名
ICONIC_WORD_FAME_161,Iconic,象徴的
POPULAR_WORD_FAME_161,Popular,人気
RENOWN_WORD_FAME_161,Renown,名声
SYNTAX_WORD_LINGUIST_162,Syntax,構文
POLYGLOT_WORD_LINGUIST_162,Polyglot,多言語話者
GRAMMAR_WORD_LINGUIST_162,Grammar,文法
SCHOLAR_WORD_LINGUIST_162,Scholar,学者
EASTER_WORD_HOLIDAY_163,Easter,イースター
NEW_YEAR_WORD_HOLIDAY_163,New Year,新年
FLAG_DAY_WORD_HOLIDAY_163,Flag Day,国旗の日
DUMBBELL_WORD_GYM_164,Dumbbell,ダンベル
BARBELL_WORD_GYM_164,Barbell,バーベル
AIR_BIKE_WORD_GYM_164,Air bike,エアバイク
PERICLES_WORD_WILLIAM_165,Pericles,ペリクリーズ
MACBETH_WORD_WILLIAM_165,Macbeth,マクベス
HAMLET_WORD_WILLIAM_165,Hamlet,ハムレット
OTHELLO_WORD_WILLIAM_165,Othello,オセロ
JULIET_WORD_WILLIAM_165,Juliet,ジュリエット
ROMEO_WORD_WILLIAM_165,Romeo,ロミオ
TEMPEST_WORD_WILLIAM_165,Tempest,テンペスト
HENRY_V_WORD_WILLIAM_165,Henry V,ヘンリー五世
WOLF_WORD_CANINES_168,Wolf,オオカミ
COYOTE_WORD_CANINES_168,Coyote,コヨーテ
DINGO_WORD_CANINES_168,Dingo,ディンゴ
JACKAL_WORD_CANINES_168,Jackal,ジャッカル
FOX_WORD_CANINES_168,Fox,キツネ
DHOLE_WORD_CANINES_168,Dhole,ドール
HARVARD_WORD_STUDIES_169,Harvard,ハーバード
STANFORD_WORD_STUDIES_169,Stanford,スタンフォード
OXFORD_WORD_STUDIES_169,Oxford,オックスフォード
YALE_WORD_STUDIES_169,Yale,イェール
SORBONNE_WORD_STUDIES_169,Sorbonne,ソルボンヌ
MIT_WORD_STUDIES_169,MIT,MIT
LEMON_WORD_CITRUS_173,Lemon,レモン
LIME_WORD_CITRUS_173,Lime,ライム
POMELO_WORD_CITRUS_173,Pomelo,ザボン
GLIDER_WORD_AIRCRAFT_174,Glider,グライダー
JETLINER_WORD_AIRCRAFT_174,Jetliner,ジェット旅客機
AIRPLANE_WORD_AIRCRAFT_174,Airplane,飛行機
MERLOT_WORD_GRAPE_177,Merlot,メルロー
RIESLING_WORD_GRAPE_177,Riesling,リースリング
SHIRAZ_WORD_GRAPE_177,Shiraz,シラーズ
GRENACHE_WORD_GRAPE_177,Grenache,グルナッシュ
MUSCAT_WORD_GRAPE_177,Muscat,マスカット
MALBEC_WORD_GRAPE_177,Malbec,マルベック
AMANITA_WORD_MUSHROOM_178,Amanita,テングタケ
PORCINI_WORD_MUSHROOM_178,Porcini,ポルチーニ
RUSSULA_WORD_MUSHROOM_178,Russula,ベニタケ
TRUFFLE_WORD_MUSHROOM_178,Truffle,トリュフ
ENOKI_WORD_MUSHROOM_178,Enoki,エノキ
SHIITAKE_WORD_MUSHROOM_178,Shiitake,シイタケ
WALRUS_WORD_ARCTIC_180,Walrus,セイウチ
POLAR_BEAR_WORD_ARCTIC_180,Polar bear,ホッキョクグマ
SNOWY_OWL_WORD_ARCTIC_180,Snowy owl,シロフクロウ
REINDEER_WORD_ARCTIC_180,Reindeer,トナカイ
PIT_STOP_WORD_RACING_182,Pit stop,ピットストップ
FINISH_WORD_RACING_182,Finish,フィニッシュ
SPEEDWAY_WORD_RACING_182,Speedway,スピードウェイ
ASSIST_WORD_HELP_183,Assist,アシスト
SUPPORT_WORD_HELP_183,Support,サポート
DONATE_WORD_HELP_183,Donate,寄付
OPAL_WORD_GEMSTONE_186,Opal,オパール
RUBY_WORD_GEMSTONE_186,Ruby,ルビー
TOPAZ_WORD_GEMSTONE_186,Topaz,トパーズ
SAPPHIRE_WORD_GEMSTONE_186,Sapphire,サファイア
GARNET_WORD_GEMSTONE_186,Garnet,ガーネット
DIAMOND_WORD_GEMSTONE_186,Diamond,ダイヤモンド
ONYX_WORD_GEMSTONE_186,Onyx,オニキス
AGATE_WORD_GEMSTONE_186,Agate,メノウ
ORION_WORD_PATTERN_188,Orion,オリオン座
PERSEUS_WORD_PATTERN_188,Perseus,ペルセウス座
DRACO_WORD_PATTERN_188,Draco,りゅう座
SCORPIUS_WORD_PATTERN_188,Scorpius,さそり座
CYGNUS_WORD_PATTERN_188,Cygnus,はくちょう座
SERPENS_WORD_PATTERN_188,Serpens,へび座
GASOLINE_WORD_FUELS_190,Gasoline,ガソリン
DIESEL_WORD_FUELS_190,Diesel,ディーゼル
COAL_WORD_FUELS_190,Coal,石炭
PROPANE_WORD_FUELS_190,Propane,プロパン
KEROSENE_WORD_FUELS_190,Kerosene,灯油
VOTER_WORD_ELECT_193,Voter,有権者
BALLOT_WORD_ELECT_193,Ballot,投票用紙
CAMPAIGN_WORD_ELECT_193,Campaign,選挙運動
TURNOUT_WORD_ELECT_193,Turnout,投票率
KING_WORD_CROWN_194,King,王
EMPEROR_WORD_CROWN_194,Emperor,皇帝
MAHARAJA_WORD_CROWN_194,Maharaja,マハラジャ
KENNEDY_WORD_LEADER_196,Washington,ワシントン
CLINTON_WORD_LEADER_196,Jefferson,ジェファーソン
LINCOLN_WORD_LEADER_196,Lincoln,リンカーン
REAGAN_WORD_LEADER_196,Roosevelt,ルーズベルト
BUSH_WORD_LEADER_196,Wilson,ウィルソン
OBAMA_WORD_LEADER_196,Jackson,ジャクソン
ADAMS_WORD_LEADER_196,Adams,アダムズ
BIDEN_WORD_LEADER_196,Madison,マディソン
SOFT_BUN_WORD_HOT_DOG_201,Soft bun,ソフトバンズ
SAUSAGE_WORD_HOT_DOG_201,Sausage,ソーセージ
KETCHUP_WORD_HOT_DOG_201,Ketchup,ケチャップ
DECODE_WORD_CIPHER_208,Decode,復号
ENCODE_WORD_CIPHER_208,Encode,暗号化
KEYWORD_WORD_CIPHER_208,Keyword,キーワード
PASSWORD_WORD_CIPHER_208,Password,パスワード
HARMONY_WORD_SYMPHONY_210,Harmony,ハーモニー
OVERTURE_WORD_SYMPHONY_210,Overture,序曲
MELODY_WORD_SYMPHONY_210,Melody,メロディー
PHOTO_WORD_ARTWORKS_211,Photo,写真
DRAWING_WORD_ARTWORKS_211,Drawing,デッサン
PAINTING_WORD_ARTWORKS_211,Painting,絵画
HAMMER_WORD_AUCTION_215,Hammer,ハンマー
LOT_WORD_AUCTION_215,Lot,出品
BID_WORD_AUCTION_215,Bid,入札
PRICE_WORD_AUCTION_215,Price,価格
CATALOG_WORD_AUCTION_215,Catalog,カタログ
BIDDER_WORD_AUCTION_215,Bidder,入札者
EXCELSA_WORD_BEANS_219,Excelsa,エクセルサ
ROBUSTA_WORD_BEANS_219,Robusta,ロブスタ
LIBERICA_WORD_BEANS_219,Liberica,リベリカ
ARABICA_WORD_BEANS_219,Arabica,アラビカ
