id,category_name_en,fr-FR
WORD_CHIMERA_795,Chimera,Chimère
WORD_CARRIAGE_800,Carriage,Calèche
WORD_GAITS_810,Gaits,Allures
WORD_EARTH_831,Earth,Terre
WORD_VIOLINS_845,Violins,Violons
WORD_GRAMMAR_861,Grammar,Grammaire
WORD_COASTAL_882,Coastal,Côtier
WORD_WHEEL_890,Wheel,Roue
WORD_INDUSTRY_921,Industry,Industrie
WORD_PREFIX_922,Prefix,Préfixe
WORD_BREEDS_940,Breeds,Races de chats
WORD_LANDMARK_948,Landmark,Monument
WORD_RIVERS_959,Rivers,Rivières
WORD_COAST_969,Coast,Côte
WORD_SKINCARE_984,Skincare,Soin de la peau
WORD_DYNASTY_991,Dynasty,Dynastie
WORD_PRIEST_1019,Priest,Prêtre
WORD_MAPS_1022,Maps,Cartes
WORD_SINGING_1054,Singing,Chant
WORD_GENETICS_1060,Genetics,Génétique
WORD_SCREEN_1030,Screen,Écran
WORD_ALARM_1031,Alarm,Alarme
WORD_LEAVES_1055,Leaves,Feuilles
WORD_DISHWARE_829,Dishware,Vaisselle
WORD_POND_830,Pond,Étang
PIC_CHESS_1,Chess,Échecs
PIC_SPORTS_2,Sports,Sports
PIC_FURNITURE_3,Furniture,Meubles
PIC_DECK_4,Deck,Jeu de cartes
PIC_ZODIAC_5,Zodiac,Zodiaque
PIC_TOOLBOX_6,Toolbox,Boîte à outils
PIC_GARMENTS_7,Garments,Vêtements
PIC_VEGGIE_8,Veggie,Légume
PIC_FRUITS_9,Fruits,Fruits
PIC_CHAIR_10,Chair,Chaise
PIC_HATS_11,Hats,Chapeaux
PIC_PLAY_12,Music,Musique
PIC_CLEANING_13,Cleaning,Nettoyage
PIC_SHOES_14,Shoes,Chaussures
PIC_MAP_15,Map,Pays
PIC_BIRD_16,Bird,Oiseau
PIC_SEAFOOD_17,Seafood,Fruits de mer
PIC_DOGS_18,Dogs,Chiens
PIC_EATS_19,Eats,Restauration rapide
PIC_BUILD_20,Build,Construction
PIC_FOLKLORE_21,Folklore,Folklore
PIC_DRUPES_22,Drupes,Drupes
PIC_PICNIC_23,Picnic,Pique-nique
PIC_PASTRY_24,Pastry,Pâtisserie
PIC_WIND_25,Wind,Instruments à vent
PIC_MALL_26,Mall,Centre commercial
PIC_STRINGS_27,Strings,Cordes
PIC_JEWELRY_28,Jewelry,Bijoux
PIC_FLOWERS_29,Flowers,Fleurs
PIC_REPTILES_30,Reptiles,Reptiles
PIC_GEMSTONE_31,Gemstone,Gemme
PIC_INSECTS_32,Insects,Insectes
PIC_RODENTS_33,Rodents,Rongeurs
PIC_WESTERN_34,Western,Western
PIC_PIRATE_35,Pirate,Pirate
PIC_BEACH_36,Beach,Plage
PIC_EGYPT_37,Egypt,Égypte
PIC_SPACE_38,Space,Espace
PIC_SEA_FISH_39,Sea fish,Poisson de mer
PIC_BIRTHDAY_40,Birthday,Anniversaire
PIC_CHARGER_41,Charger,Chargeur
PIC_TRANSPORT_42,Transport,Transport
PIC_WHISKERS_43,Whiskers,Moustaches
PIC_BURGER_44,Burger,Burger
PIC_DRINKS_45,Drinks,Boissons
PIC_SHAPES_46,Shapes,Formes
PIC_LUXURY_47,Luxury,Luxe
PIC_TAROT_48,Tarot,Tarot
PIC_BABIES_49,Babies,Bébés
PIC_SAILOR_50,Sailor,Marin
PIC_CANDY_51,Candy,Bonbon
PIC_KEYS_52,Keys,Clés
PIC_LAWN_53,Lawn,Pelouse
PIC_3D_54,3D,3D
PIC_VAMPIRE_55,Vampire,Vampire
PIC_LANDMARK_56,Landmark,Monument
PIC_DESERT_57,Desert,Désert
PIC_TOYS_58,Toys,Jouets
PIC_PURPLE_59,Purple,Violet
PIC_YELLOW_60,Yellow,Jaune
PIC_RAIN_61,Rain,Pluie
PIC_GYM_62,Gym,Gym
PIC_PAIRS_63,Pairs,Paires
PIC_CAMPING_64,Camping,Camping
PIC_XMAS_65,Xmas,Noël
PIC_MAIL_66,Mail,Courrier
PIC_CHEF_67,Chef,Chef cuisinier
PIC_SCREEN_68,Screen,Écran
PIC_TOOLS_69,Tools,Outils
PIC_SUPPLIES_70,Supplies,Fournitures
PIC_UTENSILS_71,Utensils,Ustensiles
PIC_ARTS_72,Arts,Arts
PIC_SURVIVAL_73,Survival,Survie
PIC_BAKING_74,Baking,Pâtisserie
PIC_MEDICAL_75,Medical,Médical
PIC_ECO_ITEMS_76,Eco-items,Éco-articles
PIC_DECOR_77,Decor,Décoration
PIC_AQUATICS_78,Water_Sports,Aquatique
PIC_ICONS_79,Icons,Icônes
PIC_HALLOWEEN_80,Halloween,Halloween
