id,category_name_en,pt-BR
WORD_MUSCLES_112,Muscles,Musculos
WORD_EGYPT_114,Egypt,Egito
WORD_BERRY_116,Berry,Baga
WORD_CAPITALS_119,Capitals,Capitais
WORD_MAKEUP_120,Makeup,Maquiagem
WORD_COMBAT_121,Combat,Combate
WORD_GUITAR_122,Guitar,Guitarra
WORD_BALLET_125,Ballet,Bale
WORD_UNITE_126,Unite,Unir
WORD_LUXURY_133,Luxury,Luxo
WORD_BIOMES_135,Biomes,Biomas
WORD_SPICY_136,Spicy,Picante
WORD_PLANE_139,Plane,Aviao
WORD_RODENTS_141,Rodents,Roedores
WORD_ENERGY_145,Energy,Energia
WORD_ARTICLES_147,Articles,Artigos
WORD_DISASTER_148,Disaster,Desastre
WORD_PRIMATES_149,Primates,Primatas
WORD_CODING_150,Coding,Programacao
WORD_RAP_151,Rap,Rap
WORD_WATER_152,Waterfall,Cachoeira
WORD_TOYS_154,Toys,Brinquedos
WORD_ARMY_156,Army,Exercito
WORD_MEDITATE_160,Meditate,Meditar
WORD_FAME_161,Fame,Fama
WORD_LINGUIST_162,Linguist,Linguista
WORD_HOLIDAY_163,Holiday,Feriado
WORD_GYM_164,Gym,Academia
WORD_WILLIAM_165,William,Shakespeare
WORD_CANINES_168,Canines,Caninos
WORD_STUDIES_169,Studies,Universidades
WORD_CITRUS_173,Citrus,Citricos
WORD_AIRCRAFT_174,Aircraft,Aeronave
WORD_GRAPE_177,Grape,Uva
WORD_MUSHROOM_178,Mushroom,Cogumelo
WORD_ARCTIC_180,Arctic,Artico
WORD_RACING_182,Racing,Corridas
WORD_HELP_183,Help,Ajuda
WORD_GEMSTONE_186,Gemstone,Pedra preciosa
WORD_PATTERN_188,Celestial,Celestial
WORD_FUELS_190,Fuels,Combustiveis
WORD_ELECT_193,Elect,Eleger
WORD_CROWN_194,Crown,Títulos reais
WORD_LEADER_196,Leader,Presidentes
WORD_HOT_DOG_201,Hot dog,Cachorro-quente
WORD_CIPHER_208,Cipher,Cifra
WORD_SYMPHONY_210,Symphony,Sinfonia
WORD_ARTWORKS_211,Artworks,Obras de arte
WORD_AUCTION_215,Auction,Leilao
WORD_BEANS_219,Beans,Grãos de café
WORD_CAMPING_221,Camping,Acampamento
WORD_PLAY_223,Music,Musica
WORD_FINANCE_227,Finance,Financas
WORD_MEDIEVAL_228,Medieval,Medieval
WORD_OPTICS_229,Optics,Otica
WORD_NAVIGATE_230,Navigate,Navegar
WORD_TODDLER_231,Toddler,Crianca
WORD_FAMILIES_234,Families,Famílias de animais
WORD_STARS_236,Stars,Estrelas
WORD_AI_238,AI,IA
WORD_DIVISION_242,Division,Divisao
WORD_SPEAK_244,Speak,Falar
WORD_HAIR_245,Hair,Cabelo
WORD_INJURIES_249,Injuries,Lesoes
WORD_FLU_251,Flu,Gripe
WORD_MINERALS_253,Minerals,Minerais
WORD_RADIATE_257,Radiate,Irradiar
WORD_HORMONES_259,Hormones,Hormonios
WORD_EYE_260,Eye,Olho
WORD_SHOVEL_261,Shovel,Pa
WORD_ALLOY_264,Alloy,Liga
WORD_FESTIVAL_270,Festival,Festival
WORD_METAL_272,Metal,Metal
WORD_ARTIFACT_276,Artifact,Artefato
WORD_DEFENSE_277,Defense,Defesa
WORD_PARTICLE_281,Particle,Particula
WORD_NEW_YORK_287,New York,Nova York
WORD_NO_BONES_289,No bones,Sem ossos
WORD_LEGENDS_291,Legends,Lendas
WORD_HELLO_295,Hello,Ola
WORD_PHD_296,PhD,Doutorado
WORD_OK_SIGN_301,OK,Concordância
WORD_JUSTICE_310,Justice,Justica
WORD_PRISONER_312,Prisoner,Prisioneiro
WORD_SPACE_314,Space,Espaco
WORD_WESTERN_317,Western,Velho Oeste
WORD_LOCK_321,Lock,Fechadura
WORD_LEGS_322,Legs,Pernas
WORD_PYRAMIDS_330,Pyramids,Deuses egípcios
WORD_SHAFT_331,Shaft,Mineração
WORD_FARMING_333,Farming,Agricultura
WORD_SLIDING_339,Sliding,Deslizar
WORD_PAINTING_340,Painting,Pintura
WORD_RICE_342,Rice,Arroz
WORD_HEART_344,Love,Amor
WORD_HIPPIE_349,Hippie,Hippie
WORD_ROBOT_354,Robot,Robo
WORD_GREECE_359,Greece,Grecia
WORD_DYNAMICS_360,Dynamics,Dinamica
WORD_LAKES_365,Lakes,Lagos
WORD_NUCLEAR_366,Nuclear,Nuclear
WORD_ITALY_376,Italy,Italia
WORD_POINTING_379,Pointing,Demonstrativos
WORD_SKIN_380,Skin,Pele
WORD_BUILD_384,Build,Construir
WORD_POLICIES_394,Politics,Politica
WORD_STRENGTH_401,Strength,Forca
WORD_MESSAGE_407,Message,Mensagem
WORD_VIEWS_410,Views,Filosofia
WORD_ORGANS_412,Organs,Orgaos
WORD_TAROT_417,Tarot,Taro
WORD_VOICES_439,Voices,Vozes
WORD_POETRY_440,Poetry,Poesia
WORD_MEALS_444,Meals,Refeicoes
WORD_ALCHEMY_445,Alchemy,Alquimia
WORD_PAGANISM_469,Paganism,Paganismo
WORD_PRESENT_470,Present,Atual
WORD_SECRET_471,Secret,Segredo
WORD_EQUIDAE_475,Equidae,Equideos
WORD_LEATHER_480,Leather,Couro
WORD_CASTLE_485,Castle,Castelo
WORD_DISPLAY_486,Display,Tela
WORD_CULTURES_487,Cultures,Culturas
WORD_WARRIORS_491,Warriors,Guerreiros
WORD_LIE_492,Lie,Mentira
WORD_VIOLIN_508,Orchestra,Orquestra
WORD_ANAGRAM_511,Anagram,Anagrama
WORD_DRUM_518,Drum,Tambor
WORD_WREATH_544,Winning,Vitoria
WORD_ZEN_549,Zen,Zen
WORD_NETWORK_588,Network,Rede
WORD_CUSTOMS_592,Customs,Alfandega
WORD_MORTGAGE_595,Mortgage,Hipoteca
WORD_CONCRETE_601,Concrete,Concreto
WORD_MEMES_620,Memes,Memes
WORD_ALKANES_641,Alkanes,Alcanos
WORD_EVALUATE_651,Evaluate,Avaliar
WORD_QUEST_680,Quest,Busca
WORD_BEARDS_681,Beards,Barbas
WORD_YINYANG_721,Yinyang,Yin e yang
WORD_FOODIE_726,Foodie,Gourmet
WORD_OPERA_760,Opera,Opera
WORD_HARBOR_764,Harbor,Porto
WORD_STREET_768,Street,Rua
WORD_CHIMERA_795,Chimera,Quimera
WORD_CARRIAGE_800,Carriage,Carruagem
WORD_GAITS_810,Gaits,Andaduras
WORD_EARTH_831,Earth,Terra
WORD_VIOLINS_845,Violins,Violinos
WORD_GRAMMAR_861,Grammar,Gramatica
WORD_COASTAL_882,Coastal,Costeiro
WORD_WHEEL_890,Wheel,Roda
WORD_INDUSTRY_921,Industry,Industria
WORD_PREFIX_922,Prefix,Prefixo
WORD_BREEDS_940,Breeds,Raças de gatos
WORD_LANDMARK_948,Landmark,Marco
WORD_RIVERS_959,Rivers,Rios
WORD_COAST_969,Coast,Costa
WORD_SKINCARE_984,Skincare,Cuidado da pele
WORD_DYNASTY_991,Dynasty,Dinastia
WORD_PRIEST_1019,Priest,Sacerdote
WORD_MAPS_1022,Maps,Mapas
WORD_SINGING_1054,Singing,Canto
WORD_GENETICS_1060,Genetics,Genetica
WORD_SCREEN_1030,Screen,Tela
WORD_ALARM_1031,Alarm,Alarme
WORD_LEAVES_1055,Leaves,Folhas
WORD_DISHWARE_829,Dishware,Loucas
WORD_POND_830,Pond,Lagoa
PIC_CHESS_1,Chess,Xadrez
PIC_SPORTS_2,Sports,Esportes
PIC_FURNITURE_3,Furniture,Moveis
PIC_DECK_4,Deck,Baralho
PIC_ZODIAC_5,Zodiac,Zodiaco
PIC_TOOLBOX_6,Toolbox,Caixa de ferramentas
PIC_GARMENTS_7,Garments,Roupas
PIC_VEGGIE_8,Veggie,Vegetais
PIC_FRUITS_9,Fruits,Frutas
PIC_CHAIR_10,Chair,Cadeira
PIC_HATS_11,Hats,Chapeus
PIC_PLAY_12,Music,Musica
PIC_CLEANING_13,Cleaning,Limpeza
PIC_SHOES_14,Shoes,Sapatos
PIC_MAP_15,Map,Países
PIC_BIRD_16,Bird,Passaro
PIC_SEAFOOD_17,Seafood,Frutos do mar
PIC_DOGS_18,Dogs,Caes
PIC_EATS_19,Eats,Fast food
PIC_BUILD_20,Build,Construir
PIC_FOLKLORE_21,Folklore,Folclore
PIC_DRUPES_22,Drupes,Drupas
PIC_PICNIC_23,Picnic,Piquenique
PIC_PASTRY_24,Pastry,Confeitaria
PIC_WIND_25,Wind,Instrumentos de sopro
PIC_MALL_26,Mall,Shopping
PIC_STRINGS_27,Strings,Cordas
PIC_JEWELRY_28,Jewelry,Joias
PIC_FLOWERS_29,Flowers,Flores
PIC_REPTILES_30,Reptiles,Repteis
PIC_GEMSTONE_31,Gemstone,Pedra preciosa
PIC_INSECTS_32,Insects,Insetos
PIC_RODENTS_33,Rodents,Roedores
PIC_WESTERN_34,Western,Velho Oeste
PIC_PIRATE_35,Pirate,Pirata
PIC_BEACH_36,Beach,Praia
PIC_EGYPT_37,Egypt,Egito
PIC_SPACE_38,Space,Espaco
PIC_SEA_FISH_39,Sea fish,Peixe marinho
PIC_BIRTHDAY_40,Birthday,Aniversario
PIC_CHARGER_41,Charger,Carregador
PIC_TRANSPORT_42,Transport,Transporte
PIC_WHISKERS_43,Whiskers,Bigodes
PIC_BURGER_44,Burger,Hamburguer
PIC_DRINKS_45,Drinks,Bebidas
PIC_SHAPES_46,Shapes,Formas
PIC_LUXURY_47,Luxury,Luxo
PIC_TAROT_48,Tarot,Taro
PIC_BABIES_49,Babies,Bebes
PIC_SAILOR_50,Sailor,Marinheiro
PIC_CANDY_51,Candy,Doces
PIC_KEYS_52,Keys,Chaves
PIC_LAWN_53,Lawn,Gramado
PIC_3D_54,3D,3D
PIC_VAMPIRE_55,Vampire,Vampiro
PIC_LANDMARK_56,Landmark,Marco
PIC_DESERT_57,Desert,Deserto
PIC_TOYS_58,Toys,Brinquedos
PIC_PURPLE_59,Purple,Roxo
PIC_YELLOW_60,Yellow,Amarelo
PIC_RAIN_61,Rain,Chuva
PIC_GYM_62,Gym,Academia
PIC_PAIRS_63,Pairs,Pares
PIC_CAMPING_64,Camping,Acampamento
PIC_XMAS_65,Xmas,Natal
PIC_MAIL_66,Mail,Correio
PIC_CHEF_67,Chef,Chef
PIC_SCREEN_68,Screen,Tela
PIC_TOOLS_69,Tools,Ferramentas
PIC_SUPPLIES_70,Supplies,Suprimentos
PIC_UTENSILS_71,Utensils,Utensilios
PIC_ARTS_72,Arts,Artes
PIC_SURVIVAL_73,Survival,Sobrevivencia
PIC_BAKING_74,Baking,Panificacao
PIC_MEDICAL_75,Medical,Medico
PIC_ECO_ITEMS_76,Eco-items,Eco-itens
PIC_DECOR_77,Decor,Decoracao
PIC_AQUATICS_78,Aquatics,Aquaticos
PIC_ICONS_79,Icons,Icones
PIC_HALLOWEEN_80,Halloween,Halloween
