id,category_name_en,ja-JP
WORD_VIEWS_410,Views,哲学的見解
WORD_ORGANS_412,Organs,臓器
WORD_TAROT_417,Tarot,タロット
WORD_VOICES_439,Voices,声
WORD_POETRY_440,Poetry,詩
WORD_MEALS_444,Meals,食事
WORD_ALCHEMY_445,Alchemy,錬金術
WORD_PAGANISM_469,Paganism,異教
WORD_PRESENT_470,Present,現在
WORD_SECRET_471,Secret,秘密
WORD_EQUIDAE_475,Equidae,ウマ科
WORD_LEATHER_480,Leather,革
WORD_CASTLE_485,Castle,城
WORD_DISPLAY_486,Display,ディスプレイ
WORD_CULTURES_487,Cultures,古代文明
WORD_WARRIORS_491,Warriors,侍
WORD_LIE_492,Lie,嘘
WORD_VIOLIN_508,Orchestra,オーケストラ
WORD_ANAGRAM_511,Anagram,アナグラム
WORD_DRUM_518,Drum,太鼓
WORD_WREATH_544,Winning,勝利
WORD_ZEN_549,Zen,禅
WORD_NETWORK_588,Network,ネットワーク
WORD_CUSTOMS_592,Customs,税関
WORD_MORTGAGE_595,Mortgage,住宅ローン
WORD_CONCRETE_601,Concrete,建設
WORD_MEMES_620,Memes,ミーム
WORD_ALKANES_641,Alkanes,アルカン
WORD_EVALUATE_651,Evaluate,評価
WORD_QUEST_680,Quest,クエスト
WORD_BEARDS_681,Beards,ひげ
WORD_YINYANG_721,Yinyang,陰陽
WORD_FOODIE_726,Foodie,グルメ
WORD_OPERA_760,Opera,オペラ
WORD_HARBOR_764,Harbor,港
WORD_STREET_768,Street,通り
WORD_CHIMERA_795,Chimera,キメラ
WORD_CARRIAGE_800,Carriage,馬車
WORD_GAITS_810,Gaits,歩き方
WORD_EARTH_831,Earth,地球
WORD_VIOLINS_845,Violins,バイオリン
WORD_GRAMMAR_861,Grammar,文法
WORD_COASTAL_882,Coastal,沿岸
WORD_WHEEL_890,Wheel,車輪
WORD_INDUSTRY_921,Industry,産業
WORD_PREFIX_922,Prefix,接頭辞
WORD_BREEDS_940,Breeds,猫の品種
WORD_LANDMARK_948,Landmark,ランドマーク
WORD_RIVERS_959,Rivers,川
WORD_COAST_969,Coast,海岸
WORD_SKINCARE_984,Skincare,スキンケア
WORD_DYNASTY_991,Dynasty,王朝
WORD_PRIEST_1019,Priest,聖職者
WORD_MAPS_1022,Maps,地図
WORD_SINGING_1054,Singing,歌う
WORD_GENETICS_1060,Genetics,遺伝学
WORD_SCREEN_1030,Screen,スクリーン
WORD_ALARM_1031,Alarm,警報音
WORD_LEAVES_1055,Leaves,葉
WORD_DISHWARE_829,Dishware,食器
WORD_POND_830,Pond,池
PIC_CHESS_1,Chess,チェス
PIC_SPORTS_2,Sports,スポーツ
PIC_FURNITURE_3,Furniture,家具
PIC_DECK_4,Deck,トランプ
PIC_ZODIAC_5,Zodiac,星座
PIC_TOOLBOX_6,Toolbox,道具箱
PIC_GARMENTS_7,Garments,衣服
PIC_VEGGIE_8,Veggie,野菜
PIC_FRUITS_9,Fruits,果物
PIC_CHAIR_10,Chair,椅子
PIC_HATS_11,Hats,帽子
PIC_PLAY_12,Music,音楽
PIC_CLEANING_13,Cleaning,掃除
PIC_SHOES_14,Shoes,靴
PIC_MAP_15,Map,国々
PIC_BIRD_16,Bird,鳥
PIC_SEAFOOD_17,Seafood,海鮮
PIC_DOGS_18,Dogs,犬
PIC_EATS_19,Eats,ファストフード
PIC_BUILD_20,Build,公共建築
PIC_FOLKLORE_21,Folklore,民話
PIC_DRUPES_22,Drupes,核果
PIC_PICNIC_23,Picnic,ピクニック
PIC_PASTRY_24,Pastry,ペストリー
PIC_WIND_25,Wind,管楽器
PIC_MALL_26,Mall,ショッピングモール
PIC_STRINGS_27,Strings,弦
PIC_JEWELRY_28,Jewelry,宝飾品
PIC_FLOWERS_29,Flowers,花
PIC_REPTILES_30,Reptiles,爬虫類
PIC_GEMSTONE_31,Gemstone,宝石
PIC_INSECTS_32,Insects,昆虫
PIC_RODENTS_33,Rodents,げっ歯類
PIC_WESTERN_34,Western,西部劇
PIC_PIRATE_35,Pirate,海賊
PIC_BEACH_36,Beach,ビーチ
PIC_EGYPT_37,Egypt,エジプト
PIC_SPACE_38,Space,宇宙
PIC_SEA_FISH_39,Sea fish,海水魚
PIC_BIRTHDAY_40,Birthday,誕生日
PIC_CHARGER_41,Charger,充電器
PIC_TRANSPORT_42,Transport,輸送
PIC_WHISKERS_43,Whiskers,ひげ
PIC_BURGER_44,Burger,バーガー
PIC_DRINKS_45,Drinks,飲み物
PIC_SHAPES_46,Shapes,形
PIC_LUXURY_47,Luxury,高級
PIC_TAROT_48,Tarot,タロット
PIC_BABIES_49,Babies,赤ちゃん
PIC_SAILOR_50,Sailor,船乗り
PIC_CANDY_51,Candy,キャンディー
PIC_KEYS_52,Keys,鍵
PIC_LAWN_53,Lawn,芝生
PIC_3D_54,3D,3D
PIC_VAMPIRE_55,Vampire,吸血鬼
PIC_LANDMARK_56,Landmark,ランドマーク
PIC_DESERT_57,Desert,砂漠
PIC_TOYS_58,Toys,おもちゃ
PIC_PURPLE_59,Purple,紫
PIC_YELLOW_60,Yellow,黄色
PIC_RAIN_61,Rain,雨
PIC_GYM_62,Gym,ジム
PIC_PAIRS_63,Pairs,ペア
PIC_CAMPING_64,Camping,キャンプ
PIC_XMAS_65,Xmas,クリスマス
PIC_MAIL_66,Mail,郵便
PIC_CHEF_67,Chef,シェフ
PIC_SCREEN_68,Screen,スクリーン
PIC_TOOLS_69,Tools,道具
PIC_SUPPLIES_70,Supplies,用品
PIC_UTENSILS_71,Utensils,調理器具
PIC_ARTS_72,Arts,芸術
PIC_SURVIVAL_73,Survival,サバイバル
PIC_BAKING_74,Baking,ベーキング
PIC_MEDICAL_75,Medical,医療
PIC_ECO_ITEMS_76,Eco-items,エコアイテム
PIC_DECOR_77,Decor,装飾
PIC_AQUATICS_78,Aquatics,水生生物
PIC_ICONS_79,Icons,アイコン
PIC_HALLOWEEN_80,Halloween,ハロウィン
