id,category_name_en,ko-KR
WORD_ALKANES_641,Alkanes,알칸
WORD_EVALUATE_651,Evaluate,평가
WORD_QUEST_680,Quest,퀘스트
WORD_BEARDS_681,Beards,수염
WORD_YINYANG_721,Yinyang,음양
WORD_FOODIE_726,Foodie,미식가
WORD_OPERA_760,Opera,오페라
WORD_HARBOR_764,Harbor,항구
WORD_STREET_768,Street,거리
WORD_CHIMERA_795,Chimera,키메라
WORD_CARRIAGE_800,Carriage,마차
WORD_GAITS_810,Gaits,걸음걸이
WORD_EARTH_831,Earth,지구
WORD_VIOLINS_845,Violins,바이올린
WORD_GRAMMAR_861,Grammar,문법
WORD_COASTAL_882,Coastal,해안
WORD_WHEEL_890,Wheel,바퀴
WORD_INDUSTRY_921,Industry,산업
WORD_PREFIX_922,Prefix,접두사
WORD_BREEDS_940,Breeds,고양이 품종
WORD_LANDMARK_948,Landmark,랜드마크
WORD_RIVERS_959,Rivers,강
WORD_COAST_969,Coast,해안
WORD_SKINCARE_984,Skincare,스킨케어
WORD_DYNASTY_991,Dynasty,왕조
WORD_PRIEST_1019,Priest,성직자
WORD_MAPS_1022,Maps,지도
WORD_SINGING_1054,Singing,노래
WORD_GENETICS_1060,Genetics,유전학
WORD_SCREEN_1030,Screen,스크린
WORD_ALARM_1031,Alarm,경보음
WORD_LEAVES_1055,Leaves,나뭇잎
WORD_DISHWARE_829,Dishware,식기
WORD_POND_830,Pond,연못
PIC_CHESS_1,Chess,체스
PIC_SPORTS_2,Sports,스포츠
PIC_FURNITURE_3,Furniture,가구
PIC_DECK_4,Deck,카드놀이
PIC_ZODIAC_5,Zodiac,별자리
PIC_TOOLBOX_6,Toolbox,도구함
PIC_GARMENTS_7,Garments,의류
PIC_VEGGIE_8,Veggie,채소
PIC_FRUITS_9,Fruits,과일
PIC_CHAIR_10,Chair,의자
PIC_HATS_11,Hats,모자
PIC_PLAY_12,Music,음악
PIC_CLEANING_13,Cleaning,청소
PIC_SHOES_14,Shoes,신발
PIC_MAP_15,Map,나라
PIC_BIRD_16,Bird,새
PIC_SEAFOOD_17,Seafood,해산물
PIC_DOGS_18,Dogs,개
PIC_EATS_19,Eats,패스트푸드
PIC_BUILD_20,Build,공공건물
PIC_FOLKLORE_21,Folklore,민속
PIC_DRUPES_22,Drupes,핵과
PIC_PICNIC_23,Picnic,피크닉
PIC_PASTRY_24,Pastry,페이스트리
PIC_WIND_25,Wind,관악기
PIC_MALL_26,Mall,쇼핑몰
PIC_STRINGS_27,Strings,현
PIC_JEWELRY_28,Jewelry,보석류
PIC_FLOWERS_29,Flowers,꽃
PIC_REPTILES_30,Reptiles,파충류
PIC_GEMSTONE_31,Gemstone,보석
PIC_INSECTS_32,Insects,곤충
PIC_RODENTS_33,Rodents,설치류
PIC_WESTERN_34,Western,서부극
PIC_PIRATE_35,Pirate,해적
PIC_BEACH_36,Beach,해변
PIC_EGYPT_37,Egypt,이집트
PIC_SPACE_38,Space,우주
PIC_SEA_FISH_39,Sea fish,바닷물고기
PIC_BIRTHDAY_40,Birthday,생일
PIC_CHARGER_41,Charger,충전기
PIC_TRANSPORT_42,Transport,교통
PIC_WHISKERS_43,Whiskers,수염
PIC_BURGER_44,Burger,버거
PIC_DRINKS_45,Drinks,음료
PIC_SHAPES_46,Shapes,모양
PIC_LUXURY_47,Luxury,럭셔리
PIC_TAROT_48,Tarot,타로
PIC_BABIES_49,Babies,아기
PIC_SAILOR_50,Sailor,선원
PIC_CANDY_51,Candy,사탕
PIC_KEYS_52,Keys,열쇠
PIC_LAWN_53,Lawn,잔디밭
PIC_3D_54,3D,3D
PIC_VAMPIRE_55,Vampire,뱀파이어
PIC_LANDMARK_56,Landmark,랜드마크
PIC_DESERT_57,Desert,사막
PIC_TOYS_58,Toys,장난감
PIC_PURPLE_59,Purple,보라색
PIC_YELLOW_60,Yellow,노란색
PIC_RAIN_61,Rain,비
PIC_GYM_62,Gym,헬스장
PIC_PAIRS_63,Pairs,쌍
PIC_CAMPING_64,Camping,캠핑
PIC_XMAS_65,Xmas,크리스마스
PIC_MAIL_66,Mail,우편
PIC_CHEF_67,Chef,셰프
PIC_SCREEN_68,Screen,스크린
PIC_TOOLS_69,Tools,도구
PIC_SUPPLIES_70,Supplies,용품
PIC_UTENSILS_71,Utensils,조리도구
PIC_ARTS_72,Arts,예술
PIC_SURVIVAL_73,Survival,서바이벌
PIC_BAKING_74,Baking,베이킹
PIC_MEDICAL_75,Medical,의료
PIC_ECO_ITEMS_76,Eco-items,친환경용품
PIC_DECOR_77,Decor,장식
PIC_AQUATICS_78,Aquatics,수생생물
PIC_ICONS_79,Icons,아이콘
PIC_HALLOWEEN_80,Halloween,할로윈
