id,category_name_en,pl-PL
WORD_VOICES_439,Voices,Głosy
WORD_POETRY_440,Poetry,Poezja
WORD_MEALS_444,Meals,Posiłki
WORD_ALCHEMY_445,Alchemy,Alchemia
WORD_PAGANISM_469,Paganism,Pogaństwo
WORD_PRESENT_470,Present,Teraźniejszość
WORD_SECRET_471,Secret,Sekret
WORD_EQUIDAE_475,Equidae,Koniowate
WORD_LEATHER_480,Leather,Skóra
WORD_CASTLE_485,Castle,Zamek
WORD_DISPLAY_486,Display,Wyświetlacz
WORD_CULTURES_487,Cultures,Kultury
WORD_WARRIORS_491,Warriors,Wojownicy
WORD_LIE_492,Lie,Kłamstwo
WORD_VIOLIN_508,Orchestra,Orkiestra
WORD_ANAGRAM_511,Anagram,Anagram
WORD_DRUM_518,Drum,Bęben
WORD_WREATH_544,Winning,Zwycięstwo
WORD_ZEN_549,Zen,Zen
WORD_NETWORK_588,Network,Sieć
WORD_CUSTOMS_592,Customs,Cło
WORD_MORTGAGE_595,Mortgage,Hipoteka
WORD_CONCRETE_601,Concrete,Beton
WORD_MEMES_620,Memes,Memy
WORD_ALKANES_641,Alkanes,Alkany
WORD_EVALUATE_651,Evaluate,Oceniać
WORD_QUEST_680,Quest,Misja
WORD_BEARDS_681,Beards,Brody
WORD_YINYANG_721,Yinyang,Yin-Yang
WORD_FOODIE_726,Foodie,Smakosz
WORD_OPERA_760,Opera,Opera
WORD_HARBOR_764,Harbor,Port
WORD_STREET_768,Street,Ulica
WORD_CHIMERA_795,Chimera,Chimera
WORD_CARRIAGE_800,Carriage,Powóz
WORD_GAITS_810,Gaits,Chody
WORD_EARTH_831,Earth,Ziemia
WORD_VIOLINS_845,Violins,Skrzypce
WORD_GRAMMAR_861,Grammar,Gramatyka
WORD_COASTAL_882,Coastal,Przybrzeżny
WORD_WHEEL_890,Wheel,Koło
WORD_INDUSTRY_921,Industry,Przemysł
WORD_PREFIX_922,Prefix,Przedrostek
WORD_BREEDS_940,Breeds,Rasy kotów
WORD_LANDMARK_948,Landmark,Zabytek
WORD_RIVERS_959,Rivers,Rzeki
WORD_COAST_969,Coast,Wybrzeże
WORD_SKINCARE_984,Skincare,Pielęgnacja skóry
WORD_DYNASTY_991,Dynasty,Dynastia
WORD_PRIEST_1019,Priest,Ksiądz
WORD_MAPS_1022,Maps,Mapy
WORD_SINGING_1054,Singing,Śpiewanie
WORD_GENETICS_1060,Genetics,Genetyka
WORD_SCREEN_1030,Screen,Ekran
WORD_ALARM_1031,Alarm,Alarm
WORD_LEAVES_1055,Leaves,Liście
WORD_DISHWARE_829,Dishware,Naczynia
WORD_POND_830,Pond,Staw
PIC_CHESS_1,Chess,Szachy
PIC_SPORTS_2,Sports,Sport
PIC_FURNITURE_3,Furniture,Meble
PIC_DECK_4,Deck,Talia kart
PIC_ZODIAC_5,Zodiac,Zodiak
PIC_TOOLBOX_6,Toolbox,Skrzynka narzędziowa
PIC_GARMENTS_7,Garments,Odzież
PIC_VEGGIE_8,Veggie,Warzywo
PIC_FRUITS_9,Fruits,Owoce
PIC_CHAIR_10,Chair,Krzesło
PIC_HATS_11,Hats,Kapelusze
PIC_PLAY_12,Music,Muzyka
PIC_CLEANING_13,Cleaning,Sprzątanie
PIC_SHOES_14,Shoes,Buty
PIC_MAP_15,Map,Kraje
PIC_BIRD_16,Bird,Ptak
PIC_SEAFOOD_17,Seafood,Owoce morza
PIC_DOGS_18,Dogs,Psy
PIC_EATS_19,Eats,Fast food
PIC_BUILD_20,Build,Budynki
PIC_FOLKLORE_21,Folklore,Folklor
PIC_DRUPES_22,Drupes,Pestkowce
PIC_PICNIC_23,Picnic,Piknik
PIC_PASTRY_24,Pastry,Ciasto
PIC_WIND_25,Wind,Instrumenty dęte
PIC_MALL_26,Mall,Galeria handlowa
PIC_STRINGS_27,Strings,Smyczki
PIC_JEWELRY_28,Jewelry,Biżuteria
PIC_FLOWERS_29,Flowers,Kwiaty
PIC_REPTILES_30,Reptiles,Gady
PIC_GEMSTONE_31,Gemstone,Kamień szlachetny
PIC_INSECTS_32,Insects,Owady
PIC_RODENTS_33,Rodents,Gryzonie
PIC_WESTERN_34,Western,Western
PIC_PIRATE_35,Pirate,Pirat
PIC_BEACH_36,Beach,Plaża
PIC_EGYPT_37,Egypt,Egipt
PIC_SPACE_38,Space,Kosmos
PIC_SEA_FISH_39,Sea fish,Ryba morska
PIC_BIRTHDAY_40,Birthday,Urodziny
PIC_CHARGER_41,Charger,Ładowarka
PIC_TRANSPORT_42,Transport,Transport
PIC_WHISKERS_43,Whiskers,Wąsy
PIC_BURGER_44,Burger,Burger
PIC_DRINKS_45,Drinks,Napoje
PIC_SHAPES_46,Shapes,Kształty
PIC_LUXURY_47,Luxury,Luksus
PIC_TAROT_48,Tarot,Tarot
PIC_BABIES_49,Babies,Niemowlęta
PIC_SAILOR_50,Sailor,Marynarz
PIC_CANDY_51,Candy,Cukierki
PIC_KEYS_52,Keys,Klucze
PIC_LAWN_53,Lawn,Trawnik
PIC_3D_54,3D,3D
PIC_VAMPIRE_55,Vampire,Wampir
PIC_LANDMARK_56,Landmark,Zabytek
PIC_DESERT_57,Desert,Pustynia
PIC_TOYS_58,Toys,Zabawki
PIC_PURPLE_59,Purple,Fioletowy
PIC_YELLOW_60,Yellow,Żółty
PIC_RAIN_61,Rain,Deszcz
PIC_GYM_62,Gym,Siłownia
PIC_PAIRS_63,Pairs,Pary
PIC_CAMPING_64,Camping,Camping
PIC_XMAS_65,Xmas,Boże Narodzenie
PIC_MAIL_66,Mail,Poczta
PIC_CHEF_67,Chef,Kucharz
PIC_SCREEN_68,Screen,Ekran
PIC_TOOLS_69,Tools,Narzędzia
PIC_SUPPLIES_70,Supplies,Zapasy
PIC_UTENSILS_71,Utensils,Przybory
PIC_ARTS_72,Arts,Sztuka
PIC_SURVIVAL_73,Survival,Przetrwanie
PIC_BAKING_74,Baking,Pieczenie
PIC_MEDICAL_75,Medical,Medyczny
PIC_ECO_ITEMS_76,Eco-items,Eko-przedmioty
PIC_DECOR_77,Decor,Dekoracje
PIC_AQUATICS_78,Water_Sports,Sporty wodne
PIC_ICONS_79,Icons,Ikony
PIC_HALLOWEEN_80,Halloween,Halloween
