id,category_name_en,es-ES
WORD_RAINY_100,Rainy,Lluvioso
WORD_BREADS_102,Breads,Panes
WORD_BRAIN_106,Brain,Cerebro
WORD_ELEMENTS_107,Elements,Elementos
WORD_CHEESE_108,Cheese,Queso
WORD_FITNESS_110,Fitness,Fitness
WORD_MUSCLES_112,Muscles,Musculos
WORD_EGYPT_114,Egypt,Egipto
WORD_BERRY_116,Berry,Baya
WORD_CAPITALS_119,Capitals,Capitales
WORD_MAKEUP_120,Makeup,Maquillaje
WORD_COMBAT_121,Combat,Combate
WORD_GUITAR_122,Guitar,Guitarra
WORD_BALLET_125,Ballet,Ballet
WORD_UNITE_126,Unite,Unir
WORD_LUXURY_133,Luxury,Lujo
WORD_BIOMES_135,Biomes,Biomas
WORD_SPICY_136,Spicy,Picante
WORD_PLANE_139,Plane,Avion
WORD_RODENTS_141,Rodents,Roedores
WORD_ENERGY_145,Energy,Energia
WORD_ARTICLES_147,Articles,Articulos
WORD_DISASTER_148,Disaster,Desastre
WORD_PRIMATES_149,Primates,Primates
WORD_CODING_150,Coding,Programacion
WORD_RAP_151,Rap,Rap
WORD_WATER_152,Waterfall,Cascada
WORD_TOYS_154,Toys,Juguetes
WORD_ARMY_156,Army,Ejercito
WORD_MEDITATE_160,Meditate,Meditar
WORD_FAME_161,Fame,Fama
WORD_LINGUIST_162,Linguist,Linguista
WORD_HOLIDAY_163,Holiday,Días festivos
WORD_GYM_164,Gym,Gimnasio
WORD_WILLIAM_165,William,Shakespeare
WORD_CANINES_168,Canines,Caninos
WORD_STUDIES_169,Studies,Universidades
WORD_CITRUS_173,Citrus,Citricos
WORD_AIRCRAFT_174,Aircraft,Aeronave
WORD_GRAPE_177,Grape,Uva
WORD_MUSHROOM_178,Mushroom,Hongo
WORD_ARCTIC_180,Arctic,Artico
WORD_RACING_182,Racing,Carreras
WORD_HELP_183,Help,Ayuda
WORD_GEMSTONE_186,Gemstone,Gema
WORD_PATTERN_188,Celestial,Celestial
WORD_FUELS_190,Fuels,Combustibles
WORD_ELECT_193,Elect,Elegir
WORD_CROWN_194,Crown,Títulos reales
WORD_LEADER_196,Leader,Presidentes
WORD_HOT_DOG_201,Hot dog,Hot dog
WORD_CIPHER_208,Cipher,Cifra
WORD_SYMPHONY_210,Symphony,Sinfonia
WORD_ARTWORKS_211,Artworks,Obras de arte
WORD_AUCTION_215,Auction,Subasta
WORD_BEANS_219,Beans,Granos de café
WORD_CAMPING_221,Camping,Camping
WORD_PLAY_223,Music,Musica
WORD_FINANCE_227,Finance,Finanzas
WORD_MEDIEVAL_228,Medieval,Medieval
WORD_OPTICS_229,Optics,Optica
WORD_NAVIGATE_230,Navigate,Navegar
WORD_TODDLER_231,Toddler,Nino pequeno
WORD_FAMILIES_234,Families,Familias animales
WORD_STARS_236,Stars,Estrellas
WORD_AI_238,AI,IA
WORD_DIVISION_242,Division,Division
WORD_SPEAK_244,Speak,Hablar
WORD_HAIR_245,Hair,Cabello
WORD_INJURIES_249,Injuries,Lesiones
WORD_FLU_251,Flu,Gripe
WORD_MINERALS_253,Minerals,Minerales
WORD_RADIATE_257,Radiate,Irradiar
WORD_HORMONES_259,Hormones,Hormonas
WORD_EYE_260,Eye,Ojo
WORD_SHOVEL_261,Shovel,Pala
WORD_ALLOY_264,Alloy,Aleacion
WORD_FESTIVAL_270,Festival,Festival
WORD_METAL_272,Metal,Metal
WORD_ARTIFACT_276,Artifact,Artefacto
WORD_DEFENSE_277,Defense,Defensa
WORD_PARTICLE_281,Particle,Particula
WORD_NEW_YORK_287,New York,Nueva York
WORD_NO_BONES_289,No bones,Sin huesos
WORD_LEGENDS_291,Legends,Leyendas
WORD_HELLO_295,Hello,Hola
WORD_PHD_296,PhD,Doctorado
WORD_OK_SIGN_301,OK,Acuerdo
WORD_JUSTICE_310,Justice,Justicia
WORD_PRISONER_312,Prisoner,Prisionero
WORD_SPACE_314,Space,Espacio
WORD_WESTERN_317,Western,Viejo Oeste
WORD_LOCK_321,Lock,Cerradura
WORD_LEGS_322,Legs,Piernas
WORD_PYRAMIDS_330,Pyramids,Dioses egipcios
WORD_SHAFT_331,Shaft,Minería
WORD_FARMING_333,Farming,Agricultura
WORD_SLIDING_339,Sliding,Deslizar
WORD_PAINTING_340,Painting,Pintura
WORD_RICE_342,Rice,Arroz
WORD_HEART_344,Love,Amor
WORD_HIPPIE_349,Hippie,Hippie
WORD_ROBOT_354,Robot,Robot
WORD_GREECE_359,Greece,Grecia
WORD_DYNAMICS_360,Dynamics,Dinamica
WORD_LAKES_365,Lakes,Lagos
WORD_NUCLEAR_366,Nuclear,Nuclear
WORD_ITALY_376,Italy,Italia
WORD_POINTING_379,Pointing,Demostrativos
WORD_SKIN_380,Skin,Piel
WORD_BUILD_384,Build,Construir
WORD_POLICIES_394,Politics,Politica
WORD_STRENGTH_401,Strength,Fuerza
WORD_MESSAGE_407,Message,Mensaje
WORD_VIEWS_410,Views,Filosofía
WORD_ORGANS_412,Organs,Organos
WORD_TAROT_417,Tarot,Tarot
WORD_VOICES_439,Voices,Voces
WORD_POETRY_440,Poetry,Poesia
WORD_MEALS_444,Meals,Comidas
WORD_ALCHEMY_445,Alchemy,Alquimia
WORD_PAGANISM_469,Paganism,Paganismo
WORD_PRESENT_470,Present,Presente
WORD_SECRET_471,Secret,Secreto
WORD_EQUIDAE_475,Equidae,Equidos
WORD_LEATHER_480,Leather,Cuero
WORD_CASTLE_485,Castle,Castillo
WORD_DISPLAY_486,Display,Pantalla
WORD_CULTURES_487,Cultures,Culturas
WORD_WARRIORS_491,Warriors,Guerreros
WORD_LIE_492,Lie,Mentira
WORD_VIOLIN_508,Orchestra,Orquesta
WORD_ANAGRAM_511,Anagram,Anagrama
WORD_DRUM_518,Drum,Tambor
WORD_WREATH_544,Winning,Victoria
WORD_ZEN_549,Zen,Zen
WORD_NETWORK_588,Network,Red
WORD_CUSTOMS_592,Customs,Aduanas
WORD_MORTGAGE_595,Mortgage,Hipoteca
WORD_CONCRETE_601,Concrete,Concreto
WORD_MEMES_620,Memes,Memes
WORD_ALKANES_641,Alkanes,Alcanos
WORD_EVALUATE_651,Evaluate,Evaluar
WORD_QUEST_680,Quest,Busqueda
WORD_BEARDS_681,Beards,Barbas
WORD_YINYANG_721,Yinyang,Yin y yang
WORD_FOODIE_726,Foodie,Gourmet
WORD_OPERA_760,Opera,Opera
WORD_HARBOR_764,Harbor,Puerto
WORD_STREET_768,Street,Calle
WORD_CHIMERA_795,Chimera,Quimera
WORD_CARRIAGE_800,Carriage,Carruaje
WORD_GAITS_810,Gaits,Andares
WORD_EARTH_831,Earth,Tierra
WORD_VIOLINS_845,Violins,Violines
WORD_GRAMMAR_861,Grammar,Gramatica
WORD_COASTAL_882,Coastal,Costero
WORD_WHEEL_890,Wheel,Rueda
WORD_INDUSTRY_921,Industry,Industria
WORD_PREFIX_922,Prefix,Prefijo
WORD_BREEDS_940,Breeds,Razas de gatos
WORD_LANDMARK_948,Landmark,Monumento
WORD_RIVERS_959,Rivers,Rios
WORD_COAST_969,Coast,Costa
WORD_SKINCARE_984,Skincare,Cuidado de piel
WORD_DYNASTY_991,Dynasty,Dinastia
WORD_PRIEST_1019,Priest,Sacerdote
WORD_MAPS_1022,Maps,Mapas
WORD_SINGING_1054,Singing,Canto
WORD_GENETICS_1060,Genetics,Genetica
WORD_SCREEN_1030,Screen,Pantalla
WORD_ALARM_1031,Alarm,Alarma
WORD_LEAVES_1055,Leaves,Hojas
WORD_DISHWARE_829,Dishware,Vajilla
WORD_POND_830,Pond,Estanque
PIC_CHESS_1,Chess,Ajedrez
PIC_SPORTS_2,Sports,Deportes
PIC_FURNITURE_3,Furniture,Muebles
PIC_DECK_4,Deck,Baraja
PIC_ZODIAC_5,Zodiac,Zodiaco
PIC_TOOLBOX_6,Toolbox,Caja de herramientas
PIC_GARMENTS_7,Garments,Prendas
PIC_VEGGIE_8,Veggie,Verduras
PIC_FRUITS_9,Fruits,Frutas
PIC_CHAIR_10,Chair,Silla
PIC_HATS_11,Hats,Sombreros
PIC_PLAY_12,Music,Musica
PIC_CLEANING_13,Cleaning,Limpieza
PIC_SHOES_14,Shoes,Zapatos
PIC_MAP_15,Map,Países
PIC_BIRD_16,Bird,Pajaro
PIC_SEAFOOD_17,Seafood,Mariscos
PIC_DOGS_18,Dogs,Perros
PIC_EATS_19,Eats,Comida rápida
PIC_BUILD_20,Build,Construir
PIC_FOLKLORE_21,Folklore,Folclore
PIC_DRUPES_22,Drupes,Drupas
PIC_PICNIC_23,Picnic,Picnic
PIC_PASTRY_24,Pastry,Pasteleria
PIC_WIND_25,Wind,Instrumentos de viento
PIC_MALL_26,Mall,Centro comercial
PIC_STRINGS_27,Strings,Cuerdas
PIC_JEWELRY_28,Jewelry,Joyeria
PIC_FLOWERS_29,Flowers,Flores
PIC_REPTILES_30,Reptiles,Reptiles
PIC_GEMSTONE_31,Gemstone,Gema
PIC_INSECTS_32,Insects,Insectos
PIC_RODENTS_33,Rodents,Roedores
PIC_WESTERN_34,Western,Viejo Oeste
PIC_PIRATE_35,Pirate,Pirata
PIC_BEACH_36,Beach,Playa
PIC_EGYPT_37,Egypt,Egipto
PIC_SPACE_38,Space,Espacio
PIC_SEA_FISH_39,Sea fish,Pez marino
PIC_BIRTHDAY_40,Birthday,Cumpleanos
PIC_CHARGER_41,Charger,Cargador
PIC_TRANSPORT_42,Transport,Transporte
PIC_WHISKERS_43,Whiskers,Bigotes
PIC_BURGER_44,Burger,Hamburguesa
PIC_DRINKS_45,Drinks,Bebidas
PIC_SHAPES_46,Shapes,Formas
PIC_LUXURY_47,Luxury,Lujo
PIC_TAROT_48,Tarot,Tarot
PIC_BABIES_49,Babies,Bebes
PIC_SAILOR_50,Sailor,Marinero
PIC_CANDY_51,Candy,Dulces
PIC_KEYS_52,Keys,Llaves
PIC_LAWN_53,Lawn,Cesped
PIC_3D_54,3D,3D
PIC_VAMPIRE_55,Vampire,Vampiro
PIC_LANDMARK_56,Landmark,Monumento
PIC_DESERT_57,Desert,Desierto
PIC_TOYS_58,Toys,Juguetes
PIC_PURPLE_59,Purple,Purpura
PIC_YELLOW_60,Yellow,Amarillo
PIC_RAIN_61,Rain,Lluvia
PIC_GYM_62,Gym,Gimnasio
PIC_PAIRS_63,Pairs,Parejas
PIC_CAMPING_64,Camping,Camping
PIC_XMAS_65,Xmas,Navidad
PIC_MAIL_66,Mail,Correo
PIC_CHEF_67,Chef,Chef
PIC_SCREEN_68,Screen,Pantalla
PIC_TOOLS_69,Tools,Herramientas
PIC_SUPPLIES_70,Supplies,Suministros
PIC_UTENSILS_71,Utensils,Utensilios
PIC_ARTS_72,Arts,Artes
PIC_SURVIVAL_73,Survival,Supervivencia
PIC_BAKING_74,Baking,Horneado
PIC_MEDICAL_75,Medical,Medico
PIC_ECO_ITEMS_76,Eco-items,Eco-articulos
PIC_DECOR_77,Decor,Decoracion
PIC_AQUATICS_78,Water_Sports,Acuaticos
PIC_ICONS_79,Icons,Iconos
PIC_HALLOWEEN_80,Halloween,Halloween
