id,category_name_en,id-ID
WORD_HOT_DOG_201,Hot dog,Hotdog
WORD_CIPHER_208,Cipher,Sandi
WORD_SYMPHONY_210,Symphony,Simfoni
WORD_ARTWORKS_211,Artworks,Karya Seni
WORD_AUCTION_215,Auction,Lelang
WORD_BEANS_219,Beans,Biji Kopi
WORD_CAMPING_221,Camping,Berkemah
WORD_PLAY_223,Music,Musik
WORD_FINANCE_227,Finance,Keuangan
WORD_MEDIEVAL_228,Medieval,Abad Pertengahan
WORD_OPTICS_229,Optics,Optik
WORD_NAVIGATE_230,Navigate,Navigasi
WORD_TODDLER_231,Toddler,Balita
WORD_FAMILIES_234,Families,Keluarga Hewan
WORD_STARS_236,Stars,Bintang
WORD_AI_238,AI,Kecerdasan Buatan
WORD_DIVISION_242,Division,Wilayah
WORD_SPEAK_244,Speak,Berbicara
WORD_HAIR_245,Hair,Rambut
WORD_INJURIES_249,Injuries,Cedera
WORD_FLU_251,Flu,Flu
WORD_MINERALS_253,Minerals,Mineral
WORD_RADIATE_257,Radiate,Radiasi
WORD_HORMONES_259,Hormones,Hormon
WORD_EYE_260,Eye,Mata
WORD_SHOVEL_261,Shovel,Sekop
WORD_ALLOY_264,Alloy,Paduan Logam
WORD_FESTIVAL_270,Festival,Festival
WORD_METAL_272,Metal,Logam
WORD_ARTIFACT_276,Artifact,Artefak
WORD_DEFENSE_277,Defense,Pertahanan
WORD_PARTICLE_281,Particle,Partikel
WORD_NEW_YORK_287,New York,New York
WORD_NO_BONES_289,No bones,Tanpa Tulang
WORD_LEGENDS_291,Legends,Legenda
WORD_HELLO_295,Hello,Halo
WORD_PHD_296,PhD,Doktor
WORD_OK_SIGN_301,OK,Setuju
WORD_JUSTICE_310,Justice,Keadilan
WORD_PRISONER_312,Prisoner,Tahanan
WORD_SPACE_314,Space,Luar Angkasa
WORD_WESTERN_317,Western,Koboi
WORD_LOCK_321,Lock,Kunci
WORD_LEGS_322,Legs,Kaki
WORD_PYRAMIDS_330,Pyramids,Dewa Mesir
WORD_SHAFT_331,Shaft,Tambang
WORD_FARMING_333,Farming,Pertanian
WORD_SLIDING_339,Sliding,Meluncur
WORD_PAINTING_340,Painting,Lukisan
WORD_RICE_342,Rice,Hidangan Nasi
WORD_HEART_344,Love,Cinta
WORD_HIPPIE_349,Hippie,Hippie
WORD_ROBOT_354,Robot,Robot
WORD_GREECE_359,Greece,Yunani
WORD_DYNAMICS_360,Dynamics,Dinamika
WORD_LAKES_365,Lakes,Danau
WORD_NUCLEAR_366,Nuclear,Nuklir
WORD_ITALY_376,Italy,Italia
WORD_POINTING_379,Pointing,Kata Tunjuk
WORD_SKIN_380,Skin,Kulit
WORD_BUILD_384,Build,Bangunan
WORD_POLICIES_394,Politics,Politik
WORD_STRENGTH_401,Strength,Kekuatan
WORD_MESSAGE_407,Message,Pesan
WORD_VIEWS_410,Views,Filosofi
WORD_ORGANS_412,Organs,Organ
WORD_TAROT_417,Tarot,Tarot
WORD_VOICES_439,Voices,Suara
WORD_POETRY_440,Poetry,Puisi
WORD_MEALS_444,Meals,Hidangan
WORD_ALCHEMY_445,Alchemy,Alkimia
WORD_PAGANISM_469,Paganism,Paganisme
WORD_PRESENT_470,Present,Saat Ini
WORD_SECRET_471,Secret,Rahasia
WORD_EQUIDAE_475,Equidae,Kuda
WORD_LEATHER_480,Leather,Kulit
WORD_CASTLE_485,Castle,Kastil
WORD_DISPLAY_486,Display,Layar
WORD_CULTURES_487,Cultures,Budaya
WORD_WARRIORS_491,Warriors,Pejuang
WORD_LIE_492,Lie,Berbohong
WORD_VIOLIN_508,Orchestra,Orkestra
WORD_ANAGRAM_511,Anagram,Anagram
WORD_DRUM_518,Drum,Drum
WORD_WREATH_544,Winning,Kemenangan
WORD_ZEN_549,Zen,Zen
WORD_NETWORK_588,Network,Jaringan
WORD_CUSTOMS_592,Customs,Bea Cukai
WORD_MORTGAGE_595,Mortgage,Hipotek
WORD_CONCRETE_601,Concrete,Beton
WORD_MEMES_620,Memes,Meme
WORD_ALKANES_641,Alkanes,Alkana
WORD_EVALUATE_651,Evaluate,Evaluasi
WORD_QUEST_680,Quest,Misi
WORD_BEARDS_681,Beards,Janggut
WORD_YINYANG_721,Yinyang,Yin Yang
WORD_FOODIE_726,Foodie,Kuliner
WORD_OPERA_760,Opera,Opera
WORD_HARBOR_764,Harbor,Pelabuhan
WORD_STREET_768,Street,Jalan
WORD_CHIMERA_795,Chimera,Kimera
WORD_CARRIAGE_800,Carriage,Kereta Kuda
WORD_GAITS_810,Gaits,Langkah Kuda
WORD_EARTH_831,Earth,Bumi
WORD_VIOLINS_845,Violins,Biola
WORD_GRAMMAR_861,Grammar,Tata Bahasa
WORD_COASTAL_882,Coastal,Pesisir
WORD_WHEEL_890,Wheel,Roda
WORD_INDUSTRY_921,Industry,Industri
WORD_PREFIX_922,Prefix,Awalan
WORD_BREEDS_940,Breeds,Ras Kucing
WORD_LANDMARK_948,Landmark,Tengara
WORD_RIVERS_959,Rivers,Sungai
WORD_COAST_969,Coast,Pantai
WORD_SKINCARE_984,Skincare,Perawatan Kulit
WORD_DYNASTY_991,Dynasty,Dinasti
WORD_PRIEST_1019,Priest,Pendeta
WORD_MAPS_1022,Maps,Peta
WORD_SINGING_1054,Singing,Bernyanyi
WORD_GENETICS_1060,Genetics,Genetika
WORD_SCREEN_1030,Screen,Layar
WORD_ALARM_1031,Alarm,Alarm
WORD_LEAVES_1055,Leaves,Daun
WORD_DISHWARE_829,Dishware,Peralatan Makan
WORD_POND_830,Pond,Kolam
PIC_CHESS_1,Chess,Catur
PIC_SPORTS_2,Sports,Olahraga
PIC_FURNITURE_3,Furniture,Furnitur
PIC_DECK_4,Deck,Dek Kartu
PIC_ZODIAC_5,Zodiac,Zodiak
PIC_TOOLBOX_6,Toolbox,Kotak Perkakas
PIC_GARMENTS_7,Garments,Pakaian
PIC_VEGGIE_8,Veggie,Sayuran
PIC_FRUITS_9,Fruits,Buah
PIC_CHAIR_10,Chair,Kursi
PIC_HATS_11,Hats,Topi
PIC_PLAY_12,Music,Musik
PIC_CLEANING_13,Cleaning,Kebersihan
PIC_SHOES_14,Shoes,Sepatu
PIC_MAP_15,Map,Negara
PIC_BIRD_16,Bird,Burung
PIC_SEAFOOD_17,Seafood,Makanan Laut
PIC_DOGS_18,Dogs,Anjing
PIC_EATS_19,Eats,Makanan Cepat Saji
PIC_BUILD_20,Build,Bangunan
PIC_FOLKLORE_21,Folklore,Cerita Rakyat
PIC_DRUPES_22,Drupes,Buah Batu
PIC_PICNIC_23,Picnic,Piknik
PIC_PASTRY_24,Pastry,Kue Kering
PIC_WIND_25,Wind,Alat Tiup
PIC_MALL_26,Mall,Mal
PIC_STRINGS_27,Strings,Instrumen Dawai
PIC_JEWELRY_28,Jewelry,Perhiasan
PIC_FLOWERS_29,Flowers,Bunga
PIC_REPTILES_30,Reptiles,Reptil
PIC_GEMSTONE_31,Gemstone,Batu Mulia
PIC_INSECTS_32,Insects,Serangga
PIC_RODENTS_33,Rodents,Hewan Pengerat
PIC_WESTERN_34,Western,Koboi
PIC_PIRATE_35,Pirate,Bajak Laut
PIC_BEACH_36,Beach,Pantai
PIC_EGYPT_37,Egypt,Mesir
PIC_SPACE_38,Space,Luar Angkasa
PIC_SEA_FISH_39,Sea fish,Ikan Laut
PIC_BIRTHDAY_40,Birthday,Ulang Tahun
PIC_CHARGER_41,Charger,Pengisi Daya
PIC_TRANSPORT_42,Transport,Transportasi
PIC_WHISKERS_43,Whiskers,Hewan Berkumis
PIC_BURGER_44,Burger,Burger
PIC_DRINKS_45,Drinks,Minuman
PIC_SHAPES_46,Shapes,Bentuk
PIC_LUXURY_47,Luxury,Mewah
PIC_TAROT_48,Tarot,Tarot
PIC_BABIES_49,Babies,Bayi
PIC_SAILOR_50,Sailor,Pelaut
PIC_CANDY_51,Candy,Permen
PIC_KEYS_52,Keys,Kunci
PIC_LAWN_53,Lawn,Halaman
PIC_3D_54,3D,3D
PIC_VAMPIRE_55,Vampire,Vampir
PIC_LANDMARK_56,Landmark,Tengara
PIC_DESERT_57,Desert,Gurun
PIC_TOYS_58,Toys,Mainan
PIC_PURPLE_59,Purple,Ungu
PIC_YELLOW_60,Yellow,Kuning
PIC_RAIN_61,Rain,Hujan
PIC_GYM_62,Gym,Gym
PIC_PAIRS_63,Pairs,Pasangan
PIC_CAMPING_64,Camping,Berkemah
PIC_XMAS_65,Xmas,Natal
PIC_MAIL_66,Mail,Surat
PIC_CHEF_67,Chef,Koki
PIC_SCREEN_68,Screen,Layar
PIC_TOOLS_69,Tools,Perkakas
PIC_SUPPLIES_70,Supplies,Perlengkapan
PIC_UTENSILS_71,Utensils,Peralatan
PIC_ARTS_72,Arts,Seni
PIC_SURVIVAL_73,Survival,Bertahan Hidup
PIC_BAKING_74,Baking,Memanggang
PIC_MEDICAL_75,Medical,Medis
PIC_ECO_ITEMS_76,Eco-items,Barang Ramah Lingkungan
PIC_DECOR_77,Decor,Dekorasi
PIC_AQUATICS_78,Water_Sports,Akuatik
PIC_ICONS_79,Icons,Ikon
PIC_HALLOWEEN_80,Halloween,Halloween
