id,category_name_en,vi-VN
WORD_WILLIAM_165,William,Shakespeare
WORD_CANINES_168,Canines,Chó
WORD_STUDIES_169,Studies,Đại học
WORD_CITRUS_173,Citrus,Cam quýt
WORD_AIRCRAFT_174,Aircraft,Máy bay
WORD_GRAPE_177,Grape,Nho
WORD_MUSHROOM_178,Mushroom,Nấm
WORD_ARCTIC_180,Arctic,Bắc Cực
WORD_RACING_182,Racing,Đua xe
WORD_HELP_183,Help,Trợ giúp
WORD_GEMSTONE_186,Gemstone,Đá quý
WORD_PATTERN_188,Celestial,Thiên thể
WORD_FUELS_190,Fuels,Nhiên liệu
WORD_ELECT_193,Elect,Bầu cử
WORD_CROWN_194,Crown,Tước hiệu hoàng gia
WORD_LEADER_196,Leader,Tổng thống Mỹ
WORD_HOT_DOG_201,Hot dog,Xúc xích
WORD_CIPHER_208,Cipher,Mật mã
WORD_SYMPHONY_210,Symphony,Giao hưởng
WORD_ARTWORKS_211,Artworks,Tác phẩm nghệ thuật
WORD_AUCTION_215,Auction,Đấu giá
WORD_BEANS_219,Beans,Hạt cà phê
WORD_CAMPING_221,Camping,Cắm trại
WORD_PLAY_223,Music,Âm nhạc
WORD_FINANCE_227,Finance,Tài chính
WORD_MEDIEVAL_228,Medieval,Trung cổ
WORD_OPTICS_229,Optics,Quang học
WORD_NAVIGATE_230,Navigate,Điều hướng
WORD_TODDLER_231,Toddler,Trẻ nhỏ
WORD_FAMILIES_234,Families,Họ động vật
WORD_STARS_236,Stars,Ngôi sao
WORD_AI_238,AI,Trí tuệ nhân tạo
WORD_DIVISION_242,Division,Đơn vị hành chính
WORD_SPEAK_244,Speak,Nói
WORD_HAIR_245,Hair,Tóc
WORD_INJURIES_249,Injuries,Chấn thương
WORD_FLU_251,Flu,Cúm
WORD_MINERALS_253,Minerals,Khoáng sản
WORD_RADIATE_257,Radiate,Phát xạ
WORD_HORMONES_259,Hormones,Hormone
WORD_EYE_260,Eye,Mắt
WORD_SHOVEL_261,Shovel,Xẻng
WORD_ALLOY_264,Alloy,Hợp kim
WORD_FESTIVAL_270,Festival,Lễ hội
WORD_METAL_272,Metal,Kim loại
WORD_ARTIFACT_276,Artifact,Cổ vật
WORD_DEFENSE_277,Defense,Phòng thủ
WORD_PARTICLE_281,Particle,Hạt
WORD_NEW_YORK_287,New York,New York
WORD_NO_BONES_289,No bones,Không xương
WORD_LEGENDS_291,Legends,Truyền thuyết
WORD_HELLO_295,Hello,Xin chào
WORD_PHD_296,PhD,Tiến sĩ
WORD_OK_SIGN_301,OK,OK
WORD_JUSTICE_310,Justice,Công lý
WORD_PRISONER_312,Prisoner,Tù nhân
WORD_SPACE_314,Space,Không gian
WORD_WESTERN_317,Western,Miền Tây
WORD_LOCK_321,Lock,Khóa
WORD_LEGS_322,Legs,Chân
WORD_PYRAMIDS_330,Pyramids,Thần Ai Cập
WORD_SHAFT_331,Shaft,Khai mỏ
WORD_FARMING_333,Farming,Nông nghiệp
WORD_SLIDING_339,Sliding,Trượt
WORD_PAINTING_340,Painting,Hội họa
WORD_RICE_342,Rice,Gạo
WORD_HEART_344,Love,Tình yêu
WORD_HIPPIE_349,Hippie,Hippie
WORD_ROBOT_354,Robot,Robot
WORD_GREECE_359,Greece,Hy Lạp
WORD_DYNAMICS_360,Dynamics,Động lực học
WORD_LAKES_365,Lakes,Hồ
WORD_NUCLEAR_366,Nuclear,Hạt nhân
WORD_ITALY_376,Italy,Ý
WORD_POINTING_379,Pointing,Từ chỉ định
WORD_SKIN_380,Skin,Da
WORD_BUILD_384,Build,Xây dựng
WORD_POLICIES_394,Politics,Chính trị
WORD_STRENGTH_401,Strength,Sức mạnh
WORD_MESSAGE_407,Message,Tin nhắn
WORD_VIEWS_410,Views,Triết học
WORD_ORGANS_412,Organs,Cơ quan
WORD_TAROT_417,Tarot,Tarot
WORD_VOICES_439,Voices,Giọng nói
WORD_POETRY_440,Poetry,Thơ
WORD_MEALS_444,Meals,Bữa ăn
WORD_ALCHEMY_445,Alchemy,Giả kim
WORD_PAGANISM_469,Paganism,Ngoại giáo
WORD_PRESENT_470,Present,Hiện tại
WORD_SECRET_471,Secret,Bí mật
WORD_EQUIDAE_475,Equidae,Ngựa
WORD_LEATHER_480,Leather,Da thuộc
WORD_CASTLE_485,Castle,Lâu đài
WORD_DISPLAY_486,Display,Màn hình
WORD_CULTURES_487,Cultures,Văn hóa
WORD_WARRIORS_491,Warriors,Chiến binh
WORD_LIE_492,Lie,Nói dối
WORD_VIOLIN_508,Orchestra,Dàn nhạc
WORD_ANAGRAM_511,Anagram,Đảo chữ
WORD_DRUM_518,Drum,Trống
WORD_WREATH_544,Winning,Chiến thắng
WORD_ZEN_549,Zen,Thiền định
WORD_NETWORK_588,Network,Mạng lưới
WORD_CUSTOMS_592,Customs,Hải quan
WORD_MORTGAGE_595,Mortgage,Thế chấp
WORD_CONCRETE_601,Concrete,Bê tông
WORD_MEMES_620,Memes,Meme
WORD_ALKANES_641,Alkanes,Ankan
WORD_EVALUATE_651,Evaluate,Đánh giá
WORD_QUEST_680,Quest,Nhiệm vụ
WORD_BEARDS_681,Beards,Râu
WORD_YINYANG_721,Yinyang,Âm dương
WORD_FOODIE_726,Foodie,Ẩm thực
WORD_OPERA_760,Opera,Opera
WORD_HARBOR_764,Harbor,Cảng
WORD_STREET_768,Street,Đường phố
WORD_CHIMERA_795,Chimera,Quái vật
WORD_CARRIAGE_800,Carriage,Xe ngựa
WORD_GAITS_810,Gaits,Dáng đi
WORD_EARTH_831,Earth,Trái Đất
WORD_VIOLINS_845,Violins,Vĩ cầm
WORD_GRAMMAR_861,Grammar,Ngữ pháp
WORD_COASTAL_882,Coastal,Ven biển
WORD_WHEEL_890,Wheel,Bánh xe
WORD_INDUSTRY_921,Industry,Công nghiệp
WORD_PREFIX_922,Prefix,Tiền tố
WORD_BREEDS_940,Breeds,Giống mèo
WORD_LANDMARK_948,Landmark,Địa danh
WORD_RIVERS_959,Rivers,Sông
WORD_COAST_969,Coast,Bờ biển
WORD_SKINCARE_984,Skincare,Chăm sóc da
WORD_DYNASTY_991,Dynasty,Triều đại
WORD_PRIEST_1019,Priest,Linh mục
WORD_MAPS_1022,Maps,Bản đồ
WORD_SINGING_1054,Singing,Ca hát
WORD_GENETICS_1060,Genetics,Di truyền
WORD_SCREEN_1030,Screen,Màn hình
WORD_ALARM_1031,Alarm,Báo thức
WORD_LEAVES_1055,Leaves,Lá
WORD_DISHWARE_829,Dishware,Bộ đồ ăn
WORD_POND_830,Pond,Ao
PIC_CHESS_1,Chess,Cờ vua
PIC_SPORTS_2,Sports,Thể thao
PIC_FURNITURE_3,Furniture,Nội thất
PIC_DECK_4,Deck,Bộ bài
PIC_ZODIAC_5,Zodiac,Cung hoàng đạo
PIC_TOOLBOX_6,Toolbox,Hộp công cụ
PIC_GARMENTS_7,Garments,Trang phục
PIC_VEGGIE_8,Veggie,Rau củ
PIC_FRUITS_9,Fruits,Trái cây
PIC_CHAIR_10,Chair,Ghế
PIC_HATS_11,Hats,Mũ
PIC_PLAY_12,Music,Âm nhạc
PIC_CLEANING_13,Cleaning,Vệ sinh
PIC_SHOES_14,Shoes,Giày
PIC_MAP_15,Map,Quốc gia
PIC_BIRD_16,Bird,Chim
PIC_SEAFOOD_17,Seafood,Hải sản
PIC_DOGS_18,Dogs,Chó
PIC_EATS_19,Eats,Đồ ăn nhanh
PIC_BUILD_20,Build,Xây dựng
PIC_FOLKLORE_21,Folklore,Dân gian
PIC_DRUPES_22,Drupes,Quả hạch
PIC_PICNIC_23,Picnic,Dã ngoại
PIC_PASTRY_24,Pastry,Bánh ngọt
PIC_WIND_25,Wind,Nhạc cụ hơi
PIC_MALL_26,Mall,Trung tâm thương mại
PIC_STRINGS_27,Strings,Dây đàn
PIC_JEWELRY_28,Jewelry,Trang sức
PIC_FLOWERS_29,Flowers,Hoa
PIC_REPTILES_30,Reptiles,Bò sát
PIC_GEMSTONE_31,Gemstone,Đá quý
PIC_INSECTS_32,Insects,Côn trùng
PIC_RODENTS_33,Rodents,Loài gặm nhấm
PIC_WESTERN_34,Western,Miền Tây
PIC_PIRATE_35,Pirate,Cướp biển
PIC_BEACH_36,Beach,Bãi biển
PIC_EGYPT_37,Egypt,Ai Cập
PIC_SPACE_38,Space,Không gian
PIC_SEA_FISH_39,Sea fish,Cá biển
PIC_BIRTHDAY_40,Birthday,Sinh nhật
PIC_CHARGER_41,Charger,Sạc
PIC_TRANSPORT_42,Transport,Giao thông
PIC_WHISKERS_43,Whiskers,Râu mèo
PIC_BURGER_44,Burger,Bánh burger
PIC_DRINKS_45,Drinks,Đồ uống
PIC_SHAPES_46,Shapes,Hình dạng
PIC_LUXURY_47,Luxury,Xa xỉ
PIC_TAROT_48,Tarot,Tarot
PIC_BABIES_49,Babies,Em bé
PIC_SAILOR_50,Sailor,Thủy thủ
PIC_CANDY_51,Candy,Kẹo
PIC_KEYS_52,Keys,Chìa khóa
PIC_LAWN_53,Lawn,Bãi cỏ
PIC_3D_54,3D,3D
PIC_VAMPIRE_55,Vampire,Ma cà rồng
PIC_LANDMARK_56,Landmark,Địa danh
PIC_DESERT_57,Desert,Sa mạc
PIC_TOYS_58,Toys,Đồ chơi
PIC_PURPLE_59,Purple,Tím
PIC_YELLOW_60,Yellow,Vàng
PIC_RAIN_61,Rain,Mưa
PIC_GYM_62,Gym,Phòng tập
PIC_PAIRS_63,Pairs,Cặp đôi
PIC_CAMPING_64,Camping,Cắm trại
PIC_XMAS_65,Xmas,Giáng Sinh
PIC_MAIL_66,Mail,Thư
PIC_CHEF_67,Chef,Đầu bếp
PIC_SCREEN_68,Screen,Màn hình
PIC_TOOLS_69,Tools,Dụng cụ
PIC_SUPPLIES_70,Supplies,Vật tư
PIC_UTENSILS_71,Utensils,Đồ dùng
PIC_ARTS_72,Arts,Nghệ thuật
PIC_SURVIVAL_73,Survival,Sinh tồn
PIC_BAKING_74,Baking,Nướng bánh
PIC_MEDICAL_75,Medical,Y tế
PIC_ECO_ITEMS_76,Eco-items,Đồ sinh thái
PIC_DECOR_77,Decor,Trang trí
PIC_AQUATICS_78,Water_Sports,Thủy sinh
PIC_ICONS_79,Icons,Biểu tượng
PIC_HALLOWEEN_80,Halloween,Halloween
