id,category_name_en,ru-RU
WORD_CHEESE_108,Cheese,Сыр
WORD_FITNESS_110,Fitness,Фитнес
WORD_MUSCLES_112,Muscles,Мышцы
WORD_EGYPT_114,Egypt,Египет
WORD_BERRY_116,Berry,Ягода
WORD_CAPITALS_119,Capitals,Столицы
WORD_MAKEUP_120,Makeup,Макияж
WORD_COMBAT_121,Combat,Бой
WORD_GUITAR_122,Guitar,Гитара
WORD_BALLET_125,Ballet,Балет
WORD_UNITE_126,Unite,Единство
WORD_LUXURY_133,Luxury,Роскошь
WORD_BIOMES_135,Biomes,Биомы
WORD_SPICY_136,Spicy,Острое
WORD_PLANE_139,Plane,Самолёт
WORD_RODENTS_141,Rodents,Грызуны
WORD_ENERGY_145,Energy,Энергия
WORD_ARTICLES_147,Articles,Статьи
WORD_DISASTER_148,Disaster,Катастрофа
WORD_PRIMATES_149,Primates,Приматы
WORD_CODING_150,Coding,Программирование
WORD_RAP_151,Rap,Рэп
WORD_WATER_152,Waterfall,Водопад
WORD_TOYS_154,Toys,Игрушки
WORD_ARMY_156,Army,Армия
WORD_MEDITATE_160,Meditate,Медитация
WORD_FAME_161,Fame,Слава
WORD_LINGUIST_162,Linguist,Лингвист
WORD_HOLIDAY_163,Holiday,Праздник
WORD_GYM_164,Gym,Спортзал
WORD_WILLIAM_165,William,Шекспир
WORD_CANINES_168,Canines,Псовые
WORD_STUDIES_169,Studies,Университеты
WORD_CITRUS_173,Citrus,Цитрус
WORD_AIRCRAFT_174,Aircraft,Воздушное судно
WORD_GRAPE_177,Grape,Виноград
WORD_MUSHROOM_178,Mushroom,Гриб
WORD_ARCTIC_180,Arctic,Арктика
WORD_RACING_182,Racing,Гонки
WORD_HELP_183,Help,Помощь
WORD_GEMSTONE_186,Gemstone,Драгоценный камень
WORD_PATTERN_188,Celestial,Созвездия
WORD_FUELS_190,Fuels,Топливо
WORD_ELECT_193,Elect,Избрать
WORD_CROWN_194,Crown,Королевские титулы
WORD_LEADER_196,Leader,Президенты
WORD_HOT_DOG_201,Hot dog,Хот-дог
WORD_CIPHER_208,Cipher,Шифр
WORD_SYMPHONY_210,Symphony,Симфония
WORD_ARTWORKS_211,Artworks,Произведения искусства
WORD_AUCTION_215,Auction,Аукцион
WORD_BEANS_219,Beans,Кофейные зёрна
WORD_CAMPING_221,Camping,Кемпинг
WORD_PLAY_223,Music,Музыка
WORD_FINANCE_227,Finance,Финансы
WORD_MEDIEVAL_228,Medieval,Средневековье
WORD_OPTICS_229,Optics,Оптика
WORD_NAVIGATE_230,Navigate,Навигация
WORD_TODDLER_231,Toddler,Малыш
WORD_FAMILIES_234,Families,Семейства животных
WORD_STARS_236,Stars,Звёзды
WORD_AI_238,AI,ИИ
WORD_DIVISION_242,Division,Административные единицы
WORD_SPEAK_244,Speak,Говорить
WORD_HAIR_245,Hair,Волосы
WORD_INJURIES_249,Injuries,Травмы
WORD_FLU_251,Flu,Грипп
WORD_MINERALS_253,Minerals,Минералы
WORD_RADIATE_257,Radiate,Излучать
WORD_HORMONES_259,Hormones,Гормоны
WORD_EYE_260,Eye,Глаз
WORD_SHOVEL_261,Shovel,Лопата
WORD_ALLOY_264,Alloy,Сплав
WORD_FESTIVAL_270,Festival,Фестиваль
WORD_METAL_272,Metal,Металл
WORD_ARTIFACT_276,Artifact,Артефакт
WORD_DEFENSE_277,Defense,Защита
WORD_PARTICLE_281,Particle,Частица
WORD_NEW_YORK_287,New York,Нью-Йорк
WORD_NO_BONES_289,No bones,Беспозвоночные
WORD_LEGENDS_291,Legends,Легенды
WORD_HELLO_295,Hello,Привет
WORD_PHD_296,PhD,Докторантура
WORD_OK_SIGN_301,OK,Согласие
WORD_JUSTICE_310,Justice,Справедливость
WORD_PRISONER_312,Prisoner,Заключённый
WORD_SPACE_314,Space,Космос
WORD_WESTERN_317,Western,Вестерн
WORD_LOCK_321,Lock,Замок
WORD_LEGS_322,Legs,Ноги
WORD_PYRAMIDS_330,Pyramids,Египетские боги
WORD_SHAFT_331,Shaft,Шахта
WORD_FARMING_333,Farming,Фермерство
WORD_SLIDING_339,Sliding,Скольжение
WORD_PAINTING_340,Painting,Живопись
WORD_RICE_342,Rice,Рис
WORD_HEART_344,Love,Любовь
WORD_HIPPIE_349,Hippie,Хиппи
WORD_ROBOT_354,Robot,Робот
WORD_GREECE_359,Greece,Греческие буквы
WORD_DYNAMICS_360,Dynamics,Динамика
WORD_LAKES_365,Lakes,Озёра
WORD_NUCLEAR_366,Nuclear,Ядерный
WORD_ITALY_376,Italy,Италия
WORD_POINTING_379,Pointing,Указательные слова
WORD_SKIN_380,Skin,Кожа
WORD_BUILD_384,Build,Здания
WORD_POLICIES_394,Politics,Политика
WORD_STRENGTH_401,Strength,Сила
WORD_MESSAGE_407,Message,Сообщение
WORD_VIEWS_410,Views,Философия
WORD_ORGANS_412,Organs,Органы
WORD_TAROT_417,Tarot,Таро
WORD_VOICES_439,Voices,Голоса
WORD_POETRY_440,Poetry,Поэзия
WORD_MEALS_444,Meals,Блюда
WORD_ALCHEMY_445,Alchemy,Алхимия
WORD_PAGANISM_469,Paganism,Язычество
WORD_PRESENT_470,Present,Настоящее
WORD_SECRET_471,Secret,Секрет
WORD_EQUIDAE_475,Equidae,Лошадиные
WORD_LEATHER_480,Leather,Кожа (материал)
WORD_CASTLE_485,Castle,Замок (крепость)
WORD_DISPLAY_486,Display,Экран
WORD_CULTURES_487,Cultures,Культуры
WORD_WARRIORS_491,Warriors,Воины
WORD_LIE_492,Lie,Ложь
WORD_VIOLIN_508,Orchestra,Оркестр
WORD_ANAGRAM_511,Anagram,Анаграмма
WORD_DRUM_518,Drum,Барабан
WORD_WREATH_544,Winning,Победа
WORD_ZEN_549,Zen,Дзен
WORD_NETWORK_588,Network,Сеть
WORD_CUSTOMS_592,Customs,Таможня
WORD_MORTGAGE_595,Mortgage,Ипотека
WORD_CONCRETE_601,Concrete,Бетон
WORD_MEMES_620,Memes,Мемы
WORD_ALKANES_641,Alkanes,Алканы
WORD_EVALUATE_651,Evaluate,Оценивать
WORD_QUEST_680,Quest,Квест
WORD_BEARDS_681,Beards,Бороды
WORD_YINYANG_721,Yinyang,Инь-янь
WORD_FOODIE_726,Foodie,Гурман
WORD_OPERA_760,Opera,Опера
WORD_HARBOR_764,Harbor,Гавань
WORD_STREET_768,Street,Улица
WORD_CHIMERA_795,Chimera,Химера
WORD_CARRIAGE_800,Carriage,Карета
WORD_GAITS_810,Gaits,Аллюры
WORD_EARTH_831,Earth,Земля
WORD_VIOLINS_845,Violins,Скрипки
WORD_GRAMMAR_861,Grammar,Грамматика
WORD_COASTAL_882,Coastal,Прибрежный
WORD_WHEEL_890,Wheel,Колесо
WORD_INDUSTRY_921,Industry,Промышленность
WORD_PREFIX_922,Prefix,Приставка
WORD_BREEDS_940,Breeds,Породы кошек
WORD_LANDMARK_948,Landmark,Достопримечательность
WORD_RIVERS_959,Rivers,Реки
WORD_COAST_969,Coast,Побережье
WORD_SKINCARE_984,Skincare,Уход за кожей
WORD_DYNASTY_991,Dynasty,Династия
WORD_PRIEST_1019,Priest,Священник
WORD_MAPS_1022,Maps,Карты
WORD_SINGING_1054,Singing,Пение
WORD_GENETICS_1060,Genetics,Генетика
WORD_SCREEN_1030,Screen,Экран
WORD_ALARM_1031,Alarm,Тревога
WORD_LEAVES_1055,Leaves,Листья
WORD_DISHWARE_829,Dishware,Посуда
WORD_POND_830,Pond,Пруд
PIC_CHESS_1,Chess,Шахматы
PIC_SPORTS_2,Sports,Спорт
PIC_FURNITURE_3,Furniture,Мебель
PIC_DECK_4,Deck,Колода карт
PIC_ZODIAC_5,Zodiac,Зодиак
PIC_TOOLBOX_6,Toolbox,Ящик с инструментами
PIC_GARMENTS_7,Garments,Одежда
PIC_VEGGIE_8,Veggie,Овощи
PIC_FRUITS_9,Fruits,Фрукты
PIC_CHAIR_10,Chair,Стул
PIC_HATS_11,Hats,Шляпы
PIC_PLAY_12,Music,Музыка
PIC_CLEANING_13,Cleaning,Уборка
PIC_SHOES_14,Shoes,Обувь
PIC_MAP_15,Map,Страны
PIC_BIRD_16,Bird,Птица
PIC_SEAFOOD_17,Seafood,Морепродукты
PIC_DOGS_18,Dogs,Собаки
PIC_EATS_19,Eats,Фастфуд
PIC_BUILD_20,Build,Здания
PIC_FOLKLORE_21,Folklore,Фольклор
PIC_DRUPES_22,Drupes,Костянки
PIC_PICNIC_23,Picnic,Пикник
PIC_PASTRY_24,Pastry,Выпечка
PIC_WIND_25,Wind,Духовые инструменты
PIC_MALL_26,Mall,Торговый центр
PIC_STRINGS_27,Strings,Струнные
PIC_JEWELRY_28,Jewelry,Украшения
PIC_FLOWERS_29,Flowers,Цветы
PIC_REPTILES_30,Reptiles,Рептилии
PIC_GEMSTONE_31,Gemstone,Драгоценный камень
PIC_INSECTS_32,Insects,Насекомые
PIC_RODENTS_33,Rodents,Грызуны
PIC_WESTERN_34,Western,Вестерн
PIC_PIRATE_35,Pirate,Пират
PIC_BEACH_36,Beach,Пляж
PIC_EGYPT_37,Egypt,Египет
PIC_SPACE_38,Space,Космос
PIC_SEA_FISH_39,Sea fish,Морская рыба
PIC_BIRTHDAY_40,Birthday,День рождения
PIC_CHARGER_41,Charger,Зарядное устройство
PIC_TRANSPORT_42,Transport,Транспорт
PIC_WHISKERS_43,Whiskers,Усы
PIC_BURGER_44,Burger,Бургер
PIC_DRINKS_45,Drinks,Напитки
PIC_SHAPES_46,Shapes,Фигуры
PIC_LUXURY_47,Luxury,Роскошь
PIC_TAROT_48,Tarot,Таро
PIC_BABIES_49,Babies,Дети
PIC_SAILOR_50,Sailor,Моряк
PIC_CANDY_51,Candy,Конфеты
PIC_KEYS_52,Keys,Ключи
PIC_LAWN_53,Lawn,Газон
PIC_3D_54,3D,3D
PIC_VAMPIRE_55,Vampire,Вампир
PIC_LANDMARK_56,Landmark,Достопримечательность
PIC_DESERT_57,Desert,Пустыня
PIC_TOYS_58,Toys,Игрушки
PIC_PURPLE_59,Purple,Фиолетовый
PIC_YELLOW_60,Yellow,Жёлтый
PIC_RAIN_61,Rain,Дождь
PIC_GYM_62,Gym,Спортзал
PIC_PAIRS_63,Pairs,Пары
PIC_CAMPING_64,Camping,Кемпинг
PIC_XMAS_65,Xmas,Рождество
PIC_MAIL_66,Mail,Почта
PIC_CHEF_67,Chef,Шеф-повар
PIC_SCREEN_68,Screen,Экран
PIC_TOOLS_69,Tools,Инструменты
PIC_SUPPLIES_70,Supplies,Припасы
PIC_UTENSILS_71,Utensils,Посуда
PIC_ARTS_72,Arts,Искусство
PIC_SURVIVAL_73,Survival,Выживание
PIC_BAKING_74,Baking,Выпечка
PIC_MEDICAL_75,Medical,Медицина
PIC_ECO_ITEMS_76,Eco-items,Эко-товары
PIC_DECOR_77,Decor,Декор
PIC_AQUATICS_78,Water_Sports,Водный мир
PIC_ICONS_79,Icons,Иконки
PIC_HALLOWEEN_80,Halloween,Хэллоуин
