id,category_name_en,tr-TR
WORD_CHEESE_108,Cheese,Peynir
WORD_FITNESS_110,Fitness,Fitness
WORD_MUSCLES_112,Muscles,Kaslar
WORD_EGYPT_114,Egypt,Misir
WORD_BERRY_116,Berry,Cilek
WORD_CAPITALS_119,Capitals,Baskentler
WORD_MAKEUP_120,Makeup,Makyaj
WORD_COMBAT_121,Combat,Savas
WORD_GUITAR_122,Guitar,Gitar
WORD_BALLET_125,Ballet,Bale
WORD_UNITE_126,Unite,Birlesme
WORD_LUXURY_133,Luxury,Luks
WORD_BIOMES_135,Biomes,Biyomlar
WORD_SPICY_136,Spicy,Baharat
WORD_PLANE_139,Plane,Ucak
WORD_RODENTS_141,Rodents,Kemirgenler
WORD_ENERGY_145,Energy,Enerji
WORD_ARTICLES_147,Articles,Makaleler
WORD_DISASTER_148,Disaster,Felaket
WORD_PRIMATES_149,Primates,Primatlar
WORD_CODING_150,Coding,Kodlama
WORD_RAP_151,Rap,Rap
WORD_WATER_152,Waterfall,Selale
WORD_TOYS_154,Toys,Oyuncaklar
WORD_ARMY_156,Army,Ordu
WORD_MEDITATE_160,Meditate,Meditasyon
WORD_FAME_161,Fame,Sohret
WORD_LINGUIST_162,Linguist,Dilbilimci
WORD_HOLIDAY_163,Holiday,Resmi Tatiller
WORD_GYM_164,Gym,Spor Salonu
WORD_WILLIAM_165,William,Shakespeare
WORD_CANINES_168,Canines,Kopekgiller
WORD_STUDIES_169,Studies,Üniversiteler
WORD_CITRUS_173,Citrus,Narenciye
WORD_AIRCRAFT_174,Aircraft,Hava Araci
WORD_GRAPE_177,Grape,Uzum
WORD_MUSHROOM_178,Mushroom,Mantar
WORD_ARCTIC_180,Arctic,Kutup
WORD_RACING_182,Racing,Yaris
WORD_HELP_183,Help,Yardim
WORD_GEMSTONE_186,Gemstone,Degerli Tas
WORD_PATTERN_188,Celestial,Takımyıldızlar
WORD_FUELS_190,Fuels,Yakitlar
WORD_ELECT_193,Elect,Secim
WORD_CROWN_194,Crown,Kraliyet Unvanları
WORD_LEADER_196,Leader,Başkanlar
WORD_HOT_DOG_201,Hot dog,Sosisli
WORD_CIPHER_208,Cipher,Sifre
WORD_SYMPHONY_210,Symphony,Senfoni
WORD_ARTWORKS_211,Artworks,Sanat Eserleri
WORD_AUCTION_215,Auction,Muzayede
WORD_BEANS_219,Beans,Kahve Çekirdekleri
WORD_CAMPING_221,Camping,Kamp
WORD_PLAY_223,Music,Muzik
WORD_FINANCE_227,Finance,Finans
WORD_MEDIEVAL_228,Medieval,Orta Cag
WORD_OPTICS_229,Optics,Optik
WORD_NAVIGATE_230,Navigate,Navigasyon
WORD_TODDLER_231,Toddler,Yurume Cagi
WORD_FAMILIES_234,Families,Hayvan Aileleri
WORD_STARS_236,Stars,Yildizlar
WORD_AI_238,AI,YZ
WORD_DIVISION_242,Division,İdari Bölgeler
WORD_SPEAK_244,Speak,Konusma
WORD_HAIR_245,Hair,Sac
WORD_INJURIES_249,Injuries,Yaralanmalar
WORD_FLU_251,Flu,Grip
WORD_MINERALS_253,Minerals,Mineraller
WORD_RADIATE_257,Radiate,Isinlama
WORD_HORMONES_259,Hormones,Hormonlar
WORD_EYE_260,Eye,Goz
WORD_SHOVEL_261,Shovel,Kurek
WORD_ALLOY_264,Alloy,Alasim
WORD_FESTIVAL_270,Festival,Festival
WORD_METAL_272,Metal,Metal
WORD_ARTIFACT_276,Artifact,Eser
WORD_DEFENSE_277,Defense,Savunma
WORD_PARTICLE_281,Particle,Parcacik
WORD_NEW_YORK_287,New York,New York
WORD_NO_BONES_289,No bones,Omurgasızlar
WORD_LEGENDS_291,Legends,Efsaneler
WORD_HELLO_295,Hello,Merhaba
WORD_PHD_296,PhD,Doktora
WORD_OK_SIGN_301,OK,Tamam
WORD_JUSTICE_310,Justice,Adalet
WORD_PRISONER_312,Prisoner,Mahkum
WORD_SPACE_314,Space,Uzay
WORD_WESTERN_317,Western,Bati
WORD_LOCK_321,Lock,Kilit
WORD_LEGS_322,Legs,Bacaklar
WORD_PYRAMIDS_330,Pyramids,Mısır Tanrıları
WORD_SHAFT_331,Shaft,Madencilik
WORD_FARMING_333,Farming,Ciftcilik
WORD_SLIDING_339,Sliding,Kayma
WORD_PAINTING_340,Painting,Resim
WORD_RICE_342,Rice,Pirinc
WORD_HEART_344,Love,Ask
WORD_HIPPIE_349,Hippie,Hippi
WORD_ROBOT_354,Robot,Robot
WORD_GREECE_359,Greece,Yunan Harfleri
WORD_DYNAMICS_360,Dynamics,Dinamikler
WORD_LAKES_365,Lakes,Goller
WORD_NUCLEAR_366,Nuclear,Nukleer
WORD_ITALY_376,Italy,Italya
WORD_POINTING_379,Pointing,İşaret Zamirleri
WORD_SKIN_380,Skin,Cilt
WORD_BUILD_384,Build,Binalar
WORD_POLICIES_394,Politics,Siyaset
WORD_STRENGTH_401,Strength,Guc
WORD_MESSAGE_407,Message,Mesaj
WORD_VIEWS_410,Views,Felsefe
WORD_ORGANS_412,Organs,Organlar
WORD_TAROT_417,Tarot,Tarot
WORD_VOICES_439,Voices,Sesler
WORD_POETRY_440,Poetry,Siir
WORD_MEALS_444,Meals,Yemekler
WORD_ALCHEMY_445,Alchemy,Simya
WORD_PAGANISM_469,Paganism,Paganizm
WORD_PRESENT_470,Present,Şimdi
WORD_SECRET_471,Secret,Gizli
WORD_EQUIDAE_475,Equidae,Atgiller
WORD_LEATHER_480,Leather,Deri
WORD_CASTLE_485,Castle,Kale
WORD_DISPLAY_486,Display,Ekran
WORD_CULTURES_487,Cultures,Kulturler
WORD_WARRIORS_491,Warriors,Savascilar
WORD_LIE_492,Lie,Yalan
WORD_VIOLIN_508,Orchestra,Orkestra
WORD_ANAGRAM_511,Anagram,Anagram
WORD_DRUM_518,Drum,Davul
WORD_WREATH_544,Winning,Zafer
WORD_ZEN_549,Zen,Zen
WORD_NETWORK_588,Network,Ag
WORD_CUSTOMS_592,Customs,Gümrük
WORD_MORTGAGE_595,Mortgage,Ipotek
WORD_CONCRETE_601,Concrete,Beton
WORD_MEMES_620,Memes,Capsler
WORD_ALKANES_641,Alkanes,Alkanlar
WORD_EVALUATE_651,Evaluate,Degerlendirme
WORD_QUEST_680,Quest,Macera
WORD_BEARDS_681,Beards,Sakallar
WORD_YINYANG_721,Yinyang,Yin Yang
WORD_FOODIE_726,Foodie,Gurme
WORD_OPERA_760,Opera,Opera
WORD_HARBOR_764,Harbor,Liman
WORD_STREET_768,Street,Sokak
WORD_CHIMERA_795,Chimera,Kimera
WORD_CARRIAGE_800,Carriage,Araba
WORD_GAITS_810,Gaits,Yurulusler
WORD_EARTH_831,Earth,Dünya Katmanları
WORD_VIOLINS_845,Violins,Kemanlar
WORD_GRAMMAR_861,Grammar,Dilbilgisi
WORD_COASTAL_882,Coastal,Kiyi
WORD_WHEEL_890,Wheel,Tekerlek
WORD_INDUSTRY_921,Industry,Sanayi
WORD_PREFIX_922,Prefix,On Ek
WORD_BREEDS_940,Breeds,Kedi Irkları
WORD_LANDMARK_948,Landmark,Simge Yapi
WORD_RIVERS_959,Rivers,Nehirler
WORD_COAST_969,Coast,Sahil
WORD_SKINCARE_984,Skincare,Cilt Bakimi
WORD_DYNASTY_991,Dynasty,Hanedan
WORD_PRIEST_1019,Priest,Rahip
WORD_MAPS_1022,Maps,Haritalar
WORD_SINGING_1054,Singing,Sarki
WORD_GENETICS_1060,Genetics,Genetik
WORD_SCREEN_1030,Screen,Ekran
WORD_ALARM_1031,Alarm,Alarm
WORD_LEAVES_1055,Leaves,Yapraklar
WORD_DISHWARE_829,Dishware,Tabak Takimi
WORD_POND_830,Pond,Golet
PIC_CHESS_1,Chess,Satranc
PIC_SPORTS_2,Sports,Sporlar
PIC_FURNITURE_3,Furniture,Mobilya
PIC_DECK_4,Deck,Deste
PIC_ZODIAC_5,Zodiac,Burclar
PIC_TOOLBOX_6,Toolbox,Alet Kutusu
PIC_GARMENTS_7,Garments,Giysiler
PIC_VEGGIE_8,Veggie,Sebze
PIC_FRUITS_9,Fruits,Meyveler
PIC_CHAIR_10,Chair,Sandalye
PIC_HATS_11,Hats,Sapkalar
PIC_PLAY_12,Music,Muzik
PIC_CLEANING_13,Cleaning,Temizlik
PIC_SHOES_14,Shoes,Ayakkabilar
PIC_MAP_15,Map,Ülkeler
PIC_BIRD_16,Bird,Kus
PIC_SEAFOOD_17,Seafood,Deniz Urunleri
PIC_DOGS_18,Dogs,Kopekler
PIC_EATS_19,Eats,Fast Food
PIC_BUILD_20,Build,Binalar
PIC_FOLKLORE_21,Folklore,Halk Bilimi
PIC_DRUPES_22,Drupes,Sert Cekirdekliler
PIC_PICNIC_23,Picnic,Piknik
PIC_PASTRY_24,Pastry,Hamur Isi
PIC_WIND_25,Wind,Üflemeli Çalgılar
PIC_MALL_26,Mall,Alisveris Merkezi
PIC_STRINGS_27,Strings,Teller
PIC_JEWELRY_28,Jewelry,Mucevher
PIC_FLOWERS_29,Flowers,Cicekler
PIC_REPTILES_30,Reptiles,Surungen
PIC_GEMSTONE_31,Gemstone,Degerli Tas
PIC_INSECTS_32,Insects,Bocekler
PIC_RODENTS_33,Rodents,Kemirgenler
PIC_WESTERN_34,Western,Bati
PIC_PIRATE_35,Pirate,Korsan
PIC_BEACH_36,Beach,Plaj
PIC_EGYPT_37,Egypt,Misir
PIC_SPACE_38,Space,Uzay
PIC_SEA_FISH_39,Sea fish,Deniz Baligi
PIC_BIRTHDAY_40,Birthday,Dogum Gunu
PIC_CHARGER_41,Charger,Sarj Aleti
PIC_TRANSPORT_42,Transport,Ulasim
PIC_WHISKERS_43,Whiskers,Biyiklar
PIC_BURGER_44,Burger,Burger
PIC_DRINKS_45,Drinks,Icecekler
PIC_SHAPES_46,Shapes,Sekiller
PIC_LUXURY_47,Luxury,Luks
PIC_TAROT_48,Tarot,Tarot
PIC_BABIES_49,Babies,Bebekler
PIC_SAILOR_50,Sailor,Denizci
PIC_CANDY_51,Candy,Seker
PIC_KEYS_52,Keys,Anahtarlar
PIC_LAWN_53,Lawn,Cim
PIC_3D_54,3D,3B
PIC_VAMPIRE_55,Vampire,Vampir
PIC_LANDMARK_56,Landmark,Simge Yapi
PIC_DESERT_57,Desert,Col
PIC_TOYS_58,Toys,Oyuncaklar
PIC_PURPLE_59,Purple,Mor
PIC_YELLOW_60,Yellow,Sari
PIC_RAIN_61,Rain,Yagmur
PIC_GYM_62,Gym,Spor Salonu
PIC_PAIRS_63,Pairs,Ciftler
PIC_CAMPING_64,Camping,Kamp
PIC_XMAS_65,Xmas,Noel
PIC_MAIL_66,Mail,Posta
PIC_CHEF_67,Chef,Asci
PIC_SCREEN_68,Screen,Ekran
PIC_TOOLS_69,Tools,Aletler
PIC_SUPPLIES_70,Supplies,Malzemeler
PIC_UTENSILS_71,Utensils,Mutfak Gerecleri
PIC_ARTS_72,Arts,Sanat
PIC_SURVIVAL_73,Survival,Hayatta Kalma
PIC_BAKING_74,Baking,Firincilik
PIC_MEDICAL_75,Medical,Tibbi
PIC_ECO_ITEMS_76,Eco-items,Eko Urunler
PIC_DECOR_77,Decor,Dekorasyon
PIC_AQUATICS_78,Water_Sports,Su Yasami
PIC_ICONS_79,Icons,Ikonlar
PIC_HALLOWEEN_80,Halloween,Cadilar Bayrami
