id,category_name_en,it-IT
WORD_LESSONS_94,Lessons,Lezioni
WORD_PILLS_99,Pills,Pillole
WORD_RAINY_100,Rainy,Piovoso
WORD_BREADS_102,Breads,Pani
WORD_BRAIN_106,Brain,Cervello
WORD_ELEMENTS_107,Elements,Elementi
WORD_CHEESE_108,Cheese,Formaggio
WORD_FITNESS_110,Fitness,Fitness
WORD_MUSCLES_112,Muscles,Muscoli
WORD_EGYPT_114,Egypt,Egitto
WORD_BERRY_116,Berry,Bacca
WORD_CAPITALS_119,Capitals,Capitali
WORD_MAKEUP_120,Makeup,Trucco
WORD_COMBAT_121,Combat,Combattimento
WORD_GUITAR_122,Guitar,Chitarra
WORD_BALLET_125,Ballet,Balletto
WORD_UNITE_126,Unite,Unire
WORD_LUXURY_133,Luxury,Lusso
WORD_BIOMES_135,Biomes,Biomi
WORD_SPICY_136,Spicy,Piccante
WORD_PLANE_139,Plane,Aereo
WORD_RODENTS_141,Rodents,Roditori
WORD_ENERGY_145,Energy,Energia
WORD_ARTICLES_147,Articles,Articoli
WORD_DISASTER_148,Disaster,Disastro
WORD_PRIMATES_149,Primates,Primati
WORD_CODING_150,Coding,Programmazione
WORD_RAP_151,Rap,Rap
WORD_WATER_152,Waterfall,Cascata
WORD_TOYS_154,Toys,Giocattoli
WORD_ARMY_156,Army,Esercito
WORD_MEDITATE_160,Meditate,Meditare
WORD_FAME_161,Fame,Fama
WORD_LINGUIST_162,Linguist,Linguista
WORD_HOLIDAY_163,Holiday,Festività
WORD_GYM_164,Gym,Palestra
WORD_WILLIAM_165,William,Shakespeare
WORD_CANINES_168,Canines,Canidi
WORD_STUDIES_169,Studies,Università
WORD_CITRUS_173,Citrus,Agrumi
WORD_AIRCRAFT_174,Aircraft,Aeromobile
WORD_GRAPE_177,Grape,Uva
WORD_MUSHROOM_178,Mushroom,Fungo
WORD_ARCTIC_180,Arctic,Artico
WORD_RACING_182,Racing,Corsa
WORD_HELP_183,Help,Aiuto
WORD_GEMSTONE_186,Gemstone,Gemma
WORD_PATTERN_188,Celestial,Celeste
WORD_FUELS_190,Fuels,Carburanti
WORD_ELECT_193,Elect,Eleggere
WORD_CROWN_194,Crown,Titoli reali
WORD_LEADER_196,Leader,Presidenti
WORD_HOT_DOG_201,Hot dog,Hot dog
WORD_CIPHER_208,Cipher,Cifrario
WORD_SYMPHONY_210,Symphony,Sinfonia
WORD_ARTWORKS_211,Artworks,Opere d'arte
WORD_AUCTION_215,Auction,Asta
WORD_BEANS_219,Beans,Chicchi di caffè
WORD_CAMPING_221,Camping,Campeggio
WORD_PLAY_223,Music,Musica
WORD_FINANCE_227,Finance,Finanza
WORD_MEDIEVAL_228,Medieval,Medievale
WORD_OPTICS_229,Optics,Ottica
WORD_NAVIGATE_230,Navigate,Navigare
WORD_TODDLER_231,Toddler,Bambino piccolo
WORD_FAMILIES_234,Families,Famiglie di animali
WORD_STARS_236,Stars,Stelle
WORD_AI_238,AI,IA
WORD_DIVISION_242,Division,Divisione
WORD_SPEAK_244,Speak,Parlare
WORD_HAIR_245,Hair,Capelli
WORD_INJURIES_249,Injuries,Lesioni
WORD_FLU_251,Flu,Influenza
WORD_MINERALS_253,Minerals,Minerali
WORD_RADIATE_257,Radiate,Irradiare
WORD_HORMONES_259,Hormones,Ormoni
WORD_EYE_260,Eye,Occhio
WORD_SHOVEL_261,Shovel,Pala
WORD_ALLOY_264,Alloy,Lega
WORD_FESTIVAL_270,Festival,Festival
WORD_METAL_272,Metal,Metallo
WORD_ARTIFACT_276,Artifact,Artefatto
WORD_DEFENSE_277,Defense,Difesa
WORD_PARTICLE_281,Particle,Particella
WORD_NEW_YORK_287,New York,New York
WORD_NO_BONES_289,No bones,Senza ossa
WORD_LEGENDS_291,Legends,Leggende
WORD_HELLO_295,Hello,Ciao
WORD_PHD_296,PhD,Dottorato
WORD_OK_SIGN_301,OK,Accordo
WORD_JUSTICE_310,Justice,Giustizia
WORD_PRISONER_312,Prisoner,Prigioniero
WORD_SPACE_314,Space,Spazio
WORD_WESTERN_317,Western,Western
WORD_LOCK_321,Lock,Serratura
WORD_LEGS_322,Legs,Gambe
WORD_PYRAMIDS_330,Pyramids,Dei egizi
WORD_SHAFT_331,Shaft,Miniera
WORD_FARMING_333,Farming,Agricoltura
WORD_SLIDING_339,Sliding,Scivolante
WORD_PAINTING_340,Painting,Pittura
WORD_RICE_342,Rice,Riso
WORD_HEART_344,Love,Amore
WORD_HIPPIE_349,Hippie,Hippie
WORD_ROBOT_354,Robot,Robot
WORD_GREECE_359,Greece,Grecia
WORD_DYNAMICS_360,Dynamics,Dinamica
WORD_LAKES_365,Lakes,Laghi
WORD_NUCLEAR_366,Nuclear,Nucleare
WORD_ITALY_376,Italy,Italia
WORD_POINTING_379,Pointing,Dimostrativi
WORD_SKIN_380,Skin,Pelle
WORD_BUILD_384,Build,Costruzione
WORD_POLICIES_394,Politics,Politica
WORD_STRENGTH_401,Strength,Forza
WORD_MESSAGE_407,Message,Messaggio
WORD_VIEWS_410,Views,Filosofia
WORD_ORGANS_412,Organs,Organi
WORD_TAROT_417,Tarot,Tarocchi
WORD_VOICES_439,Voices,Voci
WORD_POETRY_440,Poetry,Poesia
WORD_MEALS_444,Meals,Pasti
WORD_ALCHEMY_445,Alchemy,Alchimia
WORD_PAGANISM_469,Paganism,Paganesimo
WORD_PRESENT_470,Present,Presente
WORD_SECRET_471,Secret,Segreto
WORD_EQUIDAE_475,Equidae,Equidi
WORD_LEATHER_480,Leather,Cuoio
WORD_CASTLE_485,Castle,Castello
WORD_DISPLAY_486,Display,Schermo
WORD_CULTURES_487,Cultures,Culture
WORD_WARRIORS_491,Warriors,Guerrieri
WORD_LIE_492,Lie,Bugia
WORD_VIOLIN_508,Orchestra,Orchestra
WORD_ANAGRAM_511,Anagram,Anagramma
WORD_DRUM_518,Drum,Tamburo
WORD_WREATH_544,Winning,Vittoria
WORD_ZEN_549,Zen,Zen
WORD_NETWORK_588,Network,Rete
WORD_CUSTOMS_592,Customs,Dogana
WORD_MORTGAGE_595,Mortgage,Mutuo
WORD_CONCRETE_601,Concrete,Calcestruzzo
WORD_MEMES_620,Memes,Meme
WORD_ALKANES_641,Alkanes,Alcani
WORD_EVALUATE_651,Evaluate,Valutare
WORD_QUEST_680,Quest,Avventura
WORD_BEARDS_681,Beards,Barbe
WORD_YINYANG_721,Yinyang,Yin-yang
WORD_FOODIE_726,Foodie,Buongustaio
WORD_OPERA_760,Opera,Opera
WORD_HARBOR_764,Harbor,Porto
WORD_STREET_768,Street,Strada
WORD_CHIMERA_795,Chimera,Chimera
WORD_CARRIAGE_800,Carriage,Carrozza
WORD_GAITS_810,Gaits,Andature
WORD_EARTH_831,Earth,Terra
WORD_VIOLINS_845,Violins,Violini
WORD_GRAMMAR_861,Grammar,Grammatica
WORD_COASTAL_882,Coastal,Costiero
WORD_WHEEL_890,Wheel,Ruota
WORD_INDUSTRY_921,Industry,Industria
WORD_PREFIX_922,Prefix,Prefisso
WORD_BREEDS_940,Breeds,Razze di gatti
WORD_LANDMARK_948,Landmark,Monumento
WORD_RIVERS_959,Rivers,Fiumi
WORD_COAST_969,Coast,Costa
WORD_SKINCARE_984,Skincare,Cura della pelle
WORD_DYNASTY_991,Dynasty,Dinastia
WORD_PRIEST_1019,Priest,Sacerdote
WORD_MAPS_1022,Maps,Mappe
WORD_SINGING_1054,Singing,Canto
WORD_GENETICS_1060,Genetics,Genetica
WORD_SCREEN_1030,Screen,Schermo
WORD_ALARM_1031,Alarm,Allarme
WORD_LEAVES_1055,Leaves,Foglie
WORD_DISHWARE_829,Dishware,Stoviglie
WORD_POND_830,Pond,Stagno
PIC_CHESS_1,Chess,Scacchi
PIC_SPORTS_2,Sports,Sport
PIC_FURNITURE_3,Furniture,Mobili
PIC_DECK_4,Deck,Mazzo
PIC_ZODIAC_5,Zodiac,Zodiaco
PIC_TOOLBOX_6,Toolbox,Cassetta degli attrezzi
PIC_GARMENTS_7,Garments,Indumenti
PIC_VEGGIE_8,Veggie,Verdura
PIC_FRUITS_9,Fruits,Frutta
PIC_CHAIR_10,Chair,Sedia
PIC_HATS_11,Hats,Cappelli
PIC_PLAY_12,Music,Musica
PIC_CLEANING_13,Cleaning,Pulizia
PIC_SHOES_14,Shoes,Scarpe
PIC_MAP_15,Map,Paesi
PIC_BIRD_16,Bird,Uccello
PIC_SEAFOOD_17,Seafood,Frutti di mare
PIC_DOGS_18,Dogs,Cani
PIC_EATS_19,Eats,Fast food
PIC_BUILD_20,Build,Costruzione
PIC_FOLKLORE_21,Folklore,Folclore
PIC_DRUPES_22,Drupes,Drupe
PIC_PICNIC_23,Picnic,Picnic
PIC_PASTRY_24,Pastry,Pasticceria
PIC_WIND_25,Wind,Strumenti a fiato
PIC_MALL_26,Mall,Centro commerciale
PIC_STRINGS_27,Strings,Corde
PIC_JEWELRY_28,Jewelry,Gioielli
PIC_FLOWERS_29,Flowers,Fiori
PIC_REPTILES_30,Reptiles,Rettili
PIC_GEMSTONE_31,Gemstone,Gemma
PIC_INSECTS_32,Insects,Insetti
PIC_RODENTS_33,Rodents,Roditori
PIC_WESTERN_34,Western,Western
PIC_PIRATE_35,Pirate,Pirata
PIC_BEACH_36,Beach,Spiaggia
PIC_EGYPT_37,Egypt,Egitto
PIC_SPACE_38,Space,Spazio
PIC_SEA_FISH_39,Sea fish,Pesce di mare
PIC_BIRTHDAY_40,Birthday,Compleanno
PIC_CHARGER_41,Charger,Caricatore
PIC_TRANSPORT_42,Transport,Trasporto
PIC_WHISKERS_43,Whiskers,Baffi
PIC_BURGER_44,Burger,Burger
PIC_DRINKS_45,Drinks,Bevande
PIC_SHAPES_46,Shapes,Forme
PIC_LUXURY_47,Luxury,Lusso
PIC_TAROT_48,Tarot,Tarocchi
PIC_BABIES_49,Babies,Neonati
PIC_SAILOR_50,Sailor,Marinaio
PIC_CANDY_51,Candy,Caramella
PIC_KEYS_52,Keys,Chiavi
PIC_LAWN_53,Lawn,Prato
PIC_3D_54,3D,3D
PIC_VAMPIRE_55,Vampire,Vampiro
PIC_LANDMARK_56,Landmark,Monumento
PIC_DESERT_57,Desert,Deserto
PIC_TOYS_58,Toys,Giocattoli
PIC_PURPLE_59,Purple,Viola
PIC_YELLOW_60,Yellow,Giallo
PIC_RAIN_61,Rain,Pioggia
PIC_GYM_62,Gym,Palestra
PIC_PAIRS_63,Pairs,Coppie
PIC_CAMPING_64,Camping,Campeggio
PIC_XMAS_65,Xmas,Natale
PIC_MAIL_66,Mail,Posta
PIC_CHEF_67,Chef,Chef
PIC_SCREEN_68,Screen,Schermo
PIC_TOOLS_69,Tools,Strumenti
PIC_SUPPLIES_70,Supplies,Forniture
PIC_UTENSILS_71,Utensils,Utensili
PIC_ARTS_72,Arts,Arti
PIC_SURVIVAL_73,Survival,Sopravvivenza
PIC_BAKING_74,Baking,Panificazione
PIC_MEDICAL_75,Medical,Medico
PIC_ECO_ITEMS_76,Eco-items,Eco-articoli
PIC_DECOR_77,Decor,Decorazione
PIC_AQUATICS_78,Water_Sports,Acquatico
PIC_ICONS_79,Icons,Icone
PIC_HALLOWEEN_80,Halloween,Halloween
