name,zh
Gadget,小工具
Galaxy,星系
Gallery,画廊
Games,游戏
Garage,车库
Garden,花园
Gas mask,防毒面具
Gases,气体
Gems,宝石
Genie,精灵
Genome,基因组
Genres,音乐风格
Geo,地理
Geology,地质学
Geometry,几何
Gestures,手势
Ghost,鬼魂
Gift,礼物
Glasses,眼镜
Globe,地球仪
Glow,发光
Gods,众神
Gold,黄金
Golf,高尔夫
Gossip,八卦
Grains,谷物
Grass,草地
Greeting,问候
Grocery,杂货
Group,群组
Groups,群组
Grow,成长
Guide,指南
Gun,枪
Habitats,栖息地
Hairs,头发
Hammock,吊床
Hand,手
Hard hat,安全帽
Has red,含红色
Head,头部
Headwear,头饰
Health,健康
Heart,心
Heavy,重型
Heels,高跟鞋
Heraldry,纹章学
Herbs,草药
Hidden,隐藏
Hobbies,爱好
Hobby,爱好
Homes,家
Honor,荣誉
Hoof,蹄
Hoofed,有蹄类
Horror,恐怖
Horse,马
Hospital,医院
Hot,热辣
Hotel,酒店
Housing,住宅
Hunting,狩猎
Hut,小屋
Hygiene,卫生
Illusion,幻觉
Impact,冲击
India,印度
Indoor,室内
Infant,婴儿
Internet,互联网
Inventor,发明家
Islam,伊斯兰
Japan,日本
Jazz,爵士乐
Jeans,牛仔裤
Joints,关节
Joy,快乐
Judge,法官
July,七月
Jungle,丛林
Jupiter,木星
Kettle,水壶
Keyboard,键盘
King,国王
Kingdom,王国
Kitchen,厨房
Lab coat,白大褂
Ladder,梯子
Lamp,灯
Lamps,灯具
Landform,地形
Laptop,笔记本
Laugh,笑
Laughter,笑声
Laundry,洗衣
Law,法律
Legume,豆类
Legumes,豆类
Leisure,休闲
Lemon,柠檬
Length,长度
Letter,信
Letters,字母
Liberty,自由
Library,图书馆
Light,灯光
Lighting,照明
Like,喜欢
Lines,线条
Lion,狮子
Lips,嘴唇
Lipstick,口红
Listen,聆听
Lists,清单
Loader,装载机
Lollipop,棒棒糖
Lottery,彩票
Luck,运气
Lungs,肺
Madman,疯子
Maestro,大师
Magazine,杂志
Magic,魔法
Magician,魔术师
Mammoth,猛犸象
Manager,经理
Marathon,马拉松
Maritime,海事
Market,市场
Markets,市场
Marks,标记
Mars,火星
Mascots,吉祥物
Masonry,石工
Match,比赛
Maths,数学
Meadow,草地
Measure,测量
Meat,肉类
Mechanic,机械师
Medals,奖牌
Medicine,医学
Melt,融化
Memory,记忆
Mermaid,美人鱼
Meteo,气象
Metro,地铁
Milk,牛奶
Mint,薄荷
Mirror,镜子
Mission,任务
Mistakes,错误
Molluscs,软体动物
Monarch,君主
Money,金钱
Monsters,怪物
Months,月份
Moon,月亮
Mop,拖把
Morning,早晨
Mosaic,马赛克
Motel,汽车旅馆
Motor,马达
Mountain,山
Mouse,老鼠
Mouth,嘴巴
Movie,电影
Moving,搬家
Mummy,木乃伊
Museum,博物馆
Musician,音乐家
Mute,静音
Mystery,谜
Myths,神话
Nailcare,美甲
Name,名字
Names,名字
Neck,脖子
Neckline,领口
Neckwear,领饰
Needle,针
Needles,针
Net,网
New,新
News,新闻
Nickname,昵称
Night,夜晚
Nobel,诺贝尔
Noises,噪音
Nomads,游牧民
Noodle,面条
Nose,鼻子
Novel,小说
Numbers,数字
Nutrient,营养素
Nuts,坚果
OK sign,OK手势
Oasis,绿洲
Oceans,海洋
Octopus,章鱼
Odors,气味
Office,办公室
Oil,石油
Old man,老人
Olives,橄榄
Olympus,奥林匹斯
Omnivore,杂食动物
Onion,洋葱
Operas,歌剧
Orange,橙色
Orators,演说家
Organ,器官
Oscar,奥斯卡
Outlaws,亡命徒
Oyster,牡蛎
Packing,打包
Pain,疼痛
Palette,调色板
Palm,棕榈
Pancakes,煎饼
Panda,熊猫
Pants,裤子
Paper,纸
Parade,游行
Park,公园
Parrots,鹦鹉
Part of,部分
Party,派对
Passport,护照
Password,密码
Pasta,意面
Pattern,图案
Pause,暂停
Pay,支付
Pedagogy,教育学
Pencil,铅笔
Penguins,企鹅
Perfume,香水
Person,人
Phone,手机
Phones,电话
Physical,体育
Physics,物理
Pig,猪
Pigment,色素
Pizza,披萨
Place,地方
Plant,植物
Plants,植物
Plastic,塑料
Play,玩耍
Playlist,播放列表
Plumbing,水管
Poker,扑克
Police,警察
Policies,政策
Polygon,多边形
Polygons,多边形
Pop star,流行歌星
Ports,端口
Position,位置
Positive,积极
Poultry,家禽
Price,价格
Prickly,多刺
Prism,棱镜
Problem,问题
Property,房产
Protects,防护
Protest,抗议
Psycho,心理
Pulse,脉搏
Pumpkins,南瓜
Question,问题
Rabbit,兔子
Radio,收音机
Rainbow,彩虹
Rat,老鼠
Razor,剃刀
Read,阅读
Reading,阅读
Rebirth,重生
Recipe,食谱
Records,唱片
Reflexes,反射
Refuge,避难所
Reject,拒绝
Relation,关系
Relax,放松
Religion,宗教
Repair,修理
Resort,度假村
Rhyme,韵律
Rich,富有
Roads,道路
Roadwork,道路施工
Robotics,机器人学
Rocket,火箭
Rocks,岩石
Roller,滚轮
Romance,浪漫
Rooms,房间
Roots,根
Rope,绳索
Round,圆形
Ruminant,反刍动物
Rune,符文
SOS,求救
Salad,沙拉
Salami,腊肠
Salt,盐
Sand,沙
Sandwich,三明治
Santa,圣诞老人
Sauces,酱料
Scales,天平
Scent,香味
School,学校
Schools,学校
Sci-Fi,科幻
Science,科学
Scissors,剪刀
Scorpion,蝎子
Sea life,海洋生物
Search,搜索
Seas,海
Seatbelt,安全带
Seats,座位
Senses,感官
Sentence,句子
Series,系列
Sewing,缝纫
Shades,色调
Shadows,阴影
Shape,形状
Shark,鲨鱼
Sharp,锐利
Ships,轮船
Shoe,鞋
Shop,商店
Shopping,购物
Shuffle,洗牌
Sign,标志
Signpost,路标
Silver,银色
Singer,歌手
Siren,警报
Sizes,尺码
Skiing,滑雪
Sky,天空
Skydiver,跳伞
Slang,俚语
Sleep,睡眠
Sleuth,侦探
Slow,缓慢
Small,小型
Smell,嗅觉
Smile,微笑
Snake,蛇
Snowfall,降雪
Soap,肥皂
Soccer,足球
Socmed,社交媒体
Soil,土壤
Solar,太阳
Song,歌曲
Sound,声音
Sounds,声响
Soup,汤
Soups,汤类
Sour,酸
Spa,水疗
Speech,演讲
Spells,咒语
Spice,香料
Spices,香料
Spider,蜘蛛
Spring,春天
Spy,间谍
Spy gear,间谍装备
Squashes,南瓜类
States,州
Status,状态
Sticky,粘性
Stinky,臭的
Stone,石头
Stores,商店
Straight,直线
Stripes,条纹
Student,学生
Studio,工作室
Subway,地铁
Suit,西装
Summer,夏天
Support,支持
Surf,冲浪
Surfing,冲浪
Survey,调查
Sushi,寿司
Sweet,甜食
Swim,游泳
Swords,剑
Syrup,糖浆
Tablet,平板
Tailor,裁缝
Targets,目标
Taste,味觉
Tattoo,纹身
Tattoos,纹身
Taxonomy,分类学
Tea,茶
Teaching,教学
Teasers,谜题
Tech,科技
Teeth,牙齿
Temples,寺庙
Tennis,网球
Tent,帐篷
Textile,纺织
Texture,质地
Theater,剧院
Think,思考
Thinkers,思想家
Thriller,惊悚
Thunder,雷声
Ticket,票
Time,时间
Timer,计时器
Tiny,微小
Tipi,帐篷
Tired,疲惫
Titles,头衔
Tomatoes,番茄
Toppings,配料
Totem,图腾
Touch,触觉
Tower,塔
Toy,玩具
Toy box,玩具箱
Traffic,交通
Train,火车
Traits,特征
Travel,旅行
Treats,零食
Tree,树
Trees,树木
Tribe,部落
Tribes,部落
Trip,旅途
Tropics,热带
Turtles,海龟
Tutor,家教
Tuxedo,燕尾服
UI,界面
US State,美国州
Umbrella,雨伞
Unicorn,独角兽
Vacation,假期
Vase,花瓶
Vehicle,车辆
Vehicles,车辆
Vikings,维京人
Village,村庄
Villain,反派
Vintage,复古
Violin,小提琴
Virology,病毒学
Virtues,美德
Virus,病毒
Vision,视觉
Volcano,火山
Waiter,服务员
Wake up,起床
Wallet,钱包
Want,想要
Wardrobe,衣柜
Warning,警告
Warrior,战士
Water,水
Wave,波浪
We hear,我们听到
We pay,我们支付
Wear,穿着
Weather,天气
Wedding,婚礼
Week,周
Weekend,周末
Welder,焊工
Wet,潮湿
Whale,鲸鱼
Where,哪里
Whistle,口哨
White,白色
Winds,风
Wine,葡萄酒
Wings,翅膀
Winter,冬天
Wit,智慧
Witch,女巫
Wolf,狼
Woman,女人
Wood,木头
Wooden,木制品
Woodwork,木工
Words,词语
Work,工作
Worker,工人
Worms,蠕虫
Worship,崇拜
Wreath,花环
Write,写作
Writer,作家
Writing,书写
X-sports,极限运动
X-word,填字游戏
Yard,院子
Yawn,哈欠
Yoga,瑜伽
Zebra,斑马
Zombies,僵尸
Zoology,动物学
