ID	类别序号	单词序号	类别-中文	类别-英文	单词-中文	单词-英文
95_3	95	3	导航	Navigate	指南针	Compass
96_1	96	1	鹦鹉	Parrots	金刚鹦鹉	Macaw
96_2	96	2	鹦鹉	Parrots	凤头鹦鹉	Cockatoo
96_3	96	3	鹦鹉	Parrots	虎皮鹦鹉	Budgie
96_4	96	4	鹦鹉	Parrots	折衷鹦鹉	Eclectus
96_5	96	5	鹦鹉	Parrots	长尾鹦鹉	Parakeet
96_6	96	6	鹦鹉	Parrots	吸蜜鹦鹉	Lorikeet
97_1	97	1	头发	Hair	波浪发	Wavy
97_2	97	2	头发	Hair	卷发	Curly
97_3	97	3	头发	Hair	螺旋卷发	Coily
98_1	98	1	座位	Seats	长凳	Bench
99_1	99	1	日本	Japan	麻糬	Mochi
99_2	99	2	日本	Japan	味噌	Miso
99_3	99	3	日本	Japan	饺子	Gyoza
99_4	99	4	日本	Japan	花道	Ikebana
99_5	99	5	日本	Japan	拉面	Ramen
99_6	99	6	日本	Japan	天妇罗	Tempura
99_7	99	7	日本	Japan	和服	Kimono
99_8	99	8	日本	Japan	折纸	Origami
100_1	100	1	声音	Sound	喵喵声	Meow
100_2	100	2	声音	Sound	尖叫声	Squeal
100_3	100	3	声音	Sound	乌鸦叫声	Caw
100_4	100	4	声音	Sound	羊叫声	Bleat
100_5	100	5	声音	Sound	鸭叫声	Quack
100_6	100	6	声音	Sound	蛙鸣声	Croak
100_7	100	7	声音	Sound	嚎叫声	Howl
100_8	100	8	声音	Sound	狗叫声	Bark
101_1	101	1	草药	Herbs	百里香	Thyme
101_2	101	2	草药	Herbs	迷迭香	Rosemary
101_3	101	3	草药	Herbs	细香葱	Chives
101_4	101	4	草药	Herbs	莳萝	Dill
101_5	101	5	草药	Herbs	欧芹	Parsley
101_6	101	6	草药	Herbs	鼠尾草	Sage
102_1	102	1	蹄	Hoof	旋角羚	Addax
102_2	102	2	蹄	Hoof	长颈鹿	Giraffe
102_3	102	3	蹄	Hoof	斑马	Zebra
102_4	102	4	蹄	Hoof	羊驼	Alpaca
102_5	102	5	蹄	Hoof	羚羊	Antelope
102_6	102	6	蹄	Hoof	驼鹿	Moose
102_7	102	7	蹄	Hoof	霍加狓	Okapi
102_8	102	8	蹄	Hoof	野牛	Bison
103_1	103	1	剑	Swords	武士刀	Katana
103_2	103	2	剑	Swords	轻剑	Rapier
103_3	103	3	剑	Swords	弯刀	Scimitar
103_4	103	4	剑	Swords	法尔卡塔剑	Falcata
103_5	103	5	剑	Swords	军刀	Saber
103_6	103	6	剑	Swords	大剑	Claymore
103_7	103	7	剑	Swords	斩剑	Falchion
104_1	104	1	无骨动物	No bones	藤壶	Barnacle
104_2	104	2	无骨动物	No bones	蜘蛛	Spider
104_3	104	3	无骨动物	No bones	海星	Starfish
104_4	104	4	无骨动物	No bones	蠕虫	Worm
105_1	105	1	花束	Bouquet	叶子	Foliage
105_2	105	2	花束	Bouquet	花	Flower
105_3	105	3	花束	Bouquet	包装纸	Wrapper
105_4	105	4	花束	Bouquet	胸花	Corsage
105_5	105	5	花束	Bouquet	填充花	Filler
105_6	105	6	花束	Bouquet	花商	Florist
105_7	105	7	花束	Bouquet	丝带	Ribbon
105_8	105	8	花束	Bouquet	花瓣	Petal
106_1	106	1	浇头	Toppings	蜂蜜	Honey
106_2	106	2	浇头	Toppings	焦糖	Caramel
106_3	106	3	浇头	Toppings	果冻	Jelly
106_4	106	4	浇头	Toppings	糖浆	Syrup
107_1	107	1	键盘	Keyboard	控制键	Control
107_2	107	2	键盘	Keyboard	切换键	Shift
107_3	107	3	键盘	Keyboard	替换键	Alt
107_4	107	4	键盘	Keyboard	删除键	Delete
107_5	107	5	键盘	Keyboard	空格键	Spacebar
107_6	107	6	键盘	Keyboard	回车键	Enter
107_7	107	7	键盘	Keyboard	退出键	Escape
107_8	107	8	键盘	Keyboard	制表键	Tab
108_1	108	1	公园	Park	植物	Plant
108_2	108	2	公园	Park	树	Tree
108_3	108	3	公园	Park	喷泉	Fountain
108_4	108	4	公园	Park	小径	Pathway
109_1	109	1	岩石	Rocks	巨石	Boulder
109_2	109	2	岩石	Rocks	鹅卵石	Pebble
109_3	109	3	岩石	Rocks	碎石	Gravel
110_1	110	1	马	Horse	驴	Donkey
110_2	110	2	马	Horse	骡子	Mule
111_1	111	1	多边形	Polygons	六边形	Hexagon
111_2	111	2	多边形	Polygons	七边形	Heptagon
111_3	111	3	多边形	Polygons	五边形	Pentagon
111_4	111	4	多边形	Polygons	十边形	Decagon
111_5	111	5	多边形	Polygons	三角形	Triangle
112_1	112	1	硬币	Coins	便士	Penny
112_2	112	2	硬币	Coins	一角硬币	Dime
112_3	112	3	硬币	Coins	五分镍币	Nickel
112_4	112	4	硬币	Coins	分币	Cent
113_1	113	1	警察	Police	徽章	Badge
113_2	113	2	警察	Police	制服	Uniform
113_3	113	3	警察	Police	逮捕	Arrest
113_4	113	4	警察	Police	警官	Officer
113_5	113	5	警察	Police	手铐	Handcuff
113_6	113	6	警察	Police	警棍	Baton
114_1	114	1	灯	Lamp	灯泡	Bulb
114_2	114	2	灯	Lamp	插头	Plug
114_3	114	3	灯	Lamp	开关	Switch
114_4	114	4	灯	Lamp	电线	Cord
115_1	115	1	猪	Pig	猪	Hog
115_2	115	2	猪	Pig	母猪	Sow
115_3	115	3	猪	Pig	小猪	let
116_1	116	1	发型	Hairs	波波头	Bob
116_2	116	2	发型	Hairs	底层剪短	Undercut
116_3	116	3	发型	Hairs	莫霍克头	Mohawk
116_4	116	4	发型	Hairs	渐变式	Fade
116_5	116	5	发型	Hairs	鲻鱼头	Mullet
116_6	116	6	发型	Hairs	爆炸头	Afro
117_1	117	1	肉	Meat	培根	Bacon
117_2	117	2	肉	Meat	西班牙辣香肠	Chorizo
117_3	117	3	肉	Meat	肉排	Chops
118_1	118	1	水壶	Kettle	盖子	Lid
118_2	118	2	水壶	Kettle	壶嘴	Spout
118_3	118	3	水壶	Kettle	手柄	Handle
119_1	119	1	零食	Treats	纸杯蛋糕	Cupcake
119_2	119	2	零食	Treats	西班牙油条	Churro
120_1	120	1	慢	Slow	树懒	Sloth
120_2	120	2	慢	Slow	蜗牛	Snail
121_1	121	1	意大利面	Pasta	意大利馄饨	Ravioli
121_2	121	2	意大利面	Pasta	通心粉	Macaroni
121_3	121	3	意大利面	Pasta	波纹通心粉	Rigatoni
121_4	121	4	意大利面	Pasta	斜管面	Penne
122_1	122	1	紧固件	Fastener	螺栓	Bolt
122_2	122	2	紧固件	Fastener	钉子	Nail
122_3	122	3	紧固件	Fastener	螺丝	Screw
122_4	122	4	紧固件	Fastener	铆钉	Rivet
123_1	123	1	头部	Head	头发	Hair
123_2	123	2	头部	Head	头骨	Skull
123_3	123	3	头部	Head	大脑	Brain
123_4	123	4	头部	Head	脸	Face
124_1	124	1	马科	Equidae	野马	Mustang
124_2	124	2	马科	Equidae	小马	Pony
125_1	125	1	油	Oil	棕榈油	Palm
125_2	125	2	油	Oil	椰子油	Coconut
126_1	126	1	大型猫科动物	Big cats	豹	Leopard
126_2	126	2	大型猫科动物	Big cats	猎豹	Cheetah
126_3	126	3	大型猫科动物	Big cats	美洲豹	Jaguar
126_4	126	4	大型猫科动物	Big cats	美洲狮	Puma
126_5	126	5	大型猫科动物	Big cats	狮子	Lion
126_6	126	6	大型猫科动物	Big cats	老虎	Tiger
126_7	126	7	大型猫科动物	Big cats	美洲狮	Cougar
126_8	126	8	大型猫科动物	Big cats	山猫	Bobcat
127_1	127	1	合奏	Ensemble	六重奏	Sextet
127_2	127	2	合奏	Ensemble	四重奏	Quartet
127_3	127	3	合奏	Ensemble	三重奏	Trio
127_4	127	4	合奏	Ensemble	二重奏	Duet
127_5	127	5	合奏	Ensemble	五重奏	Quintet
127_6	127	6	合奏	Ensemble	合唱团	Choir
127_7	127	7	合奏	Ensemble	七重奏	Septet
127_8	127	8	合奏	Ensemble	八重奏	Octet
128_1	128	1	蛋	Egg	鸡蛋	Chicken
128_2	128	2	蛋	Egg	鸭蛋	Duck
128_3	128	3	蛋	Egg	鹌鹑蛋	Quail
128_4	128	4	蛋	Egg	鹅蛋	Goose
128_5	128	5	蛋	Egg	火鸡蛋	Turkey
128_6	128	6	蛋	Egg	鸵鸟蛋	Ostrich
128_7	128	7	蛋	Egg	企鹅蛋	Penguin
129_1	129	1	钱	Money	美元	Dollar
129_2	129	2	钱	Money	日元	Yen
129_3	129	3	钱	Money	法郎	Franc
129_4	129	4	钱	Money	欧元	Euro
129_5	129	5	钱	Money	比索	Peso
129_6	129	6	钱	Money	元	Yuan
129_7	129	7	钱	Money	卢比	Rupee
129_8	129	8	钱	Money	里拉	Lira
130_1	130	1	书写	Writing	粉笔	Chalk
130_2	130	2	书写	Writing	墨水	Ink
130_3	130	3	书写	Writing	手写笔	Stylus
131_1	131	1	奖项	Awards	奥斯卡	Oscar
131_2	131	2	奖项	Awards	艾美奖	Emmy
131_3	131	3	奖项	Awards	托尼奖	Tony
131_4	131	4	奖项	Awards	格莱美奖	Grammy
132_1	132	1	体液	Fluids	唾液	Saliva
132_2	132	2	体液	Fluids	汗水	Sweat
132_3	132	3	体液	Fluids	血液	Blood
133_1	133	1	昆虫	Bugs	甲虫	Beetle
133_2	133	2	昆虫	Bugs	白蚁	Termite
134_1	134	1	机械师	Mechanic	扳手	Spanner
134_2	134	2	机械师	Mechanic	棘轮扳手	Ratchet
134_3	134	3	机械师	Mechanic	车间	Workshop
134_4	134	4	机械师	Mechanic	千斤顶	Jack
135_1	135	1	圣诞老人	Santa	礼物	Gifts
135_2	135	2	圣诞老人	Santa	雪橇	Sleigh
135_3	135	3	圣诞老人	Santa	烟囱	Chimney
135_4	135	4	圣诞老人	Santa	精灵	Elves
135_5	135	5	圣诞老人	Santa	克劳斯	Claus
135_6	135	6	圣诞老人	Santa	长袜	Stocking
135_7	135	7	圣诞老人	Santa	胡子	Beard
136_1	136	1	甲虫	Beetles	圣甲虫	Scarab
136_2	136	2	甲虫	Beetles	象鼻虫	Weevil
136_3	136	3	甲虫	Beetles	犀牛甲虫	Rhino beetle
136_4	136	4	甲虫	Beetles	织布甲虫	Weaver
137_1	137	1	住房	Housing	平房	Bungalow
137_2	137	2	住房	Housing	复式公寓	Duplex
137_3	137	3	住房	Housing	豪宅	Mansion
138_1	138	1	乌龟	Turtles	莱昂纳多	Leonardo
138_2	138	2	乌龟	Turtles	唐尼	Donnie
138_3	138	3	乌龟	Turtles	拉斐尔	Raph
138_4	138	4	乌龟	Turtles	米开朗基罗	Mikey
139_1	139	1	胡须	Beards	山羊胡	Goatee
139_2	139	2	胡须	Beards	巴尔博胡	Balbo
139_3	139	3	胡须	Beards	鸭尾胡	Ducktail
140_1	140	1	洗衣	Laundry	连帽衫	Hoodie
140_2	140	2	洗衣	Laundry	女式衬衫	Blouse
140_3	140	3	洗衣	Laundry	裤子	Trousers
140_4	140	4	洗衣	Laundry	背心	Vest
141_1	141	1	颈部饰品	Neckwear	围巾	Scarf
141_2	141	2	颈部饰品	Neckwear	领带	Necktie
141_3	141	3	颈部饰品	Neckwear	蝴蝶结领结	Bow tie
141_4	141	4	颈部饰品	Neckwear	颈圈	Choker
142_1	142	1	醒来	Wake up	闹钟	Alarm
142_2	142	2	醒来	Wake up	日出	Sunrise
142_3	142	3	醒来	Wake up	公鸡	Rooster
143_1	143	1	哨子	Whistle	水壶	Kettle
143_2	143	2	哨子	Whistle	裁判	Referee
143_3	143	3	哨子	Whistle	鸟鸣	Bird
144_1	144	1	翅膀	Wings	萤火虫	Firefly
144_2	144	2	翅膀	Wings	蝴蝶	Butterfly
144_3	144	3	翅膀	Wings	鸽子	Pigeon
144_4	144	4	翅膀	Wings	蝙蝠	Bat
144_5	144	5	翅膀	Wings	天使	Angel
144_6	144	6	翅膀	Wings	飞马	Pegasus
145_1	145	1	标志	Sign	停止	Stop
145_2	145	2	标志	Sign	让行	Yield
145_3	145	3	标志	Sign	限速	Speed limit
145_4	145	4	标志	Sign	禁止转弯	No turns
145_5	145	5	标志	Sign	靠右行驶	Keep right
145_6	145	6	标志	Sign	靠左行驶	Keep left
146_1	146	1	反刍动物	Ruminant	鹿	Deer
146_2	146	2	反刍动物	Ruminant	瞪羚	Gazelle
147_1	147	1	幻想	Fantasy	魔法	Magic
147_2	147	2	幻想	Fantasy	龙火	Dragon fire
147_3	147	3	幻想	Fantasy	剑	Sword
147_4	147	4	幻想	Fantasy	精灵	Elf
147_5	147	5	幻想	Fantasy	城堡	Castle
147_6	147	6	幻想	Fantasy	神谕	Oracle
148_1	148	1	马赛克	Mosaic	瓷砖	Tiles
148_2	148	2	马赛克	Mosaic	装饰	Ornament
148_3	148	3	马赛克	Mosaic	镜子	Mirror
148_4	148	4	马赛克	Mosaic	纹理	Texture
148_5	148	5	马赛克	Mosaic	壁画	Murals
148_6	148	6	马赛克	Mosaic	拼图	Puzzle
148_7	148	7	马赛克	Mosaic	框架	Frame
148_8	148	8	马赛克	Mosaic	网格	Grid
149_1	149	1	市场	Market	袋子	Bags
149_2	149	2	市场	Market	商品	Goods
149_3	149	3	市场	Market	水果	Fruits
149_4	149	4	市场	Market	标签	Tags
150_1	150	1	街道	Street	砖块	Brick
150_2	150	2	街道	Street	司机	Driver
150_3	150	3	街道	Street	角落	Corner
150_4	150	4	街道	Street	自行车	Bike
151_1	151	1	工作室	Studio	房间	Room
151_2	151	2	工作室	Studio	麦克风架	Microphone stand
151_3	151	3	工作室	Studio	音符	Music notes
152_1	152	1	牛仔裤	Jeans	腿部	Legs
152_2	152	2	牛仔裤	Jeans	拉链	Zipper
152_3	152	3	牛仔裤	Jeans	口袋	Pocket
153_1	153	1	颈部	Neck	领带	tie
153_2	153	2	颈部	Neck	衣领	Collar
154_1	154	1	喀迈拉	Chimera	蛇	Serpent
155_1	155	1	银	Silver	奖牌	Medal
155_2	155	2	银	Silver	餐具	Cutlery
155_3	155	3	银	Silver	高脚杯	Goblet
156_1	156	1	头饰	Headwear	圆顶礼帽	Bowler
156_2	156	2	头饰	Headwear	软帽	Bonnet
156_3	156	3	头饰	Headwear	土耳其毡帽	Fez
156_4	156	4	头饰	Headwear	王冠	Crown
156_5	156	5	头饰	Headwear	头盔	Helmet
157_1	157	1	有蹄类	Hoofed	骆驼	Camel
157_2	157	2	有蹄类	Hoofed	疣猪	Warthog
157_3	157	3	有蹄类	Hoofed	羊驼	Llama
158_1	158	1	重的	Heavy	锚	Anchor
158_2	158	2	重的	Heavy	铁砧	Anvil
158_3	158	3	重的	Heavy	船	Ship
159_1	159	1	池塘	Pond	青蛙	Frog
159_2	159	2	池塘	Pond	芦苇	Reed
160_1	160	1	歌手	Singer	音乐奖项	Music awards
160_2	160	2	歌手	Singer	黑胶唱片	Vinyl record
160_3	160	3	歌手	Singer	乐队	Band
160_4	160	4	歌手	Singer	观众	Audience
161_1	161	1	小工具	Gadget	虚拟现实头显	VR headset
161_2	161	2	小工具	Gadget	无人机	Drone
161_3	161	3	小工具	Gadget	扫地机器人	Robot vacuum
162_1	162	1	橄榄	Olives	油	Oil
162_2	162	2	橄榄	Olives	沙拉	Salad
163_1	163	1	直的	Straight	尺子	Ruler
163_2	163	2	直的	Straight	轨道	Rails
163_3	163	3	直的	Straight	杆	Rod
163_4	163	4	直的	Straight	杆	Pole
163_5	163	5	直的	Straight	指针	Pointer
163_6	163	6	直的	Straight	柱子	Column
163_7	163	7	直的	Straight	梯子	Ladder
164_1	164	1	船	Ships	小船	Boat
164_2	164	2	船	Ships	独木舟	Canoe
164_3	164	3	船	Ships	驳船	Barge
164_4	164	4	船	Ships	护卫舰	Frigate
164_5	164	5	船	Ships	渡轮	Ferry
165_1	165	1	数字	Numbers	八	Eight
165_2	165	2	数字	Numbers	七	Seven
165_3	165	3	数字	Numbers	五	Five
165_4	165	4	数字	Numbers	六	Six
165_5	165	5	数字	Numbers	三	Three
165_6	165	6	数字	Numbers	二	Two
165_7	165	7	数字	Numbers	零	Zero
165_8	165	8	数字	Numbers	九	Nine
166_1	166	1	有红色	Has red	日落	Sunset
166_2	166	2	有红色	Has red	彩虹	Rainbow
166_3	166	3	有红色	Has red	圣诞节	Xmas
166_4	166	4	有红色	Has red	火星	Mars
166_5	166	5	有红色	Has red	脸红	Blusher
166_6	166	6	有红色	Has red	美国国旗	USA flag
166_7	166	7	有红色	Has red	口红	Lipstick
167_1	167	1	根	Roots	白萝卜	Daikon
167_2	167	2	根	Roots	甜菜	Beet
167_3	167	3	根	Roots	萝卜	Radish
167_4	167	4	根	Roots	姜	Ginger
167_5	167	5	根	Roots	欧洲防风草	Parsnip
167_6	167	6	根	Roots	芜菁	Turnip
167_7	167	7	根	Roots	芹菜	Celery
168_1	168	1	领口	Neckline	马球衫	Polo
168_2	168	2	领口	Neckline	高领	Turtleneck
168_3	168	3	领口	Neckline	兜帽	Cowl
168_4	168	4	领口	Neckline	勺形领	Scooped
168_5	168	5	领口	Neckline	V领	V-neck
169_1	169	1	锚	Anchors	锚爪	Fluke
169_2	169	2	锚	Anchors	犁形锚	Plow
169_3	169	3	锚	Anchors	爪锚	Claw
169_4	169	4	锚	Anchors	多爪锚	Grapnel
170_1	170	1	作物	Crops	向日葵	Sunflower
170_2	170	2	作物	Crops	亚麻	Flax
170_3	170	3	作物	Crops	藜麦	Quinoa
170_4	170	4	作物	Crops	燕麦	Oats
171_1	171	1	人	Person	男人	Man
171_2	171	2	人	Person	女人	Woman
171_3	171	3	人	Person	孩子	Kid
172_1	172	1	蓬松的	Fluffy	泡沫	Foam
172_2	172	2	蓬松的	Fluffy	羽毛	Feather
172_3	172	3	蓬松的	Fluffy	棉花	Cotton
172_4	172	4	蓬松的	Fluffy	雪	Snow
172_5	172	5	蓬松的	Fluffy	毛皮	Fur
172_6	172	6	蓬松的	Fluffy	绒球	Pom-pom
173_1	173	1	财产	Property	房子	House
173_2	173	2	财产	Property	钱	Money
173_3	173	3	财产	Property	公寓	Flat
173_4	173	4	财产	Property	股票	Stocks
173_5	173	5	财产	Property	宝石	Gems
173_6	173	6	财产	Property	土地	Land
174_1	174	1	南瓜	Squashes	西葫芦	Zucchini
174_2	174	2	南瓜	Squashes	南瓜	Pumpkin
174_3	174	3	南瓜	Squashes	壁球	Squash
175_1	175	1	豆类	Legumes	扁豆	Lentil
175_2	175	2	豆类	Legumes	花生	Peanut
175_3	175	3	豆类	Legumes	大豆	Soybean
175_4	175	4	豆类	Legumes	羽扇豆	Lupin
175_5	175	5	豆类	Legumes	三叶草	Clover
175_6	175	6	豆类	Legumes	鹰嘴豆	Gram
175_7	175	7	豆类	Legumes	瓜尔豆	Guar
175_8	175	8	豆类	Legumes	苜蓿	Alfalfa
176_1	176	1	交通工具	Vehicle	公交车	Bus
177_1	177	1	杂食动物	Omnivore	野猪	Boar
177_2	177	2	杂食动物	Omnivore	臭鼬	Skunk
177_3	177	3	杂食动物	Omnivore	浣熊	Raccoon
177_4	177	4	杂食动物	Omnivore	人类	Human
178_1	178	1	植物	Plant	树干	Trunk
178_2	178	2	植物	Plant	根	Root
178_3	178	3	植物	Plant	嫩芽	Sprout
178_4	178	4	植物	Plant	种子	Seed
178_5	178	5	植物	Plant	树枝	Branch
178_6	178	6	植物	Plant	花蕾	Bud
179_1	179	1	衣服	Clothes	套头衫	Pullover
180_1	180	1	眼镜	Glasses	太阳镜	Sunglasses
180_2	180	2	眼镜	Glasses	阅读	Reading
180_3	180	3	眼镜	Glasses	单片眼镜	Monocle
180_4	180	4	眼镜	Glasses	安全眼镜	Safety
181_1	181	1	爬虫	Crawlies	蜈蚣	Centipede
181_2	181	2	爬虫	Crawlies	蝎子	Scorpion
181_3	181	3	爬虫	Crawlies	蜱虫	Tick
182_1	182	1	圆形	Round	球	Ball
182_2	182	2	圆形	Round	时钟	Clocks
182_3	182	3	圆形	Round	盘子	Plate
182_4	182	4	圆形	Round	地球	Earth
183_1	183	1	车库	Garage	车道	Driveway
183_2	183	2	车库	Garage	开门器	Opener
183_3	183	3	车库	Garage	遥控器	Remote
184_1	184	1	比赛	Match	打火机	Lighter
184_2	184	2	比赛	Match	火花	Spark
184_3	184	3	比赛	Match	得分	Score
184_4	184	4	比赛	Match	婚礼	Wedding
185_1	185	1	广告	Ads	广告牌	Billboard
185_2	185	2	广告	Ads	报纸	Newspaper
185_3	185	3	广告	Ads	电视屏幕	TV screen
